Origin,Destination,Marketing_Airline,Operating_Airline,Flight_Duration,Distance,Narrow_Set
CHC,SIN,LH,NZ,645,4559,1
MAD,FRA,AR,IB,155,776,0
BHX,AMS,KL,UK,75,249,0
MFR,SEA,CO,QX,94,304,1
MEX,ACA,DL,AM,50,164,1
MEM,JAN,CO,XJ,60,165,0
DCA,YUL,UA,AC,96,426,1
CHC,AKL,UA,NZ,80,405,0
OKA,KIX,NW,JD,105,642,0
FCO,GMP,AZ,KE,665,4862,0
JAX,MIA,TA,AA,105,293,1
SDF,MEM,CO,NW,75,280,1
LIS,GVA,LX,TP,135,810,1
SEA,PDX,CO,QX,50,110,1
ASU,EZE,AR,PZ,110,587,1
NUE,AMS,NW,EW,100,287,0
SEA,BLI,CO,QX,40,87,1
CCP,SCL,IB,UC,55,231,0
SEA,YVR,NW,QX,50,115,1
NUE,FRA,TG,LH,50,100,1
GOT,SDL,SK,JZ,90,331,0
SEA,LAS,NW,AS,134,753,1
JFK,LHR,GF,AA,370,3002,1
SEA,YKM,NW,QX,40,92,0
NPL,AKL,SQ,NZ,45,124,0
SEA,GEG,NW,QX,55,197,1
TGU,SJO,TA,LR,103,300,1
GSP,IAD,AC,DH,79,336,1
DUB,BRS,EI,BA,70,174,1
FCO,LIN,LH,AP,65,262,0
SEA,GEG,NW,QX,55,197,1
FCO,VCE,LH,AP,60,227,1
JFK,LAX,AN,UA,375,2149,0
CVG,ORD,LH,UA,87,231,1
SEA,SNA,NW,AS,154,853,0
FCO,MRU,MK,PE,585,4538,0
DUB,LCY,LX,EI,75,262,1
NUE,FRA,SK,LH,50,100,1
STR,FRA,JK,LH,55,85,0
SEA,EAT,KL,QX,38,87,0
HUY,AMS,NW,UK,80,203,1
JFK,LAX,QF,AA,372,2149,0
DUB,GLA,BA,EI,55,159,1
DUB,LHR,SK,BD,75,244,1
FCO,AHO,NW,RD,60,190,1
SCQ,MAD,LH,JK,70,266,1
STR,FRA,UA,LH,55,85,0
FNT,MSP,CO,XJ,110,424,0
SEA,RNO,NW,AS,95,486,1
TAM,MTY,MX,AM,70,241,0
CVG,ATL,SA,DL,100,333,1
HDN,MSP,KL,NW,127,674,1
GOT,ARN,UA,SK,65,211,0
SEA,ORD,AS,AA,233,1496,0
LYS,BOD,DL,AF,65,261,1
SEA,SJC,KL,AS,126,604,0
GOT,OSL,SK,WF,60,157,1
SEA,PDX,NW,QX,50,110,0
GOT,CPH,JK,SK,45,130,0
DUB,MAN,BA,EI,60,143,1
LYS,CDG,DL,AF,70,224,0
SEA,BZN,NW,QX,86,471,1
CID,ORD,AC,UA,64,170,1
JFK,LAX,AC,UA,370,2149,1
IZT,MEX,AM,VW,105,284,0
GOT,FRA,SK,LH,110,483,0
LIS,CPH,SK,DM,215,1337,1
FCO,ZRH,PE,SR,95,383,0
SEA,DFW,AM,DL,219,1445,1
NUE,FRA,SK,LH,50,100,0
GRR,ORD,AS,MQ,54,119,0
SEA,FCA,NW,QX,85,334,1
OUL,VAA,SK,KF,55,152,0
SEA,LWS,CO,QX,70,225,1
SEA,YVR,LH,ZX,50,115,1
AZO,MSP,CO,NW,95,374,1
FCO,VRN,AZ,IG,60,232,1
CUL,MTY,MX,AM,105,405,0
SEA,PDX,CO,QX,50,110,0
SEA,MFR,KL,QX,90,304,1
FCO,LCA,AZ,CY,180,1089,0
DUB,GLA,BA,EI,60,159,1
PVD,CLE,NW,CO,110,469,0
JFK,ANC,AA,OZ,460,2942,0
SEA,DTW,CA,NW,247,1675,1
SEA,OAK,NW,AS,118,586,1
SEA,ANC,CO,AS,218,1260,1
SEA,IAH,NW,CO,255,1635,0
SEA,BUR,KL,AS,140,821,1
SEA,PSC,CO,QX,55,145,0
BFN,JNB,SA,YB,70,209,1
ZAG,FRA,SK,LH,100,396,1
PVD,EWR,NW,CO,66,134,0
FCO,VIE,OS,NG,100,428,1
HDN,EWR,NW,CO,213,1499,1
JFK,LAX,QF,AA,372,2149,1
CVG,ATL,AM,DL,97,333,1
BFN,JNB,SA,YB,70,209,0
SEA,EWR,AS,CO,300,2088,1
BKK,FRA,LH,TG,710,4873,0
LAX,YYZ,UA,AC,275,1894,0
AMS,MME,KL,UK,100,266,0
ZQN,CHC,AN,NZ,60,186,1
MEM,SEA,CO,NW,283,1627,0
LAX,PDX,QF,AS,140,729,0
MAD,AGP,UA,JK,70,234,1
SAN,LAX,YX,MQ,47,93,0
MEM,ORD,LH,UA,100,432,0
EUG,SFO,LH,UA,91,396,1
MEX,BJX,AF,AM,50,168,1
MEM,GLH,CO,9E,55,109,1
SAN,LAX,HA,MQ,50,93,0
AMS,VIE,NW,WA,110,516,1
AMS,KAN,NW,KL,360,2439,1
LAX,EUG,NW,QX,125,652,1
MEM,SGF,CO,9E,70,212,0
LAX,PSP,HA,MQ,50,96,1
MPL,CDG,CO,AF,85,338,1
AMS,EDI,NW,UK,100,366,1
MEM,DTW,KL,NW,115,529,0
MEX,PVR,DL,AM,80,358,0
MEX,LAX,NZ,MX,235,1359,0
OKA,KIX,AA,JL,105,642,0
LAX,SBP,CO,AA,59,132,0
LAX,SBP,NW,MQ,60,132,1
ORB,MMX,SK,JZ,75,235,0
MEM,TYS,CO,XJ,65,296,0
ZQN,CHC,SQ,NZ,60,186,0
DCA,EWR,NW,CO,62,177,0
SAN,LAX,NW,AA,47,93,0
LAX,DTW,CA,NW,270,1717,1
LAX,SJC,QF,AA,74,270,0
BHX,FRA,BD,LH,105,421,0
LAX,SEA,QF,AS,157,831,0
LAX,SAN,QF,AA,57,93,0
DCA,EWR,NW,CO,83,177,1
HAM,OSL,SK,LH,90,396,1
AMS,MEM,NW,KL,595,3954,0
HPN,BOS,NW,AA,65,148,0
HPN,BOS,NW,AA,65,148,1
BHX,FRA,BD,LH,100,421,1
HAM,FRA,UA,LH,75,228,1
BRU,LHR,UA,BD,75,191,1
MBA,NBO,KL,KQ,60,234,0
LAX,SAN,YX,MQ,58,93,0
LAX,SBA,CO,AA,45,78,1
LAX,GDL,UA,MX,180,1143,0
VSA,MEX,DL,AM,85,364,0
LAX,SAN,AS,MQ,60,93,1
MEX,ACA,MX,VW,60,164,0
OKC,IAH,NW,CO,90,347,0
LAX,DTW,AZ,NW,253,1717,0
CNS,BNE,NZ,AN,120,761,0
AMS,MST,NW,XT,40,90,1
MSO,SEA,NW,QX,90,338,1
LAX,LAS,CO,HP,58,209,1
MEX,LAX,UA,MX,235,1359,0
AMS,FRA,TG,LH,75,197,1
FMO,FRA,SK,LH,65,129,0
EUG,PDX,NW,QX,40,92,0
MEX,IAH,NW,CO,134,673,1
CHC,SYD,UA,NZ,210,1147,1
