record_id,aircraft_type,airport_name,altitude_bin,aircraft_make_model,wildlife_number_struck,wildlife_number_struck_actual,effect_impact_to_flight,flightdate,effect_indicated_damage,aircraft_number_of_engines,aircraft_airline_operator,origin_state,when_phase_of_flight,conditions_precipitation,remains_of_wildlife_collected,remains_of_wildlife_sent_to_smithsonian,remarks,wildlife_size,conditions_sky,wildlife_species,pilot_warned_of_birds_or_wildlife,cost_total,feet_above_ground,number_of_people_injured,is_aircraft_large
253781,Airplane,PALM BEACH INTL,< 1000 ft,GLOBAL EXPRS,1,1,Precautionary Landing,2008-01-26T00:00:00,Caused damage,2,BUSINESS,Florida,Climb,None,FALSE,FALSE,"WARNING MIGHT HAVE BEEN ON ATIS. LARGE DENT ON ENG INLET. 6 DAMAGED FAN BLADES WERE REPLACED. FAN SHROUD, COWL  AND SPINNER REPLACED.. ENG CONTINUED TO RUN WITH NO APPARENT PROBLEMS. COST TO LEASE ANOTHER A/C WAS $230,000.",Large,Some Cloud,Turkey vulture,FALSE,1655903,500,0,FALSE
236635,Airplane,WASHINGTON DULLES INTL ARPT,< 1000 ft,A-320,Over 100,320,Other,2006-03-01T00:00:00,Caused damage,2,UNITED AIRLINES,DC,Approach,None,TRUE,FALSE,"WS ASSISTED IN CLEAN-UP OF 273 STARLINGS AND 1 BROWN-HEADED COWBIRD FROM RWY THRESHOLD. PHOTOS OF A/C TAKEN. BORESCOPED BOTH ENGS. FOUND DENTS AND NICKS IN STAGES 3-6. ALL WITHIN LIMITS. CLEANED RADOME, L WING, FLAPS, PYLON, GEAR AND LEADING EDGE FLAPS. R",Small,Some Cloud,European starling,TRUE,1483141,100,0,FALSE
221697,Airplane,NEW CASTLE COUNTY,< 1000 ft,LEARJET-25,Over 100,227,Other,2003-08-17T00:00:00,Caused damage,2,BUSINESS,Delaware,Climb,None,TRUE,TRUE,,Small,No Cloud,European starling,FALSE,1481711,150,0,FALSE
207692,Airplane,MIAMI INTL,< 1000 ft,B-757-200,2 to 10,2,Engine Shut Down,2001-01-05T00:00:00,Caused damage,2,AVIANCA,Florida,Climb,None,FALSE,FALSE,ATIS WARNING. ENCOUNTERED AT LEAST 20 CIRCLING VULTURES. 2 FIRST STAGE COMPRESSOR BLADES BENT AND REMAINS SCATTERED THRUOUT THE ENG INTAKE AND NACELLE. ENG CONTD TO OPERATE AT IDLE SPEED. PRECAUTIONARY LDG.,Large,Some Cloud,Turkey vulture,TRUE,1431761,100,0,TRUE
206975,Airplane,PALM BEACH INTL,> 1000 ft,LOCKHEED 1329,2 to 10,6,None,2001-11-02T00:00:00,Caused damage,4,BUSINESS,Florida,Descent,None,FALSE,FALSE,"ENG INLETS DAMAGED. NO NOTICEABLE EFFECT ON PERFORMANCE IN FLIGHT. DMG BEING ASSESSED AT GARRETT AGS, EST 30 DAYS FOR REPAIRS.",Medium,Some Cloud,Unknown bird - medium,FALSE,1366681,1600,0,FALSE
206135,Airplane,CHARLES DE GAULLE,> 1000 ft,B-767-300,11 to 100,29,Precautionary Landing,2001-04-02T00:00:00,Caused damage,2,AMERICAN AIRLINES,N/A,Climb,None,TRUE,TRUE,ID BY SMITHSONIAN. HIT FLOCK OF LRG BIRDS. PENETRATION. BIRD ENTERED COCKPIT. CABIN DEPRESSURIZED.  WINDSHLD WAS COVERED WITH BLOOD. BIRD DEBRIS AND INSULATION WAS SPLATTERED ON CAPT & COPILOT. 17 STRIKES FOUND. 11 PUNCTURES.  AREAS DENTED INCLUDE ABOVE W,Medium,No Cloud,Northern shoveler,FALSE,1301601,14000,0,TRUE
247622,Airplane,DAKAY-YOFF-LEOPOLD SEDAR SENGHOR,< 1000 ft,B-767-400,1,1,Precautionary Landing,2007-12-02T00:00:00,Caused damage,2,DELTA AIR LINES,N/A,Climb,None,FALSE,FALSE,"BIRD INGESTED. DMG TO 5 FAN BLADES, ENG KEPT OPERATING BUT WITH GREATER THAN NORMAL VIBRATIONS AT HIGHER POWER SETTINGS. MADE PREC 2 ENG LDG. ALL ENG #1 FAN BLADES REMOVED AND REPLACED.",Large,Some Cloud,Unknown bird - large,FALSE,1290883,200,0,TRUE
235950,Airplane,CHICAGO O'HARE INTL ARPT,> 1000 ft,B-737-300,2 to 10,5,Precautionary Landing,2005-04-09T00:00:00,Caused damage,2,UNITED AIRLINES,Illinois,Climb,None,FALSE,FALSE,"STRIKE WAS 4 MILES E ORD. SEVERAL STRIKES. REMOVED SOME FEATHERS & GAVE TO SMC. (data entry note: feathers never turned in for ID) BORESCOPED #2 ENG. OTBD CORE COWL HAS BENT TIP AT UPPER FWD EDGE. DMG TO RADOME, L WING LE & VERTICAL FIN. REPLCD LWR RT PIT",Large,No Cloud,Unknown bird - large,TRUE,1288485,1500,0,TRUE
222072,Airplane,NORTH BEND MUNICIPAL,< 1000 ft,GULFSTRM II,2 to 10,4,Other,2003-10-02T00:00:00,Caused damage,2,BUSINESS,Oregon,Approach,None,TRUE,FALSE,"9 CARCASSES FOUND. BOTH FLAPS WERE BROKEN, 1 WAS BARELY HANGING ON. AT 60 ' AGL, PILOT PULLED UP, BANKED AND LANDED FROM OTHER RWY. THIS WAS ALMOST A FATAL MISTAKE AS WAS SEEN THE BY AFTERMATH AND THE SEVERELY COMPROMISED FLAPS. (LETTER SENT TO OPERATOR F",Large,No Cloud,Canada goose,TRUE,1234759,25,0,FALSE
248214,Airplane,FORT LAUDERDALE/HOLLYWOOD INTL,< 1000 ft,LEARJET-45,1,1,Precautionary Landing,2007-06-10T00:00:00,Caused damage,2,BUSINESS,Florida,Climb,None,TRUE,FALSE,BOTTOM HALF OF BIRD INGESTED IN #1 ENG. REQUIRED OVERHAUL.,Large,No Cloud,Great blue heron,TRUE,1111197,10,0,FALSE
304694,Airplane,SALT LAKE CITY INTL,> 1000 ft,EMB-145,2 to 10,10,Precautionary Landing,2010-08-10T00:00:00,Caused damage,2,EXPRESSJET (CONTINENTAL EXPRS),Utah,Approach,None,TRUE,TRUE,"ID BY SMITHSONIAN, FAA 4695.MICRO, WHOLE FEATHER & DNA.  A/C WAS SLOWING FROM 280 TO 190 KIAS. WHEN THE CAPT SAW WHAT HE THOUGHT WERE GULLS. THE A/C HIT A FLOCK OF LARGE BIRDS ON APPROACH ABOUT 4NM W OF ARPT. DECLARED EMERGENCY.  ONE OF THE BIRD PENETRATE",Large,Some Cloud,American white pelican,TRUE,1026710,6800,0,FALSE
310270,Airplane,LOS ANGELES INTL,< 1000 ft,A-320,1,1,Engine Shut Down,2011-03-15T00:00:00,Caused damage,2,AIR CANADA,California,Climb,None,TRUE,TRUE,ID BY SMITHSONIAN. PILOT REPTD INGESTING BIRD AT ABOUT 400 FT RIGHT AFTER T/O BUT DID NOT SEE THE BIRD. PASSENGERS SAW FLAMES COMING FROM #1 ENG. PILOT SAID THE ENG STALLED OUT AND HE COULD SMELL SMOKE.  AIRLINE REPORT  SAID THAT BOTH ENGINES WERE SHUT DO,Medium,Overcast,Western gull,FALSE,1000000,400,0,FALSE
228216,Airplane,KANSAS CITY INTL,< 1000 ft,DC-9-30,1,1,Precautionary Landing,2005-06-10T00:00:00,Caused damage,2,NORTHWEST AIRLINES,Missouri,Climb,None,TRUE,TRUE,LOST #1 ENG UPON INGESTNG BIRD AT ROTATION. A/C BEGAN TO YAW TO THE LEFT. RETD TO ARPT. EMERGENCY DECLARED. 1 BLADE FRACTURES. FAN CASE HEAVILY DAMAGED.  VIOLENT COMPRESSOR STALLS. RETARDED THROTTLE TO JUST ABOVE IDLE. ENG STABILIZED. L ENG RUNNING AT IDE,Small,Some Cloud,American kestrel,FALSE,937080,50,0,FALSE
242157,Airplane,SALT LAKE CITY INTL,< 1000 ft,CL-RJ100/200,2 to 10,2,Precautionary Landing,2006-08-18T00:00:00,Caused damage,2,SKYWEST AIRLINES,Utah,Climb,None,TRUE,TRUE,"PILOT SAW 2 BIRDS ON T/O CLIMB. FELT BIRDS STRIKE ENGINES AND FELT ENGINES BEGIN TO VIBRATE ALONG WITH INDICATIONS ON BOTH ENGS. CIRCLED THE PATTERN AND LANDED RWY 34R W/O INCIDENT. A/C WAS SWAPPED OUT AND TOWED TO MX HANGER. ID BY SMITHSONIAN, FAA 1541 A",Medium,No Cloud,Northern pintail,TRUE,926193,500,0,FALSE
225603,Airplane,ST LOUIS DOWNTOWN,< 1000 ft,LEARJET-24,11 to 100,33,Engine Shut Down,2003-11-12T00:00:00,Caused damage,2,BUSINESS,Illinois,Climb,None,FALSE,FALSE,"A/C INGESTED LITTLE BLACK BIRDS IN BOTH ENGS CAUSING THEM TO SHUT DOWN WITH MINIMAL ALT AND TIME, A/C DID A FORCED LANDING IN A WHEAT FIELD ABOUT 4 MILES FROM DEPTR ARPT. ON TOUCHDOWN, FIRE BROKE OUT AND DESTROYED THE A/C. PILOT AND CO-PILOT HAD SERIOUS I",Small,No Cloud,Unknown bird - small,FALSE,926070,500,6,FALSE
217958,Airplane,NEWARK LIBERTY INTL ARPT,< 1000 ft,B-757-200,1,1,Engine Shut Down,2003-03-11T00:00:00,Caused damage,2,UNITED AIRLINES,New Jersey,Climb,None,TRUE,TRUE,"PILOT SAW GRAY BLUR BEFORE BIRD WAS INGESTED.  UNCONTAINED FAILURE, PARTS LEFT THE ENG.  REPLACED NOSE COWL DUE TO NUMEROUS HOLES AND PUNCTURES IN INNER LINER AND 2 LRG PUNCTURES IN OUTSIDE SKIN. REPLACED PRECOOLER FAN AIR AND BLEED AIR INLETS. FAN COWL R",Large,Some Cloud,Canada goose,TRUE,913722,400,0,TRUE
247758,Airplane,FIUMICINO ARPT,< 1000 ft,B-767-400,11 to 100,88,Precautionary Landing,2007-07-07T00:00:00,Caused damage,2,DELTA AIR LINES,N/A,Climb,None,TRUE,TRUE,"ID BY SMITHSONIAN, FAA 1960 & 2039. FLT WAS RUNNING 4 HRS LATE. RWY HAD NOT BEEN USED MUCH AT THIS TIME. DID NOT SEE BIRDS ON RWY DURING TAXI. SAW A FEW GULLS AT 110 KTS, WATCHED TO MAKE SURE THEY DID NOT GO INTO ENGS. AT 150 KTS WE HIT A LRG FLOCK. FUEL",Medium,No Cloud,Yellow-legged gull,FALSE,872290,20,0,TRUE
300191,Airplane,PALM BEACH INTL,< 1000 ft,A-320,1,1,Precautionary Landing,2010-03-23T00:00:00,Caused damage,2,JETBLUE AIRWAYS,Florida,Climb,None,TRUE,TRUE,"ID BY SMITHSONIAN, FAA 4187. ENG NOSE COWL DAMAGD 14"" W 10"" H AND 12"" D. EN #4 BLADE BENT AND TWISTED. NEW NOSE COWL COST $775,000.",Large,No Cloud,Turkey vulture,FALSE,864490,500,0,FALSE
236998,Airplane,PALM BEACH INTL,> 1000 ft,LEARJET-60,1,1,Engine Shut Down,2006-04-17T00:00:00,Caused damage,2,BUSINESS,Florida,Climb,None,TRUE,TRUE,"ID BY SMITHSONIAN, FAA 1429. #2 ENG HAD SIGNIFICANT DMG AND WAS SHUTDOWN IN FLIGHT. RETD TO ARPT. UNEVENTFUL 1 ENG LDG.  ENG WAS DAMAGED BEYOND REPAIR.",Large,Some Cloud,Black vulture,TRUE,855658,2200,0,FALSE
266808,Airplane,DENVER INTL AIRPORT,> 1000 ft,CL-RJ700,2 to 10,8,Other,2009-10-25T00:00:00,Caused damage,2,SKYWEST AIRLINES,Colorado,Approach,Rain,FALSE,FALSE,"BIRDS REPTD AS ""GULLS? SNOW GEESE? THEY WERE WHITE, IN FORMATION AND LOOKED ABOUT THE SIZE OF GULLS."" ATIS WARNING. DARK RAINY NIGHT. F/O SAW THE FLOCK A SPLIT SECOND BEFORE WE HIT THEM. NO ENG DAMAGE AS FAR AS WE KNOW. ENG INDICTIONS REMAINED NORMAL. RT",Medium,Overcast,Unknown bird - medium,TRUE,848578,5500,0,FALSE
213882,Airplane,DALLAS/FORT WORTH INTL ARPT,> 1000 ft,FOKKER F100,2 to 10,9,Precautionary Landing,2002-02-24T00:00:00,Caused damage,2,AMERICAN AIRLINES,Texas,Climb,None,TRUE,TRUE,"ID BY SMITHSONIAN, FAA 183 &189. DAMAGE TO RT WING LE, #2 ENG COMPRESSOR BLADES AND NOSE JUST BEHIND RADOME. REPLACED ENG DUE TO NUMEROUS COMPRESSOR AND FAN BLADES DMGD & INLET DMG. REPLACED FWD E & E DOOR.  RT ENG FAILED. AIRLINE & ARPT SENT REMAINS.  OT",Large,Some Cloud,Greater white-fronted goose,TRUE,828806,7000,0,FALSE
309979,Airplane,RONALD REAGAN WASHINGTON NATL,> 1000 ft,B-737-800,2 to 10,7,Precautionary Landing,2011-02-28T00:00:00,Caused damage,2,CONTINENTAL AIRLINES,DC,Climb,None,TRUE,TRUE,ID BY SMITHSONIAN. PILOT REPTD BIRDSTRIKE ON T/O FROM RWY 19 AT APPROX 1200' OVER POTOMAC RIVER. A/C DIVERTED TO IAD DUE TO A POSSIBLE ENG SHUTDOWN. USDA COLLECTED SNARGE FROM #1 ENG AND PHOTOS. FLT WAS CANCELLED. PAX WERE BOOKED ON OTHER FLTS. ENG MANU C,Large,Some Cloud,Canada goose,TRUE,793776,1200,0,TRUE
224822,Airplane,BARROW COUNTY ARPT,< 1000 ft,RKWLTRBO 690,11 to 100,81,Engine Shut Down,2004-10-13T00:00:00,Caused damage,2,BUSINESS,Georgia,Climb,None,FALSE,FALSE,"INITIAL CLIMB, GEESE SPOTTED COMING UP IN FRONT OF A/C. NO TIME TO AVOID. NUMEROUS STRIKES, #1 ENG FAILED DUE TO INGESTION. FLT DIVERTED TO AGS & LANDED UNEVENTFULLY. 14 GEESE FOUND ON RWY. 3 FOUND ON A/C INLET. MIN STRUCK 17. ID BY SMITHSONIAN FAA 910.",Large,Some Cloud,Canada goose,FALSE,723987,50,0,FALSE
252076,Airplane,KLAMATH FALLS INTL,< 1000 ft,IAI GALAXY,1,1,Engine Shut Down,2007-11-19T00:00:00,Caused damage,2,BUSINESS,Oregon,Climb,Rain,TRUE,TRUE,"ID BY SMITHSONIAN, FAA 2207. PILOT NOTED BIRD PASS ACROSS NOSE DURING CLIMB, FELT IMPACT. ENGINE ANOMOLY, RETURNED TO AIRFIELD. INSPN FOUND DMG TO LWR L PART OF INTAKE COLWING AND BIRD REMAINS IN FAN BLADES/ENGINE. BELIEVE MOST THRU BY-PASS BUT SOME IN EN",Medium,Overcast,Gadwall,FALSE,666719,200,0,FALSE
217957,Airplane,MEMPHIS INTL,> 1000 ft,DC-10-10,11 to 100,60,None,2003-02-19T00:00:00,Caused damage,3,FEDEX EXPRESS,Tennessee,Approach,None,FALSE,FALSE,SEVERAL A/C REPTD NUMEROUS FLOCKS OF BIRDS TO APCH CONTROL. WE WERE LOOKING FOR THEM. AT 20 MILES NORTH OF ARPT WE ENCOUNTERED A LRG FLOCK OF SMALL BLACK BIRDS. (SEVERAL HUNDRED). MX FOUND VERT. STAB. LE  HAD A DEEP DENT WHICH WAS OUT OF LIMITS. THE VERT,Small,No Cloud,Unknown bird - small,TRUE,648249,2300,0,TRUE
220905,Airplane,LAMBERT-ST LOUIS INTL,> 1000 ft,B-737-300,2 to 10,7,Precautionary Landing,2003-12-26T00:00:00,Caused damage,2,SOUTHWEST AIRLINES,Missouri,Climb,None,TRUE,TRUE,HIT AT LEAST 3 BIRDS. 11 DAYS OUT OF SVC. #1 ENG HAD A PARTIAL INGESTION WITH NO DMG. PHOTOS. ID BY SMITHSONIAN FAA 662 & 676. DAMAGED RADOME AND NOSE (PEELED UP). DMG L WING. WINDSHLD HAD BLOOD ON IT. HORIZ STABIL DENTED. FLOWN TO TX FOR REPAIRS. SIGNIFI,Large,No Cloud,Snow goose,TRUE,619849,2900,0,TRUE
219203,Airplane,ATLANTA INTL,< 1000 ft,B-777-200,1,1,Precautionary Landing,2004-08-27T00:00:00,No damage,2,DELTA AIR LINES,Georgia,Climb,None,FALSE,FALSE,ENG EGT EXCEEDED MAX LIMIT 900-952 DEGREES. ENGINE WAS CHANGED. NO REMAINS COLLECTED AT ARPT. ENG MANU DOES NOT BELIEVE THE EGT EXCEEDANCE WAS RELATED TO THE BIRD AFTER DISCUSSION WITH THE AIRLINE REP.,Medium,Some Cloud,Unknown bird - medium,FALSE,601318,200,0,FALSE
213612,Airplane,BRADLEY INTL,< 1000 ft,EMB-145,2 to 10,8,None,2002-02-02T00:00:00,Caused damage,2,CHAUTAUQUA AIRLINES,Connecticut,Approach,None,TRUE,TRUE,"BIRD ID BY SMITHSONIAN FAA 187. 2 GEESE. 1 HIT F/O WINDSHLD, OTHER #1 ENG. SUBST. DMG NOTED AFTER SHUTDOWN AT GATE. ENG REQD CHANGE.",Large,No Cloud,Canada goose,FALSE,570483,400,0,FALSE
211262,Airplane,WASHINGTON DULLES INTL ARPT,< 1000 ft,B-737-500,1,1,None,2001-07-31T00:00:00,Caused damage,2,UNITED AIRLINES,DC,Approach,None,TRUE,TRUE,"ID BY SMITHSONIAN FAA 128. LH OIL COOLER PLUGGED WITH REMAINS OF INGESTED BIRD. CLEANED FAN COWL, BLADES, STATOR BLADES AND FAN CORE. BORESCOPED #1 ENG. (TWR REPTD #2 ENG AND THAT A/C WAS TAKEN OUT OF SERVICE TO CHANGE THE ENG). REPLACED ENTIRE SET OF FAN",Large,No Cloud,Canada goose,FALSE,559688,100,0,TRUE
258690,Airplane,UGNU-KUPARUK ARPT,< 1000 ft,B-737-700,1,1,Engine Shut Down,2008-05-27T00:00:00,Caused damage,2,BUSINESS,Alaska,Approach,None,FALSE,FALSE,"ABORTED LANDING AT KUPARUK. ENGINE SHUTDOWN AND SECURED. DIVERTED FLT TO DEADHORSE, AK W/O FURTHER INCIDENT",Large,No Cloud,Trumpeter swan,FALSE,541145,500,0,TRUE
204034,Airplane,LOS ANGELES INTL,< 1000 ft,B-747-1/200,1,1,Engine Shut Down,2000-08-27T00:00:00,Caused damage,4,KLM ROYAL DUTCH AIRLINES,California,Climb,None,TRUE,TRUE,ENG INGESTED AT LEAST 1 GULL (BIRD ID BY SMITHSONIAN). ATC TOLD PILOT THEY SAW PART OF ONE ENG FALL TO THE GROUND & WARNED THE PILOT WHO FELT VIBRATIONS. WITNESSES HEARD 3 LOUD BANGS AND SAW FLAMES COMING FROM BACK SIDE OF ENG. FLT 602 SHUT ENG & DUMPED 8,Medium,Some Cloud,Western gull,FALSE,534547,750,0,FALSE
245754,Airplane,MANASSAS REGIONAL ARPT,> 1000 ft,CHALLENGER 300,2 to 10,8,Precautionary Landing,2007-02-21T00:00:00,Caused damage,2,BUSINESS,Virginia,Climb,None,FALSE,FALSE,1 BIRD HIT L SIDE OF NOSE ABOUT 1.5 FT FWD OF L WINDSHLD DAMAGING THE NOSE STRUCTURE AND OPENING A HOLE IN THE NOSE SKIN. PART OF THE BIRD HIT RT WINDSHLD OBSCURING VISION. 2 ND BIRD HIT L WING ABOUT 5' OUT FROM FUSELAGE CAUSING A LRG DENT IN LE (FOOTBALL,Large,No Cloud,Canada goose,FALSE,527819,3000,0,FALSE
267225,Airplane,LAGUARDIA NY,< 1000 ft,MD-88,1,1,None,2009-09-29T00:00:00,Caused damage,2,DELTA AIR LINES,New York,Approach,None,TRUE,FALSE,BIRDSTRIKE REPORTED ON FINAL. ARFF RESPONDED. DENT IN RADOME AND DAMAGE TO RADAR ENTENNA. CARCASS REMOVED FROM RWY.,Large,No Cloud,Double-crested cormorant,TRUE,527067,50,0,FALSE
201091,Airplane,SOUTHWEST MINNESOTA REGIONAL ARPT,> 1000 ft,BE-300 KING,1,1,None,2000-03-02T00:00:00,Caused damage,2,BUSINESS,Minnesota,Descent,None,FALSE,FALSE,"DENTED L HORIZ STABL. LE. PHOTOS INCLUDED. ALSO LOSS OF VALUE,  $169,000.",Large,No Cloud,Canada goose,FALSE,526529,3000,0,FALSE
250689,Airplane,MIDDLE GEORGIA REGIONAL,< 1000 ft,C-500,1,1,Engine Shut Down,2007-10-11T00:00:00,Caused damage,2,GOVERNMENT,Georgia,Climb,None,TRUE,TRUE,"ID BY SMITHSONIAN, FAA 2186. 100% DNA MATCH. BIRD WAS INGESTED INTO #2 ENG. THE A/C SHUT DOWN THE ENG AND RETURNED TO THE ARPT. NO BIRDS OR FLOCK WERE CITED IN THE AREA. PILOT REPTD BIRD AS ""SANDHILL CRANE?"" AND SIZE AS LARGE. IN A REPLY TO DATABASE MGR Q",Small,No Cloud,Mourning dove,FALSE,500039,200,0,FALSE
311762,,,,BELL-206,,1,,,Caused damage,1,,Utah,,None,TRUE,TRUE,ID BY SMITHSSONIAN. EITHER WESTERN OR CLARK'S GREBE.  DNA ANALYSIS UNABLE TO DISTINGUISH BETWEEN THEM. DOWNWIND FOR RWY 35 BIRD HIT LEFT SIDE OF NOSE CONE. UPON REGAINING CONTROL OF THE A/C. I TURNED BACK TO ORIGINAL HEADING AND SLOWED AIR SPEED TO 60 KTS,,Overcast,Grebes,,496000,,2,
