flight_id,carrier,route_type,origin,destination,cabin_class,booking_channel,customer_segment,aircraft_family,departure_time,distance_miles,base_fare_usd,ancillary_revenue_usd,passenger_count,available_seats,delay_minutes,fuel_gallons,crew_size,baggage_weight_lbs,advance_booking_days,customer_age,loyalty_status,satisfaction_rating,on_time,cancelled,year,month,day_of_week,load_factor,total_revenue_usd,fuel_cost_usd,operating_margin,revenue_per_mile,performance_category
FL000044,United,International,IAH,MIA,Economy,Travel Agent,Group,B737,Morning,1312.4982238163382,245.08716578732623,33.33238865492327,348,370,0.8367298884716741,4571.090679822911,13,13326.16419308003,6,61,Silver,3.7839193026436573,1,0,2025,12,Mon,94.05405405405406,85323.66608264444,13350.858974779303,84.35268948494587,65.00859546655207,Good
FL000045,United,Regional,MCO,SEA,Economy,Website,Leisure,A321,Evening,911.1382252881793,205.91288102694597,31.963138525148544,75,140,47.51384744844305,2740.812646102972,4,2748.937541297063,2,18,None,3.155541060244346,0,0,2024,2,Wed,53.57142857142857,15475.429215546097,8222.875960343772,46.86495705021644,16.984721731602743,Poor
FL000046,Alaska,International,DTW,ORD,Business,Website,Leisure,B757,Afternoon,2010.0678087629663,347.16717700780873,75.75711826518153,266,317,41.57336124722701,6214.603012881227,10,11914.658140588772,57,54,Platinum,2.6778010339085876,0,0,2023,3,Tue,83.91167192429022,92422.22620234231,19054.472287716802,79.38323596966775,45.979655909827585,Poor
FL000047,Spirit,Domestic,SFO,DFW,Premium Economy,Website,Business,A350,Evening,1325.5816851622255,205.89548312310987,15.119533667230819,207,254,19.729807136583176,4154.355128122039,7,6276.877684396197,27,34,Silver,3.7376302099093692,0,0,2025,5,Thu,81.49606299212599,42635.484540150974,12369.25844135292,70.98834791075387,32.16360411235858,Good
FL000048,United,International,LGA,SEA,Economy,Mobile App,Leisure,A330,Morning,1791.5478236306176,363.1106742752498,51.330729578168246,240,273,9.08226263031322,5071.5398142013055,10,8986.027795543605,6,51,None,1.6478469514389673,1,0,2025,3,Sun,87.91208791208791,87197.89255563811,14512.980316662311,83.35627170415609,48.67181964416074,Good
FL000049,Alaska,Regional,MCO,JFK,Premium Economy,Mobile App,Group,B777,Night,608.0175796878016,172.8553065934369,18.31622417032405,98,163,10.344783418594497,1790.570549385072,6,4275.279747096025,1,55,Silver,1.4951230278983927,1,0,2025,11,Mon,60.122699386503065,16958.13627032714,5208.266679806556,69.28750543820178,27.890865061886245,Good
FL000050,American,Regional,PHX,PHX,Economy,Mobile App,Business,A350,Afternoon,564.8695141347663,169.28524144568664,17.718698546647246,54,129,27.739261559679242,1957.4587401219185,5,1833.0924792387802,5,48,Gold,4.315505550612294,0,0,2023,10,Thu,41.86046511627907,9159.121736613726,5750.029394021412,37.22073404663262,16.214579663841704,Good
FL000051,JetBlue,International,MSP,BWI,Economy,Travel Agent,Frequent Flyer,A350,Afternoon,1541.7913872503555,312.06671051678757,28.175303316794906,299,317,53.63384255525449,4451.253520412128,13,11668.344719262339,14,73,Silver,3.661610435829969,0,0,2025,3,Sat,94.3217665615142,93336.12174783627,13509.446071525019,85.52602591735798,60.53745177179433,Good
FL000052,United,Regional,SFO,PHL,Economy,Call Center,Leisure,A321,Afternoon,886.1183312258361,218.55461623610077,36.005912628545865,101,142,27.647281848425045,2631.8876774864157,6,2774.910324651107,20,52,None,4.135391273652871,0,0,2025,8,Fri,71.12676056338029,22110.02215247472,7920.621988029143,64.17632721755275,24.95154583010174,Good
FL000053,United,Regional,JFK,DEN,Economy,Travel Agent,Leisure,B757,Night,611.104442048111,147.020879141796,26.002778266263157,101,180,4.340688068111184,1934.6968821257483,4,3200.350523014385,27,37,None,4.297099466758203,1,0,2025,7,Fri,56.111111111111114,14875.11157158766,6151.786601470415,58.643761615740154,24.341357300126734,Excellent
FL000054,Delta,Domestic,LAS,JFK,Economy,Call Center,Frequent Flyer,A330,Morning,2104.9502543574163,350.86296172724377,14.548642332302709,177,209,26.628732899617578,6245.334688986627,4,6791.234005111615,23,38,Silver,4.68269179628282,0,0,2025,9,Wed,84.688995215311,62117.29286805445,18935.068560525768,69.51723475659762,29.5101001743232,Good
FL000055,Spirit,Domestic,DEN,ATL,Economy,Travel Agent,Business,B777,Afternoon,1181.1270434741439,170.45487951275743,25.544632088150255,120,170,10.813972611830462,3475.5223504478395,6,5042.995719412122,42,18,None,3.596243451694707,1,0,2024,8,Tue,70.58823529411765,20480.13017361904,10902.156858272225,46.7671505705781,17.339481207185965,Good
FL000056,JetBlue,Domestic,PHL,DTW,Economy,Website,Frequent Flyer,B757,Morning,1612.6473735124503,288.29744903624874,24.914858536947815,125,183,3.3920898407327362,5261.7359322346065,6,4220.552298031428,70,26,None,4.259504056230121,1,0,2024,11,Sun,68.30601092896174,36062.09598806804,16446.396573352646,54.394229944941884,22.362046768800088,Excellent
FL000057,Frontier,Domestic,PHL,MSP,Economy,Website,Leisure,A321,Afternoon,1145.68900123801,222.13417935613867,9.667095959863515,188,240,12.013208200364083,3555.6637390657693,5,7299.1614893532105,6,31,None,2.7580081784110018,1,0,2024,10,Tue,78.33333333333333,41770.89281491393,10465.703025935092,74.94498604013941,36.459189858484365,Good
FL000058,JetBlue,International,FLL,ORD,Economy,Travel Agent,Business,B787,Morning,3849.4956391580176,627.6531451765171,1.790750483180323,303,320,12.516150563691644,12101.449925170735,9,12444.758508729554,12,59,Silver,3.3730814561507088,1,0,2024,12,Mon,94.6875,190180.69373896785,36937.53054677924,80.57766547140805,49.40405485965564,Good
FL000059,Spirit,Regional,ATL,MCO,Business,Travel Agent,Group,B737,Evening,624.8674139520645,126.66106141949834,14.981079627302593,53,94,10.70990852698209,2068.2847180307153,4,2278.2754173099293,10,38,Gold,3.6120006241359737,1,0,2023,10,Sat,56.38297872340425,6728.017334860714,6032.951524792502,10.330915862341513,10.767111845868861,Good
FL000060,Spirit,Regional,SEA,LAX,Economy,Airport,Leisure,B777,Evening,568.8216534673062,75.0,29.02398904771767,63,74,41.126903389121736,1638.2535726798797,6,2243.963655892946,19,42,None,1.6293647525441641,0,0,2025,6,Fri,85.13513513513513,4754.023989047718,5187.5650195317685,-9.11945399271941,8.357670563469437,Poor
FL000061,Delta,Regional,MIA,DEN,Economy,Website,Frequent Flyer,B777,Afternoon,523.3553958935266,130.9726623702905,9.360971773927526,62,118,2.581789513456939,1532.4890483615604,5,1668.1841072824416,15,32,None,4.743322056925497,1,0,2024,5,Tue,52.54237288135594,8129.666038731938,4500.7456719904785,44.63800049660462,15.533738836975452,Excellent
FL000062,JetBlue,Domestic,BOS,BWI,Economy,Website,Leisure,B787,Morning,1675.1497374092874,337.0669376981029,26.871252302429024,231,292,13.041133866091801,5075.636342257336,4,9622.663075916424,47,56,None,2.8992929085853705,1,0,2024,8,Fri,79.1095890410959,77889.33386056419,15025.034903197522,80.70976581967562,46.49693822656379,Good
FL000063,JetBlue,Regional,DTW,DEN,Economy,Website,Leisure,B757,Morning,600.0576720546044,144.46563973110696,0.14345691243711037,62,76,11.20126651132633,1969.58482089087,5,2620.187270212346,32,18,Gold,4.739104377921711,1,0,2023,2,Thu,81.57894736842105,8957.013120241068,6188.919787234653,30.904200941171727,14.92692042345222,Excellent
FL000064,United,Domestic,LAS,SEA,Premium Economy,Website,Leisure,A330,Morning,1031.7323940274398,200.41712414890878,61.58708950104552,140,173,24.202725379384038,3100.0671036591298,7,3700.583242144485,33,23,None,1.9902102212811423,0,0,2025,4,Tue,80.92485549132948,28119.984470348274,9396.211656154113,66.5852886012005,27.25511443968522,Poor
FL000065,Delta,Domestic,BWI,ORD,Economy,Website,Business,B737,Afternoon,3550.1719694357666,624.6235592066135,15.710536973790672,232,291,43.46543193445775,11952.071765763463,7,8906.65682171728,24,26,Silver,3.921882659017778,0,0,2025,5,Wed,79.72508591065292,144928.37627290812,35728.61994267751,75.34739513302864,40.822917177147836,Good
FL000066,JetBlue,Domestic,DFW,SEA,Economy,Website,Frequent Flyer,A320,Morning,1363.6732953391413,265.11167870560286,18.315348200793373,226,278,3.9979639883216773,4317.365305311312,6,6220.257411049385,4,33,Silver,4.9177307271762185,1,1,2023,12,Thu,81.29496402877699,59933.554735667036,13521.876436144728,77.43855425265184,43.95008316178968,Excellent
FL000067,American,Domestic,LGA,BOS,Economy,Mobile App,Frequent Flyer,A350,Morning,1933.4122430357584,390.0417644126014,15.28650880333322,160,215,5.807875884296671,5998.891609392437,5,5091.788955840252,9,55,Gold,2.6757642332057974,1,0,2024,9,Wed,74.4186046511628,62421.968814819564,17526.098255082336,71.92318892235666,32.285907488000255,Good
FL000068,American,Regional,PHL,LAS,Economy,Website,Leisure,B757,Afternoon,436.37242018829346,164.08002828206978,16.415605068187183,106,121,28.41728493512563,1236.8669203161692,7,3469.3953378459537,30,27,Gold,4.696159557537686,0,0,2024,8,Fri,87.60330578512396,17408.898602967583,3860.4835160332036,77.82465390788632,39.89458956974342,Good
FL000069,American,Domestic,PHL,MIA,Economy,Mobile App,Business,B777,Evening,1632.9666274229837,270.3571201303228,14.10521716511736,128,192,3.606685926288326,5018.432296506726,7,3269.12277626794,8,27,None,3.5276560113639555,1,0,2025,11,Wed,66.66666666666666,34619.81659384644,14775.477100967184,57.320752809552786,21.200565897957535,Good
FL000070,Southwest,Regional,SFO,ORD,Economy,Mobile App,Business,A330,Morning,593.0412247097479,98.52287870532581,90.34127187216929,55,103,,1917.3588416575958,5,2392.300098640083,2,25,Gold,2.5540312983638387,1,0,2024,9,Mon,53.398058252427184,5509.0996006650885,5492.3797169246445,0.30349576069427814,9.289572749957486,Good
FL000071,United,Regional,DFW,LAX,Premium Economy,Call Center,Leisure,B737,Morning,550.2305470042417,111.85709212462905,20.920923378463176,64,78,34.3916378219424,1791.8274388575871,7,2059.752211884552,44,28,Silver,3.6544474176484503,0,0,2025,1,Thu,82.05128205128204,7179.774819354722,5493.275216459809,23.48958909335943,13.048666342581983,Good
FL000072,American,Regional,ORD,MSP,Economy,Travel Agent,Business,B757,Night,654.4421834677147,134.83105694684642,41.120606092732835,90,141,15.054156319464093,2079.1490209837875,5,2504.4125849181805,61,25,None,3.6147671909206966,0,0,2024,8,Thu,63.829787234042556,12175.91573130891,6379.53531516331,47.605293466682774,18.605028891615724,Good
FL000073,American,International,PHL,ORD,Economy,Mobile App,Leisure,B787,Morning,1285.856148253862,293.68092226452427,14.987585220352493,268,280,4.419242787839207,4302.814754808985,13,8299.948438795323,23,52,None,1.7317073425814988,1,0,2024,9,Tue,95.71428571428572,78721.47475211286,13746.985947625872,82.53718443294673,61.221058715637255,Good
FL000074,Alaska,Regional,JFK,BOS,Economy,Airport,Business,A350,Morning,665.6327656388974,188.4961705223254,6.543117649954725,115,192,4.815239037048715,2031.6680571011368,6,3728.032634126179,6,29,Silver,3.254145832296146,1,0,2024,8,Thu,59.895833333333336,21683.602727717374,6112.798550447528,71.80911941983811,32.57592451432991,Good
FL000075,Hawaiian,Regional,JFK,SEA,Business,Website,Group,A320,Afternoon,468.2873021978848,116.16454824633912,56.60076440093345,75,106,32.29696999926586,1605.4421696657632,4,2761.446521747506,7,27,Gold,4.7084180735201695,0,0,2025,10,Sun,70.75471698113208,8768.941882876368,5026.514179471709,42.6782131001771,18.72555980424783,Good
FL000076,United,International,ORD,FLL,Economy,Website,Leisure,B757,Night,1389.4668654276256,247.16474161525193,25.71889744577635,375,387,10.15623756031238,4824.818607597377,8,13764.179096318194,25,51,None,4.173133414790576,1,0,2025,11,Sun,96.89922480620154,92712.49700316525,15360.702379053591,83.4318965883001,66.72523059744346,Excellent
FL000077,JetBlue,International,JFK,BWI,Economy,Airport,Leisure,A350,Afternoon,2456.934368191439,395.79879685096944,9.394929358145237,358,422,29.32266861433115,6976.995994406909,10,11151.932980408797,13,52,None,2.699402552687408,0,0,2025,1,Thu,84.83412322274881,141705.3642020052,21241.01339007353,85.01043802421351,57.67568154712867,Poor
FL000078,Frontier,Domestic,PHL,BWI,Economy,Mobile App,Frequent Flyer,B757,Evening,1065.7755011842785,220.74793977557297,14.041847528303517,128,172,4.751959375987875,3250.6675432715388,5,5443.587542689468,4,44,Gold,3.7536695768234107,1,0,2024,10,Wed,74.4186046511628,28269.778138801645,10051.07724609348,64.44585735075901,26.5250778493112,Good
FL000079,Alaska,Regional,IAH,JFK,Economy,Call Center,Leisure,A320,Morning,383.12698532590025,89.94507870901005,3.686212024556454,74,134,13.010516712568819,1300.0114001156055,5,2510.4531373230693,13,68,None,3.3878107787725864,1,1,2025,2,Mon,55.223880597014926,6659.622036491301,3917.8743593180316,41.16971897428868,17.382283920372796,Good
FL000080,Delta,Regional,DFW,PHL,Economy,Website,Group,A350,Evening,637.8208150360475,174.12626908463565,2.210733917940174,73,145,22.32402660666335,2008.2551688775966,5,1875.4755961780372,28,38,None,2.056507240162121,0,0,2024,4,Sat,50.3448275862069,12713.428377096343,5940.532030161772,53.27356355848251,19.932601880322487,Poor
