origin,year,month,day,hour,temp,dewp,time_hour
EWR,2013,3,2,13,37.94,19.04,2013-01-04T18:00:00Z
EWR,2013,9,6,14,37.94,19.94,2013-01-04T19:00:00Z
EWR,2013,10,18,15,37.94,19.94,2013-01-04T20:00:00Z
EWR,2013,3,17,16,37.04,19.94,2013-01-04T21:00:00Z
EWR,2013,5,6,17,35.96,21.02,2013-01-04T22:00:00Z
EWR,2013,5,23,18,35.06,21.02,2013-01-04T23:00:00Z
EWR,2013,6,8,19,35.06,21.02,2013-01-05T00:00:00Z
EWR,2013,4,12,20,35.06,19.94,2013-01-05T01:00:00Z
EWR,2013,2,8,21,35.06,19.94,2013-01-05T02:00:00Z
EWR,2013,7,21,22,33.98,19.04,2013-01-05T03:00:00Z
EWR,2013,10,5,23,33.08,19.04,2013-01-05T04:00:00Z
EWR,2013,12,14,0,33.08,17.96,2013-01-05T05:00:00Z
EWR,2013,3,21,1,33.08,17.06,2013-01-05T06:00:00Z
EWR,2013,9,4,2,32,17.06,2013-01-05T07:00:00Z
EWR,2013,9,20,3,32,17.06,2013-01-05T08:00:00Z
EWR,2013,5,4,4,32,17.06,2013-01-05T09:00:00Z
EWR,2013,6,16,5,32,17.06,2013-01-05T10:00:00Z
EWR,2013,7,25,6,33.08,17.96,2013-01-05T11:00:00Z
EWR,2013,7,20,7,32,19.04,2013-01-05T12:00:00Z
EWR,2013,1,15,8,35.06,19.94,2013-01-05T13:00:00Z
EWR,2013,2,12,9,37.94,21.02,2013-01-05T14:00:00Z
EWR,2013,3,8,10,41,21.02,2013-01-05T15:00:00Z
EWR,2013,10,28,11,42.08,19.94,2013-01-05T16:00:00Z
EWR,2013,8,12,12,42.98,19.94,2013-01-05T17:00:00Z
EWR,2013,11,23,13,44.06,19.94,2013-01-05T18:00:00Z
EWR,2013,2,3,14,44.06,19.94,2013-01-05T19:00:00Z
EWR,2013,6,13,15,42.98,19.04,2013-01-05T20:00:00Z
EWR,2013,10,14,16,41,19.94,2013-01-05T21:00:00Z
EWR,2013,5,24,17,39.92,19.94,2013-01-05T22:00:00Z
EWR,2013,4,3,18,39.02,21.92,2013-01-05T23:00:00Z
EWR,2013,9,29,19,35.96,21.92,2013-01-06T00:00:00Z
EWR,2013,11,19,20,33.98,21.92,2013-01-06T01:00:00Z
EWR,2013,10,12,21,33.08,23,2013-01-06T02:00:00Z
EWR,2013,7,29,22,33.08,23,2013-01-06T03:00:00Z
EWR,2013,12,13,23,32,23,2013-01-06T04:00:00Z
EWR,2013,4,23,0,33.98,23,2013-01-06T05:00:00Z
EWR,2013,7,24,1,33.98,23,2013-01-06T06:00:00Z
EWR,2013,5,24,2,33.98,23,2013-01-06T07:00:00Z
EWR,2013,12,25,3,33.98,24.08,2013-01-06T08:00:00Z
EWR,2013,4,3,4,33.08,28.04,2013-01-06T09:00:00Z
EWR,2013,4,7,5,33.8,30.2,2013-01-06T10:00:00Z
EWR,2013,2,23,6,33.98,30.92,2013-01-06T11:00:00Z
EWR,2013,12,25,7,35.06,32,2013-01-06T12:00:00Z
EWR,2013,10,4,8,35.96,32,2013-01-06T13:00:00Z
EWR,2013,4,3,9,37.4,32,2013-01-06T14:00:00Z
EWR,2013,11,22,10,39.92,30.92,2013-01-06T15:00:00Z
EWR,2013,4,29,11,42.98,30.02,2013-01-06T16:00:00Z
EWR,2013,10,25,12,46.04,28.94,2013-01-06T17:00:00Z
EWR,2013,12,21,13,46.94,26.96,2013-01-06T18:00:00Z
EWR,2013,10,14,14,48.02,24.98,2013-01-06T19:00:00Z
EWR,2013,9,23,15,46.94,24.08,2013-01-06T20:00:00Z
EWR,2013,6,9,16,44.96,26.06,2013-01-06T21:00:00Z
EWR,2013,5,17,17,44.06,26.06,2013-01-06T22:00:00Z
EWR,2013,9,8,18,44.06,24.98,2013-01-06T23:00:00Z
EWR,2013,7,14,19,42.98,24.98,2013-01-07T00:00:00Z
EWR,2013,5,14,20,42.98,26.06,2013-01-07T01:00:00Z
EWR,2013,11,11,21,42.08,26.06,2013-01-07T02:00:00Z
EWR,2013,6,5,22,41,26.96,2013-01-07T03:00:00Z
EWR,2013,10,27,23,39.92,26.96,2013-01-07T04:00:00Z
EWR,2013,10,2,0,39.92,26.96,2013-01-07T05:00:00Z
EWR,2013,11,10,1,37.94,26.96,2013-01-07T06:00:00Z
EWR,2013,8,21,2,35.96,26.96,2013-01-07T07:00:00Z
EWR,2013,8,21,3,37.04,28.04,2013-01-07T08:00:00Z
EWR,2013,3,15,4,35.96,28.04,2013-01-07T09:00:00Z
EWR,2013,1,4,5,35.06,26.96,2013-01-07T10:00:00Z
