,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,TAIL_NUM,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DEL15,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DEL15,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE
2416,2016,1,3,28,1,DL,N591NW,1397,13487.0,MSP,14747.0,SEA,1444,1443.0,-1.0,0.0,1625,1611.0,-14.0,0.0,0.0,0.0,221.0,208.0,1399.0
3670,2016,2,5,6,5,DL,N588NW,1107,10397.0,ATL,14747.0,SEA,1935,1930.0,-5.0,0.0,2159,2203.0,4.0,0.0,0.0,0.0,324.0,333.0,2182.0
4838,2016,2,6,15,3,DL,N809DN,2827,10397.0,ATL,13487.0,MSP,1933,1948.0,15.0,1.0,2116,2134.0,18.0,1.0,0.0,0.0,163.0,166.0,907.0
3090,2016,2,4,22,5,DL,N592NW,946,11433.0,DTW,13487.0,MSP,1530,1529.0,-1.0,0.0,1632,1610.0,-22.0,0.0,0.0,0.0,122.0,101.0,528.0
1546,2016,1,2,29,1,DL,N960DN,668,13487.0,MSP,10397.0,ATL,1305,1300.0,-5.0,0.0,1640,1613.0,-27.0,0.0,0.0,0.0,155.0,133.0,907.0
1132,2016,1,2,13,6,DL,N129DL,630,11433.0,DTW,10397.0,ATL,2038,2036.0,-2.0,0.0,2254,2228.0,-26.0,0.0,0.0,0.0,136.0,112.0,594.0
4703,2016,2,6,13,1,DL,N6705Y,17,10397.0,ATL,14747.0,SEA,1215,1215.0,0.0,0.0,1437,1425.0,-12.0,0.0,0.0,0.0,322.0,310.0,2182.0
4494,2016,2,6,6,1,DL,N367NW,86,13487.0,MSP,11433.0,DTW,1545,1545.0,0.0,0.0,1824,1815.0,-9.0,0.0,0.0,0.0,99.0,90.0,528.0
2775,2016,2,4,11,1,DL,N914DL,2005,11433.0,DTW,10397.0,ATL,1209,1218.0,9.0,0.0,1420,1416.0,-4.0,0.0,0.0,0.0,131.0,118.0,594.0
3185,2016,2,4,26,2,DL,N825DN,1228,14747.0,SEA,10397.0,ATL,2237,2232.0,-5.0,0.0,618,627.0,9.0,0.0,0.0,0.0,281.0,295.0,2182.0
1213,2016,1,2,17,3,DL,N378DA,460,12478.0,JFK,14747.0,SEA,1859,1916.0,17.0,1.0,2232,2237.0,5.0,0.0,0.0,0.0,393.0,381.0,2422.0
3289,2016,2,4,30,6,DL,N696DL,997,10397.0,ATL,12478.0,JFK,1030,1051.0,21.0,1.0,1249,1255.0,6.0,0.0,0.0,0.0,139.0,124.0,760.0
763,2016,1,1,4,1,DL,N993DL,1975,13487.0,MSP,10397.0,ATL,1129,1125.0,-4.0,0.0,1500,1437.0,-23.0,0.0,0.0,0.0,151.0,132.0,907.0
1216,2016,1,2,17,3,DL,N752AT,733,11433.0,DTW,14747.0,SEA,1520,1521.0,1.0,0.0,1730,1735.0,5.0,0.0,0.0,0.0,310.0,314.0,1927.0
348,2016,1,1,17,7,DL,N342NB,478,10397.0,ATL,12478.0,JFK,1205,1216.0,11.0,0.0,1421,1409.0,-12.0,0.0,0.0,0.0,136.0,113.0,760.0
2982,2016,2,4,19,2,DL,N920DL,1549,13487.0,MSP,10397.0,ATL,1735,1729.0,-6.0,0.0,2114,2101.0,-13.0,0.0,0.0,0.0,159.0,152.0,907.0
2916,2016,2,4,17,7,DL,N3767,785,13487.0,MSP,10397.0,ATL,1316,1314.0,-2.0,0.0,1650,1628.0,-22.0,0.0,0.0,0.0,154.0,134.0,907.0
2971,2016,2,4,19,2,DL,N942DN,2324,11433.0,DTW,10397.0,ATL,959,954.0,-5.0,0.0,1204,1145.0,-19.0,0.0,0.0,0.0,125.0,111.0,594.0
1355,2016,1,2,21,7,DL,N685DA,1893,11433.0,DTW,10397.0,ATL,825,825.0,0.0,0.0,1040,1021.0,-19.0,0.0,0.0,0.0,135.0,116.0,594.0
2330,2016,1,3,25,5,DL,N959AT,858,13487.0,MSP,12478.0,JFK,905,1129.0,144.0,1.0,1250,1457.0,127.0,1.0,0.0,0.0,165.0,148.0,1029.0
1513,2016,1,2,26,5,DL,N6700,2789,12478.0,JFK,14747.0,SEA,1859,1851.0,-8.0,0.0,2232,2152.0,-40.0,0.0,0.0,0.0,393.0,361.0,2422.0
2181,2016,1,3,20,7,DL,N989AT,423,12478.0,JFK,10397.0,ATL,1330,1337.0,7.0,0.0,1607,1601.0,-6.0,0.0,0.0,0.0,157.0,144.0,760.0
3347,2016,2,4,29,5,DL,N966DL,2074,10397.0,ATL,13487.0,MSP,1750,1748.0,-2.0,0.0,1936,1937.0,1.0,0.0,0.0,0.0,166.0,169.0,907.0
1660,2016,1,3,1,2,DL,N347NB,2028,13487.0,MSP,11433.0,DTW,1020,1017.0,-3.0,0.0,1305,1256.0,-9.0,0.0,0.0,0.0,105.0,99.0,528.0
4377,2016,2,6,3,5,DL,N841DN,1598,14747.0,SEA,10397.0,ATL,600,600.0,0.0,0.0,1400,1325.0,-35.0,0.0,0.0,0.0,300.0,265.0,2182.0
804,2016,1,1,13,3,DL,N918DH,945,11433.0,DTW,10397.0,ATL,1345,1350.0,5.0,0.0,1558,1538.0,-20.0,0.0,0.0,0.0,133.0,108.0,594.0
1441,2016,1,2,26,5,DL,N332NB,774,13487.0,MSP,11433.0,DTW,2000,1955.0,-5.0,0.0,2244,2229.0,-15.0,0.0,0.0,0.0,104.0,94.0,528.0
1094,2016,1,2,11,4,DL,N824DN,2134,14747.0,SEA,10397.0,ATL,1450,1621.0,91.0,1.0,2232,2332.0,60.0,1.0,0.0,0.0,282.0,251.0,2182.0
3988,2016,2,5,19,4,DL,N317US,2804,11433.0,DTW,13487.0,MSP,1950,1944.0,-6.0,0.0,2048,2022.0,-26.0,0.0,0.0,0.0,118.0,98.0,528.0
3705,2016,2,5,10,2,DL,N373DA,1333,13487.0,MSP,11433.0,DTW,1311,1306.0,-5.0,0.0,1559,1543.0,-16.0,0.0,0.0,0.0,108.0,97.0,528.0
3743,2016,2,5,12,4,DL,N169DZ,420,10397.0,ATL,12478.0,JFK,1215,1229.0,14.0,0.0,1433,1439.0,6.0,0.0,0.0,0.0,138.0,130.0,760.0
3271,2016,2,4,29,5,DL,N709TW,485,12478.0,JFK,14747.0,SEA,1045,1041.0,-4.0,0.0,1359,1307.0,-52.0,0.0,0.0,0.0,374.0,326.0,2422.0
1453,2016,1,2,25,4,DL,N693DL,2430,14747.0,SEA,10397.0,ATL,2312,2311.0,-1.0,0.0,645,637.0,-8.0,0.0,0.0,0.0,273.0,266.0,2182.0
2513,2016,1,3,27,7,DL,N983DL,1290,10397.0,ATL,11433.0,DTW,2215,2235.0,20.0,1.0,12,15.0,3.0,0.0,0.0,0.0,117.0,100.0,594.0
2000,2016,1,3,12,6,DL,N851DN,2283,11433.0,DTW,10397.0,ATL,600,556.0,-4.0,0.0,804,754.0,-10.0,0.0,0.0,0.0,124.0,118.0,594.0
4133,2016,2,5,25,3,DL,N396DA,1401,14747.0,SEA,11433.0,DTW,545,538.0,-7.0,0.0,1317,1242.0,-35.0,0.0,0.0,0.0,272.0,244.0,1927.0
4077,2016,2,5,23,1,DL,N373DA,1605,10397.0,ATL,11433.0,DTW,2055,2055.0,0.0,0.0,2254,2250.0,-4.0,0.0,0.0,0.0,119.0,115.0,594.0
988,2016,1,2,7,7,DL,N1613B,2418,14747.0,SEA,10397.0,ATL,1055,1058.0,3.0,0.0,1837,1815.0,-22.0,0.0,0.0,0.0,282.0,257.0,2182.0
1621,2016,1,2,2,2,DL,N913DE,426,12478.0,JFK,10397.0,ATL,610,609.0,-1.0,0.0,850,1111.0,,,0.0,1.0,160.0,,760.0
4198,2016,2,5,28,6,DL,N940DN,1204,13487.0,MSP,10397.0,ATL,1002,958.0,-4.0,0.0,1333,1324.0,-9.0,0.0,0.0,0.0,151.0,146.0,907.0
1412,2016,1,2,23,2,DL,N915AT,464,12478.0,JFK,13487.0,MSP,1125,1126.0,1.0,0.0,1345,1325.0,-20.0,0.0,0.0,0.0,200.0,179.0,1029.0
608,2016,1,1,26,2,DL,N3742C,1145,10397.0,ATL,11433.0,DTW,1620,1619.0,-1.0,0.0,1824,1757.0,-27.0,0.0,0.0,0.0,124.0,98.0,594.0
1772,2016,1,3,3,4,DL,N811DZ,2644,10397.0,ATL,13487.0,MSP,1500,1459.0,-1.0,0.0,1638,1642.0,4.0,0.0,0.0,0.0,158.0,163.0,907.0
3283,2016,2,4,30,6,DL,N942DL,478,10397.0,ATL,12478.0,JFK,1745,1742.0,-3.0,0.0,2014,1957.0,-17.0,0.0,0.0,0.0,149.0,135.0,760.0
3635,2016,2,5,7,6,DL,N3765,2283,11433.0,DTW,10397.0,ATL,600,555.0,-5.0,0.0,759,725.0,-34.0,0.0,0.0,0.0,119.0,90.0,594.0
4828,2016,2,6,16,4,DL,N582NW,2221,13487.0,MSP,14747.0,SEA,900,900.0,0.0,0.0,1045,1029.0,-16.0,0.0,0.0,0.0,225.0,209.0,1399.0
3521,2016,2,5,3,2,DL,N838DN,1401,14747.0,SEA,11433.0,DTW,545,541.0,-4.0,0.0,1317,1252.0,-25.0,0.0,0.0,0.0,272.0,251.0,1927.0
2717,2016,2,4,11,1,DL,N969DL,783,10397.0,ATL,13487.0,MSP,1050,1045.0,-5.0,0.0,1230,1213.0,-17.0,0.0,0.0,0.0,160.0,148.0,907.0
4079,2016,2,5,22,7,DL,N803DN,1650,11433.0,DTW,13487.0,MSP,720,716.0,-4.0,0.0,818,754.0,-24.0,0.0,0.0,0.0,118.0,98.0,528.0
2334,2016,1,3,24,4,DL,N813DN,2188,14747.0,SEA,10397.0,ATL,2300,2354.0,54.0,1.0,642,723.0,41.0,1.0,0.0,0.0,282.0,269.0,2182.0
4437,2016,2,6,3,5,DL,N950AT,2802,12478.0,JFK,13487.0,MSP,1120,1113.0,-7.0,0.0,1333,1318.0,-15.0,0.0,0.0,0.0,193.0,185.0,1029.0
4115,2016,2,5,23,1,DL,N856DN,1401,14747.0,SEA,11433.0,DTW,545,543.0,-2.0,0.0,1317,1248.0,-29.0,0.0,0.0,0.0,272.0,245.0,1927.0
2755,2016,2,4,11,1,DL,N951DL,87,11433.0,DTW,13487.0,MSP,1725,1719.0,-6.0,0.0,1827,1822.0,-5.0,0.0,0.0,0.0,122.0,123.0,528.0
636,2016,1,1,26,2,DL,N808DN,2134,14747.0,SEA,10397.0,ATL,1450,1446.0,-4.0,0.0,2232,2214.0,-18.0,0.0,0.0,0.0,282.0,268.0,2182.0
503,2016,1,1,23,6,DL,N940AT,438,12478.0,JFK,10397.0,ATL,805,,,,1042,,,,1.0,0.0,157.0,,760.0
3420,2016,2,4,3,7,DL,N669DN,460,12478.0,JFK,14747.0,SEA,1910,2146.0,156.0,1.0,2231,103.0,152.0,1.0,0.0,0.0,381.0,377.0,2422.0
3944,2016,2,5,19,4,DL,N661DN,1187,13487.0,MSP,14747.0,SEA,1735,1735.0,0.0,0.0,1920,1857.0,-23.0,0.0,0.0,0.0,225.0,202.0,1399.0
2943,2016,2,4,18,1,DL,N624AG,2413,14747.0,SEA,12478.0,JFK,1127,1132.0,5.0,0.0,1950,2006.0,16.0,1.0,0.0,0.0,323.0,334.0,2422.0
3019,2016,2,4,21,4,DL,N394DA,822,14747.0,SEA,11433.0,DTW,600,557.0,-3.0,0.0,1315,1318.0,3.0,0.0,0.0,0.0,255.0,261.0,1927.0
4589,2016,2,6,8,3,DL,N689DL,1991,13487.0,MSP,10397.0,ATL,525,522.0,-3.0,0.0,848,828.0,-20.0,0.0,0.0,0.0,143.0,126.0,907.0
2671,2016,2,4,9,6,DL,N949AT,436,12478.0,JFK,13487.0,MSP,1120,1115.0,-5.0,0.0,1334,1329.0,-5.0,0.0,0.0,0.0,194.0,194.0,1029.0
3111,2016,2,4,23,6,DL,N393DA,1340,14747.0,SEA,13487.0,MSP,107,58.0,-9.0,0.0,612,607.0,-5.0,0.0,0.0,0.0,185.0,189.0,1399.0
3144,2016,2,4,24,7,DL,N955DN,2554,13487.0,MSP,10397.0,ATL,722,719.0,-3.0,0.0,1055,1035.0,-20.0,0.0,0.0,0.0,153.0,136.0,907.0
4102,2016,2,5,24,2,DL,N806DN,1956,11433.0,DTW,14747.0,SEA,1218,1216.0,-2.0,0.0,1415,1405.0,-10.0,0.0,0.0,0.0,297.0,289.0,1927.0
874,2016,1,2,3,3,DL,N318US,514,10397.0,ATL,13487.0,MSP,1205,1204.0,-1.0,0.0,1353,1320.0,-33.0,0.0,0.0,0.0,168.0,136.0,907.0
200,2016,1,1,10,7,DL,N313US,1734,13487.0,MSP,11433.0,DTW,1152,1242.0,50.0,1.0,1436,1521.0,45.0,1.0,0.0,0.0,104.0,99.0,528.0
4700,2016,2,6,12,7,DL,N935DN,2580,10397.0,ATL,13487.0,MSP,2205,2211.0,6.0,0.0,2344,2325.0,-19.0,0.0,0.0,0.0,159.0,134.0,907.0
3041,2016,2,4,22,5,DL,N848DN,525,10397.0,ATL,14747.0,SEA,2055,2054.0,-1.0,0.0,2339,2253.0,-46.0,0.0,0.0,0.0,344.0,299.0,2182.0
3586,2016,2,5,5,4,DL,N371NW,1096,11433.0,DTW,13487.0,MSP,1200,1159.0,-1.0,0.0,1252,1238.0,-14.0,0.0,0.0,0.0,112.0,99.0,528.0
2998,2016,2,4,20,3,DL,N947DL,1893,11433.0,DTW,10397.0,ATL,835,831.0,-4.0,0.0,1043,1014.0,-29.0,0.0,0.0,0.0,128.0,103.0,594.0
3534,2016,2,5,4,3,DL,N929AT,2369,13487.0,MSP,12478.0,JFK,900,856.0,-4.0,0.0,1247,1231.0,-16.0,0.0,0.0,0.0,167.0,155.0,1029.0
4756,2016,2,6,14,2,DL,N836DN,630,11433.0,DTW,10397.0,ATL,1750,1746.0,-4.0,0.0,1950,1947.0,-3.0,0.0,0.0,0.0,120.0,121.0,594.0
79,2016,1,1,5,2,DL,N358NB,1476,11433.0,DTW,13487.0,MSP,1350,1346.0,-4.0,0.0,1449,1427.0,-22.0,0.0,0.0,0.0,119.0,101.0,528.0
4092,2016,2,5,24,2,DL,N6700,588,14747.0,SEA,13487.0,MSP,1110,1110.0,0.0,0.0,1642,1624.0,-18.0,0.0,0.0,0.0,212.0,194.0,1399.0
349,2016,1,1,17,7,DL,N3750D,588,14747.0,SEA,13487.0,MSP,1112,1111.0,-1.0,0.0,1632,1629.0,-3.0,0.0,0.0,0.0,200.0,198.0,1399.0
325,2016,1,1,16,6,DL,N6703D,325,11433.0,DTW,10397.0,ATL,1520,1521.0,1.0,0.0,1731,1719.0,-12.0,0.0,0.0,0.0,131.0,118.0,594.0
3093,2016,2,4,22,5,DL,N536US,1187,13487.0,MSP,14747.0,SEA,1737,1733.0,-4.0,0.0,1925,1903.0,-22.0,0.0,0.0,0.0,228.0,210.0,1399.0
280,2016,1,1,14,4,DL,N361NB,780,13487.0,MSP,11433.0,DTW,1020,1015.0,-5.0,0.0,1304,1250.0,-14.0,0.0,0.0,0.0,104.0,95.0,528.0
694,2016,1,1,29,5,DL,N899AT,2149,12478.0,JFK,10397.0,ATL,1930,1930.0,0.0,0.0,2211,2143.0,-28.0,0.0,0.0,0.0,161.0,133.0,760.0
4640,2016,2,6,10,5,DL,N958DN,748,10397.0,ATL,11433.0,DTW,1100,1059.0,-1.0,0.0,1301,1256.0,-5.0,0.0,0.0,0.0,121.0,117.0,594.0
3087,2016,2,4,24,7,DL,N543US,733,11433.0,DTW,14747.0,SEA,1520,1520.0,0.0,0.0,1721,1658.0,-23.0,0.0,0.0,0.0,301.0,278.0,1927.0
1642,2016,1,2,1,1,DL,N3750D,2536,13487.0,MSP,14747.0,SEA,1933,1934.0,1.0,0.0,2125,2112.0,-13.0,0.0,0.0,0.0,232.0,218.0,1399.0
927,2016,1,2,6,6,DL,N143DA,282,14747.0,SEA,11433.0,DTW,1151,1205.0,14.0,0.0,1905,1903.0,-2.0,0.0,0.0,0.0,254.0,238.0,1927.0
2427,2016,1,3,27,7,DL,N348NB,2032,13487.0,MSP,12478.0,JFK,655,649.0,-6.0,0.0,1037,1009.0,-28.0,0.0,0.0,0.0,162.0,140.0,1029.0
4863,2016,2,6,17,5,DL,N931DL,902,10397.0,ATL,11433.0,DTW,1501,1455.0,-6.0,0.0,1709,1714.0,5.0,0.0,0.0,0.0,128.0,139.0,594.0
3206,2016,2,4,28,4,DL,N1607B,425,12478.0,JFK,10397.0,ATL,1550,1602.0,12.0,0.0,1834,1816.0,-18.0,0.0,0.0,0.0,164.0,134.0,760.0
2968,2016,2,4,19,2,DL,N37700,2017,14747.0,SEA,11433.0,DTW,934,1009.0,35.0,1.0,1645,1727.0,42.0,1.0,0.0,0.0,251.0,258.0,1927.0
1524,2016,1,2,28,7,DL,N367NW,1166,11433.0,DTW,10397.0,ATL,1900,1857.0,-3.0,0.0,2118,2042.0,-36.0,0.0,0.0,0.0,138.0,105.0,594.0
4868,2016,2,6,18,6,DL,N934DL,220,12478.0,JFK,10397.0,ATL,1925,1926.0,1.0,0.0,2212,2136.0,-36.0,0.0,0.0,0.0,167.0,130.0,760.0
1687,2016,1,3,1,2,DL,N584NW,1267,10397.0,ATL,11433.0,DTW,1735,1733.0,-2.0,0.0,1935,2013.0,38.0,1.0,0.0,0.0,120.0,160.0,594.0
871,2016,1,2,3,3,DL,N618DL,87,11433.0,DTW,13487.0,MSP,1540,1536.0,-4.0,0.0,1649,1624.0,-25.0,0.0,0.0,0.0,129.0,108.0,528.0
610,2016,1,1,26,2,DL,N381DN,1397,13487.0,MSP,14747.0,SEA,1415,1427.0,12.0,0.0,1603,1558.0,-5.0,0.0,0.0,0.0,228.0,211.0,1399.0
4759,2016,2,6,14,2,DL,N909DA,782,11433.0,DTW,13487.0,MSP,1000,958.0,-2.0,0.0,1045,1037.0,-8.0,0.0,0.0,0.0,105.0,99.0,528.0
3882,2016,2,5,16,1,DL,N693DL,1520,10397.0,ATL,13487.0,MSP,2216,2221.0,5.0,0.0,2351,2346.0,-5.0,0.0,0.0,0.0,155.0,145.0,907.0
3741,2016,2,5,12,4,DL,N317US,86,13487.0,MSP,11433.0,DTW,1545,1542.0,-3.0,0.0,1824,1820.0,-4.0,0.0,0.0,0.0,99.0,98.0,528.0
573,2016,1,1,24,7,DL,N952DL,976,10397.0,ATL,12478.0,JFK,1000,,,,1213,,,,1.0,0.0,133.0,,760.0
3501,2016,2,5,4,3,DL,N919DN,1204,13487.0,MSP,10397.0,ATL,1002,957.0,-5.0,0.0,1335,1259.0,-36.0,0.0,0.0,0.0,153.0,122.0,907.0
219,2016,1,1,11,1,DL,N3749D,1187,13487.0,MSP,14747.0,SEA,1739,1812.0,33.0,1.0,1928,2032.0,64.0,1.0,0.0,0.0,229.0,260.0,1399.0
1273,2016,1,2,18,4,DL,N922DX,2074,10397.0,ATL,13487.0,MSP,1745,1743.0,-2.0,0.0,1935,1935.0,0.0,0.0,0.0,0.0,170.0,172.0,907.0
799,2016,1,1,13,3,DL,N366NB,514,10397.0,ATL,13487.0,MSP,1205,1207.0,2.0,0.0,1352,1353.0,1.0,0.0,0.0,0.0,167.0,166.0,907.0
4922,2016,2,6,19,7,DL,N399DA,491,12478.0,JFK,10397.0,ATL,835,830.0,-5.0,0.0,1117,1109.0,-8.0,0.0,0.0,0.0,162.0,159.0,760.0
2575,2016,2,4,6,3,DL,N703TW,433,12478.0,JFK,10397.0,ATL,610,609.0,-1.0,0.0,844,836.0,-8.0,0.0,0.0,0.0,154.0,147.0,760.0
1915,2016,1,3,10,4,DL,N319NB,1081,13487.0,MSP,11433.0,DTW,1019,1014.0,-5.0,0.0,1259,1300.0,1.0,0.0,0.0,0.0,100.0,106.0,528.0
1512,2016,1,2,26,5,DL,N6708D,2514,10397.0,ATL,11433.0,DTW,2053,2107.0,14.0,0.0,2252,2256.0,4.0,0.0,0.0,0.0,119.0,109.0,594.0
3583,2016,2,5,5,4,DL,N6714Q,853,10397.0,ATL,11433.0,DTW,725,722.0,-3.0,0.0,921,918.0,-3.0,0.0,0.0,0.0,116.0,116.0,594.0
574,2016,1,1,24,7,DL,N547US,1055,11433.0,DTW,13487.0,MSP,1958,2001.0,3.0,0.0,2102,2101.0,-1.0,0.0,0.0,0.0,124.0,120.0,528.0
4012,2016,2,5,21,6,DL,N690DL,1132,10397.0,ATL,13487.0,MSP,1920,1921.0,1.0,0.0,2056,2052.0,-4.0,0.0,0.0,0.0,156.0,151.0,907.0
2940,2016,2,4,18,1,DL,N950DL,220,12478.0,JFK,10397.0,ATL,1925,1924.0,-1.0,0.0,2209,2147.0,-22.0,0.0,0.0,0.0,164.0,143.0,760.0
2794,2016,2,4,13,3,DL,N674DL,2164,11433.0,DTW,12478.0,JFK,1953,1951.0,-2.0,0.0,2154,2138.0,-16.0,0.0,0.0,0.0,121.0,107.0,509.0
3587,2016,2,5,5,4,DL,N685DA,1132,10397.0,ATL,13487.0,MSP,1920,1930.0,10.0,0.0,2059,2103.0,4.0,0.0,0.0,0.0,159.0,153.0,907.0
2682,2016,2,4,8,5,DL,N1612T,2581,10397.0,ATL,14747.0,SEA,955,959.0,4.0,0.0,1231,1235.0,4.0,0.0,0.0,0.0,336.0,336.0,2182.0
501,2016,1,1,23,6,DL,N712TW,427,12478.0,JFK,14747.0,SEA,740,,,,1053,,,,1.0,0.0,373.0,,2422.0
1573,2016,1,2,25,4,DL,N998AT,464,12478.0,JFK,13487.0,MSP,1125,1126.0,1.0,0.0,1345,1310.0,-35.0,0.0,0.0,0.0,200.0,164.0,1029.0
3990,2016,2,5,20,5,DL,N3771K,281,11433.0,DTW,14747.0,SEA,841,837.0,-4.0,0.0,1040,1015.0,-25.0,0.0,0.0,0.0,299.0,278.0,1927.0
2864,2016,2,4,15,5,DL,N709TW,1680,14747.0,SEA,12478.0,JFK,1450,1451.0,1.0,0.0,2305,2307.0,2.0,0.0,0.0,0.0,315.0,316.0,2422.0
881,2016,1,2,3,3,DL,N372NW,1096,11433.0,DTW,13487.0,MSP,1200,1158.0,-2.0,0.0,1302,1242.0,-20.0,0.0,0.0,0.0,122.0,104.0,528.0
1586,2016,1,2,10,3,DL,N816DN,1840,13487.0,MSP,11433.0,DTW,1759,1808.0,9.0,0.0,2044,2039.0,-5.0,0.0,0.0,0.0,105.0,91.0,528.0
1235,2016,1,2,17,3,DL,N802NW,1852,10397.0,ATL,14747.0,SEA,1050,1049.0,-1.0,0.0,1327,1344.0,17.0,1.0,0.0,0.0,337.0,355.0,2182.0
1626,2016,1,2,2,2,DL,N940DN,780,13487.0,MSP,11433.0,DTW,1020,1029.0,9.0,0.0,1305,1303.0,-2.0,0.0,0.0,0.0,105.0,94.0,528.0
3829,2016,2,5,15,7,DL,N327NW,845,10397.0,ATL,12478.0,JFK,1745,1744.0,-1.0,0.0,2015,1946.0,-29.0,0.0,0.0,0.0,150.0,122.0,760.0
3438,2016,2,5,2,1,DL,N820DN,2188,10397.0,ATL,14747.0,SEA,1315,1311.0,-4.0,0.0,1530,1501.0,-29.0,0.0,0.0,0.0,315.0,290.0,2182.0
2695,2016,2,4,10,7,DL,N838DN,902,10397.0,ATL,11433.0,DTW,1455,1505.0,10.0,0.0,1655,1712.0,17.0,1.0,0.0,0.0,120.0,127.0,594.0
