Origin Airport,Origin Airport Name,Origin City Name,Origin Country Name,Origin Region Name,Destination Airport,Destination Airport Name,Destination City Name,Destination Country Name,Destination Region Name,Marketing Airline,Operating Airline,Marketing Airline Name,Operating Airline Name,Code Share,Fleet,Manufacturer,Flight No,Effective Date,Discontinued Date,Departure Time,Arrival Time,Flight Duration (mins),Departure Terminal,Arrival Terminal,Restricted Code,Frequency,Schedule Type,DepCount,Operating Airline   Capacity,Operating Airline   ASM(Nautical)(Millions),Distance (N.Mil)
BRU,BRUSSELS AIRPORT,BRUSSELS,BELGIUM,WESTERN EUROPE,STR,STUTTGART AIRPORT,STUTTGART,GERMANY,WESTERN EUROPE,SN,Q7,Brussels Airlines,SkyBahamas Airlines,NO,733,BOEING,2651,20001101,20001130,7:25,8:35,70,,1, , 12345-- ,AIR,5,745.0,0.17,227.0
LJU,JOZE PUCNIK AIRPORT,LJUBLJANA,SLOVENIA,WESTERN EUROPE,AMS,SCHIPHOL AIRPORT,AMSTERDAM,NETHERLANDS,WESTERN EUROPE,JP,JP,Adria Airways d.o.o.,Adria Airways d.o.o.,NO,CRJ,Bombardier,1678,20001101,20001130,18:30,20:25,115,,, , --3---- ,AIR,1,50.0,0.03,527.0
IAH,GEORGE BUSH INTERCONTINENTAL AIRPORT,HOUSTON,UNITED STATES,NORTH AMERICA,BZE,PHILIP S.W. GOLDSON INTERNATIONAL AIRPORT,BELIZE CITY,BELIZE,CENTRAL AMERICA,CO,CO,Cobaltair Ltd,Cobaltair Ltd,NO,733,BOEING,1231,20001104,20001130,13:15,15:42,147,C,, , -----6- ,AIR,1,124.0,0.11,847.0
CRP,CORPUS CHRISTI INTERNATIONAL AIRPORT,CORPUS CHRISTI,UNITED STATES,NORTH AMERICA,DFW,DALLAS/FT. WORTH INTERNATIONAL AIRPORT,DALLAS FORT WORTH,UNITED STATES,NORTH AMERICA,AA,MQ,American Airlines,Envoy Air Inc.,NO,ERJ,EMBRAER,3570,20010301,20010331,07:00,08:27,87,,A, , 1234567 ,AIR,7,350.0,0.11,315.0
MDW,MIDWAY INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,NORTH AMERICA,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,NORTH AMERICA,WN,WN,Southwest Airlines Co,Southwest Airlines Co,NO,73S,BOEING,544,20001104,20001125,7:40,9:45,65,,M, , -----6- ,AIR,1,122.0,0.02,193.0
DRO,LA PLATA COUNTY AIRPORT,DURANGO,UNITED STATES,NORTH AMERICA,DEN,DENVER INTERNATIONAL AIRPORT,DENVER,UNITED STATES,NORTH AMERICA,UA,ZW,"United Airlines, Inc.",Air Wisconsin Airlines Corporation (AWAC),NO,D38,Dornier,7054,20001101,20001130,19:10,20:15,65,,, ,1234567,AIR,7,203.0,0.05,222.0
REC,GUARARAPES INTERNATIONAL AIRPORT,RECIFE,BRAZIL,SOUTH AMERICA,SSA,LUIS E. MAGALHAES AIRPORT,SALVADOR,BRAZIL,SOUTH AMERICA,RG,RG,Rotana Jet Aviation dba Rotana Jet,Rotana Jet Aviation dba Rotana Jet,NO,733,BOEING,2323,20010301,20010331,09:05,10:15,70,,, , 1234567 ,AIR,7,924.0,0.33,356.0
MEL,MELBOURNE AIRPORT,MELBOURNE,AUSTRALIA,AUSTRALIA,SYD,KINGSFORD SMITH AIRPORT,SYDNEY,AUSTRALIA,AUSTRALIA,AN,AN,"Advanced Air, LLC","Advanced Air, LLC",NO,737,BOEING,30,20010301,20010324,13:00,14:20,80,M,AN, , -----6- ,AIR,1,122.0,0.05,381.0
DFW,DALLAS/FT. WORTH INTERNATIONAL AIRPORT,DALLAS FORT WORTH,UNITED STATES,NORTH AMERICA,JFK,JOHN F. KENNEDY INTERNATIONAL AIRPORT,NEW YORK,UNITED STATES,NORTH AMERICA,DL,DL,"Delta Air Lines, Inc.","Delta Air Lines, Inc.",NO,M80,MCDONNELL-DOUGLAS,584,20010301,20010331,12:05,16:27,202,E,3, , 1234567 ,AIR,7,994.0,1.2,1206.0
STX,HENRY E. ROHLSEN AIRPORT,ST CROIX ISLAND,VIRGIN ISLANDS - US,CARIBBEAN,STT,CYRIL E. KING AIRPORT,ST THOMAS ISLAND,VIRGIN ISLANDS - US,CARIBBEAN,YI,YI,AIR SUNSHINE,AIR SUNSHINE,NO,EMB,EMBRAER,303,20001101,20001130,9:00,9:20,20,,, , -----67 ,AIR,2,30.0,0.0,40.0
HAM,HAMBURG AIRPORT,HAMBURG,GERMANY,WESTERN EUROPE,CPH,KASTRUP AIRPORT,COPENHAGEN,DENMARK,WESTERN EUROPE,SK,SK,Scandinavian Airlines System,Scandinavian Airlines System,NO,F50,FOKKER,652,20010301,20010324,20:20,21:20,60,4,3, , -----6- ,AIR,1,46.0,0.01,147.0
JNS,NARSAQ HELIPORT,NARSAQ,GREENLAND,NORTH AMERICA,UAK,NARSARSUAQ AIRPORT,NARSARSUAQ,GREENLAND,NORTH AMERICA,GL,GL,Air Greenland A/S,Air Greenland A/S,NO,S61,Sikorsky,332,20001101,20001130,12:15,12:30,15,,, , 1------ ,AIR,1,24.0,0.0,28.0
BRU,BRUSSELS AIRPORT,BRUSSELS,BELGIUM,WESTERN EUROPE,LJU,JOZE PUCNIK AIRPORT,LJUBLJANA,SLOVENIA,WESTERN EUROPE,JP,JP,Adria Airways d.o.o.,Adria Airways d.o.o.,NO,CRJ,Bombardier,1683,20001101,20001130,20:45,22:25,100,,, , 12345-- ,AIR,5,250.0,0.12,487.0
ISP,LONG ISLAND MACARTHUR AIRPORT,NEW YORK,UNITED STATES,NORTH AMERICA,TPA,TAMPA INTERNATIONAL AIRPORT,TAMPA,UNITED STATES,NORTH AMERICA,WN,WN,Southwest Airlines Co,Southwest Airlines Co,NO,73G,BOEING,1103,20010301,20010331,14:55,17:45,170,,, , 1234567 ,AIR,7,959.0,0.87,906.0
SXM,PRINCESS JULIANA INTL AIRPORT,ST MAARTEN,ST MARTEEN,CARIBBEAN,BGI,GRANTLEY ADAMS INTERNATIONAL AIRPORT,BRIDGETOWN,BARBADOS,CARIBBEAN,BW,BW,Caribbean Airlines Limited,Caribbean Airlines Limited,NO,M80,MCDONNELL-DOUGLAS,415,20010301,20010331,16:20,17:35,75,,, , --3--6- ,AIR,2,300.0,0.11,367.0
LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,LHR,HEATHROW AIRPORT,LONDON,UNITED KINGDOM,WESTERN EUROPE,SK,UA,Scandinavian Airlines System,"United Airlines, Inc.",YES,777,BOEING,3914,20001101,20001130,19:35,13:55,620,7,3,Y,1234567,AIR,7,,,4742.0
DEN,DENVER INTERNATIONAL AIRPORT,DENVER,UNITED STATES,NORTH AMERICA,EWR,NEWARK LIBERTY INTERNATIONAL AIRPORT,NEW YORK,UNITED STATES,NORTH AMERICA,AC,UA,Air Canada,"United Airlines, Inc.",YES,737,BOEING,5662,20001101,20001130,18:55,0:29,214,,A,Y, 123--67 ,AIR,5,,,1394.0
IEV,ZHULIANY INTERNATIONAL AIRPORT,KIEV,UKRAINE,EASTERN EUROPE,KIV,CHISINAU AIRPORT,CHISINAU,MOLDOVA,EASTERN EUROPE,C3,C3,Trade Air Ltd.,Trade Air Ltd.,NO,AN4,Antonov,261,20001101,20001130,11:00,12:20,80,,, , -2--5-- ,AIR,2,88.0,0.02,219.0
CEB,MACTAN INTERNATIONAL AIRPORT,CEBU,PHILIPPINES,SOUTHEAST ASIA,ILO,ILOILO INTERNATIONAL AIRPORT,ILOILO,PHILIPPINES,SOUTHEAST ASIA,PR,PR,"Philippine Airlines, Inc.","Philippine Airlines, Inc.",NO,737,BOEING,245,20010301,20010331,12:00,12:40,40,,, , 1---5-- ,AIR,2,244.0,0.02,94.0
CZL,MOHAMED BOUDIAF AIRPORT,CONSTANTINE,ALGERIA,NORTH AFRICA,TMR,AGUEMAR AIRPORT,TAMANRASSET,ALGERIA,NORTH AFRICA,K6,K6,"Cambodia Angkor Air t/a Cambodia Angkor Air Co., Ltd.","Cambodia Angkor Air t/a Cambodia Angkor Air Co., Ltd.",NO,737,BOEING,163,20010301,20010321,12:15,14:45,150,,, , --3---- ,AIR,1,122.0,0.1,817.0
VIE,VIENNA INTERNATIONAL AIRPORT,VIENNA,AUSTRIA,WESTERN EUROPE,LHR,HEATHROW AIRPORT,LONDON,UNITED KINGDOM,WESTERN EUROPE,OS,OS,Austrian Airlines AG dba Austrian,Austrian Airlines AG dba Austrian,NO,F70,FOKKER,453,20010303,20010303,10:30,12:05,155,,2, , -----6- ,AIR,1,71.0,0.05,691.0
EWR,NEWARK LIBERTY INTERNATIONAL AIRPORT,NEW YORK,UNITED STATES,NORTH AMERICA,YYZ,LESTER B. PEARSON INTL AIRPORT,TORONTO,CANADA,NORTH AMERICA,NW,CO,NORTHWEST AIRLINES INC.,Cobaltair Ltd,YES,735,BOEING,7764,20001104,20001130,18:55,20:40,105,C,3,Y, -----6- ,AIR,1,,,297.0
BCN,BARCELONA AIRPORT,BARCELONA,SPAIN,WESTERN EUROPE,BOD,BORDEAUX AIRPORT,BORDEAUX,FRANCE,WESTERN EUROPE,AF,VM,Air France,Max Air Limited,NO,EM2,EMBRAER,3207,20001101,20001101,18:40,20:00,80,A,, , --3---- ,AIR,1,30.0,0.01,251.0
LUX,LUXEMBOURG AIRPORT,LUXEMBOURG,LUXEMBOURG,WESTERN EUROPE,HAM,HAMBURG AIRPORT,HAMBURG,GERMANY,WESTERN EUROPE,LH,LG,Deutsche Lufthansa AG,Luxair,YES,ER4,EMBRAER,2547,20001101,20001130,19:15,20:30,75,,4, , ------7 ,AIR,1,,,281.0
SUB,JUANDA AIRPORT,SURABAYA,INDONESIA,SOUTHEAST ASIA,CGK,SOEKARNO-HATTA INTERNATIONAL AIRPORT,JAKARTA,INDONESIA,SOUTHEAST ASIA,MZ,MZ,Amakusa Airlines Co Ltd,Amakusa Airlines Co Ltd,NO,F28,FOKKER,300,20010301,20010331,07:00,08:20,80,,, , 1234567 ,AIR,7,525.0,0.2,378.0
RIC,RICHMOND INTERNATIONAL AIRPORT,RICHMOND,UNITED STATES,NORTH AMERICA,PHL,PHILADELPHIA INTERNATIONAL AIRPORT,PHILADELPHIA,UNITED STATES,NORTH AMERICA,US,US,US AIRWAYS INC.,US AIRWAYS INC.,NO,100,FOKKER,1065,20001101,20001110,19:30,20:28,58,,B, , 12345-- ,AIR,5,485.0,0.08,172.0
AMS,SCHIPHOL AIRPORT,AMSTERDAM,NETHERLANDS,WESTERN EUROPE,BRE,BREMEN AIRPORT,BREMEN,GERMANY,WESTERN EUROPE,EW,EW,Eurowings GmbH,Eurowings GmbH,NO,ATR,ATR,69,20001101,20001130,13:00,14:05,65,,, ,1234567,AIR,7,322.0,0.05,152.0
LAS,MCCARRAN INTERNATIONAL AIRPORT,LAS VEGAS,UNITED STATES,NORTH AMERICA,SMF,SACRAMENTO INTERNATIONAL AIRPORT,SACRAMENTO,UNITED STATES,NORTH AMERICA,WN,WN,Southwest Airlines Co,Southwest Airlines Co,NO,733,BOEING,859,20010301,20010331,08:40,10:05,85,,, , -----6- ,AIR,1,137.0,0.05,351.0
SEU,SERONERA AIRPORT,SERONERA,TANZANIA,EAST AFRICA,ARK,ARUSHA AIRPORT,ARUSHA,TANZANIA,EAST AFRICA,PW,PW,Precision Air Services Plc,Precision Air Services Plc,NO,L4T,LET,163,20010301,20010331,17:15,18:10,55,,, , -----6- ,AIR,1,19.0,0.0,121.0
GEG,SPOKANE INTERNATIONAL AIRPORT,SPOKANE,UNITED STATES,NORTH AMERICA,SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,SEATTLE,UNITED STATES,NORTH AMERICA,NW,AS,NORTHWEST AIRLINES INC.,Alaska Airlines,YES,73G,BOEING,4536,20001101,20001130,8:30,9:26,56,,,Y, 12345-- ,AIR,5,,,197.0
CDG,CHARLES DE GAULLE AIRPORT,PARIS,FRANCE,WESTERN EUROPE,TLV,BEN GURION INTERNATIONAL AIRPORT,TEL AVIV YAFO BEN GURION,ISRAEL,MIDDLE EAST,LY,LY,El Al Israel Airlines Ltd.,El Al Israel Airlines Ltd.,NO,757,BOEING,226,20001106,20001106,4:45,10:10,265,1,, , 1------ ,AIR,1,215.0,0.38,1775.0
BRO,SOUTH PADRE ISLAND INTERNATIONAL AIRPORT,BROWNSVILLE,UNITED STATES,NORTH AMERICA,IAH,GEORGE BUSH INTERCONTINENTAL AIRPORT,HOUSTON,UNITED STATES,NORTH AMERICA,CO,RU,Cobaltair Ltd,AirBridgeCargo Airlines LLC,NO,ERJ,EMBRAER,3828,20010301,20010331,10:55,12:15,80,,B, , -----6- ,AIR,1,50.0,0.01,270.0
ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,NORTH AMERICA,BNA,NASHVILLE INTERNATIONAL AIRPORT,NASHVILLE,UNITED STATES,NORTH AMERICA,DL,DL,"Delta Air Lines, Inc.","Delta Air Lines, Inc.",NO,M80,MCDONNELL-DOUGLAS,2146,20001101,20001130,22:10,22:23,73,,, ,1234567,AIR,7,994.0,0.19,191.0
MEX,BENITO JUAREZ INTL AIRPORT,MEXICO CITY,MEXICO,NORTH AMERICA,GDL,MIGUEL HIDALGO INTL AIRPORT,GUADALAJARA,MEXICO,NORTH AMERICA,DL,AM,"Delta Air Lines, Inc.",Aeromexico Aerovias de Mexico S.A. de C.V.,YES,D9S,MCDONNELL-DOUGLAS,7904,20010301,20010307,17:00,18:05,65,,,Q, -2--56- ,AIR,3,,,251.0
MEX,BENITO JUAREZ INTL AIRPORT,MEXICO CITY,MEXICO,NORTH AMERICA,ACA,JUAN N. ALVAREZ INTL AIRPORT,ACAPULCO,MEXICO,NORTH AMERICA,DL,AM,"Delta Air Lines, Inc.",Aeromexico Aerovias de Mexico S.A. de C.V.,YES,D9S,MCDONNELL-DOUGLAS,8157,20001103,20001130,13:30,14:20,50,,,Q, ----5-7 ,AIR,2,,,164.0
LUX,LUXEMBOURG AIRPORT,LUXEMBOURG,LUXEMBOURG,WESTERN EUROPE,FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,LH,LG,Deutsche Lufthansa AG,Luxair,YES,737,BOEING,2535,20001101,20001130,10:40,11:30,50,,1,Y, 12345-- ,AIR,5,,,93.0
KRS,KJEVIK AIRPORT,KRISTIANSAND,NORWAY,WESTERN EUROPE,OSL,OSLO AIRPORT,OSLO,NORWAY,WESTERN EUROPE,SK,SK,Scandinavian Airlines System,Scandinavian Airlines System,NO,736,BOEING,2388,20001101,20001103,19:10,20:00,50,,, , 1---5-- ,AIR,1,128.0,0.02,154.0
ZBQ,ODENSE RAILWAY SERVICE,ODENSE,DENMARK,WESTERN EUROPE,ZIB,NYBORG RAIL STATION,NYBORG,DENMARK,WESTERN EUROPE,SK,SK,Scandinavian Airlines System,Scandinavian Airlines System,NO,TRN,Surface Equipment,6236,20010301,20010324,17:47,18:01,14,,,A, 1234567 ,TRAIN,7,7.0,,
DFW,DALLAS/FT. WORTH INTERNATIONAL AIRPORT,DALLAS FORT WORTH,UNITED STATES,NORTH AMERICA,ELP,EL PASO INTERNATIONAL AIRPORT,EL PASO,UNITED STATES,NORTH AMERICA,JL,AA,"Japan Airlines Co., Ltd.",American Airlines,YES,M80,MCDONNELL-DOUGLAS,5646,20010301,20010330,12:33,13:17,104,,,Y, ---45-7 ,AIR,3,,,486.0
MJF,KJAERSTAD AIRPORT,MOSJOEN,NORWAY,WESTERN EUROPE,BOO,BODO AIRPORT,BODO,NORWAY,WESTERN EUROPE,WF,WF,Wideroe's Flyveselskap A/S,Wideroe's Flyveselskap A/S,NO,DH1,De Havilland Canada,744,20010301,20010323,23:15,23:55,40,,, , 12345-7 ,AIR,6,222.0,0.02,95.0
VNO,VILNIUS INTERNATIONAL AIRPORT,VILNIUS,LITHUANIA,EASTERN EUROPE,HEL,HELSINKI-VANTAA AIRPORT,HELSINKI,FINLAND,WESTERN EUROPE,AY,AY,Finnair Oyj,Finnair Oyj,NO,D9S,MCDONNELL-DOUGLAS,132,20010307,20010323,12:05,13:20,75,,, , 1-3-5-- ,AIR,1,110.0,0.04,347.0
RAO,LEITE LOPES AIRPORT,RIBEIRAO PRETO,BRAZIL,SOUTH AMERICA,CGH,CONGONHAS AIRPORT,SAO PAULO,BRAZIL,SOUTH AMERICA,KK,KK,Atlasjet Havacilik A.S. AtlasGlobal,Atlasjet Havacilik A.S. AtlasGlobal,NO,100,FOKKER,3417,20001101,20001130,11:10,11:59,49,,, , 12345-- ,AIR,5,540.0,0.09,165.0
JNU,JUNEAU INTERNATIONAL AIRPORT,JUNEAU,UNITED STATES,NORTH AMERICA,KTN,KETCHIKAN INTERNATIONAL AIRPORT,KETCHIKAN,UNITED STATES,NORTH AMERICA,KL,AS,KLM Royal Dutch Airlines,Alaska Airlines,YES,737,BOEING,7260,20001101,20001123,7:05,8:03,58,,,A,1234567,AIR,7,,,203.0
OVB,TOLMACHEVO AIRPORT,NOVOSIBIRSK,RUSSIA,EASTERN EUROPE,SVO,SHEREMETYEVO AIRPORT,MOSCOW,RUSSIA,EASTERN EUROPE,SU,SU,PJSC Aeroflot,PJSC Aeroflot,NO,310,AIRBUS,788,20001103,20001130,8:00,9:25,265,,1, , ----5-- ,AIR,1,190.0,0.29,1517.0
SLU,GEORGE F.L. CHARLES AIRPORT,ST LUCIA,SAINT LUCIA,CARIBBEAN,SJU,LUIS MUNOZ MARIN INTERNATIONAL AIRPORT,SAN JUAN,PUERTO RICO,CARIBBEAN,AA,OW,American Airlines,Skyward Express,NO,AT7,ATR,5653,20010302,20010331,14:45,16:45,120,,D, , 1234567 ,AIR,6,378.0,0.15,392.0
BUD,LISZT FERENC INTERNATIONAL AIRPORT,BUDAPEST,HUNGARY,EASTERN EUROPE,CDG,CHARLES DE GAULLE AIRPORT,PARIS,FRANCE,WESTERN EUROPE,MA,MA,MALEV HUNGARIAN AIRLINES  LIMITED,MALEV HUNGARIAN AIRLINES  LIMITED,NO,F70,FOKKER,550,20001101,20001130,9:45,12:00,135,2A,2B, , 12345-- ,AIR,5,375.0,0.25,670.0
ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,NORTH AMERICA,SRQ,BRADENTON INTERNATIONAL AIRPORT,SARASOTA,UNITED STATES,NORTH AMERICA,DL,DL,"Delta Air Lines, Inc.","Delta Air Lines, Inc.",NO,72S,BOEING,1862,20010301,20010331,08:30,09:55,85,,M, , 1234567 ,AIR,7,1064.0,0.41,386.0
YYZ,LESTER B. PEARSON INTL AIRPORT,TORONTO,CANADA,NORTH AMERICA,CMH,JOHN GLENN INTERNATIONAL AIRPORT,COLUMBUS,UNITED STATES,NORTH AMERICA,LH,GX,Deutsche Lufthansa AG,"Guangxi Beibu Gulf Airlines Co., Ltd",YES,DH8,De Havilland Canada,6782,20001101,20001130,21:25,23:03,98,2,,Y, 12345-7 ,AIR,6,,,266.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,YUL,PIERRE ELLIOTT TRUDEAU INTERNATIONAL AIRPORT,MONTREAL,CANADA,NORTH AMERICA,AC,AC,Air Canada,Air Canada,NO,333,AIRBUS,875,20001101,20001130,10:00,12:10,490,1,, , 1---567 ,AIR,4,1072.0,3.4,3175.0
LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,MCO,ORLANDO INTERNATIONAL AIRPORT,ORLANDO,UNITED STATES,NORTH AMERICA,UA,UA,"United Airlines, Inc.","United Airlines, Inc.",NO,320,AIRBUS,92,20010301,20010330,22:00,05:29,269,7,, , 1234567 ,AIR,7,966.0,1.86,1925.0
ULO,ULAANGOM AIRPORT,ULAANGOM,MONGOLIA,CENTRAL ASIA,ULN,CHINGGIS KHAAN INTL AIRPORT,ULAANBAATAR,MONGOLIA,CENTRAL ASIA,OM,OM,Miat  Mongolian Airlines,Miat  Mongolian Airlines,NO,AN4,Antonov,574,20001101,20001130,13:25,17:15,230,,, , 1-3-5-- ,AIR,3,150.0,0.09,595.0
EWR,NEWARK LIBERTY INTERNATIONAL AIRPORT,NEW YORK,UNITED STATES,NORTH AMERICA,ORD,O'HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,NORTH AMERICA,NW,CO,NORTHWEST AIRLINES INC.,Cobaltair Ltd,YES,733,BOEING,7181,20010301,20010325,16:00,17:36,156,C,2,Y, ------7 ,AIR,1,,,625.0
