,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,TAIL_NUM,FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DEL15,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DEL15,CANCELLED
2016,2016,1,3,14,1,DL,N697DL,87,DTW,MSP,1545,1543.0,-2.0,0.0,1645,1633.0,-12.0,0.0,0.0
423,2016,1,1,13,3,DL,N3753,2440,SEA,MSP,35,30.0,-5.0,0.0,550,523.0,-27.0,0.0,0.0
2553,2016,2,4,4,1,DL,N635DL,991,ATL,DTW,1205,1203.0,-2.0,0.0,1407,1348.0,-19.0,0.0,0.0
750,2016,1,1,31,7,DL,N348NB,780,MSP,DTW,1020,1017.0,-3.0,0.0,1304,1246.0,-18.0,0.0,0.0
1311,2016,1,2,19,5,DL,N551NW,1626,DTW,SEA,2005,2026.0,21.0,1.0,2222,2226.0,4.0,0.0,0.0
3407,2016,2,4,3,7,DL,N67171,1357,MSP,DTW,1735,1738.0,3.0,0.0,2016,2015.0,-1.0,0.0,0.0
3155,2016,2,4,25,1,DL,N819DN,2848,DTW,MSP,1951,1951.0,0.0,0.0,2051,2032.0,-19.0,0.0,0.0
2817,2016,2,4,12,2,DL,N991DL,2824,JFK,DTW,905,903.0,-2.0,0.0,1124,1117.0,-7.0,0.0,0.0
552,2016,1,1,24,7,DL,N933DN,1815,MSP,ATL,905,900.0,-5.0,0.0,1234,1236.0,2.0,0.0,0.0
1436,2016,1,2,26,5,DL,N707TW,425,JFK,ATL,1534,1532.0,-2.0,0.0,1830,1803.0,-27.0,0.0,0.0
42,2016,1,1,3,7,DL,N820DN,2193,MSP,SEA,650,650.0,0.0,0.0,844,819.0,-25.0,0.0,0.0
2498,2016,1,3,19,6,DL,N934DN,2246,DTW,ATL,1630,1654.0,24.0,1.0,1833,1843.0,10.0,0.0,0.0
3413,2016,2,4,2,6,DL,N838DN,2368,SEA,DTW,1351,1349.0,-2.0,0.0,2108,2043.0,-25.0,0.0,0.0
211,2016,1,1,10,7,DL,N805DN,1107,ATL,SEA,1920,1929.0,9.0,0.0,2205,2145.0,-20.0,0.0,0.0
984,2016,1,2,7,7,DL,N980DL,1975,MSP,ATL,1125,1119.0,-6.0,0.0,1457,1440.0,-17.0,0.0,0.0
1222,2016,1,2,16,2,DL,N635DL,1108,MSP,ATL,1507,1507.0,0.0,0.0,1840,1814.0,-26.0,0.0,0.0
1928,2016,1,3,10,4,DL,N904DA,1513,MSP,ATL,730,726.0,-4.0,0.0,1101,1054.0,-7.0,0.0,0.0
1090,2016,1,2,12,5,DL,N327NB,1476,DTW,MSP,1345,1342.0,-3.0,0.0,1448,1442.0,-6.0,0.0,0.0
2358,2016,1,3,6,7,DL,N958DN,856,MSP,ATL,858,859.0,1.0,0.0,1229,1215.0,-14.0,0.0,0.0
186,2016,1,1,10,7,DL,N959DN,744,MSP,ATL,1005,1005.0,0.0,0.0,1334,1323.0,-11.0,0.0,0.0
3115,2016,2,4,24,7,DL,N920DN,1549,MSP,ATL,1735,1730.0,-5.0,0.0,2114,2105.0,-9.0,0.0,0.0
221,2016,1,1,11,1,DL,N3752,1419,SEA,MSP,645,641.0,-4.0,0.0,1204,1151.0,-13.0,0.0,0.0
2727,2016,2,4,10,7,DL,N704X,1680,SEA,JFK,1450,1448.0,-2.0,0.0,2305,2247.0,-18.0,0.0,0.0
661,2016,1,1,29,5,DL,N671DN,789,SEA,MSP,1315,1328.0,13.0,0.0,1837,1848.0,11.0,0.0,0.0
813,2016,1,1,20,3,DL,N926DL,1231,ATL,DTW,1341,1337.0,-4.0,0.0,1542,1549.0,7.0,0.0,0.0
3713,2016,2,5,10,2,DL,N922DX,2074,ATL,MSP,1755,1750.0,-5.0,0.0,1936,1934.0,-2.0,0.0,0.0
4481,2016,2,6,5,7,DL,N834DN,1542,SEA,JFK,2237,2234.0,-3.0,0.0,702,712.0,10.0,0.0,0.0
3105,2016,2,4,23,6,DL,N979AT,848,MSP,JFK,908,905.0,-3.0,0.0,1300,1241.0,-19.0,0.0,0.0
294,2016,1,1,15,5,DL,N385DN,1542,SEA,JFK,2305,2301.0,-4.0,0.0,723,655.0,-28.0,0.0,0.0
4811,2016,2,6,16,4,DL,N541US,1650,DTW,MSP,700,659.0,-1.0,0.0,750,733.0,-17.0,0.0,0.0
2065,2016,1,3,14,1,DL,N178DN,2424,ATL,SEA,1105,1103.0,-2.0,0.0,1334,1321.0,-13.0,0.0,0.0
2225,2016,1,3,21,1,DL,N839DN,1768,SEA,MSP,705,711.0,6.0,0.0,1224,1215.0,-9.0,0.0,0.0
2382,2016,1,3,26,6,DL,N954DL,1462,ATL,MSP,1050,1044.0,-6.0,0.0,1229,1231.0,2.0,0.0,0.0
1558,2016,1,2,29,1,DL,N833DN,1598,SEA,ATL,615,611.0,-4.0,0.0,1359,1334.0,-25.0,0.0,0.0
688,2016,1,1,28,4,DL,N824DN,1107,ATL,SEA,1920,1949.0,29.0,1.0,2205,2216.0,11.0,0.0,0.0
4866,2016,2,6,17,5,DL,N127DL,2827,ATL,MSP,1933,1943.0,10.0,0.0,2117,2112.0,-5.0,0.0,0.0
2303,2016,1,3,24,4,DL,N919AT,1649,DTW,MSP,1005,1119.0,74.0,1.0,1104,1202.0,58.0,1.0,0.0
1918,2016,1,3,10,4,DL,N843DN,2188,SEA,ATL,2300,2309.0,9.0,0.0,642,643.0,1.0,0.0,0.0
2779,2016,2,4,12,2,DL,N540US,1847,SEA,ATL,815,818.0,3.0,0.0,1600,1613.0,13.0,0.0,0.0
601,2016,1,1,26,2,DL,N339NW,629,ATL,DTW,915,917.0,2.0,0.0,1110,1106.0,-4.0,0.0,0.0
3058,2016,2,4,16,6,DL,N301NB,2283,DTW,ATL,600,559.0,-1.0,0.0,804,742.0,-22.0,0.0,0.0
3202,2016,2,4,26,2,DL,N690DL,2283,DTW,ATL,555,551.0,-4.0,0.0,804,751.0,-13.0,0.0,0.0
1800,2016,1,3,5,6,DL,N803DN,1768,SEA,MSP,705,701.0,-4.0,0.0,1224,1211.0,-13.0,0.0,0.0
4523,2016,2,6,7,2,DL,N704X,485,JFK,SEA,700,657.0,-3.0,0.0,1014,949.0,-25.0,0.0,0.0
1815,2016,1,3,7,1,DL,N945DL,1355,DTW,ATL,1205,1202.0,-3.0,0.0,1415,1346.0,-29.0,0.0,0.0
1850,2016,1,3,8,2,DL,N3741S,485,JFK,SEA,1600,1553.0,-7.0,0.0,1921,1858.0,-23.0,0.0,0.0
2821,2016,2,4,13,3,DL,N340NW,478,ATL,JFK,1745,1744.0,-1.0,0.0,2015,2000.0,-15.0,0.0,0.0
189,2016,1,1,9,6,DL,N819DN,87,DTW,MSP,1540,1539.0,-1.0,0.0,1646,1623.0,-23.0,0.0,0.0
2449,2016,1,3,30,3,DL,N826DN,1598,SEA,ATL,630,627.0,-3.0,0.0,1418,1413.0,-5.0,0.0,0.0
729,2016,1,1,29,5,DL,N127DL,2794,DTW,ATL,720,714.0,-6.0,0.0,946,913.0,-33.0,0.0,0.0
4800,2016,2,6,14,2,DL,N595NW,1375,ATL,SEA,2108,44.0,216.0,1.0,2335,239.0,184.0,1.0,0.0
302,2016,1,1,16,6,DL,N544US,822,SEA,DTW,700,709.0,9.0,0.0,1415,1406.0,-9.0,0.0,0.0
4510,2016,2,6,6,1,DL,N832DN,2299,DTW,SEA,1801,1757.0,-4.0,0.0,1957,1938.0,-19.0,0.0,0.0
2147,2016,1,3,18,5,DL,N848DN,2610,ATL,MSP,736,732.0,-4.0,0.0,914,900.0,-14.0,0.0,0.0
2300,2016,1,3,24,4,DL,N331NW,1419,DTW,ATL,2035,2057.0,22.0,1.0,2234,2316.0,42.0,1.0,0.0
4345,2016,2,6,1,3,DL,N1501P,43,JFK,ATL,1545,1542.0,-3.0,0.0,1826,1753.0,-33.0,0.0,0.0
1099,2016,1,2,11,4,DL,N912DN,2610,ATL,MSP,730,728.0,-2.0,0.0,914,907.0,-7.0,0.0,0.0
4844,2016,2,6,16,4,DL,N951DL,492,JFK,ATL,1115,1122.0,7.0,0.0,1346,1433.0,47.0,1.0,0.0
3096,2016,2,4,22,5,DL,N950DL,1476,MSP,DTW,1405,1403.0,-2.0,0.0,1647,1643.0,-4.0,0.0,0.0
1428,2016,1,2,23,2,DL,N816NW,2221,MSP,SEA,1130,1128.0,-2.0,0.0,1320,1254.0,-26.0,0.0,0.0
553,2016,1,1,23,6,DL,N849DN,2413,SEA,JFK,700,,,,1515,,,,1.0
1324,2016,1,2,21,7,DL,N818DA,1598,SEA,ATL,615,611.0,-4.0,0.0,1359,1326.0,-33.0,0.0,0.0
321,2016,1,1,15,5,DL,N390DA,2536,MSP,SEA,1933,2002.0,29.0,1.0,2125,2139.0,14.0,0.0,0.0
589,2016,1,1,25,1,DL,N389DA,588,SEA,MSP,1105,1106.0,1.0,0.0,1627,1624.0,-3.0,0.0,0.0
3672,2016,2,5,6,5,DL,N667DN,1287,DTW,ATL,1345,1345.0,0.0,0.0,1549,1530.0,-19.0,0.0,0.0
3762,2016,2,5,12,4,DL,N3749D,1605,ATL,DTW,2055,2058.0,3.0,0.0,2254,2243.0,-11.0,0.0,0.0
2443,2016,1,3,30,3,DL,N924DN,744,MSP,ATL,958,949.0,-9.0,0.0,1326,1310.0,-16.0,0.0,0.0
220,2016,1,1,11,1,DL,N916DN,1290,ATL,DTW,2210,2213.0,3.0,0.0,5,2352.0,-13.0,0.0,0.0
3084,2016,2,4,24,7,DL,N979AT,436,JFK,MSP,1120,1116.0,-4.0,0.0,1337,1321.0,-16.0,0.0,0.0
4924,2016,2,6,19,7,DL,N545US,589,MSP,SEA,1116,1331.0,135.0,1.0,1300,1524.0,144.0,1.0,0.0
3972,2016,2,5,19,4,DL,N1607B,16,SEA,ATL,1040,1036.0,-4.0,0.0,1845,1814.0,-31.0,0.0,0.0
3889,2016,2,5,17,2,DL,N713TW,1473,SEA,JFK,1119,1115.0,-4.0,0.0,1955,1955.0,0.0,0.0,0.0
3679,2016,2,5,9,1,DL,N685DA,1520,ATL,MSP,2216,2212.0,-4.0,0.0,2351,2335.0,-16.0,0.0,0.0
2284,2016,1,3,22,2,DL,N335NB,1096,DTW,MSP,1205,1159.0,-6.0,0.0,1302,1255.0,-7.0,0.0,0.0
3723,2016,2,5,10,2,DL,N962DN,313,MSP,ATL,910,1045.0,95.0,1.0,1243,1400.0,77.0,1.0,0.0
4750,2016,2,6,14,2,DL,N338NW,325,DTW,ATL,1459,1456.0,-3.0,0.0,1659,1940.0,,,0.0
1257,2016,1,2,18,4,DL,N948DN,1067,ATL,MSP,2105,2121.0,16.0,1.0,2257,2257.0,0.0,0.0,0.0
2352,2016,1,3,6,7,DL,N920AT,423,JFK,ATL,1330,1330.0,0.0,0.0,1607,1543.0,-24.0,0.0,0.0
291,2016,1,1,15,5,DL,N3750D,1187,MSP,SEA,1739,1808.0,29.0,1.0,1928,1951.0,23.0,1.0,0.0
3852,2016,2,5,15,7,DL,N815DN,2487,JFK,SEA,1925,1922.0,-3.0,0.0,2247,2219.0,-28.0,0.0,0.0
4206,2016,2,5,29,7,DL,N856DN,894,SEA,MSP,820,816.0,-4.0,0.0,1348,1317.0,-31.0,0.0,0.0
3006,2016,2,4,21,4,DL,N346NB,2205,JFK,MSP,800,805.0,5.0,0.0,1023,1002.0,-21.0,0.0,0.0
4806,2016,2,6,16,4,DL,N840DN,1255,ATL,SEA,940,941.0,1.0,0.0,1205,1142.0,-23.0,0.0,0.0
3037,2016,2,4,22,5,DL,N825DN,53,MSP,DTW,1545,1544.0,-1.0,0.0,1824,1823.0,-1.0,0.0,0.0
2298,2016,1,3,24,4,DL,N325NB,1227,MSP,DTW,1944,1940.0,-4.0,0.0,2223,2227.0,4.0,0.0,0.0
731,2016,1,1,30,6,DL,N3756,53,MSP,DTW,1530,1521.0,-9.0,0.0,1810,1748.0,-22.0,0.0,0.0
4483,2016,2,6,6,1,DL,N965DN,1204,MSP,ATL,1002,959.0,-3.0,0.0,1335,1319.0,-16.0,0.0,0.0
1332,2016,1,2,20,6,DL,N955DN,674,MSP,ATL,1625,1632.0,7.0,0.0,1956,1953.0,-3.0,0.0,0.0
3984,2016,2,5,19,4,DL,N6700,1520,ATL,MSP,2216,2235.0,19.0,1.0,2351,3.0,12.0,0.0,0.0
1450,2016,1,2,25,4,DL,N908DA,2065,ATL,MSP,1349,1355.0,6.0,0.0,1540,1520.0,-20.0,0.0,0.0
3875,2016,2,5,16,1,DL,N3759,997,ATL,JFK,1034,1035.0,1.0,0.0,1250,1239.0,-11.0,0.0,0.0
392,2016,1,1,18,1,DL,N388DA,2440,SEA,MSP,35,38.0,3.0,0.0,550,538.0,-12.0,0.0,0.0
3518,2016,2,5,3,2,DL,N350NA,1231,ATL,DTW,1340,1337.0,-3.0,0.0,1541,1528.0,-13.0,0.0,0.0
828,2016,1,1,27,3,DL,N355NW,1096,DTW,MSP,1200,1157.0,-3.0,0.0,1302,1242.0,-20.0,0.0,0.0
2336,2016,1,3,24,4,DL,N914DL,2336,ATL,JFK,1515,1540.0,25.0,1.0,1740,1826.0,46.0,1.0,0.0
2309,2016,1,3,25,5,DL,N337NW,1650,DTW,MSP,710,706.0,-4.0,0.0,812,751.0,-21.0,0.0,0.0
4826,2016,2,6,16,4,DL,N850DN,2048,SEA,JFK,734,759.0,25.0,1.0,1604,1628.0,24.0,1.0,0.0
3192,2016,2,4,27,3,DL,N399DA,1340,SEA,MSP,107,58.0,-9.0,0.0,614,614.0,0.0,0.0,0.0
219,2016,1,1,11,1,DL,N3749D,1187,MSP,SEA,1739,1812.0,33.0,1.0,1928,2032.0,64.0,1.0,0.0
1906,2016,1,3,10,4,DL,N3757D,281,DTW,SEA,835,832.0,-3.0,0.0,1039,1045.0,6.0,0.0,0.0
4858,2016,2,6,17,5,DL,N802DN,630,DTW,ATL,1750,1901.0,71.0,1.0,1950,2039.0,49.0,1.0,0.0
159,2016,1,1,9,6,DL,N702TW,976,ATL,JFK,1000,955.0,-5.0,0.0,1211,1154.0,-17.0,0.0,0.0
1565,2016,1,2,29,1,DL,N968DL,2205,JFK,MSP,1610,1610.0,0.0,0.0,1843,1836.0,-7.0,0.0,0.0
709,2016,1,1,30,6,DL,N945DN,2382,ATL,MSP,1930,1928.0,-2.0,0.0,2120,2057.0,-23.0,0.0,0.0
1501,2016,1,2,28,7,DL,N973DL,449,JFK,ATL,615,614.0,-1.0,0.0,902,827.0,-35.0,0.0,0.0
1433,2016,1,2,25,4,DL,N891AT,2817,JFK,DTW,908,903.0,-5.0,0.0,1130,1109.0,-21.0,0.0,0.0
4630,2016,2,6,11,6,DL,N588NW,1640,DTW,ATL,705,702.0,-3.0,0.0,900,902.0,2.0,0.0,0.0
3994,2016,2,5,20,5,DL,N941DN,721,ATL,MSP,1702,1728.0,26.0,1.0,1843,1905.0,22.0,1.0,0.0
1224,2016,1,2,16,2,DL,N929DN,1290,ATL,DTW,2210,2249.0,39.0,1.0,6,38.0,32.0,1.0,0.0
2206,2016,1,3,21,1,DL,N811NW,952,ATL,SEA,1515,1518.0,3.0,0.0,1738,1739.0,1.0,0.0,0.0
2340,2016,1,3,26,6,DL,N835DN,1768,SEA,MSP,705,657.0,-8.0,0.0,1221,1155.0,-26.0,0.0,0.0
4731,2016,2,6,13,1,DL,N920DL,788,MSP,ATL,1646,1646.0,0.0,0.0,2020,2014.0,-6.0,0.0,0.0
4190,2016,2,5,27,5,DL,N348NW,1915,DTW,ATL,2040,2038.0,-2.0,0.0,2239,2233.0,-6.0,0.0,0.0
4703,2016,2,6,13,1,DL,N6705Y,17,ATL,SEA,1215,1215.0,0.0,0.0,1437,1425.0,-12.0,0.0,0.0
1238,2016,1,2,16,2,DL,N325NB,1987,ATL,JFK,1515,1634.0,79.0,1.0,1745,1851.0,66.0,1.0,0.0
766,2016,1,1,4,1,DL,N683DA,2151,MSP,SEA,1740,1743.0,3.0,0.0,1929,1936.0,7.0,0.0,0.0
2286,2016,1,3,22,2,DL,N954DL,1290,ATL,DTW,2215,2210.0,-5.0,0.0,12,2.0,-10.0,0.0,0.0
3067,2016,2,4,18,1,DL,N543US,2218,SEA,DTW,730,740.0,10.0,0.0,1439,1450.0,11.0,0.0,0.0
4030,2016,2,5,22,7,DL,N328NW,1096,DTW,MSP,1200,1157.0,-3.0,0.0,1252,1232.0,-20.0,0.0,0.0
3424,2016,2,5,1,7,DL,N826DN,1915,DTW,ATL,2040,2047.0,7.0,0.0,2240,2237.0,-3.0,0.0,0.0
1903,2016,1,3,9,3,DL,N1612T,2260,SEA,ATL,1040,1041.0,1.0,0.0,1831,1824.0,-7.0,0.0,0.0
4682,2016,2,6,12,7,DL,N810DN,526,ATL,MSP,2054,2051.0,-3.0,0.0,2234,2216.0,-18.0,0.0,0.0
4266,2016,2,5,30,1,DL,N839DN,1929,ATL,SEA,810,809.0,-1.0,0.0,1029,1011.0,-18.0,0.0,0.0
770,2016,1,1,5,2,DL,N348NB,2221,MSP,SEA,1130,1127.0,-3.0,0.0,1322,1253.0,-29.0,0.0,0.0
1694,2016,1,3,3,4,DL,N383DN,882,SEA,MSP,1520,1517.0,-3.0,0.0,2037,2015.0,-22.0,0.0,0.0
10,2016,1,1,2,6,DL,N703TW,2350,ATL,JFK,825,828.0,3.0,0.0,1038,1029.0,-9.0,0.0,0.0
3920,2016,2,5,16,1,DL,N554NW,2393,MSP,ATL,1940,1939.0,-1.0,0.0,2312,2259.0,-13.0,0.0,0.0
2946,2016,2,4,18,1,DL,N844DN,2618,DTW,SEA,2004,2001.0,-3.0,0.0,2215,2122.0,-53.0,0.0,0.0
408,2016,1,1,19,2,DL,N806DN,1852,ATL,SEA,1113,1129.0,16.0,1.0,1351,1353.0,2.0,0.0,0.0
4497,2016,2,6,6,1,DL,N624AG,485,JFK,SEA,700,659.0,-1.0,0.0,1014,1010.0,-4.0,0.0,0.0
3843,2016,2,5,14,6,DL,N138DL,2308,SEA,MSP,1305,1313.0,8.0,0.0,1835,1813.0,-22.0,0.0,0.0
3448,2016,2,5,2,1,DL,N834DN,902,ATL,DTW,1455,1453.0,-2.0,0.0,1654,1634.0,-20.0,0.0,0.0
2688,2016,2,4,10,7,DL,N3739P,420,ATL,JFK,1205,1217.0,12.0,0.0,1430,1428.0,-2.0,0.0,0.0
1289,2016,1,2,18,4,DL,N988DL,748,ATL,DTW,1055,1059.0,4.0,0.0,1255,1251.0,-4.0,0.0,0.0
956,2016,1,2,5,5,DL,N128DL,784,ATL,MSP,829,828.0,-1.0,0.0,1015,1002.0,-13.0,0.0,0.0
994,2016,1,2,8,1,DL,N930AT,2803,JFK,MSP,810,803.0,-7.0,0.0,1029,943.0,-46.0,0.0,0.0
1934,2016,1,3,11,5,DL,N959DN,1513,MSP,ATL,730,728.0,-2.0,0.0,1101,1105.0,4.0,0.0,0.0
2955,2016,2,4,19,2,DL,N974DL,783,ATL,MSP,1050,1046.0,-4.0,0.0,1230,1219.0,-11.0,0.0,0.0
3101,2016,2,4,24,7,DL,N950DN,2074,ATL,MSP,1750,1749.0,-1.0,0.0,1936,1934.0,-2.0,0.0,0.0
1618,2016,1,2,1,1,DL,N3730B,2834,MSP,SEA,701,656.0,-5.0,0.0,855,831.0,-24.0,0.0,0.0
151,2016,1,1,8,5,DL,N914DN,744,MSP,ATL,1005,1023.0,18.0,1.0,1334,1346.0,12.0,0.0,0.0
4835,2016,2,6,15,3,DL,N551NW,2547,SEA,MSP,1850,1902.0,12.0,0.0,4,8.0,4.0,0.0,0.0
3180,2016,2,4,27,3,DL,N3730B,629,ATL,DTW,905,902.0,-3.0,0.0,1101,1049.0,-12.0,0.0,0.0
3285,2016,2,4,30,6,DL,N990DL,630,DTW,ATL,1745,1828.0,43.0,1.0,1952,2029.0,37.0,1.0,0.0
249,2016,1,1,14,4,DL,N370NB,478,ATL,JFK,1205,1207.0,2.0,0.0,1424,1418.0,-6.0,0.0,0.0
1821,2016,1,3,7,1,DL,N855NW,1888,MSP,ATL,1505,1558.0,53.0,1.0,1830,1917.0,47.0,1.0,0.0
4166,2016,2,5,26,4,DL,N854DN,1397,MSP,SEA,1445,1443.0,-2.0,0.0,1624,1557.0,-27.0,0.0,0.0
208,2016,1,1,10,7,DL,N929DL,945,DTW,ATL,1345,1747.0,242.0,1.0,1558,2019.0,261.0,1.0,0.0
2597,2016,2,4,4,1,DL,N635DL,1271,DTW,ATL,1520,1516.0,-4.0,0.0,1724,1700.0,-24.0,0.0,0.0
3828,2016,2,5,15,7,DL,N361NB,761,MSP,DTW,1935,1932.0,-3.0,0.0,2216,2210.0,-6.0,0.0,0.0
702,2016,1,1,29,5,DL,N320NB,1476,DTW,MSP,1345,1344.0,-1.0,0.0,1444,1435.0,-9.0,0.0,0.0
2163,2016,1,3,20,7,DL,N718TW,1473,SEA,JFK,1120,1118.0,-2.0,0.0,1945,1932.0,-13.0,0.0,0.0
1838,2016,1,3,7,1,DL,N3730B,281,DTW,SEA,835,831.0,-4.0,0.0,1039,1006.0,-33.0,0.0,0.0
916,2016,1,2,4,4,DL,N846DN,2134,SEA,ATL,1450,1456.0,6.0,0.0,2232,2227.0,-5.0,0.0,0.0
