,FlightDate,Carrier,FlightNum,Origin,Dest,Flights,Distance
310,2017-09-04,WN,3695.0,MSP,MDW,1.0,349.0
311,2017-09-27,B6,929.0,JFK,RSW,1.0,1074.0
312,2017-09-06,B6,904.0,RSW,BDL,1.0,1180.0
313,2017-09-01,DL,950.0,LAS,SEA,1.0,867.0
314,2017-09-24,WN,4302.0,LGA,DEN,1.0,1620.0
315,2017-09-11,AA,2541.0,IAD,DFW,1.0,1172.0
316,2017-09-20,WN,801.0,DEN,SFO,1.0,967.0
317,2017-09-04,WN,5612.0,SEA,PHX,1.0,1107.0
318,2017-09-20,DL,1737.0,BWI,DTW,1.0,409.0
319,2017-09-24,DL,875.0,BWI,ATL,1.0,577.0
320,2017-09-28,UA,448.0,DEN,LAS,1.0,628.0
321,2017-09-08,DL,903.0,ATL,BOS,1.0,946.0
322,2017-09-18,OO,3522.0,PDX,SEA,1.0,129.0
323,2017-09-29,WN,1767.0,PIT,DEN,1.0,1290.0
324,2017-09-25,AS,62.0,SIT,KTN,1.0,183.0
325,2017-09-03,AA,1694.0,CLT,BNA,1.0,328.0
326,2017-09-28,OO,4774.0,SLC,PSC,1.0,521.0
327,2017-09-14,AA,1816.0,MCO,DCA,1.0,759.0
328,2017-09-01,AS,55.0,FAI,ANC,1.0,261.0
329,2017-09-10,OO,4791.0,MSP,MDW,1.0,349.0
330,2017-09-15,WN,246.0,MDW,SLC,1.0,1259.0
331,2017-09-17,AA,172.0,LAX,JFK,1.0,2475.0
332,2017-09-22,WN,2332.0,MDW,ORF,1.0,704.0
333,2017-09-20,OO,3050.0,PHX,YUM,1.0,160.0
334,2017-09-21,DL,1371.0,DTW,CLE,1.0,95.0
335,2017-09-01,UA,478.0,DEN,ORD,1.0,888.0
336,2017-09-03,OO,2900.0,PHX,PSP,1.0,261.0
337,2017-09-03,WN,3616.0,MSY,DAL,1.0,436.0
338,2017-09-13,WN,6292.0,BUR,SFO,1.0,326.0
339,2017-09-14,OO,3563.0,MDW,MSP,1.0,349.0
340,2017-09-15,OO,4576.0,MSP,RAP,1.0,489.0
341,2017-09-14,UA,1131.0,IAH,MSY,1.0,305.0
342,2017-09-10,WN,4195.0,PHX,EWR,1.0,2133.0
343,2017-09-05,OO,4772.0,ATL,SHV,1.0,551.0
344,2017-09-23,WN,2584.0,PHX,SAT,1.0,843.0
345,2017-09-30,AA,1784.0,AUS,PHL,1.0,1430.0
346,2017-09-29,EV,3948.0,ORD,ERI,1.0,398.0
347,2017-09-18,AA,1761.0,CLT,RDU,1.0,130.0
348,2017-09-08,WN,6016.0,ELP,LAX,1.0,715.0
349,2017-09-12,DL,2450.0,SEA,SLC,1.0,689.0
350,2017-09-28,AS,567.0,SFO,PDX,1.0,550.0
351,2017-09-22,UA,1895.0,TPA,IAH,1.0,787.0
352,2017-09-28,EV,3874.0,IAH,LCH,1.0,127.0
353,2017-09-01,NK,404.0,FLL,ATL,1.0,581.0
354,2017-09-20,DL,136.0,BNA,DTW,1.0,456.0
355,2017-09-10,AA,955.0,RDU,MIA,1.0,700.0
356,2017-09-26,WN,4343.0,MDW,ORF,1.0,704.0
357,2017-09-07,F9,1977.0,IND,LAS,1.0,1590.0
358,2017-09-28,UA,1084.0,MSY,IAH,1.0,305.0
359,2017-09-05,WN,1584.0,PHX,PHL,1.0,2075.0
360,2017-09-08,OO,5091.0,SFO,SBP,1.0,190.0
361,2017-09-26,UA,217.0,SFO,GEG,1.0,733.0
362,2017-09-18,WN,756.0,SJC,ONT,1.0,333.0
363,2017-09-06,AA,1597.0,DFW,SLC,1.0,989.0
364,2017-09-21,OO,3166.0,ORD,BNA,1.0,409.0
365,2017-09-27,DL,2822.0,JFK,SJU,1.0,1598.0
366,2017-09-18,EV,4215.0,IAH,TUL,1.0,429.0
367,2017-09-01,WN,1674.0,BWI,ISP,1.0,220.0
368,2017-09-13,AA,1725.0,CLT,MCO,1.0,468.0
369,2017-09-21,UA,1534.0,RSW,EWR,1.0,1068.0
370,2017-09-08,UA,1695.0,SEA,EWR,1.0,2402.0
371,2017-09-21,DL,1575.0,IND,ATL,1.0,432.0
372,2017-09-25,DL,1771.0,ATL,MEM,1.0,332.0
373,2017-09-23,NK,620.0,LAX,MCI,1.0,1363.0
374,2017-09-15,DL,1376.0,ATL,TLH,1.0,223.0
375,2017-09-25,WN,129.0,ALB,BWI,1.0,289.0
376,2017-09-20,B6,56.0,IAD,BOS,1.0,413.0
377,2017-09-07,AS,103.0,SEA,FAI,1.0,1533.0
378,2017-09-19,WN,6265.0,BUR,LAS,1.0,223.0
379,2017-09-12,B6,2417.0,MCO,AUS,1.0,994.0
380,2017-09-15,AS,615.0,LAS,SEA,1.0,867.0
381,2017-09-06,DL,2407.0,MSP,SLC,1.0,991.0
382,2017-09-02,OO,4813.0,MDT,DTW,1.0,371.0
383,2017-09-11,DL,1859.0,SFO,JFK,1.0,2586.0
384,2017-09-19,AA,51.0,DFW,STL,1.0,550.0
385,2017-09-07,AA,459.0,DEN,CLT,1.0,1337.0
386,2017-09-13,DL,1223.0,MSP,IND,1.0,503.0
387,2017-09-25,DL,2838.0,ATL,RDU,1.0,356.0
388,2017-09-15,WN,1066.0,RDU,HOU,1.0,1050.0
389,2017-09-08,UA,381.0,DEN,OMA,1.0,472.0
390,2017-09-05,EV,5387.0,DTW,LIT,1.0,705.0
391,2017-09-07,DL,120.0,MSP,LGA,1.0,1020.0
392,2017-09-05,WN,5794.0,MSY,AUS,1.0,444.0
393,2017-09-12,DL,841.0,DTW,MSP,1.0,528.0
394,2017-09-26,AA,260.0,LAX,MIA,1.0,2342.0
395,2017-09-24,WN,4543.0,PHX,PIT,1.0,1814.0
396,2017-09-15,DL,1538.0,LAS,MSP,1.0,1299.0
397,2017-09-03,DL,2463.0,ICT,ATL,1.0,782.0
398,2017-09-21,AA,155.0,CLT,DCA,1.0,331.0
399,2017-09-16,NK,1009.0,DTW,PHL,1.0,453.0
400,2017-09-27,UA,224.0,ATL,EWR,1.0,746.0
401,2017-09-30,B6,53.0,JFK,PBI,1.0,1028.0
402,2017-09-05,DL,1156.0,PDX,ATL,1.0,2172.0
403,2017-09-05,UA,527.0,IAH,ORD,1.0,925.0
404,2017-09-28,AA,2601.0,RDU,ORD,1.0,646.0
405,2017-09-03,AA,439.0,LAX,PHL,1.0,2402.0
406,2017-09-12,AA,1710.0,TPA,PHL,1.0,920.0
407,2017-09-11,DL,1879.0,LGA,FLL,1.0,1076.0
408,2017-09-12,AA,2366.0,DFW,RSW,1.0,1017.0
409,2017-09-14,AA,2326.0,DSM,DFW,1.0,624.0
410,2017-09-14,UA,1895.0,IAH,PHX,1.0,1009.0
411,2017-09-03,AS,605.0,LAS,SEA,1.0,867.0
412,2017-09-23,AA,143.0,LAX,HNL,1.0,2556.0
413,2017-09-04,DL,1719.0,LAX,HNL,1.0,2556.0
414,2017-09-17,OO,5873.0,SNA,SFO,1.0,372.0
415,2017-09-05,WN,1683.0,LAS,HOU,1.0,1235.0
416,2017-09-12,DL,873.0,MSP,MCI,1.0,393.0
417,2017-09-29,WN,1296.0,RSW,MDW,1.0,1105.0
418,2017-09-17,DL,1282.0,MIA,JFK,1.0,1089.0
419,2017-09-17,DL,68.0,PDX,LAX,1.0,834.0
420,2017-09-21,WN,1078.0,PHX,ONT,1.0,325.0
421,2017-09-19,UA,633.0,MCO,ORD,1.0,1005.0
422,2017-09-05,OO,5307.0,DEN,TUS,1.0,639.0
423,2017-09-29,AA,2665.0,TUL,DFW,1.0,237.0
424,2017-09-04,F9,796.0,PDX,DEN,1.0,991.0
425,2017-09-13,OO,3167.0,ATL,ORD,1.0,606.0
426,2017-09-01,B6,1208.0,IAD,JFK,1.0,228.0
427,2017-09-02,OO,5874.0,DEN,SGF,1.0,637.0
428,2017-09-26,OO,4697.0,MSP,SBN,1.0,411.0
429,2017-09-30,DL,1349.0,ATL,SDF,1.0,321.0
430,2017-09-08,B6,1053.0,FLL,SJU,1.0,1046.0
431,2017-09-16,OO,4277.0,DTW,SCE,1.0,301.0
432,2017-09-18,DL,2272.0,ATL,SRQ,1.0,444.0
433,2017-09-05,UA,479.0,LAX,EWR,1.0,2454.0
434,2017-09-14,HA,232.0,HNL,ITO,1.0,216.0
435,2017-09-25,EV,5350.0,CLE,LGA,1.0,419.0
436,2017-09-18,WN,1366.0,HOU,TPA,1.0,781.0
437,2017-09-22,DL,2144.0,DTW,OMA,1.0,651.0
438,2017-09-30,DL,2499.0,SLC,MSP,1.0,991.0
439,2017-09-15,AA,1641.0,SFO,DFW,1.0,1464.0
440,2017-09-01,WN,1133.0,RNO,LAS,1.0,345.0
441,2017-09-27,WN,5776.0,HOU,ELP,1.0,677.0
442,2017-09-24,DL,1658.0,DTW,SFO,1.0,2079.0
443,2017-09-16,B6,1109.0,BOS,JAX,1.0,1010.0
444,2017-09-26,B6,1631.0,SLC,LGB,1.0,588.0
445,2017-09-07,DL,2851.0,BGR,JFK,1.0,382.0
446,2017-09-26,WN,296.0,CHS,MDW,1.0,745.0
447,2017-09-14,AA,614.0,LAS,PHX,1.0,255.0
448,2017-09-18,AA,1210.0,DFW,MSP,1.0,852.0
449,2017-09-24,DL,2534.0,RDU,ATL,1.0,356.0
450,2017-09-28,AA,313.0,MIA,BWI,1.0,946.0
451,2017-09-08,DL,436.0,JFK,SEA,1.0,2422.0
452,2017-09-18,AA,2186.0,DTW,MIA,1.0,1145.0
453,2017-09-17,NK,791.0,EWR,MYR,1.0,550.0
454,2017-09-11,AA,2165.0,BOS,LGA,1.0,184.0
455,2017-09-10,UA,1175.0,SFO,HNL,1.0,2398.0
456,2017-09-07,OO,5167.0,DLH,ORD,1.0,397.0
457,2017-09-14,AA,1688.0,SAN,DFW,1.0,1171.0
458,2017-09-14,AA,538.0,MSY,DCA,1.0,969.0
459,2017-09-12,OO,4551.0,RDM,SLC,1.0,525.0
460,2017-09-12,AA,1192.0,BDL,LAX,1.0,2527.0
461,2017-09-18,VX,1048.0,OGG,SFO,1.0,2338.0
462,2017-09-25,AS,441.0,LAX,PDX,1.0,834.0
463,2017-09-16,OO,5293.0,FAR,DEN,1.0,627.0
464,2017-09-06,NK,646.0,TPA,DTW,1.0,983.0
465,2017-09-07,DL,2352.0,ALB,ATL,1.0,853.0
466,2017-09-09,B6,1677.0,JFK,JAX,1.0,828.0
467,2017-09-26,AA,1765.0,CLT,STL,1.0,575.0
468,2017-09-02,WN,4644.0,LAS,SAN,1.0,258.0
469,2017-09-22,WN,1770.0,LAS,DEN,1.0,628.0
470,2017-09-08,AA,1736.0,BUF,CLT,1.0,546.0
471,2017-09-22,AA,1102.0,STL,ORD,1.0,258.0
472,2017-09-13,WN,1959.0,LAX,SMF,1.0,373.0
473,2017-09-09,WN,2519.0,RDU,STL,1.0,667.0
474,2017-09-22,DL,2437.0,DTW,BOS,1.0,632.0
475,2017-09-25,WN,5407.0,PHX,OKC,1.0,833.0
476,2017-09-04,UA,1459.0,IAH,CLE,1.0,1091.0
477,2017-09-24,WN,4812.0,MKE,ATL,1.0,669.0
478,2017-09-09,AA,2673.0,BNA,DFW,1.0,631.0
479,2017-09-19,DL,1905.0,ATL,MCO,1.0,404.0
480,2017-09-27,AA,315.0,SAT,DFW,1.0,247.0
481,2017-09-11,OO,3240.0,ORD,MSN,1.0,108.0
482,2017-09-14,NK,109.0,BOS,DTW,1.0,632.0
483,2017-09-24,UA,1165.0,EWR,LAX,1.0,2454.0
484,2017-09-27,NK,877.0,ATL,FLL,1.0,581.0
485,2017-09-18,AA,2525.0,LGA,DFW,1.0,1389.0
486,2017-09-24,AA,2229.0,LAS,JFK,1.0,2248.0
487,2017-09-23,AA,1961.0,MCI,CLT,1.0,808.0
488,2017-09-28,DL,2245.0,ATL,AUS,1.0,813.0
489,2017-09-09,WN,3523.0,MDW,LGA,1.0,725.0
490,2017-09-17,WN,598.0,OAK,SAN,1.0,446.0
491,2017-09-05,EV,5374.0,LGA,RDU,1.0,431.0
492,2017-09-20,DL,1079.0,ATL,HSV,1.0,151.0
493,2017-09-26,DL,1136.0,RSW,ATL,1.0,515.0
494,2017-09-21,DL,1255.0,ATL,TLH,1.0,223.0
495,2017-09-13,DL,1436.0,DTW,BWI,1.0,409.0
496,2017-09-14,DL,1353.0,ATL,PNS,1.0,271.0
497,2017-09-25,WN,1713.0,MKE,BOS,1.0,860.0
498,2017-09-01,OO,5275.0,DEN,MLI,1.0,752.0
499,2017-09-28,WN,6153.0,MHT,MCO,1.0,1142.0
500,2017-09-07,AA,2197.0,CLE,DFW,1.0,1021.0
501,2017-09-02,UA,1657.0,TPA,ORD,1.0,1012.0
502,2017-09-09,UA,1936.0,ORD,DTW,1.0,235.0
503,2017-09-03,WN,3307.0,SLC,SJC,1.0,584.0
504,2017-09-03,WN,4017.0,OAK,LAS,1.0,407.0
505,2017-09-30,OO,4901.0,IND,MSP,1.0,503.0
506,2017-09-30,WN,931.0,MCI,LAS,1.0,1139.0
507,2017-09-15,UA,343.0,EWR,PBI,1.0,1023.0
508,2017-09-05,AA,44.0,SEA,JFK,1.0,2422.0
509,2017-09-29,AA,970.0,DFW,MCI,1.0,460.0
510,2017-09-20,DL,1717.0,OMA,ATL,1.0,821.0
511,2017-09-21,DL,2246.0,JFK,SAN,1.0,2446.0
512,2017-09-29,WN,1562.0,TUL,HOU,1.0,453.0
513,2017-09-27,AA,1022.0,ORD,SAN,1.0,1723.0
514,2017-09-09,AA,1149.0,CLT,EWR,1.0,529.0
515,2017-09-13,WN,1638.0,SJC,SAN,1.0,417.0
516,2017-09-27,OO,4891.0,DTW,MDT,1.0,371.0
517,2017-09-15,NK,199.0,IAH,LAS,1.0,1222.0
518,2017-09-26,OO,4726.0,MFR,SLC,1.0,575.0
519,2017-09-16,DL,812.0,ATL,ORD,1.0,606.0
520,2017-09-02,WN,2538.0,ONT,OAK,1.0,362.0
521,2017-09-20,DL,1971.0,CHS,ATL,1.0,259.0
522,2017-09-03,OO,3522.0,PDX,SEA,1.0,129.0
523,2017-09-17,WN,4805.0,SMF,SNA,1.0,404.0
524,2017-09-07,WN,220.0,MDW,CLE,1.0,307.0
525,2017-09-11,DL,2825.0,ATL,CVG,1.0,373.0
526,2017-09-17,OO,7378.0,SLC,BTM,1.0,358.0
527,2017-09-01,DL,993.0,MSP,EWR,1.0,1008.0
528,2017-09-13,AA,1172.0,DFW,BOS,1.0,1562.0
529,2017-09-25,WN,1340.0,MDW,STL,1.0,251.0
530,2017-09-23,WN,2140.0,BWI,MCO,1.0,787.0
531,2017-09-16,AA,1113.0,TPA,MIA,1.0,204.0
532,2017-09-07,DL,2183.0,ORD,ATL,1.0,606.0
533,2017-09-08,UA,2035.0,SAN,LAX,1.0,109.0
534,2017-09-13,AA,500.0,PHX,IND,1.0,1488.0
535,2017-09-23,DL,2827.0,JFK,SJU,1.0,1598.0
536,2017-09-10,AA,567.0,SFO,PHX,1.0,651.0
537,2017-09-27,WN,6307.0,OAK,ABQ,1.0,889.0
538,2017-09-08,OO,5279.0,SFO,BUR,1.0,326.0
539,2017-09-15,AA,1849.0,DCA,PBI,1.0,857.0
540,2017-09-05,VX,365.0,BOS,LAX,1.0,2611.0
541,2017-09-07,AS,200.0,SEA,SJC,1.0,696.0
542,2017-09-15,UA,2007.0,MSY,EWR,1.0,1167.0
543,2017-09-01,DL,1727.0,STL,MSP,1.0,448.0
544,2017-09-18,OO,4494.0,DFW,MSP,1.0,852.0
545,2017-09-14,WN,1885.0,LAS,PHX,1.0,255.0
546,2017-09-15,UA,1818.0,EWR,ORD,1.0,719.0
547,2017-09-08,AS,990.0,SEA,GEG,1.0,224.0
548,2017-09-27,WN,1663.0,FLL,STL,1.0,1057.0
549,2017-09-05,B6,569.0,BOS,FLL,1.0,1237.0
550,2017-09-26,DL,2452.0,RIC,ATL,1.0,481.0
551,2017-09-13,DL,771.0,SEA,DEN,1.0,1024.0
552,2017-09-08,AA,2059.0,CLT,MIA,1.0,650.0
553,2017-09-27,OO,7381.0,SLC,COD,1.0,298.0
554,2017-09-20,WN,6315.0,PHX,OMA,1.0,1037.0
555,2017-09-13,WN,1221.0,IND,DCA,1.0,500.0
556,2017-09-07,AA,2507.0,CLT,RDU,1.0,130.0
557,2017-09-02,B6,828.0,MCO,EWR,1.0,937.0
558,2017-09-18,WN,6182.0,PHX,HOU,1.0,1020.0
559,2017-09-11,WN,247.0,LAS,LAX,1.0,236.0
560,2017-09-28,WN,105.0,MDW,MSP,1.0,349.0
561,2017-09-27,WN,390.0,DCA,MCI,1.0,949.0
562,2017-09-12,WN,266.0,SJC,AUS,1.0,1476.0
563,2017-09-16,EV,3857.0,EWR,BWI,1.0,169.0
564,2017-09-01,WN,1986.0,TPA,LAS,1.0,1984.0
565,2017-09-25,WN,606.0,BUR,LAS,1.0,223.0
566,2017-09-26,AA,2031.0,CLT,IND,1.0,427.0
567,2017-09-18,B6,2802.0,JFK,BUF,1.0,301.0
568,2017-09-18,WN,1787.0,DEN,SEA,1.0,1024.0
569,2017-09-10,UA,75.0,DEN,MSP,1.0,680.0
570,2017-09-29,DL,45.0,JFK,SLC,1.0,1990.0
571,2017-09-10,B6,170.0,FLL,BOS,1.0,1237.0
572,2017-09-14,EV,4319.0,EWR,STL,1.0,872.0
573,2017-09-10,WN,4305.0,LGA,MDW,1.0,725.0
574,2017-09-19,UA,226.0,ORD,BWI,1.0,622.0
575,2017-09-14,AA,1410.0,LGA,MIA,1.0,1096.0
576,2017-09-01,DL,1158.0,CLE,ATL,1.0,554.0
577,2017-09-07,WN,613.0,MKE,LGA,1.0,738.0
578,2017-09-22,EV,4227.0,SDF,EWR,1.0,642.0
579,2017-09-10,WN,3317.0,PDX,LAS,1.0,763.0
580,2017-09-17,UA,1785.0,IAD,FLL,1.0,901.0
581,2017-09-01,WN,1291.0,OMA,MDW,1.0,423.0
582,2017-09-30,AA,2316.0,EWR,ORD,1.0,719.0
583,2017-09-26,DL,1545.0,DCA,ATL,1.0,547.0
584,2017-09-05,AS,22.0,SEA,ORD,1.0,1721.0
585,2017-09-28,OO,4914.0,SLC,BIL,1.0,387.0
586,2017-09-12,AA,2471.0,LAX,MIA,1.0,2342.0
587,2017-09-18,HA,273.0,HNL,LIH,1.0,102.0
588,2017-09-15,UA,2381.0,ORD,SAN,1.0,1723.0
589,2017-09-01,NK,188.0,OAK,LAS,1.0,407.0
590,2017-09-21,EV,2861.0,DFW,BTR,1.0,383.0
591,2017-09-19,DL,2885.0,AUS,SEA,1.0,1770.0
592,2017-09-06,OO,5963.0,HDN,DEN,1.0,141.0
593,2017-09-04,WN,6073.0,BWI,STL,1.0,738.0
594,2017-09-16,OO,5384.0,SEA,LAX,1.0,954.0
595,2017-09-03,EV,3779.0,IAH,LEX,1.0,828.0
596,2017-09-22,DL,2025.0,ATL,MIA,1.0,594.0
597,2017-09-29,WN,1763.0,IND,MCO,1.0,829.0
598,2017-09-12,EV,5335.0,AVL,ATL,1.0,164.0
599,2017-09-04,OO,4550.0,ATL,SBN,1.0,566.0
600,2017-09-18,OO,3561.0,CVG,IAH,1.0,871.0
601,2017-09-14,AA,1867.0,BWI,CLT,1.0,361.0
602,2017-09-30,AA,31.0,LAX,HNL,1.0,2556.0
603,2017-09-06,DL,1497.0,MSP,LAS,1.0,1299.0
604,2017-09-21,DL,2959.0,CVG,ATL,1.0,373.0
605,2017-09-28,EV,2831.0,DFW,TYS,1.0,771.0
606,2017-09-19,DL,668.0,SLC,SNA,1.0,588.0
607,2017-09-04,B6,1586.0,MCO,BUF,1.0,1011.0
608,2017-09-14,UA,1217.0,PDX,SFO,1.0,550.0
609,2017-09-25,WN,1733.0,AUS,FLL,1.0,1105.0
610,2017-09-12,AA,1597.0,MSY,DFW,1.0,447.0
611,2017-09-21,WN,1674.0,ISP,MCO,1.0,971.0
612,2017-09-22,OO,3490.0,SEA,FAT,1.0,748.0
613,2017-09-08,OO,5585.0,SFO,OKC,1.0,1384.0
614,2017-09-19,B6,597.0,BOS,SEA,1.0,2496.0
615,2017-09-07,WN,1302.0,MDW,MHT,1.0,838.0
616,2017-09-27,AA,2559.0,PHL,ORD,1.0,678.0
617,2017-09-22,DL,2463.0,ATL,ICT,1.0,782.0
618,2017-09-09,UA,995.0,SFO,ORD,1.0,1846.0
619,2017-09-09,OO,5003.0,ORD,FWA,1.0,157.0
620,2017-09-16,UA,1168.0,SFO,SEA,1.0,679.0
621,2017-09-16,OO,7367.0,APN,DTW,1.0,198.0
622,2017-09-19,WN,1702.0,OAK,SEA,1.0,672.0
623,2017-09-23,AA,1528.0,SJU,PHL,1.0,1576.0
624,2017-09-13,DL,454.0,JFK,LAS,1.0,2248.0
625,2017-09-03,AA,334.0,ORD,MIA,1.0,1197.0
626,2017-09-04,DL,2082.0,MSP,MEM,1.0,700.0
627,2017-09-28,HA,317.0,KOA,HNL,1.0,163.0
628,2017-09-23,WN,2770.0,MCO,BWI,1.0,787.0
629,2017-09-04,AS,519.0,SNA,SEA,1.0,978.0
630,2017-09-04,OO,4568.0,BTR,ATL,1.0,448.0
631,2017-09-08,WN,267.0,SFO,PHX,1.0,651.0
632,2017-09-24,F9,1877.0,MCO,COS,1.0,1520.0
633,2017-09-25,EV,3927.0,BTV,EWR,1.0,266.0
634,2017-09-25,OO,4689.0,SLC,COS,1.0,411.0
635,2017-09-23,AA,1768.0,ATL,PHL,1.0,666.0
636,2017-09-08,OO,5775.0,ORD,FAR,1.0,557.0
637,2017-09-15,VX,1050.0,HNL,SFO,1.0,2398.0
638,2017-09-03,OO,4577.0,MSP,MDW,1.0,349.0
639,2017-09-27,DL,1422.0,ATL,MEM,1.0,332.0
640,2017-09-25,OO,4688.0,IND,DTW,1.0,231.0
641,2017-09-19,F9,1862.0,PHX,CLE,1.0,1737.0
642,2017-09-08,WN,1357.0,DEN,RDU,1.0,1436.0
643,2017-09-14,AA,1196.0,PHX,DFW,1.0,868.0
644,2017-09-30,B6,1534.0,TPA,BDL,1.0,1111.0
645,2017-09-18,B6,20.0,SAN,BOS,1.0,2588.0
646,2017-09-26,AA,622.0,CLT,SFO,1.0,2296.0
647,2017-09-05,VX,488.0,LAX,LAS,1.0,236.0
648,2017-09-25,WN,1438.0,SEA,PHX,1.0,1107.0
649,2017-09-10,B6,2689.0,LAS,SFO,1.0,414.0
650,2017-09-16,WN,2246.0,HOU,LAX,1.0,1390.0
651,2017-09-14,DL,1688.0,SLC,OMA,1.0,840.0
652,2017-09-06,EV,3898.0,ORD,MHT,1.0,843.0
653,2017-09-18,OO,4735.0,CID,MSP,1.0,220.0
654,2017-09-18,WN,148.0,HOU,ELP,1.0,677.0
655,2017-09-10,OO,5199.0,ORD,COS,1.0,911.0
