flight_id,airline,aircraft_model,manufacture_year,flight_hours,cycles,passengers_capacity,actual_passengers,crew_count,fuel_capacity_gallons,fuel_used_gallons,distance_miles,incident_type,maintenance_score,delay_minutes,revenue_usd
FL00061,Southwest,Boeing 737,2008,5297,2835,150,150,4,8000,7600.0,1953.0,Weather,83.7,-10,164661.45
FL00062,Alaska,Boeing 757,1998,48421,22499,150,139,7,25000,11935.6,2002.8,None,90.5,6,261264.26
FL00063,United,Boeing 737,2017,7552,14849,350,301,8,8000,4297.7,2614.7,None,99.2,-10,141856.69
FL00064,Allegiant,Boeing 757,2004,41586,16330,300,57,10,8000,7600.0,571.1,None,84.3,11,302925.97
FL00065,United,Boeing 737,2014,14959,6589,250,250,11,20000,6597.1,3475.1,None,75.8,-10,159693.34
FL00066,Allegiant,Boeing 737,2009,27336,18008,150,150,4,8000,7600.0,1887.2,None,86.1,16,28413.83
FL00067,Southwest,Boeing 737,2012,31999,16066,150,150,8,15000,14066.2,1278.8,None,88.6,-10,20816.97
FL00068,Frontier,Boeing 777,2014,32183,22110,350,273,4,15000,14250.0,1536.0,None,95.0,-10,231658.77
FL00069,Spirit,Airbus A320,2007,2272,14780,350,246,6,15000,14250.0,1065.4,None,93.2,22,196085.29
FL00070,Hawaiian,Boeing 757,2023,46026,10615,300,191,9,6000,5700.0,4527.5,Technical,99.1,-10,196819.46
FL00071,Frontier,Airbus A330,2002,16763,8110,350,301,7,25000,9357.3,1011.4,None,94.6,32,279653.02
FL00072,JetBlue,Boeing 737,2003,27640,4040,200,145,6,25000,9218.0,4438.0,None,82.5,-8,140866.28
FL00073,United,Boeing 777,2010,19153,21644,180,75,7,10000,9500.0,2946.8,None,91.0,-10,348474.74
FL00074,JetBlue,Boeing 777,2013,11185,21279,150,150,10,20000,19000.0,4363.8,None,91.8,-1,331752.58
FL00075,Frontier,Boeing 777,2010,30664,17623,200,172,8,15000,14250.0,2475.5,None,100.0,-6,19342.19
FL00076,Allegiant,Boeing 757,2001,24309,19123,250,235,4,15000,14250.0,4652.6,None,78.5,8,315073.83
FL00077,Hawaiian,Airbus A320,2008,4081,4145,200,200,5,8000,4509.6,1215.2,None,79.8,13,242984.13
FL00078,Hawaiian,Boeing 757,2022,21253,14599,300,100,5,15000,8634.8,2862.5,None,78.9,16,183200.26
FL00079,Delta,Airbus A330,2008,5347,18309,250,54,7,8000,4684.4,804.0,None,89.7,3,210220.4
FL00080,Hawaiian,Airbus A320,2019,10653,24202,250,126,9,8000,7600.0,2346.7,None,78.4,-10,297022.22
FL00081,Spirit,Boeing 787,2021,20911,19840,350,209,9,10000,5957.5,2935.5,Weather,91.4,39,333597.53
FL00082,Hawaiian,Embraer E175,1998,29945,10029,200,200,7,6000,5097.6,3107.2,None,95.1,-2,202711.76
FL00083,Frontier,Boeing 777,2020,6235,20366,300,300,6,8000,7600.0,1954.5,None,85.8,-3,75732.63
FL00084,Delta,Boeing 757,2009,5673,24674,150,150,5,8000,7600.0,566.4,None,89.0,3,229317.58
FL00085,Frontier,Boeing 787,1997,13831,5458,350,304,6,25000,18017.1,3345.6,None,97.8,0,40533.35
FL00086,Frontier,Airbus A350,1999,7289,20295,200,60,8,10000,9500.0,2544.5,None,89.2,-10,227771.48
FL00087,American,Boeing 757,1995,14641,13987,150,57,5,8000,7600.0,857.0,None,80.2,16,285884.95
FL00088,Delta,Boeing 737,1997,43746,23840,200,81,8,20000,11935.5,4692.2,None,83.6,-10,133366.03
FL00089,Frontier,Embraer E175,2009,11187,2883,350,77,4,6000,5700.0,4787.2,None,88.2,-1,38846.78
FL00090,American,Boeing 737,2018,46535,5335,150,150,6,20000,11299.7,4311.7,None,78.9,40,246895.75
FL00091,American,Airbus A320,2021,2876,9639,350,277,7,15000,10001.3,4250.6,None,90.3,24,128675.13
FL00092,Delta,Embraer E175,2002,42179,14758,200,177,5,6000,5700.0,673.6,None,100.0,37,98447.38
FL00093,JetBlue,Boeing 757,2023,27664,14166,250,250,6,15000,7128.6,4968.4,None,91.3,-9,245875.89
FL00094,Allegiant,Airbus A330,1998,28935,7695,180,180,7,25000,21074.5,2121.8,None,84.3,20,339811.47
FL00095,Spirit,Boeing 787,1996,7797,12068,250,250,4,8000,6079.2,983.0,None,83.3,13,264683.0
FL00096,Allegiant,Airbus A330,2023,14729,10939,350,256,5,10000,9500.0,4098.1,None,98.3,4,179602.26
FL00097,Hawaiian,Boeing 757,2018,8486,4827,350,332,8,20000,8952.8,1283.5,None,96.8,-10,216171.09
FL00098,Spirit,Airbus A320,2018,17146,16044,350,294,4,15000,14250.0,2725.6,None,86.8,27,62663.43
FL00099,Hawaiian,Boeing 737,2004,8144,2785,150,94,9,8000,7600.0,814.5,None,83.8,-5,287426.45
FL00100,Frontier,Embraer E175,1998,9715,13661,300,154,7,20000,15221.7,2478.3,None,92.8,8,217438.83
FL00101,United,Airbus A330,1997,47902,24707,350,330,11,20000,17058.9,2879.1,None,82.9,23,338553.18
FL00102,Delta,Boeing 757,1996,5160,24712,250,250,5,25000,9842.7,2340.4,None,78.0,-10,343126.93
FL00103,Spirit,Airbus A330,2019,11000,6418,180,180,5,25000,15058.8,533.5,None,82.8,-10,133786.54
FL00104,Spirit,Boeing 757,2011,5681,17255,350,93,10,15000,9140.5,2527.7,Bird Strike,85.9,55,346162.89
FL00105,Frontier,Boeing 737,2017,34882,23959,350,274,10,8000,7600.0,2450.9,None,81.4,-10,335539.23
FL00106,JetBlue,Embraer E175,2015,20273,212,350,191,4,10000,9500.0,1455.8,None,80.4,37,229343.71
FL00107,American,Boeing 787,2018,13097,7827,150,150,5,15000,8122.6,4623.7,None,75.2,4,126710.58
FL00108,Frontier,Boeing 737,2014,43503,14899,350,225,7,20000,19000.0,2205.4,None,90.8,-4,267368.97
FL00109,Alaska,Airbus A330,2017,46516,18366,250,191,4,20000,10893.5,4347.8,None,90.4,-2,105864.47
FL00110,American,Boeing 787,2007,7248,3585,200,129,8,6000,5700.0,726.4,None,79.7,4,225997.71
FL00111,Delta,Boeing 757,1999,18848,22390,300,131,4,8000,7600.0,1730.6,None,98.6,32,23234.84
FL00112,American,Boeing 787,2015,14122,19880,350,184,4,6000,5700.0,1046.4,None,85.2,20,225575.24
FL00113,JetBlue,Boeing 757,2003,20113,13453,150,150,11,25000,16557.7,2160.4,None,75.6,1,333788.78
FL00114,American,Boeing 737,2019,38787,14566,250,226,8,10000,9500.0,735.9,None,80.5,-10,93772.92
FL00115,Delta,Airbus A330,2023,15986,19224,350,292,9,15000,14250.0,2317.0,None,92.3,5,275690.13
FL00116,JetBlue,Airbus A320,2019,25356,19141,150,104,10,20000,8218.8,1898.6,None,80.0,8,113296.89
FL00117,Allegiant,Airbus A330,2022,30105,8009,200,190,7,8000,7600.0,1271.9,None,76.3,30,252129.67
FL00118,Spirit,Boeing 757,2016,6738,3983,180,105,9,20000,11408.3,3282.5,Bird Strike,90.4,-10,249490.74
FL00119,Spirit,Boeing 777,2000,37519,3435,350,64,9,25000,3249.0,4764.4,None,88.0,-5,76887.14
FL00120,Hawaiian,Embraer E175,1999,33477,23070,250,234,9,6000,5631.3,1194.1,None,94.0,-6,215037.85
FL00121,Allegiant,Airbus A350,2019,40808,972,150,137,10,6000,5700.0,3616.6,None,94.3,4,302821.6
FL00122,Allegiant,Airbus A320,2004,43216,24523,150,146,6,15000,14250.0,3763.4,None,99.0,7,143148.58
FL00123,American,Boeing 787,2002,36734,10417,350,193,10,8000,7600.0,2591.0,None,76.4,14,252942.78
FL00124,Spirit,Airbus A320,2001,16855,13787,150,57,9,25000,19613.4,4508.8,None,76.0,-10,240934.06
FL00125,Delta,Embraer E175,2001,23482,614,180,180,6,8000,7600.0,4838.7,None,99.7,8,101267.19
FL00126,Southwest,Boeing 787,2000,49867,19692,150,150,8,15000,4551.3,1938.8,None,91.1,10,322745.59
FL00127,Southwest,Embraer E175,2015,22494,10839,300,272,10,25000,9004.0,3325.0,None,92.9,7,203776.55
FL00128,JetBlue,Boeing 787,2023,2353,2550,300,89,7,25000,10700.9,3378.6,None,77.4,1,134023.04
FL00129,Spirit,Airbus A320,2014,37810,21000,150,150,9,6000,5700.0,2137.5,None,76.7,-10,70060.06
FL00130,Spirit,Boeing 787,1997,45198,6931,350,319,5,6000,4363.4,1720.6,None,79.0,16,173608.55
FL00131,Southwest,Boeing 787,2013,964,3686,300,236,8,6000,5700.0,4682.0,None,85.7,-10,259588.0
FL00132,Spirit,Boeing 777,2016,34136,22464,250,250,6,20000,19000.0,3991.9,None,77.8,17,223919.49
FL00133,American,Airbus A330,2009,40322,273,300,280,10,10000,9500.0,749.4,None,86.2,30,258562.61
FL00134,Alaska,Airbus A330,1998,13766,6347,150,150,7,6000,5700.0,775.4,None,89.0,-10,280239.85
FL00135,United,Airbus A350,2022,21055,14945,350,224,4,10000,9500.0,4628.2,None,75.0,17,162736.6
FL00136,Allegiant,Airbus A350,2006,45238,400,200,164,7,10000,7338.4,590.8,None,77.9,-10,189255.67
FL00137,Hawaiian,Boeing 757,2000,38097,23748,350,349,7,8000,5320.2,3504.4,None,84.4,4,345451.41
FL00138,JetBlue,Boeing 757,2013,16409,18362,350,67,9,15000,14250.0,1288.4,None,76.3,2,339297.22
FL00139,Alaska,Boeing 757,1998,4154,24177,350,321,9,20000,17605.6,368.9,None,78.3,20,153963.74
FL00140,Southwest,Boeing 777,2009,1035,24974,250,61,10,10000,9500.0,486.3,None,80.8,17,244535.14
FL00141,Allegiant,Airbus A350,2003,45040,4782,180,180,10,20000,6974.9,1992.9,None,85.7,10,104642.71
FL00142,Spirit,Embraer E175,1999,22878,1067,150,150,11,8000,7600.0,572.4,None,92.9,-10,66153.68
FL00143,Hawaiian,Boeing 757,2007,43398,18660,180,142,6,6000,3657.8,3063.9,None,78.3,-10,272414.41
FL00144,Spirit,Boeing 757,2017,48428,23640,200,200,11,25000,5495.6,3306.8,None,93.4,23,161120.29
FL00145,Delta,Airbus A320,2020,49024,15279,180,180,10,10000,9500.0,1992.6,None,96.4,20,74312.69
FL00146,Delta,Boeing 737,2012,16809,7220,150,78,6,15000,12318.5,3765.8,None,91.3,-10,269214.05
FL00147,Hawaiian,Embraer E175,1999,9826,13353,150,126,9,25000,5531.9,2552.2,None,76.1,12,321582.07
FL00148,Hawaiian,Boeing 757,2019,40642,6257,200,58,9,8000,5518.7,2265.1,None,86.0,1,327646.62
FL00149,Southwest,Boeing 757,2010,20345,12366,150,73,5,20000,18243.8,2153.5,None,91.5,27,214771.79
FL00150,Hawaiian,Boeing 757,2021,34853,2469,200,64,5,6000,5700.0,2269.3,None,99.5,7,175679.78
FL00151,American,Boeing 737,2013,14352,6290,200,200,8,20000,14208.6,4845.9,None,98.8,23,62525.31
FL00152,Spirit,Boeing 737,2008,21416,1943,150,62,9,15000,12501.1,3470.8,None,84.9,-7,280584.58
FL00153,Alaska,Boeing 777,2019,37471,13803,300,221,4,10000,9500.0,1713.0,None,90.4,11,331683.26
FL00154,Frontier,Embraer E175,2010,19262,5372,200,200,5,15000,4045.8,3722.5,None,97.3,-3,312969.24
FL00155,Hawaiian,Boeing 777,2021,16060,11282,150,125,6,20000,6793.2,1785.3,None,95.8,-7,266847.46
FL00156,JetBlue,Boeing 787,2009,30891,24152,300,213,7,20000,16597.7,803.4,None,87.0,-10,16530.57
FL00157,Delta,Boeing 737,2016,42330,23312,200,110,10,25000,5863.7,2481.7,None,81.5,23,151596.54
FL00158,American,Airbus A320,1998,25316,17559,300,294,10,15000,14250.0,3804.9,None,78.4,40,152589.25
FL00159,Allegiant,Airbus A350,2001,32567,3167,250,204,8,15000,14250.0,2012.8,None,87.2,-10,314613.36
FL00160,Frontier,Airbus A320,2010,47034,4211,350,306,5,15000,14250.0,4372.0,None,93.1,19,36992.99
FL00161,Alaska,Airbus A350,2018,7854,15573,250,250,7,6000,5700.0,2057.4,None,99.2,18,192959.57
FL00162,Frontier,Boeing 737,2016,47114,4092,300,211,7,20000,19000.0,1879.2,None,96.5,-5,60605.03
FL00163,Hawaiian,Boeing 737,2015,4178,4483,200,117,5,8000,5385.6,4991.6,None,80.1,-10,236868.46
FL00164,Southwest,Boeing 737,2016,12953,14066,150,150,4,6000,5700.0,2515.9,None,93.0,29,280405.59
FL00165,Delta,Boeing 777,2015,4142,2708,180,180,4,6000,5700.0,4065.1,None,82.2,27,230056.34
FL00166,Delta,Embraer E175,2002,49152,10960,150,150,8,6000,5700.0,4063.9,None,92.1,14,281186.02
FL00167,Allegiant,Airbus A350,2011,14489,19917,180,144,11,25000,18121.6,4646.6,None,91.6,-5,218511.26
FL00168,Southwest,Embraer E175,2010,30525,2994,180,180,4,8000,6377.9,607.5,None,81.8,27,78596.1
FL00169,Spirit,Boeing 777,2021,2675,7260,200,200,8,15000,14250.0,1501.9,None,80.9,-10,143192.28
FL00170,United,Boeing 777,2017,39622,24087,300,172,11,25000,4101.7,3885.2,None,77.6,33,335551.05
FL00171,American,Airbus A330,2004,28279,8837,150,150,11,20000,9158.6,2900.5,None,76.3,38,111538.6
FL00172,Delta,Airbus A320,2004,34854,2036,300,300,6,10000,9500.0,2886.2,None,96.5,29,36058.9
FL00173,JetBlue,Airbus A320,2021,18724,10992,250,250,11,25000,6606.4,997.8,None,76.2,12,143918.04
FL00174,Delta,Boeing 787,1996,20450,17508,200,109,5,10000,4370.7,1549.5,None,77.2,-10,137712.88
FL00175,Frontier,Boeing 757,2003,26781,12211,200,174,11,20000,12317.2,2702.4,None,81.0,1,172553.45
FL00176,Delta,Boeing 777,2011,24088,20739,250,100,7,8000,7600.0,1530.5,None,97.2,40,202701.65
FL00177,Delta,Airbus A350,2005,15570,3057,150,150,8,10000,4610.1,1209.4,None,83.3,24,347461.79
FL00178,United,Airbus A330,2004,24804,1019,350,188,10,6000,5700.0,621.2,None,79.8,14,268338.37
FL00179,United,Airbus A330,2016,38836,8822,250,219,4,25000,21895.3,947.5,None,92.9,-9,27023.41
FL00180,Alaska,Boeing 757,2019,29477,2874,150,88,10,10000,5481.3,3890.6,None,83.0,25,253758.63
FL00181,Spirit,Embraer E175,2011,28672,1261,180,118,8,20000,9524.0,3650.1,None,83.3,-10,291117.64
FL00182,JetBlue,Boeing 757,1998,7593,279,200,200,9,6000,5700.0,420.0,None,93.5,2,315036.3
FL00183,Delta,Boeing 757,2010,4203,20718,150,97,8,10000,9500.0,1175.8,None,81.3,40,157042.04
FL00184,Delta,Boeing 757,2014,34944,15824,300,106,4,20000,19000.0,2890.2,None,97.4,-10,120064.57
FL00185,American,Airbus A320,2009,3094,14395,300,300,9,8000,5343.5,1748.6,None,89.0,17,296173.81
FL00186,United,Boeing 777,2019,3844,3235,200,148,9,20000,19000.0,4151.6,None,88.4,-10,275501.16
FL00187,JetBlue,Boeing 787,2021,47334,15061,250,64,11,8000,7600.0,3967.9,None,81.6,-8,194574.22
FL00188,Allegiant,Boeing 777,2015,47391,16935,350,228,4,6000,5700.0,4479.6,None,95.9,9,54490.73
FL00189,Alaska,Embraer E175,1999,27432,98,250,111,9,20000,3711.4,2902.1,None,89.3,12,233340.05
FL00190,Spirit,Boeing 737,2000,5694,20000,150,150,5,15000,14250.0,1890.0,None,78.9,46,36998.63
FL00191,Southwest,Boeing 757,2011,40399,15223,250,86,7,25000,13127.3,3109.1,None,80.2,-5,48622.88
FL00192,Spirit,Boeing 777,1995,7471,19489,200,183,10,15000,14250.0,627.9,None,86.7,17,125931.98
FL00193,Frontier,Embraer E175,2019,47415,16820,150,75,5,15000,14250.0,246.0,Weather,94.5,16,139343.79
FL00194,Delta,Boeing 737,2013,18128,1019,180,57,5,15000,14250.0,282.0,None,98.5,-7,169761.3
FL00195,Alaska,Boeing 737,1998,36012,14603,250,53,4,25000,20051.7,2156.2,None,91.6,24,128612.89
FL00196,Frontier,Boeing 757,2011,14090,5870,250,70,11,15000,7072.4,1294.8,None,87.7,18,26319.03
FL00197,JetBlue,Boeing 787,2003,46951,14342,350,198,4,8000,7600.0,955.2,None,81.3,0,67734.25
FL00198,Southwest,Airbus A350,2018,16726,3102,150,74,10,20000,19000.0,3153.6,None,91.8,9,53562.51
FL00199,United,Airbus A320,1996,20569,11659,300,192,7,6000,5700.0,4976.5,None,99.6,-10,159446.51
FL00200,Alaska,Boeing 777,2002,40822,23831,250,250,8,15000,14250.0,1053.2,None,86.9,-10,86063.19
FL00201,Alaska,Boeing 737,2009,40137,2352,200,92,5,15000,14250.0,2822.8,None,79.1,5,113337.67
FL00202,Delta,Boeing 777,2001,7230,2333,250,250,9,6000,5700.0,774.7,None,77.6,20,172975.1
FL00203,Hawaiian,Airbus A350,2021,6928,15435,350,234,7,6000,5700.0,4684.3,None,81.7,-2,93913.22
FL00204,Alaska,Airbus A320,2000,41712,9849,180,91,5,15000,14250.0,1600.4,None,89.2,-7,97386.25
FL00205,American,Airbus A350,1995,47088,15670,350,141,8,8000,7600.0,4416.0,None,98.7,0,294103.3
FL00206,Southwest,Airbus A320,2009,39199,20800,250,102,11,6000,3759.2,1558.8,None,82.5,22,198609.1
FL00207,Southwest,Airbus A330,2017,46265,172,300,133,9,20000,9749.8,4069.1,None,82.6,-10,302014.42
FL00208,American,Airbus A320,2020,17983,23233,250,83,5,20000,19000.0,1205.0,None,87.0,22,187366.18
FL00209,Allegiant,Boeing 757,2001,43159,9522,150,125,6,8000,7600.0,1605.4,None,98.0,15,319603.52
FL00210,American,Boeing 787,2023,18642,3777,250,246,10,25000,8798.9,1123.9,Weather,85.5,-10,100338.59
FL00211,American,Airbus A350,2019,43032,13782,300,300,7,10000,8176.8,1468.4,None,80.6,0,221584.46
FL00212,Southwest,Boeing 737,2011,10550,24884,150,137,10,8000,7600.0,4207.4,None,79.1,18,183582.64
FL00213,Spirit,Boeing 757,1996,20523,5008,200,200,4,15000,14250.0,3267.4,None,86.4,-10,322761.46
FL00214,Southwest,Airbus A330,2021,2135,574,150,150,5,10000,9500.0,2148.2,None,95.0,-10,155190.66
FL00215,Hawaiian,Boeing 787,2003,44331,9129,350,56,9,15000,14250.0,4863.3,None,82.3,-10,301365.98
FL00216,Delta,Boeing 777,2023,40845,8449,180,180,9,20000,16259.2,2431.3,None,87.8,-7,203907.86
FL00217,Frontier,Boeing 757,2003,17341,16582,350,87,7,6000,5700.0,4854.8,None,90.1,26,252361.89
FL00218,Spirit,Airbus A350,2007,23254,24435,150,101,7,15000,12084.1,1143.6,None,86.3,21,312109.19
FL00219,United,Embraer E175,2000,25725,16871,200,192,10,20000,8362.7,4542.3,None,79.8,-5,348963.65
FL00220,Frontier,Embraer E175,2000,45050,10444,250,250,9,8000,7600.0,266.3,None,98.0,26,259931.75
FL00221,Delta,Boeing 737,2014,33166,3799,150,150,9,15000,5363.6,2817.5,None,89.1,18,120364.85
FL00222,Hawaiian,Airbus A320,2014,33791,11403,350,192,9,20000,17274.6,2230.7,None,93.2,31,115169.02
FL00223,Hawaiian,Boeing 737,2015,13431,14059,150,98,5,6000,5700.0,2720.4,None,90.9,3,118549.78
FL00224,United,Embraer E175,1997,20790,24620,150,150,9,15000,12987.1,2856.5,None,100.0,16,47799.29
FL00225,Spirit,Boeing 777,2011,19283,20887,150,150,4,25000,9287.7,2067.4,None,86.4,72,32955.63
FL00226,Allegiant,Airbus A330,2011,39446,11487,200,63,9,20000,9788.2,4991.3,Weather,85.6,-1,209582.36
FL00227,American,Airbus A330,2006,4975,5386,300,300,4,15000,8468.3,4887.2,None,84.0,4,286547.16
FL00228,Spirit,Airbus A350,2010,12354,4601,300,64,5,6000,5700.0,4816.4,None,84.0,2,27105.07
FL00229,Allegiant,Airbus A330,2009,28721,2873,150,150,7,15000,10680.0,4899.6,None,81.9,3,204822.49
FL00230,Hawaiian,Airbus A350,2007,11005,22162,200,112,11,15000,14250.0,4006.5,None,99.5,16,139539.98
FL00231,Southwest,Boeing 757,2017,46221,12966,200,200,4,25000,12577.5,4945.2,Technical,96.8,6,313982.54
FL00232,Delta,Airbus A350,1995,15982,15217,150,76,5,20000,14492.2,4483.3,None,82.9,-10,63704.62
FL00233,United,Boeing 757,2011,19141,8727,350,142,11,10000,9500.0,2196.5,None,82.6,5,203749.72
FL00234,Delta,Airbus A350,1997,29198,14918,350,154,11,15000,14250.0,3966.9,None,77.6,-6,340258.44
FL00235,JetBlue,Embraer E175,2020,42531,8441,180,101,9,10000,9500.0,4577.9,None,96.9,-10,130586.04
FL00236,JetBlue,Embraer E175,2009,33809,12708,150,150,5,8000,7361.4,3620.5,None,84.3,28,263495.27
FL00237,Spirit,Airbus A320,1998,34775,18416,180,106,11,15000,14250.0,2229.4,None,89.3,-6,310621.14
