FlightDate,Carrier,FlightNum,Origin,Dest,Flights,Distance
2017-09-19,DL,2406,DCA,DTW,1.0,405.0
2017-09-14,AA,1004,DFW,AUS,1.0,190.0
2017-09-27,AS,408,SEA,LAX,1.0,954.0
2017-09-16,WN,2234,MSY,TPA,1.0,488.0
2017-09-27,F9,1258,AUS,ORD,1.0,977.0
2017-09-07,WN,1149,SJC,BUR,1.0,296.0
2017-09-30,OO,4632,CLE,DTW,1.0,95.0
2017-09-15,VX,1903,LAS,SFO,1.0,414.0
2017-09-11,UA,590,PIT,ORD,1.0,413.0
2017-09-07,WN,1684,BNA,DAL,1.0,623.0
2017-09-08,DL,2401,ALB,ATL,1.0,853.0
2017-09-11,DL,667,JAN,ATL,1.0,341.0
2017-09-19,WN,1676,SMF,LGB,1.0,387.0
2017-09-05,VX,352,SAN,SFO,1.0,447.0
2017-09-10,OO,4639,DEN,SEA,1.0,1024.0
2017-09-26,OO,4585,MSN,SLC,1.0,1174.0
2017-09-02,OO,5992,LAS,SFO,1.0,414.0
2017-09-25,NK,475,LGA,DTW,1.0,502.0
2017-09-05,AA,1361,BDL,ORD,1.0,783.0
2017-09-01,WN,5541,LGA,ATL,1.0,762.0
2017-09-21,OO,7394,SLC,SGU,1.0,272.0
2017-09-17,NK,1028,BWI,BOS,1.0,369.0
2017-09-20,AA,821,ROC,CLT,1.0,573.0
2017-09-04,DL,1837,ATL,AUS,1.0,813.0
2017-09-10,WN,3423,PHL,MDW,1.0,668.0
2017-09-21,EV,5369,SYR,DTW,1.0,374.0
2017-09-18,DL,1653,DTW,DCA,1.0,405.0
2017-09-23,EV,4289,MFE,IAH,1.0,316.0
2017-09-14,NK,785,MCI,LAX,1.0,1363.0
2017-09-23,AA,879,MDT,CLT,1.0,413.0
2017-09-10,AA,2458,PIT,DFW,1.0,1067.0
2017-09-12,WN,1643,STL,SAT,1.0,786.0
2017-09-10,OO,3103,FWA,ORD,1.0,157.0
2017-09-13,WN,6347,HOU,MCO,1.0,849.0
2017-09-20,AA,2226,DFW,DSM,1.0,624.0
2017-09-26,WN,193,ATL,IAD,1.0,534.0
2017-09-04,WN,1716,PHX,SAN,1.0,304.0
2017-09-21,UA,768,SFO,BOS,1.0,2704.0
2017-09-21,DL,2460,MSP,CVG,1.0,596.0
2017-09-13,UA,528,SLC,ORD,1.0,1250.0
2017-09-17,EV,3814,EWR,BUF,1.0,282.0
2017-09-15,AA,1808,CLT,TPA,1.0,507.0
2017-09-19,EV,4305,ORD,FSD,1.0,462.0
2017-09-29,UA,1537,LAS,EWR,1.0,2227.0
2017-09-11,OO,5609,LAX,DFW,1.0,1235.0
2017-09-14,AA,1899,PHX,CLT,1.0,1773.0
2017-09-11,AS,223,SFO,PDX,1.0,550.0
2017-09-26,WN,1568,DEN,PHL,1.0,1558.0
2017-09-15,WN,1915,BOS,MDW,1.0,861.0
2017-09-12,OO,7380,SLC,CDC,1.0,221.0
2017-09-09,UA,899,ALB,ORD,1.0,723.0
2017-09-28,DL,1315,BOS,MCO,1.0,1121.0
2017-09-01,DL,1547,ATL,DEN,1.0,1199.0
2017-09-08,UA,1546,ATL,EWR,1.0,746.0
2017-09-20,EV,5272,SYR,LGA,1.0,198.0
2017-09-21,EV,4198,OMA,IAH,1.0,781.0
2017-09-06,EV,5465,SHV,ATL,1.0,551.0
2017-09-17,AA,2278,DFW,OKC,1.0,175.0
2017-09-26,EV,2848,DFW,MHK,1.0,431.0
2017-09-13,UA,339,DEN,SEA,1.0,1024.0
2017-09-14,AA,2562,LAS,ORD,1.0,1514.0
2017-09-08,UA,438,IAH,SEA,1.0,1874.0
2017-09-20,EV,4096,ORD,SAV,1.0,773.0
2017-09-01,WN,395,BWI,SDF,1.0,495.0
2017-09-30,WN,252,MCO,DAL,1.0,973.0
2017-09-10,WN,4816,HOU,ABQ,1.0,759.0
2017-09-18,AA,1870,CLT,ROC,1.0,573.0
2017-09-09,AA,2465,PIT,DFW,1.0,1067.0
2017-09-24,AA,1858,PHL,DFW,1.0,1303.0
2017-09-14,NK,695,BWI,LAS,1.0,2106.0
2017-09-09,AA,2513,LAX,ATL,1.0,1947.0
2017-09-06,WN,5757,LAS,OMA,1.0,1099.0
2017-09-19,OO,3304,SJC,TUS,1.0,722.0
2017-09-23,OO,5478,IAH,ICT,1.0,542.0
2017-09-28,DL,1060,FLL,DTW,1.0,1127.0
2017-09-21,WN,1186,DEN,SFO,1.0,967.0
2017-09-30,OO,7383,SLC,CPR,1.0,320.0
2017-09-12,B6,1121,PDX,LGB,1.0,846.0
2017-09-24,AS,738,SEA,MCI,1.0,1489.0
2017-09-02,HA,8,HNL,LAS,1.0,2762.0
2017-09-20,AA,1473,DFW,ATL,1.0,731.0
2017-09-08,WN,1361,ISP,BWI,1.0,220.0
2017-09-09,AA,2298,SFO,DFW,1.0,1464.0
2017-09-29,UA,1883,ORD,SJC,1.0,1829.0
2017-09-05,WN,1186,SFO,LAS,1.0,414.0
2017-09-08,UA,1581,IAD,EWR,1.0,212.0
2017-09-21,AA,1821,CLE,PHL,1.0,363.0
2017-09-08,AA,1119,DFW,SNA,1.0,1205.0
2017-09-28,OO,3436,PDX,ONT,1.0,838.0
2017-09-22,WN,1576,DEN,MCI,1.0,533.0
2017-09-26,AA,1378,MSP,DFW,1.0,852.0
2017-09-23,DL,2146,ROC,ATL,1.0,749.0
2017-09-10,WN,3430,BNA,BWI,1.0,587.0
2017-09-09,AA,2023,MCO,PHL,1.0,861.0
2017-09-29,WN,508,TPA,BWI,1.0,842.0
2017-09-04,DL,1829,DTW,MIA,1.0,1145.0
2017-09-22,EV,5292,BTR,ATL,1.0,448.0
2017-09-18,F9,1148,LAS,IAD,1.0,2065.0
2017-09-22,AA,1180,CMH,DFW,1.0,926.0
2017-09-29,WN,334,PHX,OAK,1.0,646.0
2017-09-28,UA,712,IAD,SFO,1.0,2419.0
2017-09-07,WN,220,MDW,CLE,1.0,307.0
2017-09-30,WN,622,ATL,RDU,1.0,356.0
2017-09-10,OO,5848,BNA,ORD,1.0,409.0
2017-09-16,B6,1109,BOS,JAX,1.0,1010.0
2017-09-23,WN,424,HOU,RDU,1.0,1050.0
2017-09-05,UA,593,BOS,DEN,1.0,1754.0
2017-09-11,WN,105,MDW,MSP,1.0,349.0
2017-09-18,DL,2132,ATL,SAT,1.0,874.0
2017-09-25,EV,4364,MSN,EWR,1.0,799.0
2017-09-29,UA,1597,PHX,DEN,1.0,602.0
2017-09-08,AA,1786,PHL,MCO,1.0,861.0
2017-09-06,EV,3840,LEX,EWR,1.0,588.0
2017-09-12,AS,61,JNU,YAK,1.0,198.0
2017-09-18,DL,1299,BUF,DTW,1.0,241.0
2017-09-19,AA,855,PHX,SFO,1.0,651.0
2017-09-06,WN,1985,SJC,MDW,1.0,1838.0
2017-09-04,WN,4691,PDX,SMF,1.0,479.0
2017-09-03,AA,1883,PHL,MCO,1.0,861.0
2017-09-25,B6,1973,EWR,TPA,1.0,997.0
2017-09-06,OO,3446,SEA,PDX,1.0,129.0
2017-09-08,EV,4319,EWR,STL,1.0,872.0
2017-09-17,WN,2378,DAL,PHX,1.0,879.0
2017-09-11,AS,136,ANC,SEA,1.0,1448.0
2017-09-01,AA,1640,DFW,SBA,1.0,1316.0
2017-09-01,WN,157,MSP,BWI,1.0,936.0
2017-09-07,DL,2206,ORF,ATL,1.0,516.0
2017-09-25,DL,307,MSN,ATL,1.0,707.0
2017-09-14,AA,503,CLT,SFO,1.0,2296.0
2017-09-25,DL,1203,BZN,MSP,1.0,874.0
2017-09-16,AA,751,PHL,LAX,1.0,2402.0
2017-09-16,WN,2265,LIT,LAS,1.0,1294.0
2017-09-10,OO,2978,ORD,DSM,1.0,299.0
2017-09-11,HA,335,OGG,HNL,1.0,100.0
2017-09-15,HA,337,KOA,HNL,1.0,163.0
2017-09-23,DL,702,PHF,ATL,1.0,508.0
2017-09-05,UA,395,BWI,ORD,1.0,622.0
2017-09-05,UA,1001,BOS,EWR,1.0,200.0
2017-09-26,UA,1195,ORD,DFW,1.0,802.0
2017-09-21,OO,4441,DTW,IAD,1.0,383.0
2017-09-30,UA,856,LAX,IAD,1.0,2288.0
2017-09-07,DL,2167,ATL,PHX,1.0,1587.0
2017-09-21,OO,7359,ITH,DTW,1.0,353.0
2017-09-22,DL,2576,DTW,PHX,1.0,1671.0
2017-09-02,OO,5874,DEN,SGF,1.0,637.0
2017-09-28,WN,1801,DEN,BOI,1.0,649.0
2017-09-18,WN,6117,LAS,SMF,1.0,397.0
2017-09-29,OO,4817,DTW,MSN,1.0,311.0
2017-09-17,DL,1310,MSP,JFK,1.0,1029.0
2017-09-04,F9,366,SEA,DEN,1.0,1024.0
2017-09-29,B6,57,BOS,IAD,1.0,413.0
2017-09-05,NK,469,FLL,DFW,1.0,1119.0
2017-09-22,DL,2445,ATL,DAL,1.0,721.0
2017-09-27,OO,5829,ASE,ORD,1.0,1013.0
2017-09-08,AA,2042,DFW,CLT,1.0,936.0
2017-09-27,DL,1409,SFO,SLC,1.0,599.0
2017-09-18,AA,466,CLT,SMF,1.0,2244.0
2017-09-17,AA,2312,DEN,ORD,1.0,888.0
2017-09-11,F9,897,TTN,FLL,1.0,1026.0
2017-09-26,WN,120,PVD,MCO,1.0,1072.0
2017-09-21,DL,2863,ATL,SEA,1.0,2182.0
2017-09-09,WN,2772,RNO,LAX,1.0,391.0
2017-09-15,B6,2618,FLL,JAX,1.0,319.0
2017-09-09,NK,550,ATL,ORD,1.0,606.0
2017-09-17,NK,327,IAH,LAX,1.0,1379.0
2017-09-26,DL,2608,BWI,ATL,1.0,577.0
2017-09-22,EV,5357,CID,ATL,1.0,694.0
2017-09-26,WN,355,BNA,DEN,1.0,1014.0
2017-09-14,AA,614,LAS,PHX,1.0,255.0
2017-09-27,EV,3963,ORD,CAE,1.0,666.0
2017-09-13,B6,915,JFK,SFO,1.0,2586.0
2017-09-22,B6,824,MCO,DCA,1.0,759.0
2017-09-17,DL,2336,RSW,ATL,1.0,515.0
2017-09-04,AA,468,MCO,DFW,1.0,985.0
2017-09-11,WN,1019,SAN,PHX,1.0,304.0
2017-09-14,UA,1217,PDX,SFO,1.0,550.0
2017-09-29,WN,5969,OAK,ONT,1.0,362.0
2017-09-14,AA,380,ORD,LGA,1.0,733.0
2017-09-02,AA,479,ORD,PHL,1.0,678.0
2017-09-24,OO,3069,PHX,BFL,1.0,425.0
2017-09-10,DL,176,MCO,ATL,1.0,404.0
2017-09-28,DL,2577,GPT,ATL,1.0,352.0
2017-09-02,WN,3591,AUS,PHX,1.0,872.0
2017-09-14,DL,1818,ATL,MCO,1.0,404.0
2017-09-03,WN,3873,LAS,STL,1.0,1371.0
2017-09-24,WN,1416,PDX,DEN,1.0,991.0
2017-09-20,EV,5273,RIC,DTW,1.0,456.0
2017-09-06,DL,1267,TPA,JFK,1.0,1005.0
2017-09-18,UA,1974,MIA,EWR,1.0,1085.0
2017-09-14,WN,5833,MSY,HOU,1.0,302.0
2017-09-08,DL,66,TPA,ATL,1.0,406.0
2017-09-19,AA,1896,DFW,PHX,1.0,868.0
2017-09-20,DL,1809,MSP,MKE,1.0,297.0
2017-09-03,AA,2325,MIA,LGA,1.0,1096.0
2017-09-24,B6,1001,BUF,JFK,1.0,301.0
2017-09-10,EV,5369,SYR,DTW,1.0,374.0
2017-09-22,EV,5390,LGA,GSO,1.0,461.0
2017-09-25,UA,651,TPA,ORD,1.0,1012.0
2017-09-21,VX,1366,LAX,BOS,1.0,2611.0
2017-09-26,DL,957,RSW,MSP,1.0,1416.0
2017-09-09,UA,1231,HNL,LAX,1.0,2556.0
2017-09-07,UA,1001,BOS,EWR,1.0,200.0
2017-09-25,B6,356,IAD,BOS,1.0,413.0
2017-09-28,AA,407,PHL,MIA,1.0,1013.0
2017-09-22,WN,223,TPA,ATL,1.0,406.0
2017-09-10,DL,2186,ATL,LGA,1.0,762.0
2017-09-23,WN,2770,MCO,BWI,1.0,787.0
2017-09-08,OO,4464,RDU,AUS,1.0,1162.0
2017-09-13,UA,750,SFO,LAX,1.0,337.0
2017-09-10,HA,530,OGG,KOA,1.0,84.0
2017-09-04,WN,6036,PHX,SMF,1.0,647.0
2017-09-16,AA,2476,BDL,MIA,1.0,1194.0
2017-09-29,UA,2079,CLE,MCO,1.0,895.0
2017-09-06,AS,624,PDX,LAS,1.0,763.0
2017-09-16,OO,5967,SLC,SFO,1.0,599.0
2017-09-01,DL,1402,ATL,LAS,1.0,1747.0
2017-09-03,WN,4544,RNO,LAS,1.0,345.0
2017-09-23,UA,213,SFO,EWR,1.0,2565.0
2017-09-05,DL,1646,CMH,ATL,1.0,447.0
2017-09-17,WN,4662,DTW,ATL,1.0,594.0
2017-09-30,WN,1648,SMF,SEA,1.0,605.0
2017-09-09,DL,786,VPS,ATL,1.0,250.0
2017-09-05,AA,2270,JFK,ORD,1.0,740.0
2017-09-07,OO,5791,ORD,CLT,1.0,599.0
2017-09-08,DL,1986,BOS,CVG,1.0,752.0
2017-09-01,OO,4610,SUN,SLC,1.0,222.0
2017-09-11,AA,1896,DFW,PHX,1.0,868.0
2017-09-24,UA,44,DEN,IAH,1.0,862.0
2017-09-28,AA,718,ATL,PHL,1.0,666.0
2017-09-01,DL,2378,SLC,SAN,1.0,626.0
2017-09-17,WN,3471,BNA,MCO,1.0,616.0
2017-09-12,AA,1802,PHL,CLE,1.0,363.0
2017-09-23,WN,2629,PDX,LAS,1.0,763.0
2017-09-29,WN,804,FLL,TPA,1.0,197.0
2017-09-28,DL,1632,JAC,SLC,1.0,205.0
2017-09-05,WN,1816,TUS,DEN,1.0,639.0
2017-09-12,WN,1873,SAT,DAL,1.0,248.0
2017-09-16,WN,2322,RNO,DEN,1.0,804.0
2017-09-11,EV,4113,EWR,IND,1.0,645.0
2017-09-20,WN,1389,DAL,DCA,1.0,1184.0
2017-09-06,WN,1031,ATL,DAL,1.0,721.0
2017-09-14,UA,519,ORD,LAS,1.0,1514.0
2017-09-18,AA,1870,MSY,CLT,1.0,651.0
2017-09-14,B6,759,BOS,PHL,1.0,280.0
2017-09-04,EV,5377,RIC,MSP,1.0,970.0
2017-09-19,AS,411,LAX,SEA,1.0,954.0
2017-09-19,OO,5863,EUG,DEN,1.0,996.0
2017-09-01,UA,1478,DEN,JAC,1.0,406.0
2017-09-25,WN,1198,SMF,SEA,1.0,605.0
2017-09-24,UA,174,MCO,EWR,1.0,937.0
2017-09-15,DL,1551,MSP,LAS,1.0,1299.0
2017-09-08,DL,1374,JAC,SLC,1.0,205.0
2017-09-26,WN,561,BWI,SDF,1.0,495.0
2017-09-08,AA,879,LGA,CLT,1.0,544.0
2017-09-01,WN,122,ABQ,PDX,1.0,1111.0
2017-09-13,WN,1890,SMF,BUR,1.0,358.0
2017-09-18,UA,1942,IAH,LAS,1.0,1222.0
2017-09-01,AA,2443,ORD,MIA,1.0,1197.0
2017-09-01,DL,1981,SEA,SLC,1.0,689.0
2017-09-05,UA,1992,EWR,IAD,1.0,212.0
2017-09-18,UA,604,PHX,DEN,1.0,602.0
2017-09-27,OO,4720,SLC,BOI,1.0,290.0
2017-09-14,DL,2086,MDW,ATL,1.0,591.0
2017-09-10,WN,3899,PHX,MSY,1.0,1300.0
2017-09-28,AA,1431,DEN,PHX,1.0,602.0
2017-09-19,NK,773,BOS,ORD,1.0,867.0
2017-09-04,AA,1827,DTW,CLT,1.0,500.0
2017-09-25,DL,1771,ATL,MEM,1.0,332.0
2017-09-25,WN,1774,MDW,MCO,1.0,990.0
2017-09-14,B6,233,BTV,JFK,1.0,266.0
2017-09-18,AA,1750,CLT,DCA,1.0,331.0
2017-09-19,B6,470,FLL,BOS,1.0,1237.0
2017-09-28,VX,1281,IND,SFO,1.0,1943.0
2017-09-13,AA,148,CLT,JFK,1.0,541.0
2017-09-07,AA,2673,DFW,BNA,1.0,631.0
2017-09-25,UA,1465,EWR,DFW,1.0,1372.0
2017-09-22,EV,4250,ORD,CHA,1.0,501.0
2017-09-12,WN,1675,SJC,SNA,1.0,342.0
2017-09-10,UA,326,IAD,SEA,1.0,2306.0
2017-09-20,UA,878,BOS,EWR,1.0,200.0
2017-09-24,WN,3593,MDW,STL,1.0,251.0
2017-09-17,WN,3986,AUS,ATL,1.0,813.0
2017-09-12,DL,425,JFK,LAX,1.0,2475.0
2017-09-12,WN,1477,LAX,SFO,1.0,337.0
2017-09-11,AA,1030,ABQ,ORD,1.0,1118.0
2017-09-20,B6,2933,BDL,TPA,1.0,1111.0
2017-09-13,OO,5023,LAX,MRY,1.0,266.0
2017-09-15,WN,5468,SMF,ONT,1.0,390.0
2017-09-22,WN,801,DEN,SFO,1.0,967.0
2017-09-30,UA,730,EWR,MCO,1.0,937.0
2017-09-02,UA,1657,TPA,ORD,1.0,1012.0
2017-09-04,WN,4207,SMF,PDX,1.0,479.0
2017-09-08,AS,408,SEA,LAX,1.0,954.0
2017-09-27,EV,4382,ORD,FSD,1.0,462.0
2017-09-30,WN,1547,PHX,SAN,1.0,304.0
2017-09-28,WN,20,HOU,DAL,1.0,239.0
2017-09-02,F9,1160,CVG,RSW,1.0,879.0
2017-09-04,DL,2319,SLC,PSC,1.0,521.0
2017-09-05,OO,4789,CLE,MSP,1.0,622.0
2017-09-08,OO,4577,LAX,SFO,1.0,337.0
2017-09-21,OO,5601,ORD,OKC,1.0,693.0
2017-09-06,DL,61,SFO,ATL,1.0,2139.0
2017-09-10,AA,1817,SEA,CLT,1.0,2279.0
2017-09-03,NK,478,TPA,FLL,1.0,197.0
2017-09-12,WN,32,LAS,SLC,1.0,368.0
2017-09-01,F9,2037,IND,MCO,1.0,829.0
2017-09-02,WN,2351,SNA,DEN,1.0,846.0
2017-09-27,HA,3,LAX,HNL,1.0,2556.0
2017-09-22,B6,1888,MCO,ORH,1.0,1091.0
2017-09-23,DL,2841,SLC,PDX,1.0,630.0
2017-09-16,AS,874,ANC,HNL,1.0,2777.0
2017-09-28,NK,892,MCO,DTW,1.0,957.0
2017-09-26,WN,1866,DEN,PIT,1.0,1290.0
2017-09-02,NK,478,FLL,ORD,1.0,1182.0
2017-09-26,B6,1198,MCO,LGA,1.0,950.0
2017-09-24,WN,4920,RDU,PHX,1.0,1891.0
2017-09-10,DL,1462,ATL,PIT,1.0,526.0
2017-09-25,OO,4786,DTW,SYR,1.0,374.0
2017-09-03,HA,265,OGG,HNL,1.0,100.0
2017-09-03,AA,1240,ORD,BOS,1.0,867.0
2017-09-28,WN,1725,BWI,MCI,1.0,967.0
2017-09-26,UA,571,EWR,CHS,1.0,628.0
2017-09-01,WN,1634,CMH,MDW,1.0,283.0
2017-09-25,AA,2527,PHX,JFK,1.0,2153.0
2017-09-26,WN,199,MDW,HOU,1.0,937.0
2017-09-24,AA,2534,ELP,DFW,1.0,551.0
2017-09-14,UA,497,SFO,SAN,1.0,447.0
2017-09-23,DL,653,RDU,DTW,1.0,501.0
2017-09-28,DL,1955,MSY,ATL,1.0,425.0
2017-09-20,AA,2268,DFW,CVG,1.0,812.0
2017-09-28,OO,5042,LAX,SBP,1.0,156.0
2017-09-23,AA,1241,DTW,DFW,1.0,986.0
2017-09-05,OO,5948,PIA,ORD,1.0,130.0
2017-09-28,UA,397,ORD,TPA,1.0,1012.0
2017-09-27,DL,1844,SLC,SEA,1.0,689.0
2017-09-09,EV,4300,EWR,RIC,1.0,277.0
2017-09-20,UA,717,LAX,IAH,1.0,1379.0
2017-09-03,WN,3909,MCO,FLL,1.0,177.0
2017-09-25,AS,812,OGG,SJC,1.0,2355.0
2017-09-19,UA,1923,SNA,EWR,1.0,2434.0
2017-09-19,WN,6314,OMA,PHX,1.0,1037.0
2017-09-21,WN,6783,SEA,SJC,1.0,696.0
2017-09-23,DL,1289,CVG,ATL,1.0,373.0
2017-09-06,UA,1865,SFO,BOS,1.0,2704.0
2017-09-08,B6,777,BOS,LAS,1.0,2381.0
2017-09-30,WN,1156,SMF,LAS,1.0,397.0
2017-09-21,DL,2413,DCA,DTW,1.0,405.0
2017-09-06,DL,2523,DTW,BOS,1.0,632.0
2017-09-03,WN,3854,PHX,LAX,1.0,370.0
2017-09-27,UA,325,TPA,IAD,1.0,811.0
2017-09-17,AA,2616,ORD,JAC,1.0,1162.0
2017-09-23,OO,5979,CLT,DEN,1.0,1337.0
2017-09-12,B6,1308,IAD,JFK,1.0,228.0
2017-09-28,DL,2826,BNA,ATL,1.0,214.0
2017-09-27,DL,809,BOS,MSP,1.0,1124.0
2017-09-28,NK,184,LAX,CLE,1.0,2052.0
2017-09-17,UA,397,ORD,TPA,1.0,1012.0
2017-09-25,DL,994,BOS,MSP,1.0,1124.0
2017-09-09,UA,937,IAH,SFO,1.0,1635.0
2017-09-13,AS,67,SIT,JNU,1.0,95.0
2017-09-23,WN,2609,STL,MDW,1.0,251.0
2017-09-07,EV,5443,RIC,BOS,1.0,474.0
2017-09-25,OO,3399,SAN,SJC,1.0,417.0
2017-09-16,WN,5381,SNA,DEN,1.0,846.0
2017-09-12,AA,527,PBI,DCA,1.0,857.0
2017-09-30,DL,1349,ATL,SDF,1.0,321.0
2017-09-04,AA,2622,EWR,CLT,1.0,529.0
2017-09-06,OO,7370,BJI,MSP,1.0,199.0
2017-09-26,EV,3796,IAH,BHM,1.0,562.0
2017-09-06,UA,238,SAN,IAD,1.0,2253.0
2017-09-05,WN,3522,SLC,SMF,1.0,532.0
2017-09-22,AS,65,KTN,WRG,1.0,82.0
2017-09-22,HA,224,LIH,HNL,1.0,102.0
2017-09-12,EV,4314,CLE,LGA,1.0,419.0
2017-09-24,OO,5993,SFO,MFR,1.0,329.0
2017-09-30,AA,2240,LGA,MIA,1.0,1096.0
2017-09-03,EV,5266,ILM,LGA,1.0,500.0
2017-09-25,UA,1698,RDU,SFO,1.0,2400.0
2017-09-04,DL,2053,FNT,ATL,1.0,645.0
2017-09-20,UA,1213,ORD,SFO,1.0,1846.0
2017-09-30,NK,333,PIT,LAS,1.0,1910.0
2017-09-13,OO,4443,DTW,ALB,1.0,489.0
2017-09-04,WN,968,EWR,MDW,1.0,711.0
2017-09-13,UA,1194,EWR,LAS,1.0,2227.0
2017-09-17,DL,2247,DTW,MKE,1.0,237.0
2017-09-01,EV,5412,ATL,DHN,1.0,170.0
2017-09-28,UA,1274,MSP,DEN,1.0,680.0
2017-09-07,WN,5700,MCI,LAS,1.0,1139.0
2017-09-20,WN,1951,ATL,HOU,1.0,696.0
2017-09-26,AA,1935,CLT,RDU,1.0,130.0
2017-09-11,OO,7385,EKO,SLC,1.0,200.0
2017-09-30,AA,1907,MIA,PHL,1.0,1013.0
2017-09-10,WN,4916,BNA,TPA,1.0,612.0
2017-09-22,DL,2949,TYS,ATL,1.0,152.0
2017-09-13,DL,766,ATL,MKE,1.0,669.0
2017-09-17,EV,3906,GRR,IAH,1.0,1042.0
2017-09-25,WN,6281,SJC,PHX,1.0,621.0
2017-09-27,WN,1083,PDX,LAS,1.0,763.0
