DayofMonth,DayOfWeek,Carrier,OriginAirportID,DestAirportID,DepDelay,ArrDelay
15,4,OO,15016,13487,-8,-10
11,4,DL,14843,10397,-5,0
14,7,DL,14057,11433,142,138
13,7,AA,12892,15016,-7,-29
23,2,VX,12892,12264,-7,-19
5,5,B6,13204,10721,-4,-20
1,6,AA,13303,13930,-3,-29
21,7,AA,11298,10423,4,-7
30,4,F9,13232,11292,133,138
15,3,EV,11193,11433,-5,3
25,2,AA,14057,13930,6,31
4,4,AA,11298,12889,1,3
20,4,WN,12889,13232,16,6
26,4,AA,13930,14908,24,26
30,2,9E,13930,13487,-8,-10
12,1,DL,11433,11298,-4,42
15,4,DL,13487,14893,-5,-18
17,2,UA,12889,13930,54,37
20,7,US,14107,12478,3,1
8,7,UA,12953,13930,-2,5
30,2,EV,11042,14524,-3,23
4,4,AA,13303,13930,135,112
2,5,AA,13303,11298,21,5
2,2,EV,13930,13871,5,-1
2,1,OO,15304,11042,11,18
13,6,OO,12892,15376,-5,-3
9,2,US,14893,14107,-10,-8
19,5,WN,13891,14831,-1,-9
9,7,AA,11618,12892,0,0
29,6,EV,14730,12266,12,-7
3,3,US,10721,11278,-8,4
23,5,OO,14831,11292,-10,-4
17,4,UA,13930,12264,-3,-12
19,5,US,12892,14100,-10,-18
12,5,UA,13930,14635,19,20
11,4,UA,13930,11618,196,208
5,4,EV,11618,12451,-16,-38
19,6,AA,11298,13830,-6,-3
15,6,UA,14057,11292,-3,-4
16,2,WN,11433,13232,-1,4
21,1,MQ,11298,12191,3,3
11,7,WN,14679,14107,0,3
16,2,AA,10721,13930,-2,4
4,6,US,14100,11057,-3,-1
9,2,AA,12478,12892,-7,-27
25,4,US,11618,11057,34,40
31,5,MQ,13930,14524,11,13
27,1,MQ,12191,11298,-6,-11
25,6,US,14100,14107,3,24
4,5,AA,14893,11298,-7,-28
29,7,OO,13871,11292,-2,-7
12,4,EV,11193,13930,4,16
7,7,B6,11278,10721,-4,-6
27,1,VX,12892,12478,4,2
16,4,OO,14869,14893,-1,3
20,1,VX,12889,14771,2,-2
10,1,UA,11618,11292,0,-41
25,4,WN,13198,10721,1,-15
22,6,WN,11259,10140,48,35
28,5,DL,11433,14869,316,301
14,5,EV,14492,10721,78,59
15,1,WN,12953,13232,31,18
27,4,EV,12266,10693,-4,-9
19,3,MQ,11066,13930,1,-10
8,6,DL,14869,11057,-4,3
15,7,FL,10397,13244,-9,-19
23,5,UA,11292,12953,-4,0
13,5,US,14100,14747,0,-19
20,7,UA,11618,12173,3,-15
9,7,OO,12266,13198,22,43
11,4,WN,15016,13487,-1,0
8,6,US,11057,14107,-1,-5
15,4,UA,12266,14679,0,-11
9,7,WN,15304,12191,40,34
19,5,WN,14679,14893,2,-4
27,2,US,13303,11057,0,-9
18,3,WN,13198,11259,-2,-10
14,2,OO,11292,14869,46,44
18,6,UA,14100,13930,15,12
2,7,AA,11298,11433,22,11
6,4,AA,13303,13930,128,106
28,7,MQ,11066,12953,156,161
24,1,AA,11298,14107,5,1
6,2,EV,11278,11618,10,35
23,1,EV,12264,14524,113,108
30,2,AA,14908,11298,-3,-9
9,5,UA,11697,12266,-8,-26
30,1,9E,11433,11193,-2,4
4,6,AA,12264,12892,40,9
4,7,WN,14831,12889,0,-11
29,7,EV,12953,11057,-2,-19
29,3,WN,11433,13232,0,-14
2,3,FL,15304,10821,7,5
2,5,WN,10693,12191,-4,-5
22,1,WN,10821,10693,6,-1
7,7,B6,12889,12954,-6,-19
17,1,WN,11292,13487,4,-8
4,3,AA,13303,14107,-7,-36
6,2,EV,10693,11042,-6,-12
29,1,WN,15016,10693,-5,-6
21,7,UA,12266,13303,4,-8
6,1,US,11618,11057,3,4
8,1,EV,11433,13871,-3,-4
24,1,US,10721,12953,0,0
26,4,FL,12451,10397,-9,-3
24,3,WN,14831,14107,7,0
9,1,EV,12478,12264,8,5
14,3,B6,13204,11618,-6,-21
2,5,MQ,13244,13930,55,46
12,7,US,11057,10529,88,71
25,3,WN,13891,12889,47,60
21,3,MQ,13930,13487,77,84
15,6,UA,12266,11042,-2,-17
30,1,B6,14771,10721,-4,-15
29,1,DL,11057,10397,-8,-31
7,6,EV,13930,13871,-7,-12
25,6,DL,12478,12892,-2,-7
13,4,WN,13204,14100,158,151
16,2,UA,14843,11618,7,15
18,4,WN,11618,15016,267,256
17,2,HA,13830,12173,-5,-5
29,6,DL,14524,10397,16,31
9,7,AA,12892,12173,0,11
27,6,AS,14747,14679,-5,7
19,3,US,11298,14100,-2,-8
18,7,WN,12889,14771,-2,35
28,1,DL,10397,10821,51,42
11,5,WN,12889,12892,4,19
7,6,DL,13244,12889,-4,-22
3,3,AA,13930,14027,-2,-7
28,3,WN,12191,13232,0,-6
25,7,US,15304,11278,-4,4
6,2,AA,10821,13303,27,-3
14,3,WN,12191,11259,-4,-7
19,7,MQ,11433,13930,3,-10
11,6,VX,12892,14771,-5,-17
26,5,WN,11066,15304,-1,0
17,6,DL,11433,10821,-6,-12
21,1,WN,12191,11259,33,22
9,5,DL,14027,10397,12,6
12,5,DL,13198,13487,-8,-14
16,2,WN,11259,15016,-5,-13
17,3,EV,11193,13244,-4,-16
12,1,UA,14771,12266,-3,-14
31,5,OO,13342,13930,11,-3
18,6,DL,11433,14771,2,-18
31,4,WN,14492,11292,17,13
24,6,AS,14747,14771,-5,3
31,4,9E,14492,11193,9,3
28,5,OO,10423,14869,-1,-12
5,1,UA,14771,13930,-2,-14
20,6,US,14679,14107,0,-15
30,2,AA,12892,11298,-2,-6
24,4,9E,13495,13487,-2,10
4,2,WN,12892,13232,20,5
19,1,F9,13871,11292,-6,-6
6,5,US,11057,13303,7,-2
11,2,DL,10397,12953,0,-4
14,2,9E,14492,13487,-1,-13
8,6,B6,12954,14771,-4,-21
4,7,UA,14771,12889,-9,-19
1,6,UA,15304,12264,-3,0
21,7,DL,13204,10397,-7,-8
5,5,UA,14771,12266,47,36
9,7,US,14107,11618,1,-11
15,6,EV,10397,10529,-7,-14
28,3,VX,10721,14771,-6,-20
21,2,WN,12191,14107,17,19
28,5,UA,12266,14122,-1,-12
6,7,US,11278,12953,-4,-6
22,2,9E,14307,11433,-5,-4
29,4,VX,14747,14771,55,55
13,5,UA,14683,12266,1,-11
16,2,US,12451,11057,-7,-9
15,7,OO,14747,14057,1,23
22,1,B6,12478,13796,148,126
9,5,DL,13931,10397,23,23
5,5,WN,14679,13796,-3,-9
16,7,MQ,13930,13244,16,4
23,2,DL,10397,13244,5,38
5,4,WN,12892,13232,1,-7
3,1,US,11057,13204,3,7
26,5,WN,13487,11292,10,-2
29,1,DL,13198,12892,-6,11
18,4,WN,14492,13232,-1,-16
27,4,AA,11042,11298,-5,0
23,7,B6,12478,10792,3,17
23,1,WN,12451,13931,15,8
7,7,WN,11259,13198,8,2
24,2,UA,11292,12889,0,-4
10,4,AA,11298,15304,1,-6
27,6,FL,11697,10397,-4,-13
10,4,DL,10397,14524,-5,-8
29,1,HA,14831,12173,65,65
9,5,OO,13930,13342,1,-6
14,7,DL,10397,14869,-2,-6
21,7,WN,14893,14908,2,-5
24,6,AS,14747,14831,-5,6
1,3,WN,13495,11697,-5,-6
20,6,UA,13204,13930,0,19
30,2,DL,14122,10397,-3,-9
24,5,WN,10821,14492,32,34
13,5,UA,13930,15304,24,6
22,3,DL,13244,12889,-2,-15
3,2,AS,13891,14747,11,2
14,3,FL,15304,10397,38,43
19,5,DL,10397,14869,-6,-22
3,4,WN,10693,14100,-2,-12
20,1,F9,11292,15016,5,12
22,3,AA,13930,12953,241,213
14,6,DL,11433,13930,-6,-12
25,3,DL,10721,12478,-3,-7
8,3,DL,10397,12339,-4,-14
26,3,MQ,11278,10693,-5,-8
24,3,DL,12953,10397,1,4
18,3,DL,13487,13930,-3,-4
1,2,B6,10721,10792,-1,-9
30,2,FL,11278,13342,-6,-18
14,3,AA,13930,11298,-1,-6
6,5,WN,12889,14831,-1,-5
30,2,DL,10397,12451,-1,9
6,4,UA,13930,13204,-9,-28
13,6,WN,14908,14831,0,-2
12,5,AA,11292,11298,0,-10
16,2,EV,12266,10140,3,-14
5,3,DL,13487,11298,13,0
3,6,VX,12478,12892,-6,-6
12,3,DL,11433,13342,7,47
6,5,EV,11042,11298,-8,-19
18,5,AA,11298,11042,6,-2
14,6,OO,12892,10140,66,65
17,4,DL,11433,13487,-4,-19
15,2,AA,13930,12953,-1,-1
8,7,DL,13931,10397,-7,-30
29,4,US,11278,15304,-4,-17
5,6,DL,14730,10397,-5,-16
1,4,MQ,12892,12266,27,18
16,3,AA,12953,13303,-2,-24
31,4,WN,10821,12191,6,9
20,7,OO,13891,14771,-8,-12
6,6,WN,11259,14683,3,9
28,5,DL,10397,10792,-2,0
15,2,UA,14771,12892,-1,-14
3,3,AA,11298,10821,23,6
8,2,AA,12953,13930,-10,-27
19,4,EV,10397,13871,-2,-19
9,2,DL,10397,12339,3,-7
7,5,UA,13930,14107,12,-1
16,3,UA,13930,10792,28,14
15,4,UA,13930,11292,-1,-10
10,4,US,14122,11057,8,15
15,6,VX,12478,12892,4,5
4,7,WN,13232,13198,5,2
25,6,B6,12478,10792,9,2
9,1,AA,13303,12892,0,-23
7,3,WN,11066,13232,0,-7
31,4,OO,14679,12892,-13,-16
2,1,US,11433,11057,-5,-2
21,3,AA,11298,14747,-4,-19
15,4,WN,14831,11292,5,-4
3,1,B6,12264,10721,-1,13
26,3,US,14771,11057,78,83
12,5,VX,12892,11298,-5,-2
28,7,US,14843,14100,-7,20
15,3,WN,10397,10821,-1,-17
4,6,B6,12954,13796,33,43
31,6,UA,12266,14771,-3,-37
19,4,UA,11618,13930,51,92
23,2,US,14747,14100,4,-2
29,2,US,11057,12451,-5,-6
20,1,AA,11292,13930,0,-3
28,2,OO,14679,12892,-3,-10
1,7,AA,12892,11298,-8,5
3,5,MQ,13930,11193,43,46
7,6,WN,14307,10821,-3,-15
27,6,UA,11292,14893,-2,-8
27,4,MQ,12953,11066,-6,-15
8,1,WN,11042,13232,67,100
20,6,AA,11298,10140,143,130
26,1,WN,13495,12892,-1,-16
9,1,AA,11298,14683,9,-5
8,1,WN,13204,15016,-3,-5
28,3,WN,11066,15016,-4,-9
2,2,AS,14747,14893,0,13
17,3,DL,13487,13342,4,5
3,1,WN,14100,11697,7,17
13,2,YV,13930,11057,10,9
14,2,YV,10140,14107,1,-15
22,3,WN,15016,13204,35,38
15,1,US,14107,15304,6,-16
28,5,US,12889,14107,-7,-13
21,7,OO,14679,12892,-14,-1
23,2,AS,13830,13796,21,8
19,5,EV,14730,11618,14,11
13,5,DL,14747,12478,-6,-22
8,2,DL,10397,10821,-4,-11
5,6,B6,13204,10529,8,9
4,6,WN,14679,10821,1,8
19,4,AA,11298,13495,-4,-16
3,5,AA,13303,15016,8,-21
23,2,AA,11298,10721,0,13
25,3,DL,12892,11433,0,-21
19,3,WN,10693,12953,27,9
7,5,WN,10693,13232,7,-5
6,1,AA,15016,11298,-12,-18
11,4,B6,11618,11697,135,109
27,2,VX,14771,11278,0,7
30,3,WN,13204,11057,4,10
8,6,US,11057,14524,-7,-16
21,6,9E,11193,12478,-4,-17
24,2,WN,14893,10800,24,21
17,3,B6,10721,14122,29,20
2,5,UA,14771,12266,17,12
12,6,9E,11433,13232,-4,26
30,2,MQ,13930,13487,26,22
9,5,YV,11057,11066,-2,2
11,5,VX,11618,14771,116,76
21,7,EV,12264,10693,18,19
18,6,AS,12889,14747,-5,16
23,2,OO,10800,14771,-13,-22
28,3,AS,14057,12889,-7,18
17,5,9E,13931,11433,-5,-12
6,1,EV,13342,11618,-6,4
25,2,UA,12266,13930,248,236
19,5,WN,12892,14771,-3,-7
26,3,US,10397,11057,23,27
25,6,AA,13930,11278,20,5
20,6,WN,14893,14679,-3,-16
23,7,US,14107,14679,14,16
27,2,EV,12264,12478,26,7
3,1,EV,13198,13930,0,0
19,7,DL,11057,11433,-9,5
29,1,US,14100,14492,12,12
2,3,US,14107,14570,20,11
9,2,US,14100,14635,-5,-15
23,7,AA,14771,12892,77,64
7,6,WN,12191,13232,21,20
18,6,OO,11042,13930,-6,-7
23,2,UA,13495,12266,-10,-14
20,1,DL,14747,13487,-6,-7
3,2,WN,14107,14831,0,-21
23,4,AA,12451,11298,6,-1
20,6,US,11697,11057,-5,-9
25,2,EV,11057,11618,205,213
23,5,OO,14831,12892,-7,11
26,5,DL,15304,12953,281,287
23,7,US,15304,14100,-7,-18
4,4,OO,12266,13931,0,-8
24,1,US,13830,14107,-9,-9
17,4,FL,11292,10397,-2,5
23,5,UA,11618,14771,-3,6
25,2,WN,12889,14570,17,16
6,1,AA,11298,13244,-3,-6
22,7,DL,13487,14122,-3,-14
23,7,DL,14869,14570,0,-10
22,4,US,11057,14107,22,26
9,1,WN,12889,14908,38,28
10,3,US,14771,11057,-5,-8
25,3,DL,10397,14027,1,2
13,2,WN,12889,14683,9,5
18,2,9E,11193,14100,-1,-11
21,5,DL,12478,12892,-6,1
1,6,AS,14747,12889,-5,-8
27,2,WN,11292,12191,-3,-1
27,4,B6,15304,12478,11,9
30,2,DL,11433,14679,82,75
21,7,UA,12266,12889,-4,-8
2,2,AA,11298,11066,7,-8
5,6,UA,13204,11618,25,32
6,2,DL,12478,11697,-5,-26
3,3,UA,14679,12266,6,-4
14,7,DL,10397,14492,-2,0
12,5,US,13871,14107,-2,-5
4,7,EV,13930,14492,7,-8
17,4,DL,10693,10397,8,12
24,4,WN,13871,13232,-2,-1
7,7,AA,12478,10721,83,121
20,6,FL,13204,14492,19,14
26,5,OO,12266,11433,28,18
17,5,MQ,10792,13930,31,21
6,7,FL,10397,14122,-5,-24
24,3,US,14100,13204,-4,-16
26,4,DL,12478,10397,4,-6
11,4,UA,14771,12889,130,117
25,6,DL,13487,12339,-4,-13
3,2,WN,10140,14107,-4,-13
16,7,HA,12173,13830,30,23
23,1,DL,12478,12892,-4,-9
29,3,MQ,11066,13930,34,36
22,1,DL,10397,13930,18,9
15,1,HA,13830,12173,3,4
18,6,UA,12266,11618,6,-2
19,7,MQ,13303,11066,-2,-2
26,1,EV,12266,14524,-5,-12
16,2,UA,12266,13930,24,5
13,6,DL,10397,14492,38,26
19,7,EV,14492,13244,-1,-8
2,2,MQ,13930,13495,0,3
8,4,DL,13487,11298,-5,0
18,4,AA,11618,12892,13,57
26,5,VX,12892,14747,-4,-4
18,4,MQ,11298,12191,75,74
31,6,EV,11057,11433,1,19
21,7,EV,11618,11433,-3,-5
20,7,OO,12892,14107,11,9
28,7,MQ,14869,12892,-3,17
28,7,AA,11298,13204,1,6
24,2,EV,13931,12953,89,72
16,2,UA,12266,15304,10,-8
17,3,AA,11278,12892,10,20
9,5,US,14492,11057,-6,-14
30,2,AA,14100,13303,-1,-14
29,3,AS,12892,14747,-4,4
11,4,YV,13930,10397,0,11
5,1,AA,11298,14908,-2,-3
21,5,WN,12892,12889,246,251
4,4,OO,14107,12892,-4,-11
6,7,WN,11066,10821,4,-2
16,3,WN,13851,12191,0,4
1,6,US,15304,14107,-5,17
13,1,UA,12264,11292,-7,-31
24,3,FL,10397,14635,-1,-6
26,6,WN,11292,15376,0,-11
5,1,DL,10397,10140,-3,-22
4,6,UA,12889,14771,-9,-25
19,5,DL,10397,13303,-2,15
8,4,MQ,11193,11298,1,21
23,3,FL,13204,12339,-2,0
13,7,OO,13244,14869,-1,-10
28,6,US,11278,10721,-7,-7
5,6,UA,11618,14679,18,2
31,3,AS,14057,14771,11,32
25,4,AA,10721,12478,44,43
18,2,UA,14100,12266,175,180
19,3,EV,12266,13871,-7,-17
11,4,B6,14635,10721,19,-4
7,6,AA,11298,14524,-2,8
23,2,WN,12191,11618,0,0
3,1,OO,13487,13342,-5,-15
25,6,OO,10397,12266,-2,-3
22,1,FL,10821,11697,9,28
7,5,WN,14570,14107,10,-5
17,4,UA,11292,13495,0,-3
15,6,WN,12889,14771,-2,-6
31,3,WN,11259,13495,3,0
19,3,US,10397,14100,11,1
8,7,AA,14683,11298,-7,-10
1,1,WN,10529,10821,3,11
18,7,WN,12889,14771,387,363
17,4,VX,12892,12478,3,-30
28,2,9E,13931,10721,-4,-25
27,6,WN,10821,13204,-4,-16
10,5,EV,10693,13930,0,0
3,1,DL,11433,10821,-3,-19
20,6,WN,15304,10529,-2,0
30,2,US,15304,11057,-3,-12
26,6,WN,14869,14747,-2,-21
21,1,WN,10529,10821,14,12
5,4,MQ,14100,13930,-8,-34
20,6,DL,14771,12478,-3,-14
10,6,EV,12339,13930,-7,-8
15,6,OO,14771,10423,-4,-2
27,6,AS,14747,13796,-15,-5
19,1,DL,14869,14908,-2,-10
5,3,WN,14107,15016,-1,-14
11,2,WN,14107,12889,0,-8
25,3,OO,12266,11298,-3,-14
13,7,UA,12953,12266,17,-7
21,5,B6,14524,11697,-6,-1
12,7,DL,13495,11433,-2,-17
8,1,F9,11292,14771,49,54
7,3,VX,12892,13930,40,43
17,3,DL,13487,10299,1,19
1,7,EV,13244,12266,0,-2
23,7,OO,10800,14057,-15,-21
27,1,DL,10397,15304,-2,-16
12,3,UA,14679,11618,-4,-9
13,1,9E,11298,13487,-4,3
2,2,WN,10800,14107,-2,-7
26,1,WN,12892,12889,0,1
30,7,MQ,13930,11433,62,71
14,7,DL,10397,14679,2,-28
27,4,US,14843,14100,-2,14
25,4,WN,13204,12889,16,19
11,2,OO,10800,14771,-10,-4
30,7,OO,14679,12892,12,13
14,7,B6,12478,13204,42,22
29,6,AA,11298,13495,5,-6
29,1,UA,11618,12892,-2,-20
16,7,9E,13851,14869,-4,24
17,3,WN,14679,13796,-4,-8
15,4,WN,14107,14057,5,14
5,4,WN,14107,12892,6,5
9,7,EV,13495,12266,103,132
25,6,WN,13232,10397,14,-3
21,6,AA,11298,12266,-2,-5
8,7,US,14107,11278,-3,-3
5,3,WN,13796,14747,-4,-5
7,3,EV,11042,12339,17,7
15,1,AA,10721,13303,-1,-31
4,6,DL,10397,12478,0,-6
22,7,FL,10821,10397,-1,-8
13,1,WN,12191,15304,-2,-16
9,1,WN,11292,14831,9,43
5,1,DL,11057,10397,4,38
15,3,EV,11042,13930,29,18
14,5,WN,13342,10721,26,22
1,2,DL,14771,13487,-1,-24
14,3,DL,11433,10721,170,147
13,1,WN,13198,13232,3,-7
10,4,F9,11292,12889,39,32
22,1,US,11057,10721,0,-5
23,2,OO,14771,12892,0,34
11,7,UA,11042,14771,-3,15
26,6,MQ,12478,13931,-7,-8
5,1,OO,12892,10423,-3,2
30,2,AA,15304,13303,108,96
27,6,US,14107,12889,-5,-9
2,1,WN,15304,13495,1,-7
3,3,AA,15304,11298,-2,15
27,4,DL,11697,10397,23,18
5,5,DL,12892,14869,5,7
9,5,OO,11292,13851,44,48
23,1,DL,14107,14869,-5,0
29,6,US,14100,10721,8,0
19,5,US,11618,11057,-4,-16
16,2,MQ,13303,11057,186,187
15,1,UA,14843,11618,-5,8
27,1,AS,13830,13796,-6,7
23,1,UA,12264,14492,-4,-21
26,5,EV,11618,11193,29,26
26,3,AA,11057,11298,-2,-14
16,5,DL,11433,13198,-1,-11
23,3,B6,11697,14307,-4,-25
27,1,AA,11298,13495,0,-5
29,6,UA,13930,11278,-6,3
25,5,OO,14747,12954,-9,-18
4,4,WN,14107,14771,81,78
23,2,DL,14100,10397,-1,-15
9,1,AA,12478,14771,1,-6
20,1,YV,13891,14107,0,-2
3,3,F9,14747,11292,-4,8
21,3,WN,11292,13487,13,14
7,1,WN,15016,12889,-3,-20
6,1,US,13204,14107,-7,-6
14,3,AA,13930,14747,-4,-21
2,5,EV,11618,11057,-5,-2
14,1,AA,12892,11618,-6,-6
29,3,WN,13232,10397,2,-5
26,1,WN,15304,14307,-1,9
2,4,AA,11298,12266,7,8
3,5,OO,11292,15376,19,7
21,5,AA,14747,13930,188,177
12,5,WN,15016,11066,-2,-10
18,4,WN,12889,11292,-2,-1
5,6,DL,14122,10397,-1,-6
8,3,DL,10397,10721,-2,-13
19,6,UA,11042,14635,-1,2
5,3,WN,11259,10423,0,-3
19,7,OO,11298,12266,-11,-5
3,5,AS,14747,10299,0,0
24,3,DL,13204,12953,-3,-5
28,7,OO,11292,13342,11,-3
29,1,9E,13487,11042,1,-6
5,3,AA,11298,11057,6,0
15,2,UA,12892,14771,-4,-7
11,2,DL,10397,10821,-5,-18
3,3,US,14893,11057,-5,39
1,1,WN,14771,13342,0,11
7,7,AA,14747,13930,-4,-6
7,5,WN,11433,10821,-2,-15
12,5,UA,11278,12266,7,-11
30,5,DL,11697,13487,-3,-15
9,4,UA,14771,14100,71,70
30,4,UA,14771,10721,14,37
10,5,9E,11042,13487,-3,-17
15,4,AA,13495,11298,-8,-8
12,1,DL,10397,14747,14,6
3,6,UA,14027,11618,-8,-10
22,3,US,14107,12478,5,17
17,3,UA,12266,14771,192,171
29,1,AS,10721,14057,-7,45
17,3,YV,13303,13930,0,0
17,5,DL,13487,11292,-3,-14
13,5,WN,10140,14679,13,10
14,7,WN,15016,14683,-3,-10
30,2,EV,14730,11618,-7,-28
22,1,DL,10397,10529,5,-9
16,4,WN,10792,15304,0,-10
28,3,AA,14679,11298,48,46
2,3,9E,14307,11433,-14,-14
9,7,9E,10721,12478,-5,-12
16,1,US,14107,13198,-6,-12
20,7,VX,14771,11618,-1,-8
2,5,DL,10397,14771,0,3
29,7,DL,12953,13495,-4,-17
11,7,UA,11618,14843,23,23
25,7,AA,12892,10721,0,-8
4,6,UA,14683,12266,-6,-20
3,5,VX,13930,14771,-4,-22
16,2,US,12478,11057,-11,-26
14,5,EV,12266,10397,11,-1
29,7,EV,13930,13244,-6,15
25,2,WN,15016,11292,2,6
17,2,UA,12266,11618,-2,-28
21,7,AA,12953,11298,-5,14
15,6,US,11618,11057,-3,-7
14,7,WN,14107,14893,20,8
16,5,AA,12892,13830,-5,5
19,1,WN,15016,13487,71,68
20,7,DL,12889,12892,7,14
9,5,DL,14843,12478,-10,-16
10,3,EV,12953,14524,0,0
4,5,9E,11193,12451,-2,-12
14,3,UA,12892,12478,-2,-43
11,6,FL,14122,11697,4,5
31,5,WN,12889,14771,1,-7
28,1,DL,12953,13487,-7,0
25,2,9E,13244,11298,-3,-10
21,2,AA,11697,13930,5,-15
22,2,FL,10397,11278,6,-11
1,2,DL,10397,11057,-3,-6
29,2,WN,14492,13204,18,10
7,5,DL,13487,12953,23,28
2,3,WN,15016,13232,-3,-8
29,3,EV,11042,13487,-5,-4
9,7,AA,12892,12889,62,56
14,5,EV,13930,14524,1,19
15,1,B6,12954,14893,-3,-3
26,4,AS,14869,14747,5,6
22,1,EV,11298,11433,-5,-20
15,3,VX,12889,14771,-1,-10
12,5,OO,12892,14831,-7,-11
3,3,US,14107,11298,-3,6
13,1,WN,10140,12889,1,-12
29,6,WN,10721,13232,-1,-19
2,3,US,14100,10721,51,56
26,1,UA,14100,14771,-4,-37
2,1,AA,11298,11618,112,113
23,3,WN,11292,14107,8,-1
20,1,UA,13930,11278,10,11
17,4,YV,11057,13244,112,125
11,7,AA,12953,15016,-12,-13
9,5,AA,12889,11298,-2,-14
6,4,WN,10792,10821,-4,-10
5,3,B6,10529,14027,-7,-12
7,3,FL,14122,10397,-2,6
4,2,DL,10397,12478,-3,-27
15,1,B6,11697,12478,-4,-23
6,6,AA,13303,13204,-4,-11
29,4,WN,14831,14057,28,20
1,4,EV,10397,12264,-3,-10
21,7,UA,13930,10397,17,12
25,3,WN,14107,14908,13,18
1,2,B6,10792,12478,-15,-24
18,2,US,13204,14100,-11,-26
13,4,UA,13930,14747,59,31
17,3,AA,11298,12953,34,11
3,5,AS,11278,12892,-4,-28
22,3,DL,14683,10397,-1,-4
7,7,OO,10423,12266,8,-4
22,1,AA,14771,13930,-6,-7
21,3,DL,14843,12478,-6,-19
26,6,YV,13931,12264,-14,-13
24,5,AA,11278,13930,-3,-12
27,5,FL,10397,13495,0,-12
27,1,AA,14869,11298,7,-4
21,6,F9,11292,12892,0,13
21,7,UA,13930,12266,-1,-9
26,7,WN,10423,12889,-7,-17
4,2,US,14107,13891,73,64
27,4,AS,10299,14747,-6,4
13,7,UA,12266,10423,-2,5
3,5,WN,13796,14679,-4,-9
1,7,UA,11292,13204,-2,-5
12,7,VX,14771,12892,16,24
24,1,OO,14869,14570,-6,-10
17,1,UA,13930,12953,0,0
4,6,UA,13891,12266,-15,-24
19,7,UA,14771,12264,4,10
10,1,AA,11298,14100,131,168
2,4,UA,12953,12266,2,-15
3,3,UA,12892,12266,7,2
30,4,MQ,13303,11193,0,23
22,4,9E,14492,13244,-7,-15
19,3,WN,14747,12191,24,17
17,3,WN,10821,12191,141,127
