Origin,Destination,Marketing_Airline,Operating_Airline,Flight_Duration,Distance
CGH,BSB,KK,KK,87,476.0
MLM,ZCL,MX,MX,50,209.0
SLA,AEP,D7,D7,110,691.0
BCN,AGP,JK,JK,90,427.0
KIN,MBJ,JM,JM,40,72.0
UVF,MBJ,JM,JM,170,1026.0
TRS,FCO,AZ,RD,70,255.0
IST,NUE,TK,TK,165,898.0
LHR,CDG,AF,AF,70,190.0
NTE,LYS,AF,AF,70,298.0
POS,BGI,JM,JM,45,180.0
CGH,BSB,KK,KK,89,476.0
DXB,LHE,PK,PK,179,1074.0
ORD,STL,TW,TW,66,223.0
ORD,MSP,NW,NW,86,292.0
TUU,RUH,SV,SV,100,580.0
LGW,LIS,TP,TP,150,835.0
ORD,DTW,NW,NW,72,200.0
VCE,CDG,AF,AF,105,449.0
LGA,DCA,US,US,59,189.0
DXB,LHE,PK,PK,165,1074.0
RHO,ATH,OA,OA,0,215.0
RHO,ATH,OA,OA,0,215.0
ASB,BAK,LH,LH,90,418.0
MIA,VLN,VH,VH,190,1183.0
FRA,BRE,LH,LH,55,186.0
FRA,ATH,LH,LH,165,988.0
FRA,TXL,LH,LH,65,238.0
FRA,CGN,LH,LH,40,77.0
PEK,KMG,CJ,CJ,180,1140.0
DRS,MUC,LH,LH,55,182.0
TLS,ORY,AF,AF,75,317.0
FRA,MUC,LH,LH,55,163.0
RUH,KWI,SV,SV,70,266.0
SFO,SEA,AS,AS,122,593.0
VLN,MIA,VH,VH,190,1183.0
ORY,TLS,AF,AF,70,317.0
ORY,NCE,AF,AF,80,365.0
ORY,BOD,AF,AF,65,271.0
AGP,BCN,JK,JK,85,427.0
CGK,SIN,SQ,SQ,90,484.0
ORY,TLS,AF,AF,70,317.0
ORY,MRS,AF,AF,75,347.0
ATH,RHO,OA,OA,120,215.0
CCS,MIA,VH,VH,190,1194.0
GIZ,JED,SV,SV,70,355.0
LGA,BOS,US,US,60,161.0
PHX,ATL,HP,HP,219,1380.0
LGA,STL,TW,TW,173,768.0
PHX,SEA,AS,AS,182,967.0
TPE,HAN,VN,VN,210,887.0
TPE,MFM,NX,NX,105,458.0
STL,LAX,TW,TW,249,1385.0
HAN,DAD,VN,VN,70,338.0
HAM,STR,LH,EW,70,304.0
BSB,CGH,KK,KK,91,476.0
MAD,OVD,JK,JK,70,218.0
DCA,DTW,NW,NW,102,357.0
BRI,MXP,AZ,GJ,95,449.0
BSB,CGH,KK,KK,87,476.0
LAX,SEA,AS,AS,157,831.0
LAX,SEA,AS,AS,158,831.0
HAM,MUC,LH,LH,75,331.0
HAM,CGN,LH,LH,55,195.0
CMB,SIN,SQ,SQ,230,1490.0
PHX,SEA,AS,AS,179,967.0
LGA,DTW,NW,NW,114,437.0
OSL,FRA,LH,LH,135,622.0
AOI,MXP,AZ,GJ,60,238.0
PUF,ORY,AF,AF,75,344.0
PUF,ORY,AF,AF,75,344.0
BEY,FRA,LH,LH,250,1540.0
CFE,ORY,AF,AF,55,186.0
ORY,TLS,AF,AF,70,317.0
ORY,NCE,AF,AF,80,365.0
ORY,MRS,AF,AF,75,347.0
SJC,PHX,HP,HP,110,542.0
ORY,TLS,AF,AF,70,317.0
ORY,LYS,AF,AF,60,216.0
ATH,FRA,LH,LH,190,988.0
ORY,BCN,IB,IB,90,449.0
ORY,MRS,AF,AF,75,347.0
ORY,MRS,AF,AF,75,347.0
ORY,PUF,AF,AF,80,344.0
ORY,PUF,AF,AF,80,344.0
SJC,SEA,AS,AS,122,604.0
ORY,MRS,AF,AF,75,347.0
ATH,RHO,OA,OA,120,215.0
SVQ,BCN,JK,JK,90,450.0
ATH,LCA,OA,OA,100,501.0
BNA,DTW,NW,NW,95,396.0
BRE,FRA,LH,LH,65,186.0
CFE,ORY,AF,AF,55,186.0
ORY,MRS,AF,AF,75,347.0
SJC,SEA,AS,AS,125,604.0
BRE,FRA,LH,LH,65,186.0
ORY,SXB,AF,AF,60,209.0
JED,FRA,LH,LH,360,2239.0
PEW,LHE,PK,PK,60,209.0
JED,GIZ,SV,SV,75,355.0
CGN,MUC,LH,LH,65,239.0
MXP,SUF,AZ,GJ,105,530.0
PDX,SFO,AS,AS,98,484.0
CGN,HAM,LH,LH,60,195.0
PDX,PHX,AS,AS,144,884.0
CGN,MUC,LH,LH,65,239.0
JED,ABT,SV,SV,55,161.0
CGN,MUC,LH,LH,65,239.0
CGN,TXL,LH,LH,70,251.0
LHE,DXB,PK,PK,195,1074.0
PDX,LAX,AS,AS,132,729.0
TIJ,LAX,MX,MX,55,113.0
MXP,BRI,AZ,GJ,90,449.0
MXP,BLQ,AZ,GJ,50,130.0
LCA,ATH,OA,OA,100,501.0
HUX,MEX,MX,MX,70,271.0
LHE,DXB,PK,PK,195,1074.0
CGN,MUC,LH,LH,65,239.0
LHE,PEW,PK,PK,60,209.0
UET,ISB,PK,PK,85,379.0
BLQ,MXP,AZ,GJ,50,130.0
CGN,HAM,LH,LH,60,195.0
MXP,TRS,AZ,GJ,65,199.0
BOS,LGA,US,US,68,161.0
CGN,MUC,LH,LH,65,239.0
LAX,MBJ,JM,JM,285,2357.0
BGI,UVF,JM,JM,40,90.0
MAD,FCO,IB,IB,140,727.0
SAN,SEA,AS,AS,170,912.0
HAM,FRA,LH,LH,75,228.0
LAX,HNL,PR,PR,365,2222.0
MEX,HUX,MX,MX,70,271.0
STL,MCI,TW,TW,62,208.0
LAX,STL,TW,TW,208,1385.0
HAM,CGN,LH,LH,55,195.0
STL,SGF,TW,TW,55,171.0
MAD,BCN,JK,JK,70,272.0
BSB,CGH,KK,KK,89,476.0
HAM,MUC,LH,LH,75,331.0
HAN,TPE,VN,VN,200,887.0
STL,ORD,TW,TW,64,223.0
BSB,CGH,KK,KK,93,476.0
RAE,RUH,SV,SV,90,464.0
MLA,FRA,LH,LH,170,895.0
HAM,STR,LH,EW,70,304.0
STL,MSP,TW,TW,103,392.0
BSB,CGH,KK,KK,89,476.0
BGI,KIN,JM,JM,175,1046.0
HAM,MUC,LH,LH,75,331.0
BAK,FRA,LH,LH,295,1821.0
BSB,CGH,KK,KK,87,476.0
TAS,FRA,LH,LH,395,2539.0
CDG,MUC,LH,LH,95,365.0
HAJ,MUC,LH,LH,70,265.0
SXB,ORY,AF,AF,60,209.0
TXL,STR,LH,LH,70,284.0
HPH,SGN,VN,VN,120,607.0
CDG,VCE,AF,AF,100,449.0
ZCL,LAX,MX,MX,185,1064.0
HAJ,FRA,LH,LH,65,155.0
IND,DTW,NW,NW,68,201.0
KHI,DAC,PK,PK,195,1273.0
SGF,STL,TW,TW,61,171.0
CDG,AMS,AF,AF,75,216.0
LAS,PDX,AS,AS,135,665.0
KHI,PEW,PK,PK,110,591.0
KHI,MCT,PK,PK,100,490.0
ISB,UET,PK,PK,85,379.0
PMO,FCO,AZ,RD,65,218.0
KHI,ISB,PK,PK,115,612.0
HAJ,MUC,LH,LH,70,265.0
GEG,SEA,AS,AS,58,197.0
NCE,CDG,AF,AF,95,372.0
LAS,MKE,YX,YX,200,1319.0
ASM,JED,LH,LH,75,391.0
NCE,ORY,AF,AF,85,365.0
CDG,LHR,AF,AF,85,190.0
KHI,UET,PK,PK,80,321.0
GEG,SEA,AS,AS,60,197.0
CDG,FRA,AF,AF,85,239.0
CDG,NCE,AF,AF,95,372.0
CDG,FRA,LH,LH,95,239.0
LAS,SEA,AS,AS,150,753.0
TXL,DUS,LH,LH,65,257.0
NCE,ORY,AF,AF,85,365.0
TXL,MUC,LH,LH,70,265.0
CDG,FRA,LH,LH,95,239.0
CDG,AMM,AF,AF,300,1832.0
KMG,PEK,CJ,CJ,175,1140.0
KHI,LHE,PK,PK,105,553.0
TXL,DUS,LH,LH,65,257.0
CDG,SVO,AF,AF,225,1323.0
GDL,TIJ,MX,MX,170,1031.0
TXL,CGN,LH,LH,65,251.0
HAJ,IST,TK,TK,185,1032.0
TXL,MUC,LH,LH,70,265.0
DMM,MNL,PR,PR,555,4032.0
IST,CPH,TK,TK,205,1071.0
AUA,BOG,AV,AV,110,529.0
CGH,BSB,KK,KK,84,476.0
KIN,JFK,JM,JM,220,1385.0
LHR,MXP,AZ,RD,115,507.0
JUJ,SLA,D7,D7,20,30.0
CGH,BSB,KK,KK,84,476.0
CGH,BSB,KK,KK,93,476.0
CGH,BSB,KK,KK,89,476.0
UVF,BGI,JM,JM,40,90.0
CGH,BSB,KK,KK,91,476.0
LHR,DUS,LH,LH,75,272.0
BCN,SVQ,IB,IB,85,450.0
IAH,DFW,AA,AA,62,200.0
AHO,FCO,AZ,RD,60,190.0
CGH,BSB,KK,KK,91,476.0
MCO,AUA,FQ,FQ,190,1158.0
LHR,FRA,LH,LH,95,356.0
MCI,STL,TW,TW,61,208.0
BCN,ORY,IB,IB,100,449.0
LHR,DUS,LH,LH,75,272.0
KIN,BGI,JM,JM,170,1046.0
CGH,BSB,KK,KK,89,476.0
MTR,BOG,MM,MM,60,273.0
TRS,FCO,AZ,RD,70,255.0
UVF,BGI,JM,JM,40,90.0
KIN,MIA,JM,JM,100,518.0
MED,RUH,SV,SV,70,385.0
TRS,MXP,AZ,GJ,60,199.0
IST,HAJ,TK,TK,200,1032.0
MNL,RUH,PR,PR,650,4203.0
MSN,MKE,YX,YX,35,63.0
MUC,HAM,LH,LH,80,331.0
MUC,CGN,LH,LH,70,239.0
MUC,FRA,LH,LH,70,163.0
CTA,FCO,AZ,RD,80,295.0
MUC,DRS,LH,LH,60,182.0
BUD,FRA,LH,LH,110,451.0
MRS,ORY,AF,AF,80,347.0
BOD,ORY,AF,AF,70,271.0
SEL,YVR,SQ,SQ,590,4419.0
AMS,CDG,AF,AF,70,216.0
AMS,LIS,TP,TP,170,1002.0
MAD,BCN,RG,JK,70,272.0
AMS,FRA,LH,LH,75,197.0
HAM,DUS,LH,LH,55,185.0
HAM,DUS,LH,EW,55,185.0
HAM,DUS,LH,LH,55,185.0
BGI,JFK,JM,JM,285,1830.0
BSB,CGH,KK,KK,91,476.0
SEL,SIN,SQ,SQ,400,2528.0
BSB,CGH,KK,KK,93,476.0
AMS,FRA,LH,LH,75,197.0
YVR,SEL,SQ,SQ,690,4419.0
TLS,ORY,AF,AF,75,317.0
FRA,HAJ,LH,LH,50,155.0
SFO,PDX,AS,AS,100,484.0
MSP,STL,TW,TW,90,392.0
MIA,MBJ,JM,JM,95,465.0
DRS,FRA,LH,LH,70,207.0
FRA,LEJ,LH,LH,55,167.0
DTW,LGA,NW,NW,98,437.0
MCT,KHI,PK,PK,100,490.0
MSP,PHX,NW,NW,197,1119.0
FRA,CDG,LH,LH,70,239.0
MIA,KIN,JM,JM,100,518.0
RUH,TUU,SV,SV,120,580.0
FRA,DUS,LH,LH,45,106.0
FRA,HAJ,LH,LH,50,155.0
DRS,DUS,LH,LH,65,264.0
MSP,DCA,NW,NW,141,813.0
FRA,DRS,LH,LH,60,207.0
RUH,DMM,SV,SV,60,184.0
MIA,CCS,VH,VH,190,1194.0
MSP,SEA,NW,NW,238,1217.0
MIA,BAQ,AA,AA,171,953.0
DTW,LGA,NW,NW,98,437.0
SFO,PVR,AS,AS,208,1355.0
FRA,HAM,LH,LH,65,228.0
TLS,ORY,AF,AF,75,317.0
FRA,CDG,AF,AF,75,239.0
FRA,DRS,LH,LH,60,207.0
OVD,MAD,JK,JK,65,218.0
FRA,ALA,LH,LH,395,2758.0
MSP,MDW,NW,NW,89,309.0
FRA,MXP,LH,LH,75,262.0
VIE,DUS,LH,LH,95,428.0
ZLO,LAX,AS,AS,202,1161.0
FLL,JFK,B6,B6,165,934.0
FRA,KWI,LH,LH,330,2181.0
MSP,LAX,NW,NW,241,1339.0
MIA,SAL,AA,AA,170,899.0
FRA,AMS,LH,LH,65,197.0
FRA,BRU,LH,LH,55,165.0
MCT,KWI,LH,LH,115,651.0
FRA,TXL,LH,LH,65,238.0
RUH,MNL,PR,PR,580,4203.0
RUH,AJF,SV,SV,100,451.0
DRS,FRA,LH,LH,70,207.0
DTW,BDL,NW,NW,100,483.0
DRS,FRA,LH,LH,70,207.0
DTW,PHL,NW,NW,95,396.0
DTW,ORD,NW,NW,72,200.0
HGH,SZX,F6,F6,100,581.0
RUH,GIZ,SV,SV,110,550.0
TLS,ORY,AF,AF,75,317.0
FRA,PRG,LH,LH,65,222.0
RUH,RAE,SV,SV,105,464.0
FRA,BRE,LH,LH,55,186.0
OVD,MAD,JK,JK,65,218.0
CHC,SIN,SQ,SQ,630,4559.0
MAD,VLC,JK,JK,60,153.0
AMS,LIS,TP,TP,170,1002.0
LAX,ZLO,AS,AS,182,1161.0
BGI,POS,JM,JM,45,180.0
BSB,CGH,KK,KK,91,476.0
MAD,PMI,JK,JK,75,304.0
STL,CMH,TW,TW,79,352.0
BSB,CGH,KK,KK,89,476.0
BAQ,MIA,AA,AA,165,953.0
BSB,BEL,JJ,JJ,150,874.0
HAM,FRA,LH,LH,75,228.0
CPH,SIN,SQ,SQ,720,5399.0
JED,ASM,LH,LH,80,391.0
CGN,MUC,LH,LH,65,239.0
CPH,IST,TK,TK,190,1071.0
JED,MED,SV,SV,55,169.0
MXP,SOF,AZ,RD,125,657.0
MXP,LHR,AZ,RD,125,507.0
CGN,MUC,LH,LH,65,239.0
CGN,HAM,LH,LH,60,195.0
UET,KHI,PK,PK,75,321.0
MXP,AOI,AZ,GJ,70,238.0
FCO,SIN,SQ,SQ,730,5442.0
SEA,LAX,AS,AS,142,831.0
STR,HAM,LH,EW,75,304.0
STR,HAM,LH,EW,75,304.0
STR,DRS,LH,LH,65,226.0
CWB,POA,JJ,JJ,60,288.0
HAS,RUH,SV,SV,60,310.0
FCO,LIN,AZ,RD,65,262.0
SEA,LAX,AS,AS,148,831.0
KHH,SGN,BL,BL,180,1062.0
STR,CDG,AF,AF,80,261.0
JFK,MBJ,JM,JM,225,1358.0
LIS,OPO,TP,TP,50,145.0
FCO,MAD,IB,IB,140,727.0
FCO,LIN,AZ,RD,65,262.0
FCO,PMO,AZ,RD,60,218.0
LIS,AMS,TP,TP,170,1002.0
LYS,ORY,AF,AF,65,216.0
STR,HAM,LH,LH,75,304.0
FCO,LIN,AZ,RD,65,262.0
LIS,AMS,TP,TP,170,1002.0
STR,TXL,LH,LH,75,284.0
CWB,CGH,KK,KK,46,180.0
FCO,REG,AZ,RD,65,272.0
SEA,GEG,AS,AS,53,197.0
NUE,IST,TK,TK,160,898.0
STR,DUS,LH,LH,65,187.0
SEA,LAS,AS,AS,138,753.0
SVO,CDG,AF,AF,245,1323.0
FCO,CTA,AZ,RD,70,295.0
FCO,TRS,AZ,RD,70,255.0
SEA,SJC,AS,AS,121,604.0
FCO,CTA,AZ,RD,70,295.0
FCO,LIN,AZ,RD,65,262.0
SEA,GEG,AS,AS,53,197.0
SEA,PHX,AS,AS,158,967.0
KWI,MCT,LH,LH,109,651.0
FCO,TRS,AZ,RD,70,255.0
SEA,OAK,AS,AS,117,586.0
STR,HAM,LH,EW,75,304.0
SEA,SFO,AS,AS,126,593.0
JFK,BGI,JM,JM,270,1830.0
SZX,HGH,F6,F6,100,581.0
STR,TXL,LH,LH,75,284.0
STR,FRA,LH,LH,55,85.0
STR,FRA,LH,LH,55,85.0
LYS,NTE,AF,AF,70,298.0
SEA,SJC,AS,AS,126,604.0
SEA,LAX,AS,AS,146,831.0
KWI,FRA,LH,LH,385,2181.0
SEA,LAX,AS,AS,151,831.0
LIS,LGW,TP,TP,150,835.0
DAD,HAN,VN,VN,70,338.0
FCO,FRA,LH,LH,130,524.0
BEL,BSB,JJ,JJ,149,874.0
SEA,SAN,AS,AS,153,912.0
SEA,LAS,AS,AS,139,753.0
SIN,FCO,SQ,SQ,810,5442.0
DUS,STR,LH,LH,60,187.0
DAC,KHI,PK,PK,205,1273.0
BOG,AUA,AV,AV,110,529.0
MES,SIN,MI,MI,80,347.0
SIN,CHC,SQ,SQ,600,4559.0
BOG,MDE,AV,AV,55,129.0
SIN,SEL,SQ,SQ,370,2528.0
BOG,MTR,MM,MM,70,273.0
OPO,LIS,TP,TP,45,145.0
BOG,CUC,MM,MM,70,222.0
DUS,STR,LH,LH,60,187.0
SGN,HPH,VN,VN,120,607.0
DUS,HAM,LH,LH,60,185.0
MLH,ORY,AF,AF,65,221.0
DUS,FRA,LH,LH,65,106.0
SHE,PEK,CJ,CJ,60,325.0
SIN,MES,MI,MI,80,347.0
MKE,MCO,YX,YX,160,934.0
GVA,FRA,LH,LH,85,250.0
GVA,FRA,LH,LH,85,250.0
OPO,FRA,LH,LH,165,901.0
DFW,IAH,AA,AA,64,200.0
MBJ,LAX,JM,JM,410,2357.0
MKE,DFW,YX,YX,150,743.0
DFW,MCI,AA,AA,93,400.0
SIN,CMB,SQ,SQ,215,1490.0
DUS,FRA,LH,LH,65,106.0
MLH,ORY,AF,AF,65,221.0
MKE,LAS,YX,YX,230,1319.0
MBJ,KIN,JM,JM,35,72.0
MBJ,MIA,JM,JM,95,465.0
MBJ,ATL,JM,JM,165,981.0
MKE,MSN,YX,YX,35,63.0
LIN,FCO,AZ,RD,65,262.0
SGN,KHH,BL,BL,180,1062.0
PMI,BCN,JK,JK,50,115.0
DUS,LHR,LH,LH,80,272.0
AMM,CDG,AF,AF,335,1832.0
DUS,VIE,LH,LH,95,428.0
LIN,FCO,AZ,RD,65,262.0
OTP,IST,TK,TK,75,230.0
DUS,FRA,LH,LH,65,106.0
SIN,CGK,SQ,SQ,90,484.0
DUS,STR,LH,LH,60,187.0
DFW,MKE,YX,YX,130,743.0
PMI,MAD,JK,JK,75,304.0
DUS,HAM,LH,EW,60,185.0
VLC,MAD,JK,JK,50,153.0
DUS,LHR,LH,LH,80,272.0
PVR,SFO,AS,AS,228,1355.0
LIN,FCO,AZ,RD,65,262.0
MNL,SFO,PR,PR,745,6071.0
MUC,CDG,LH,LH,95,365.0
OAK,SEA,AS,AS,115,586.0
ABT,JED,SV,SV,45,161.0
SFO,MNL,PR,PR,920,6071.0
FRA,BUD,LH,LH,95,451.0
FRA,FCO,LH,LH,105,524.0
FRA,JED,LH,LH,320,2239.0
EWR,DFW,AA,AA,239,1193.0
DRS,FRA,LH,LH,70,207.0
FRA,ARN,LH,LH,130,667.0
FRA,HAJ,LH,LH,50,155.0
MNL,LAX,PR,PR,790,6345.0
MUC,CGN,LH,LH,70,239.0
MUC,CGN,LH,LH,70,239.0
MNL,DMM,PR,PR,625,4032.0
BUD,MUC,LH,LH,75,305.0
MUC,CGN,LH,LH,70,239.0
PHL,DFW,AA,AA,228,1129.0
POA,CWB,JJ,JJ,60,288.0
MUC,DUS,LH,LH,75,267.0
MUC,BRE,LH,LH,80,310.0
MUC,TXL,LH,LH,70,265.0
SUF,MXP,AZ,GJ,105,530.0
MUC,HAM,LH,LH,80,331.0
MUC,CGN,LH,LH,70,239.0
CTA,FCO,AZ,RD,80,295.0
MSN,MKE,YX,YX,35,63.0
MUC,HAJ,LH,LH,75,265.0
MUC,HAJ,LH,LH,75,265.0
BDL,DTW,NW,NW,120,483.0
MUC,HAJ,LH,LH,75,265.0
MUC,CGN,LH,LH,70,239.0
MUC,BUD,LH,LH,75,305.0
PHL,DTW,NW,NW,111,396.0
MUC,DUS,LH,LH,75,267.0
MUC,HAM,LH,LH,80,331.0
HNL,MNL,PR,PR,645,4605.0
MUC,TXL,LH,LH,70,265.0
CTA,FCO,AZ,RD,80,295.0
REG,FCO,AZ,RD,70,272.0
MRS,ORY,AF,AF,80,347.0
BOD,ORY,AF,AF,70,271.0
JNB,VFA,SA,SA,105,499.0
VFA,JNB,SA,SA,100,499.0
HRE,VFA,UM,UM,60,303.0
CPT,DUR,SA,SA,115,697.0
CPT,DUR,SA,SA,115,697.0
DUR,CPT,SA,SA,135,697.0
DUR,CPT,SA,SA,135,697.0
HIJ,HND,NH,NH,70,346.0
HND,HIJ,NH,NH,90,346.0
SDJ,CTS,NH,NH,75,287.0
CTS,HIJ,NH,NH,130,648.0
CTS,SDJ,NH,NH,70,287.0
HIJ,CTS,NH,NH,110,648.0
BOG,MDE,VX,VX,47,129.0
MDE,BOG,VX,VX,47,129.0
MDE,BOG,VX,VX,47,129.0
BOG,CLO,VX,VX,54,155.0
SXB,BRU,SN,Q7,55,185.0
LHR,BRU,SN,TV,65,191.0
STR,BRU,SN,SN,70,227.0
STR,BRU,SN,Q7,70,227.0
KOP,BKK,TG,TG,70,311.0
LHR,ABZ,BA,BA,90,351.0
CLO,BOG,VX,VX,51,155.0
LHR,BRU,TV,TV,65,191.0
CPH,BRU,TV,TV,95,410.0
LHR,TXL,BA,BA,105,518.0
TXL,LHR,BA,BA,110,518.0
ABZ,LHR,BA,BA,85,351.0
ABZ,LHR,BA,BA,100,351.0
BLQ,LHR,BA,BA,130,632.0
BRU,HEL,SN,SN,160,897.0
BKK,SNO,TG,TG,70,284.0
BRU,LHR,SN,TV,70,191.0
BRU,BHX,SN,SN,70,256.0
BRU,SXB,SN,Q7,60,185.0
BKK,CNX,TG,TG,70,322.0
AMS,BCN,HV,HV,130,672.0
BRU,LHR,TV,TV,70,191.0
BRU,STR,SN,SN,70,227.0
BRU,STR,SN,Q7,70,227.0
BHX,BRU,SN,SN,70,256.0
BRU,CPH,TV,TV,100,410.0
BRU,BCN,TV,TV,130,582.0
CNX,BKK,TG,TG,70,322.0
HEL,BRU,SN,SN,160,897.0
SNO,KOP,TG,TG,25,35.0
HDY,BKK,TG,TG,90,417.0
SNO,KOP,TG,TG,25,35.0
CPH,LHR,BA,BA,125,532.0
PHL,DCA,US,US,57,103.0
SDU,CGH,KK,KK,51,204.0
SDU,CGH,KK,KK,49,204.0
RDU,LGA,US,US,87,379.0
BOS,CLE,CO,CO,116,491.0
OAK,PHX,HP,HP,111,560.0
RDU,CLT,US,US,52,109.0
RDU,CLT,US,US,51,109.0
RDU,CLT,US,US,49,109.0
ABQ,IAH,CO,CO,122,649.0
BOS,CLE,CO,CO,113,491.0
BOS,DCA,US,US,98,350.0
GDL,IAH,CO,CO,136,721.0
RDU,IAH,CO,CO,180,902.0
ATL,IAH,CO,CO,131,595.0
ATL,IAH,CO,CO,139,595.0
PHL,BDL,US,US,60,173.0
PHL,IAH,CO,CO,223,1151.0
PHL,PIT,US,US,66,236.0
ATL,EWR,CO,CO,147,656.0
PHL,IAH,CO,CO,210,1151.0
ATL,EWR,CO,CO,141,656.0
RDU,CLT,US,US,47,109.0
ATL,EWR,CO,CO,143,656.0
ATL,EWR,CO,CO,134,656.0
BDL,PIT,US,US,89,359.0
ATL,EWR,CO,CO,148,656.0
IAH,SNA,CO,CO,208,1170.0
CLT,PIT,US,US,85,323.0
CGH,SDU,KK,KK,47,204.0
IAH,DFW,CO,CO,68,200.0
IAH,COS,CO,CO,138,710.0
CGH,SDU,KK,KK,49,204.0
IAH,CUN,CO,CO,129,714.0
IAH,LGA,CO,CO,202,1233.0
CGH,SDU,KK,KK,51,204.0
IAH,ATL,CO,CO,118,595.0
LGA,IAH,CO,CO,230,1233.0
ORD,CLE,CO,CO,81,271.0
LGA,PIT,US,US,96,294.0
LGA,IAH,CO,CO,229,1233.0
PHX,LAX,HP,HP,88,320.0
LGA,CLT,US,US,111,476.0
BOS,IAH,CO,CO,263,1391.0
BOS,CLE,CO,CO,123,491.0
BOS,DCA,US,US,101,350.0
BOS,IAH,CO,CO,252,1391.0
STT,EWR,CO,CO,251,1438.0
BDL,IAH,CO,CO,238,1313.0
RDU,EWR,CO,CO,95,368.0
ATL,EWR,CO,CO,129,656.0
RDU,PIT,US,US,75,287.0
RDU,CLT,US,US,49,109.0
ATL,IAH,CO,CO,130,595.0
RDU,IAH,CO,CO,177,902.0
PDX,IAH,CO,CO,252,1593.0
PDX,IAH,CO,CO,251,1593.0
BOS,CLE,CO,CO,127,491.0
BOS,DCA,US,US,99,350.0
BOS,IAH,CO,CO,256,1391.0
IAH,SEA,CO,CO,275,1635.0
IAH,LAX,CO,CO,214,1201.0
GIG,GRU,RG,RG,58,174.0
IAH,SJC,CO,CO,247,1401.0
CLT,PIT,US,US,77,323.0
IAH,PHL,CO,CO,195,1151.0
CLT,PHL,US,US,89,390.0
MCO,CLE,CO,CO,141,784.0
IAH,MFE,CO,CO,71,277.0
IAH,JAX,CO,CO,125,709.0
IAH,LGA,CO,CO,198,1233.0
CLE,LAX,CO,CO,295,1781.0
MSP,EWR,CO,CO,179,876.0
EWR,MSP,CO,CO,182,876.0
CLE,PHX,CO,CO,277,1512.0
CLE,MCO,CO,CO,143,784.0
EWR,SAT,CO,CO,258,1369.0
EWR,CLE,CO,CO,102,355.0
LAX,CLE,CO,CO,257,1781.0
PBI,CLE,CO,CO,160,893.0
PIT,LAX,US,US,305,1853.0
SAT,IAH,CO,CO,59,166.0
SDU,CGH,KK,KK,47,204.0
PIT,LGA,US,US,79,294.0
DFW,IAH,CO,CO,61,200.0
SDU,CGH,KK,KK,51,204.0
SDU,CGH,KK,KK,49,204.0
SDU,CGH,KK,KK,47,204.0
PIT,PHL,US,US,68,236.0
DEN,EWR,CO,CO,216,1394.0
SDU,CGH,KK,KK,43,204.0
PIT,DCA,US,US,59,184.0
DFW,IAH,CO,CO,63,200.0
SDU,CGH,KK,KK,51,204.0
