Origin,Destination,Marketing_Airline,Operating_Airline,Flight_Duration,Distance,Narrow_Set
LAX,SYD,AN,NZ,880,6536.0,1
LAX,TPE,AA,BR,870,5901.0,1
CHC,SIN,SQ,NZ,645,4559.0,0
MRU,FCO,MK,PE,620,4538.0,0
MEM,AMS,NW,KL,510,3954.0,1
MAD,MIA,AA,IB,560,3842.0,0
BRU,JFK,AA,SN,510,3191.0,1
LAX,GRU,NH,RG,700,5382.0,1
LAX,MEL,AA,QF,910,6912.0,0
LAX,TPE,AA,BR,870,5901.0,1
AMS,JNB,NW,KL,645,4905.0,0
BKK,TLV,TG,LY,665,3762.0,1
LAX,AKL,MX,NZ,765,5690.0,1
LAX,NGO,AA,JL,735,4906.0,1
LAX,AKL,UA,NZ,765,5690.0,0
GMP,ZRH,AZ,KE,720,4733.0,0
LAX,AKL,AC,UA,755,5690.0,0
MLE,ZRH,SR,SR,605,4230.0,0
BKK,VIE,OS,NG,690,4577.0,0
LAX,GRU,UA,RG,700,5382.0,1
GMP,IST,OZ,TK,705,4296.0,1
AKL,LAX,LH,NZ,720,5690.0,0
SIN,FRA,LH,SQ,800,5566.0,0
KIX,CHC,JL,NZ,695,5139.0,1
SIN,LHR,AN,SQ,850,5894.0,1
LAX,GMP,AA,OZ,810,5190.0,1
LAX,AKL,AN,NZ,765,5690.0,1
LAX,AKL,NZ,UA,755,5690.0,1
NRT,HNL,UA,NH,400,3314.0,1
NRT,FCO,AZ,JL,755,5359.0,0
NRT,JFK,CO,NW,740,5852.0,0
NRT,YYZ,NH,AC,735,5570.0,0
EZE,AKL,QF,AR,821,5572.0,1
BAH,CMN,AT,GF,500,3033.0,1
AKL,LAX,AC,NZ,720,5690.0,1
NRT,MXP,JL,AZ,760,5269.0,1
NRT,ORD,NH,UA,675,5441.0,1
EZE,CUN,MX,AR,500,3753.0,1
NRT,HNL,AA,JL,385,3314.0,1
NRT,IAH,NW,CO,700,5765.0,1
AKL,LAX,NZ,UA,710,5690.0,1
AKL,LAX,AC,NZ,720,5690.0,0
NRT,ORD,NH,UA,685,5441.0,0
NRT,FRA,NH,LH,715,5066.0,1
NRT,CHC,JL,NZ,660,5113.0,0
NRT,FRA,LH,NH,725,5066.0,0
AKL,KUL,KL,MH,655,4720.0,1
EZE,CUN,AR,MX,540,3753.0,1
AKL,TPE,BR,NZ,690,4833.0,0
AKL,SIN,SQ,NZ,640,4562.0,0
NRT,LAX,NH,UA,570,4728.0,0
NRT,JFK,AA,JL,735,5852.0,1
NRT,JFK,UA,NH,735,5852.0,0
NRT,DFW,JL,AA,675,5574.0,1
AKL,LAX,AA,QF,710,5690.0,1
AKL,LAX,AN,NZ,720,5690.0,1
NRT,AMS,IB,JL,720,5038.0,1
EZE,CUN,AR,MX,540,3753.0,0
PER,JNB,QF,SA,630,4493.0,0
NRT,IST,JL,TK,755,4855.0,0
AKL,NRT,JL,NZ,655,4812.0,1
NRT,AKL,JL,NZ,625,4812.0,0
AKL,LAX,LH,NZ,720,5690.0,1
AKL,KIX,JL,NZ,685,4860.0,0
NRT,YYZ,NH,AC,735,5570.0,0
NRT,SFO,CO,NW,540,4445.0,0
NRT,LAS,AA,JL,560,4781.0,0
HAV,FCO,PE,CU,600,4712.0,0
NRT,JFK,NH,UA,745,5852.0,1
AKL,EZE,AR,QF,675,5572.0,1
AKL,LAX,AC,NZ,720,5690.0,0
NRT,HNL,UA,NH,400,3314.0,0
HAV,MAD,SK,JK,515,4037.0,1
NRT,LAX,AA,JL,570,4728.0,1
NRT,SEA,CO,NW,520,4136.0,1
EZE,FRA,SK,LH,800,6252.0,0
NRT,ZRH,SR,JL,760,5183.0,0
NRT,IAD,UA,NH,735,5864.0,1
AKL,LAX,AN,NZ,720,5690.0,0
NRT,DTW,KL,NW,690,5550.0,1
NRT,SEA,NH,UA,510,4136.0,1
AKL,KIX,JL,NZ,685,4860.0,1
EZE,AKL,AR,QF,775,5572.0,0
NRT,CHC,JL,NZ,660,5113.0,1
ORY,FDF,IJ,IW,520,3717.0,0
AKL,LAX,AC,UA,710,5690.0,0
NRT,BNE,QF,JL,520,3901.0,0
AKL,NRT,JL,NZ,655,4812.0,0
EZE,FRA,OS,LH,800,6252.0,0
AKL,LAX,MX,NZ,720,5690.0,0
BEY,KUL,ME,MH,540,4144.0,1
NRT,EWR,NW,CO,760,5838.0,0
ORY,FDF,IJ,IW,520,3717.0,0
NRT,LAX,CO,NW,576,4728.0,0
AKL,KIX,JL,NZ,685,4860.0,1
NRT,LAX,AM,DL,570,4728.0,1
MPM,LIS,TM,TP,640,4569.0,1
AKL,LAX,MX,NZ,720,5690.0,1
NRT,HNL,AA,JL,385,3314.0,1
NRT,MXP,AZ,JL,750,5269.0,0
AKL,LAX,AC,NZ,720,5690.0,0
NRT,LAX,AA,JL,570,4728.0,1
NRT,LAX,NH,RG,580,4728.0,0
AKL,LAX,UA,NZ,720,5690.0,1
AKL,TPE,NZ,BR,680,4833.0,1
NRT,DFW,AA,JL,685,5574.0,1
NRT,SJC,JL,AA,535,4468.0,0
NRT,VIE,OS,NH,710,4950.0,0
ORY,SXM,IJ,IW,515,3647.0,0
NRT,ORD,UA,NH,690,5441.0,1
AKL,LAX,UA,NZ,720,5690.0,1
AKL,HNL,AC,NZ,525,3859.0,1
NRT,SVO,AZ,JL,595,4064.0,0
AKL,TPE,BR,NZ,690,4833.0,1
NRT,ORD,AA,JL,675,5441.0,0
NRT,ZRH,JL,SR,765,5183.0,1
NRT,LAX,AC,NH,575,4728.0,1
AKL,LAX,AA,QF,710,5690.0,0
NRT,LAX,UA,NH,575,4728.0,1
PER,JNB,QF,SA,630,4493.0,1
AKL,LAX,MX,NZ,720,5690.0,0
NRT,SFO,UA,NH,550,4445.0,0
NRT,JFK,AA,JL,735,5852.0,1
AKL,EZE,QF,AR,710,5572.0,1
NRT,VIE,NH,OS,765,4950.0,0
AKL,LAX,BA,QF,710,5690.0,1
AKL,LAX,UA,NZ,720,5690.0,1
NRT,SFO,TG,UA,545,4445.0,0
NRT,LAS,CO,NW,570,4781.0,0
SJC,NRT,JL,AA,670,4468.0,0
AKL,LAX,UA,NZ,720,5690.0,0
AKL,LAX,MX,NZ,720,5690.0,0
AKL,LAX,BA,QF,710,5690.0,1
NRT,HNL,NH,UA,380,3314.0,1
NRT,NOU,JL,AF,500,3809.0,1
AKL,SIN,LH,NZ,640,4562.0,0
NRT,SEA,JL,AA,515,4136.0,1
AKL,KIX,JL,NZ,685,4860.0,1
HAV,MAD,SK,JK,505,4037.0,1
NRT,DFW,AA,JL,685,5574.0,0
AKL,SIN,NZ,SQ,605,4562.0,0
ORY,RUN,IJ,IW,665,5090.0,1
AKL,KIX,JL,NZ,685,4860.0,1
NRT,ORD,TG,UA,685,5441.0,1
AKL,HNL,UA,NZ,525,3859.0,0
NRT,SEA,KL,NW,520,4136.0,1
EZE,FRA,OS,LH,800,6252.0,0
AKL,LAX,AN,NZ,720,5690.0,1
EZE,FRA,SK,LH,800,6252.0,0
NRT,SFO,NH,UA,545,4445.0,0
NRT,HNL,UA,NH,400,3314.0,1
AKL,LAX,AN,NZ,720,5690.0,1
NRT,CNS,JL,QF,435,3207.0,1
NRT,SFO,NH,UA,545,4445.0,1
NRT,MXP,JL,AZ,760,5269.0,1
NRT,SFO,AA,JL,535,4445.0,1
ORY,RUN,IJ,IW,665,5090.0,1
AKL,LAX,LH,NZ,720,5690.0,0
CPH,ORD,LH,SK,550,3712.0,0
MXP,ORD,NW,RD,600,3929.0,0
MXP,SFO,NW,RD,745,5167.0,0
IAD,FRA,TG,LH,455,3549.0,1
MXP,KIX,JL,AZ,700,5204.0,0
IAD,FRA,TG,LH,455,3549.0,0
IAD,ZRH,AA,SR,475,3617.0,0
CPH,EWR,AC,SK,525,3362.0,1
MXP,BOS,NW,RD,520,3310.0,0
CPT,FLL,DL,SA,885,6695.0,1
IAD,FRA,LH,UA,475,3549.0,0
MAA,FRA,UA,LH,605,4116.0,1
IAD,VIE,UA,OS,550,3880.0,1
MXP,NRT,AZ,JL,705,5269.0,0
MXP,LAX,NW,RD,765,5246.0,0
BOS,MXP,NW,RD,445,3310.0,0
CPH,ORD,UA,SK,550,3712.0,1
MXP,BOS,NW,RD,520,3310.0,0
MXP,NRT,JL,AZ,715,5269.0,1
IAD,FRA,UA,LH,455,3549.0,1
CPH,EWR,LH,SK,520,3362.0,0
IAD,FRA,LH,UA,470,3549.0,1
MXP,MRU,MK,PE,630,4815.0,0
MXP,YYZ,AZ,CP,560,3580.0,0
CPH,BKK,SK,TG,620,4678.0,1
MAD,GIG,JK,RG,630,4431.0,1
BKK,ZRH,TG,SR,730,4897.0,1
AMS,MSP,KL,NW,540,3619.0,1
BKK,HEL,QF,AY,670,4285.0,1
AMS,SIN,NZ,SQ,730,5690.0,0
AMS,JNB,NW,KL,645,4905.0,1
BKK,HEL,QF,AY,670,4285.0,0
LAX,MXP,NW,RD,685,5246.0,0
GMP,LAX,AA,OZ,640,5190.0,0
YUL,FRA,LH,AC,435,3175.0,1
BRU,DFW,AA,SN,655,4309.0,0
LAX,SYD,NZ,UA,865,6536.0,0
AMS,BOM,KL,NW,505,3713.0,0
LAX,FRA,NZ,LH,635,5046.0,0
LAX,NGO,NH,RG,730,4906.0,0
LAX,NRT,NH,RG,690,4728.0,0
LAX,PPT,UA,NZ,555,3601.0,0
MEX,SCL,AM,LA,495,3591.0,1
LAX,NOU,SB,IW,760,5475.0,0
MAD,IAD,UA,JK,520,3312.0,1
BKK,LHR,QF,BA,775,5188.0,0
LAX,AKL,AN,NZ,765,5690.0,0
LAX,KIX,AA,JL,750,4981.0,1
BKK,FRA,TG,LH,715,4873.0,1
AMS,LAX,NW,KL,690,4850.0,1
LAX,NAN,QF,FJ,645,4816.0,1
LAX,KIX,CO,NW,770,4981.0,1
LAX,AKL,AN,NZ,765,5690.0,0
MAD,ORD,AA,IB,575,3647.0,0
AMS,DEL,KL,NW,485,3441.0,1
BKK,VIE,OS,NG,745,4577.0,0
AMS,DTW,KL,NW,525,3432.0,1
AMS,JFK,NW,KL,495,3173.0,0
LAX,FRA,LH,NZ,675,5046.0,1
AMS,SEA,KL,NW,630,4250.0,0
LAX,AKL,MX,NZ,765,5690.0,1
LAX,FRA,SK,LH,670,5046.0,0
LAX,LHR,CO,VS,600,4742.0,0
AMS,BOM,NW,KL,505,3713.0,0
LAX,LHR,SK,UA,620,4742.0,1
AMS,SFO,NW,KL,670,4760.0,0
SEZ,MXP,RD,HM,575,3944.0,0
MEX,CDG,AF,AM,655,4988.0,1
BKK,MUC,LH,TG,705,4766.0,0
BKK,SYD,BA,QF,530,4085.0,1
BKK,LHR,QF,BA,775,5188.0,0
MRU,CDG,AF,MK,720,5134.0,0
LAX,FRA,LH,NZ,680,5046.0,1
BRU,IAD,AA,SN,520,3385.0,0
LAX,CDG,DL,AF,630,4930.0,1
BKK,TLV,TG,LY,650,3762.0,0
LAX,SYD,AA,QF,875,6536.0,0
MEX,CDG,AM,AF,610,4988.0,0
MRU,MXP,MK,PE,665,4815.0,0
BKK,SYD,QF,BA,540,4085.0,1
MAD,HAV,SK,JK,600,4037.0,0
AMS,ORD,TW,KU,545,3582.0,0
LAX,GRU,UA,RG,647,5382.0,1
BRU,JFK,AA,SN,510,3191.0,0
MAD,MIA,AA,IB,560,3842.0,0
MAD,SCL,IB,LA,825,5817.0,0
LAX,LHR,GF,AA,555,4742.0,1
MAD,GRU,JK,RG,637,4549.0,0
SEZ,CDG,AF,HM,625,4263.0,0
LAX,AMS,NW,KL,625,4850.0,1
AMS,ATL,NW,KL,610,3833.0,0
LAX,GRU,UA,RG,700,5382.0,0
AMS,SFO,NW,KL,670,4760.0,0
MAD,IAD,UA,JK,500,3312.0,0
AMS,DTW,KL,NW,530,3432.0,1
LAX,PPT,UA,NZ,555,3601.0,0
BKK,TLV,TG,LY,665,3762.0,1
LAX,GMP,AA,OZ,800,5190.0,0
LAX,NRT,AA,JL,700,4728.0,1
BKK,ARN,SK,TG,680,4495.0,1
LAX,ZRH,AA,SR,665,5160.0,0
BKK,HEL,QF,AY,650,4285.0,0
BKK,MEL,BA,QF,515,3987.0,0
LAX,NRT,AC,NH,690,4728.0,1
MEX,FRA,MX,LH,640,5176.0,1
AMS,NBO,KL,KQ,510,3632.0,1
BKK,TLV,TG,LY,665,3762.0,0
BKK,LHR,BA,QF,770,5188.0,1
LAX,NRT,UA,NH,690,4728.0,0
LAX,AKL,LH,NZ,765,5690.0,1
LAX,TPE,CO,BR,870,5901.0,0
LAX,FRA,UA,LH,670,5046.0,0
LAX,NAN,QF,FJ,645,4816.0,1
AMS,BOS,KL,NW,480,3007.0,0
CUN,GRU,MX,RG,495,3583.0,1
LAX,NRT,AA,JL,700,4728.0,0
MEX,SCL,AM,LA,495,3591.0,1
LAX,NRT,AA,JL,700,4728.0,1
AMS,JFK,TW,RJ,505,3173.0,1
MAD,SJU,AA,IB,500,3449.0,0
MLE,ZRH,SR,SR,605,4230.0,1
AMS,KUL,KL,MH,705,5540.0,1
AMS,KUL,NW,KL,710,5540.0,1
LAX,NAN,LH,NZ,660,4816.0,0
BKK,CPH,SK,TG,705,4678.0,0
BKK,BNE,LH,TG,545,3939.0,0
LAX,AKL,AN,NZ,765,5690.0,1
LAX,TPE,CO,BR,870,5901.0,1
LAX,AKL,MX,NZ,765,5690.0,0
AMS,SIN,AN,SQ,730,5690.0,1
AMS,NRT,IB,JL,675,5038.0,0
GMP,SYD,QF,OZ,620,4543.0,1
LAX,NGO,AA,JL,735,4906.0,1
MAD,MIA,IB,AA,605,3842.0,1
LAX,PPT,UA,NZ,555,3601.0,0
LAX,LHR,CO,VS,625,4742.0,0
LAX,SYD,AA,QF,875,6536.0,0
AMS,NBO,NW,KL,490,3632.0,0
LAX,NAN,AA,FJ,645,4816.0,0
LAX,RAR,UA,NZ,605,4094.0,0
LAX,PEK,NW,CA,760,5423.0,1
BKK,SYD,AY,QF,530,4085.0,0
LAX,SYD,AA,QF,875,6536.0,1
LAX,NAN,QF,FJ,645,4816.0,0
LAX,SYD,UA,NZ,880,6536.0,1
LAX,NAN,AA,FJ,645,4816.0,1
LAX,FRA,UA,LH,635,5046.0,1
BKK,LHR,BA,QF,770,5188.0,0
AMS,DTW,KL,NW,530,3432.0,0
BKK,ZRH,SR,TG,720,4897.0,1
AMS,EWR,NW,KL,515,3180.0,1
LAX,AKL,AA,QF,760,5690.0,1
BKK,MEL,BA,QF,515,3987.0,1
YUL,FRA,SK,AC,435,3175.0,0
MAD,JFK,AA,IB,485,3118.0,0
MEX,SCL,MX,AM,495,3591.0,1
BKK,SYD,QF,BA,540,4085.0,1
GMP,SFO,AA,OZ,610,4901.0,0
AMS,JRO,NW,KL,510,3758.0,0
YUL,FCO,AZ,CP,470,3572.0,1
AMS,KUL,NW,KL,710,5540.0,0
BRU,BOS,AA,SN,480,3025.0,1
LAX,AKL,AC,NZ,765,5690.0,0
AMS,MSP,KL,NW,560,3619.0,1
LAX,PEK,AA,MU,760,5423.0,0
LAX,NRT,AM,DL,715,4728.0,0
MRU,CDG,AF,MK,720,5134.0,0
GMP,JFK,AA,OZ,830,5991.0,0
BKK,FRA,BA,QF,705,4873.0,1
MXP,EWR,AZ,CO,575,3483.0,1
IAD,AMS,KL,NW,455,3366.0,0
CPH,YYZ,SK,AC,535,3399.0,0
MXP,SEZ,RD,HM,520,3944.0,0
SID,ATL,DL,SA,530,3451.0,0
CPH,EWR,UA,SK,520,3362.0,0
CPH,SIN,AC,SQ,720,5399.0,0
IAD,FRA,UA,LH,485,3549.0,1
CPH,SEA,LH,SK,600,4235.0,1
BOS,ZRH,AA,SR,430,3256.0,1
CPH,SEA,AC,SK,600,4235.0,0
CPH,SIN,AN,SQ,720,5399.0,1
CPH,SEA,UA,SK,600,4235.0,0
CPH,EWR,LH,SK,525,3362.0,0
IAD,AMS,SK,UA,440,3366.0,0
MXP,MIA,NW,RD,640,4288.0,0
IAD,MAD,UA,JK,440,3312.0,1
HEL,BKK,QF,AY,590,4285.0,0
BOS,FRA,UA,LH,415,3189.0,0
CPH,BKK,TG,SK,635,4678.0,0
MXP,SFO,NW,RD,745,5167.0,0
IAD,MUC,LH,UA,515,3707.0,0
BOS,AMS,KL,NW,410,3007.0,0
IAD,LHR,CO,VS,410,3196.0,0
IAD,CDG,DL,AF,445,3361.0,0
IAD,NRT,UA,NH,820,5864.0,1
MXP,JFK,NW,RD,535,3475.0,0
IAD,CDG,DL,AF,445,3361.0,0
HEL,BKK,QF,AY,600,4285.0,0
SID,JNB,DL,SA,510,3969.0,1
IAD,FRA,TG,LH,455,3549.0,1
CPH,EWR,UA,SK,525,3362.0,0
IAD,CDG,DL,AF,445,3361.0,0
HEL,JFK,AA,AY,520,3581.0,1
MXP,ORD,NW,RD,600,3929.0,0
IAD,FRA,UA,LH,455,3549.0,0
JED,JFK,UA,SV,790,5535.0,0
MXP,LAX,NW,RD,765,5246.0,0
BOS,BRU,AA,SN,405,3025.0,0
IAD,FRA,UA,LH,485,3549.0,1
BOS,ZRH,AA,SR,430,3256.0,1
MXP,NRT,JL,AZ,715,5269.0,1
IAD,BRU,AA,SN,455,3385.0,1
CPH,YYZ,SQ,AC,535,3399.0,1
IAD,MAD,UA,JK,440,3312.0,0
BOS,MXP,NW,RD,445,3310.0,1
SIN,FRA,NZ,LH,830,5566.0,0
SIN,LHR,BA,QF,830,5894.0,0
DFW,BRU,AA,SN,585,4309.0,1
ZRH,JNB,SR,SA,610,4584.0,0
SIN,FRA,LH,SQ,800,5566.0,1
SIN,LHR,SQ,NZ,850,5894.0,0
KIX,DTW,CO,NW,730,5746.0,1
SIN,ZRH,NZ,SQ,795,5575.0,1
SIN,MEL,BA,QF,425,3282.0,1
KIX,LAX,AA,JL,595,4981.0,1
ZRH,SIN,SQ,NZ,715,5575.0,0
SIN,SYD,AN,SQ,450,3422.0,0
SIN,LHR,BA,QF,840,5894.0,0
SIN,MEL,SQ,AN,430,3282.0,1
KIX,CHC,JL,NZ,695,5139.0,0
ZRH,NRT,JL,SR,710,5183.0,1
DFW,SCL,LA,AA,563,4288.0,0
ZRH,SFO,AA,SR,720,5076.0,0
ZRH,NRT,SR,JL,710,5183.0,0
SIN,CPH,AC,SQ,835,5399.0,0
GVA,PUJ,SR,SR,595,3985.0,0
GVA,JFK,AA,SR,525,3363.0,1
SIN,LHR,BA,QF,840,5894.0,0
SIN,LHR,BA,QF,855,5894.0,0
ZRH,KUL,SR,MH,715,5421.0,1
SIN,BNE,SQ,AN,450,3332.0,0
DFW,HNL,QF,AA,511,3290.0,0
SIN,SYD,BA,QF,440,3422.0,0
KIX,MXP,JL,AZ,770,5204.0,0
SIN,MEL,SQ,AN,430,3282.0,0
KIX,BNE,QF,JL,510,3883.0,1
KIX,FRA,NH,LH,720,5014.0,1
ZRH,VRA,SR,SR,645,4415.0,1
SIN,LHR,AN,SQ,850,5894.0,1
ZRH,ATL,AA,SR,615,4084.0,0
ZRH,CMB,SR,SR,585,4341.0,0
SIN,SYD,SR,QF,440,3422.0,0
ZRH,SIN,AN,SQ,715,5575.0,0
SIN,CHC,NZ,SQ,600,4559.0,1
KIX,SFO,NH,UA,575,4697.0,0
ZRH,BOS,AA,SR,515,3256.0,0
ZRH,BKK,TG,SR,625,4897.0,1
DUS,EWR,UA,LH,520,3267.0,1
SIN,SYD,BA,QF,440,3422.0,1
SIN,SYD,AN,SQ,450,3422.0,0
SIN,MEL,LH,SQ,430,3282.0,0
KIX,ORD,AA,JL,700,5646.0,1
ZRH,EWR,AA,SR,550,3430.0,0
DFW,NRT,JL,AA,810,5574.0,1
SIN,SYD,LH,SQ,450,3422.0,0
SIN,MEL,BA,QF,425,3282.0,1
SIN,SYD,LH,SQ,450,3422.0,0
KIX,SEA,CO,NW,560,4373.0,1
SIN,AMS,NZ,SQ,820,5690.0,0
DFW,NRT,AA,JL,820,5574.0,0
SIN,SYD,LH,SQ,450,3422.0,1
ZRH,CMB,SR,UL,600,4341.0,1
DFW,NRT,AA,JL,820,5574.0,1
ZRH,SIN,SQ,NZ,715,5575.0,1
ZRH,SIN,NZ,SQ,715,5575.0,1
SIN,CPH,AN,SQ,835,5399.0,0
KIX,CHC,JL,NZ,695,5139.0,1
SIN,BNE,BA,QF,440,3332.0,1
ZRH,IAD,AA,SR,570,3617.0,1
ZRH,JFK,AA,SR,535,3422.0,1
SIN,LHR,NZ,SQ,850,5894.0,0
ZRH,GRU,SN,SR,705,5226.0,0
KIX,DFW,JL,AA,700,5807.0,1
ZRH,SIN,QF,SR,725,5575.0,0
ZRH,NRT,JL,SR,710,5183.0,1
ZRH,LAX,AA,SR,730,5160.0,0
SIN,CHC,LH,NZ,600,4559.0,1
ZRH,SIN,AN,SQ,715,5575.0,1
ZRH,BOS,AA,SR,515,3256.0,1
SIN,FRA,SQ,LH,791,5566.0,1
ZRH,BKK,SR,TG,625,4897.0,0
ZRH,ATL,AA,SR,615,4084.0,1
ZRH,GRU,SN,SR,645,5226.0,0
SIN,LHR,AC,SQ,850,5894.0,1
ZRH,SIN,AN,SQ,715,5575.0,0
SIN,SYD,SQ,AN,450,3422.0,0
ZRH,NBO,SN,SR,445,3312.0,0
SIN,FRA,SQ,LH,830,5566.0,1
KIX,HNL,CO,NW,430,3570.0,1
KIX,AKL,JL,NZ,650,4860.0,1
SIN,SYD,SQ,AN,450,3422.0,1
ZRH,JNB,SR,SA,610,4584.0,1
SIN,ZRH,AN,SQ,795,5575.0,1
DFW,HNL,QF,AA,516,3290.0,1
SIN,LHR,QF,BA,860,5894.0,0
SIN,BNE,LH,SQ,450,3332.0,1
ZRH,GRU,SN,SR,705,5226.0,0
SIN,SYD,SQ,AN,450,3422.0,1
ZRH,ATL,AA,SR,615,4084.0,1
SIN,AKL,LH,NZ,605,4562.0,0
SIN,BNE,AN,SQ,450,3332.0,0
ZRH,JFK,AA,SR,545,3422.0,1
ZRH,ORD,AA,SR,590,3861.0,1
SIN,LHR,BA,QF,840,5894.0,0
SGN,SYD,QF,VN,500,3720.0,0
ZRH,JNB,SN,SR,615,4584.0,1
KIX,DTW,KL,NW,730,5746.0,1
ZRH,JFK,AA,SR,535,3422.0,1
SGN,MEL,QF,VN,500,3641.0,1
SIN,LHR,QF,BA,860,5894.0,0
SIN,MEL,LH,SQ,430,3282.0,0
SIN,AKL,SQ,NZ,605,4562.0,0
SIN,SYD,QF,BA,450,3422.0,0
SIN,MEL,AN,SQ,430,3282.0,1
SIN,ZRH,QF,SR,800,5575.0,0
KIX,LAX,CO,NW,605,4981.0,0
KIX,HNL,UA,NH,440,3570.0,0
DFW,ZRH,SR,AA,580,4554.0,0
ZRH,JFK,AA,SR,545,3422.0,1
ZRH,HKG,SR,CX,700,5019.0,1
KIX,BNE,NH,AN,505,3883.0,1
SIN,SYD,AN,SQ,450,3422.0,0
SIN,SYD,BA,QF,470,3422.0,1
SIN,FRA,NZ,LH,791,5566.0,0
ZRH,GIG,SN,SR,690,5105.0,1
KIX,VIE,NH,OS,765,4875.0,0
KIX,CDG,AF,JL,755,5207.0,1
DUS,ORD,LH,UA,575,3672.0,1
ZRH,JFK,AA,SR,535,3422.0,1
SIN,ZRH,SQ,NZ,795,5575.0,0
