id,Airline,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
73,EV,Male,Loyal Customer,70,Business travel,Eco,173,5,5,5,5,5,5,5,5,3,2,1,3,4,5,0,0,satisfied
74,F11,Female,disloyal Customer,25,Business travel,Eco,212,3,2,3,4,4,3,3,4,1,2,3,1,4,4,10,1,neutral or dissatisfied
76,HA,Male,disloyal Customer,55,Business travel,Eco,108,5,0,4,5,4,4,5,4,5,2,5,4,2,4,0,0,satisfied
77,MQ,Female,disloyal Customer,72,Business travel,Eco,67,3,3,3,4,3,2,2,3,4,4,3,2,2,2,324,296,neutral or dissatisfied
80,NK,Female,Loyal Customer,46,Personal Travel,Eco,173,1,1,1,3,1,3,4,5,5,1,5,1,5,3,45,29,neutral or dissatisfied
81,OO,Female,Loyal Customer,19,Personal Travel,Eco,215,2,3,2,3,1,2,1,1,5,2,2,5,5,1,0,0,neutral or dissatisfied
82,AA,Male,Loyal Customer,39,Personal Travel,Eco,108,1,2,1,4,2,1,2,2,3,1,4,2,4,2,0,7,neutral or dissatisfied
83,AS,Male,Loyal Customer,58,Personal Travel,Eco,215,2,2,2,4,2,4,4,3,2,3,4,4,3,4,254,254,neutral or dissatisfied
84,B9,Female,Loyal Customer,9,Personal Travel,Eco,173,5,3,5,5,3,5,3,3,3,4,3,1,3,3,0,0,satisfied
85,DL,Male,Loyal Customer,53,Personal Travel,Eco,173,3,1,3,1,2,3,2,2,3,1,1,4,1,2,0,0,neutral or dissatisfied
86,EV,Female,Loyal Customer,27,Personal Travel,Eco,212,3,0,3,4,1,3,1,1,3,4,5,5,5,1,0,13,neutral or dissatisfied
87,F12,Male,Loyal Customer,65,Personal Travel,Eco,67,3,5,3,3,5,3,5,5,4,3,5,4,5,5,1,0,neutral or dissatisfied
88,HA,Female,Loyal Customer,52,Personal Travel,Eco,67,2,5,2,1,3,4,4,1,1,2,1,5,1,4,2,0,neutral or dissatisfied
89,MQ,Female,Loyal Customer,53,Personal Travel,Eco,108,2,2,0,4,3,4,3,1,1,0,1,1,1,3,0,0,neutral or dissatisfied
91,NK,Female,disloyal Customer,32,Business travel,Business,173,4,4,4,3,4,4,5,4,4,1,4,4,4,4,0,5,neutral or dissatisfied
94,OO,Male,Loyal Customer,80,Business travel,Eco Plus,108,1,4,4,4,1,1,1,1,3,2,3,3,3,1,0,0,neutral or dissatisfied
95,AA,Female,Loyal Customer,7,Personal Travel,Eco Plus,173,2,5,0,2,2,0,2,2,5,2,5,3,5,2,18,35,neutral or dissatisfied
96,AS,Female,Loyal Customer,34,Personal Travel,Eco Plus,173,2,4,0,2,3,0,3,3,5,5,4,3,4,3,0,0,neutral or dissatisfied
97,B10,Female,disloyal Customer,18,Business travel,Eco Plus,215,3,5,3,3,1,3,1,1,1,4,1,2,5,1,0,0,neutral or dissatisfied
119,DL,Female,Loyal Customer,37,Business travel,Eco,162,2,1,1,1,2,2,2,2,3,4,3,3,3,2,0,21,neutral or dissatisfied
132,EV,Male,disloyal Customer,59,Business travel,Business,227,2,2,2,3,2,2,2,2,4,3,4,4,5,2,11,5,neutral or dissatisfied
133,F13,Female,disloyal Customer,26,Business travel,Business,227,3,3,3,3,3,3,4,3,2,1,3,2,3,3,38,44,neutral or dissatisfied
137,HA,Female,Loyal Customer,45,Business travel,Business,227,5,5,5,5,4,4,4,4,4,4,4,4,4,4,0,16,satisfied
141,MQ,Female,Loyal Customer,55,Business travel,Business,227,4,4,4,4,3,4,4,4,4,4,4,3,4,4,7,1,satisfied
142,NK,Male,Loyal Customer,58,Business travel,Business,227,2,2,4,2,3,5,5,4,4,4,4,4,4,4,0,0,satisfied
143,OO,Female,Loyal Customer,39,Business travel,Business,227,0,0,0,5,2,5,4,2,2,2,2,4,2,4,0,18,satisfied
145,AA,Male,Loyal Customer,16,Business travel,Business,227,4,1,1,1,3,4,4,4,2,4,4,4,3,4,265,260,neutral or dissatisfied
148,AS,Female,Loyal Customer,54,Business travel,Business,227,2,3,3,3,2,3,3,2,2,2,2,3,2,3,58,62,neutral or dissatisfied
150,B11,Male,disloyal Customer,21,Business travel,Eco,227,2,1,2,3,2,3,3,4,3,4,4,3,2,3,166,185,neutral or dissatisfied
153,DL,Female,Loyal Customer,35,Business travel,Business,227,3,3,3,3,5,4,4,5,5,5,5,4,5,3,0,10,satisfied
155,EV,Female,disloyal Customer,17,Business travel,Business,227,4,3,4,3,5,4,5,5,1,2,4,4,4,5,0,11,neutral or dissatisfied
156,F14,Female,disloyal Customer,49,Business travel,Business,227,2,2,2,3,3,2,5,3,1,5,4,2,3,3,4,9,neutral or dissatisfied
158,HA,Male,disloyal Customer,22,Business travel,Eco,227,1,4,1,3,2,1,2,2,3,2,3,3,4,2,0,0,neutral or dissatisfied
159,MQ,Female,Loyal Customer,46,Business travel,Business,227,4,4,4,4,5,3,5,5,5,5,5,4,5,1,0,0,satisfied
160,NK,Female,Loyal Customer,42,Personal Travel,Eco,227,2,4,2,2,4,4,5,4,4,2,3,5,4,4,55,59,neutral or dissatisfied
161,OO,Male,Loyal Customer,20,Personal Travel,Eco,227,2,5,2,5,5,2,5,5,3,2,5,4,4,5,49,63,neutral or dissatisfied
162,AA,Male,Loyal Customer,14,Personal Travel,Eco,227,3,5,0,1,5,0,5,5,1,2,5,3,4,5,0,0,neutral or dissatisfied
163,AS,Female,Loyal Customer,64,Personal Travel,Eco,227,2,4,2,3,5,5,4,2,2,2,2,3,2,3,6,0,neutral or dissatisfied
164,B12,Male,Loyal Customer,12,Personal Travel,Eco,227,4,4,4,1,4,4,4,5,5,4,4,4,5,4,134,133,neutral or dissatisfied
165,DL,Male,Loyal Customer,29,Personal Travel,Eco,227,2,5,0,3,2,0,2,2,4,5,5,3,5,2,52,56,neutral or dissatisfied
166,EV,Female,Loyal Customer,44,Personal Travel,Eco,227,2,3,0,1,2,4,2,4,4,0,4,3,4,3,31,25,neutral or dissatisfied
167,F15,Female,Loyal Customer,66,Personal Travel,Eco,227,3,5,0,3,5,5,5,5,5,0,1,3,5,4,0,0,neutral or dissatisfied
168,HA,Male,Loyal Customer,37,Personal Travel,Eco,227,3,5,3,4,4,3,4,4,3,2,5,3,5,4,36,43,neutral or dissatisfied
169,MQ,Male,Loyal Customer,35,Personal Travel,Eco,227,2,3,2,3,4,2,4,4,4,4,1,3,3,4,0,10,neutral or dissatisfied
170,NK,Female,Loyal Customer,36,Personal Travel,Eco,227,3,5,3,2,2,3,2,2,4,4,5,3,5,2,0,0,neutral or dissatisfied
176,OO,Female,Loyal Customer,56,Personal Travel,Eco Plus,227,2,3,2,1,4,3,5,4,4,2,4,1,4,4,0,17,neutral or dissatisfied
177,AA,Female,Loyal Customer,10,Personal Travel,Eco Plus,227,1,4,1,2,1,1,1,1,4,4,4,3,5,1,39,56,neutral or dissatisfied
178,AS,Male,Loyal Customer,28,Personal Travel,Eco Plus,227,2,1,2,4,4,2,4,4,3,3,4,3,4,4,0,0,neutral or dissatisfied
179,B13,Female,Loyal Customer,36,Business travel,Business,213,0,4,0,3,3,4,4,1,1,1,1,5,1,5,0,0,satisfied
181,DL,Female,Loyal Customer,56,Business travel,Business,213,4,4,4,4,3,5,4,5,5,5,5,3,5,3,0,0,satisfied
183,EV,Male,disloyal Customer,26,Business travel,Business,213,3,0,3,3,2,3,2,2,5,5,4,4,5,2,0,0,neutral or dissatisfied
185,F16,Male,Loyal Customer,49,Business travel,Business,213,2,1,1,1,4,3,3,3,3,2,2,1,3,1,19,29,neutral or dissatisfied
187,HA,Male,disloyal Customer,36,Business travel,Business,213,3,3,3,3,5,3,5,5,3,2,4,5,4,5,0,0,neutral or dissatisfied
188,MQ,Male,disloyal Customer,20,Business travel,Business,213,4,2,4,1,5,4,5,5,4,4,5,5,5,5,0,0,satisfied
190,NK,Male,Loyal Customer,44,Business travel,Business,290,2,2,2,2,4,4,4,5,5,5,5,4,5,3,0,0,satisfied
191,OO,Male,disloyal Customer,35,Business travel,Business,213,2,2,2,4,2,2,2,2,4,4,3,4,4,2,41,29,neutral or dissatisfied
193,AA,Female,Loyal Customer,50,Business travel,Business,213,1,1,1,1,5,4,4,5,5,5,5,4,5,3,0,0,satisfied
198,AS,Male,disloyal Customer,57,Business travel,Business,213,4,4,4,5,3,4,3,3,5,3,4,4,5,3,0,0,satisfied
201,B14,Female,Loyal Customer,43,Business travel,Business,213,1,5,5,5,5,4,3,2,2,2,1,2,2,3,65,85,neutral or dissatisfied
202,DL,Male,disloyal Customer,38,Business travel,Business,213,3,3,3,3,5,3,5,5,5,4,5,4,4,5,17,4,neutral or dissatisfied
203,EV,Female,disloyal Customer,27,Business travel,Business,290,3,3,3,4,5,3,5,5,4,5,3,4,4,5,0,0,neutral or dissatisfied
207,F17,Female,Loyal Customer,40,Business travel,Business,213,0,5,0,5,5,4,5,4,4,1,1,3,4,3,0,0,satisfied
208,HA,Female,disloyal Customer,49,Business travel,Business,213,2,2,2,4,5,2,5,5,4,4,4,3,4,5,20,21,neutral or dissatisfied
209,MQ,Female,Loyal Customer,69,Business travel,Business,290,2,2,3,2,1,4,2,4,4,4,4,5,4,5,0,0,satisfied
210,NK,Female,disloyal Customer,27,Business travel,Eco,213,4,2,4,1,2,4,2,2,2,1,1,4,1,2,6,4,neutral or dissatisfied
212,OO,Female,Loyal Customer,30,Business travel,Business,213,2,5,5,5,5,4,2,5,1,2,3,1,4,5,25,13,neutral or dissatisfied
213,AA,Male,Loyal Customer,16,Business travel,Business,213,3,5,3,5,2,2,3,2,1,5,4,1,3,2,0,0,neutral or dissatisfied
214,AS,Male,disloyal Customer,38,Business travel,Business,213,2,2,2,3,3,2,5,3,1,3,3,1,4,3,0,0,neutral or dissatisfied
215,B15,Male,Loyal Customer,34,Personal Travel,Eco,213,3,4,3,3,4,3,4,4,1,3,3,3,4,4,0,0,neutral or dissatisfied
216,DL,Female,Loyal Customer,35,Personal Travel,Eco,213,0,3,0,4,3,0,3,3,4,3,4,3,4,3,0,2,satisfied
217,EV,Male,Loyal Customer,48,Personal Travel,Eco,290,2,5,2,1,5,2,5,5,4,3,4,4,4,5,0,0,neutral or dissatisfied
218,F18,Male,Loyal Customer,17,Personal Travel,Eco,213,4,4,4,3,3,4,2,3,3,3,2,4,4,3,0,3,neutral or dissatisfied
219,HA,Male,Loyal Customer,31,Personal Travel,Eco,290,4,5,5,3,2,5,2,2,4,5,4,4,4,2,0,0,neutral or dissatisfied
220,MQ,Male,Loyal Customer,31,Personal Travel,Eco,290,3,4,3,3,3,3,3,3,1,4,4,5,4,3,25,42,neutral or dissatisfied
221,NK,Female,Loyal Customer,36,Personal Travel,Eco,213,2,0,2,2,3,2,3,3,4,2,5,5,5,3,0,0,neutral or dissatisfied
222,OO,Female,Loyal Customer,44,Personal Travel,Eco,213,4,5,4,1,1,4,1,1,1,4,1,4,1,1,0,5,neutral or dissatisfied
223,AA,Female,Loyal Customer,16,Personal Travel,Eco,213,1,5,1,1,1,5,5,4,5,4,4,5,3,5,192,293,neutral or dissatisfied
224,AS,Male,Loyal Customer,35,Personal Travel,Eco,290,3,4,3,1,2,3,2,2,4,3,4,4,5,2,0,24,neutral or dissatisfied
225,B16,Male,Loyal Customer,29,Personal Travel,Eco,290,4,5,4,2,3,4,3,3,4,3,4,3,2,3,0,0,neutral or dissatisfied
226,DL,Male,Loyal Customer,66,Personal Travel,Eco,290,3,5,3,4,2,3,2,2,4,3,4,5,4,2,0,0,neutral or dissatisfied
228,EV,Female,Loyal Customer,17,Personal Travel,Eco,213,3,4,3,4,4,3,4,4,3,3,4,3,4,4,0,0,neutral or dissatisfied
230,F19,Female,disloyal Customer,44,Business travel,Business,213,2,2,2,5,2,2,2,2,3,4,4,5,4,2,6,40,neutral or dissatisfied
232,HA,Female,Loyal Customer,57,Business travel,Business,213,4,4,4,4,4,5,4,5,5,5,5,5,5,5,0,0,satisfied
234,MQ,Male,Loyal Customer,47,Business travel,Eco Plus,213,3,4,4,4,3,3,3,3,1,4,5,4,3,3,0,0,satisfied
235,NK,Female,Loyal Customer,16,Personal Travel,Eco Plus,213,5,2,5,3,2,5,2,2,5,4,4,4,5,2,0,0,satisfied
249,OO,Male,disloyal Customer,20,Business travel,Eco,319,2,0,2,2,5,2,5,5,1,5,5,2,3,5,0,0,neutral or dissatisfied
276,AA,Female,disloyal Customer,43,Business travel,Eco,402,2,0,3,1,2,3,2,2,4,1,4,5,2,2,0,0,neutral or dissatisfied
277,AS,Male,Loyal Customer,40,Business travel,Business,402,3,3,3,3,5,3,3,5,5,5,5,2,5,5,0,0,satisfied
333,B17,Female,disloyal Customer,37,Business travel,Eco,421,5,3,5,3,2,5,2,2,5,2,1,1,3,2,5,15,satisfied
334,DL,Male,disloyal Customer,26,Business travel,Eco,421,3,5,3,2,1,3,1,1,4,4,1,1,4,1,0,0,neutral or dissatisfied
335,EV,Female,Loyal Customer,56,Business travel,Business,421,1,0,0,3,5,3,3,1,1,0,1,4,1,1,10,0,neutral or dissatisfied
336,F20,Female,Loyal Customer,40,Business travel,Eco,421,4,4,4,4,4,4,4,4,1,4,4,4,4,4,0,0,neutral or dissatisfied
357,HA,Female,Loyal Customer,43,Business travel,Business,102,2,2,2,2,4,4,5,5,5,5,5,4,5,4,0,0,satisfied
360,MQ,Male,disloyal Customer,27,Business travel,Business,113,4,4,4,5,5,4,2,5,3,2,5,4,4,5,0,0,neutral or dissatisfied
361,NK,Male,Loyal Customer,40,Business travel,Business,229,5,5,5,5,5,4,5,5,5,5,5,5,5,4,0,0,satisfied
362,OO,Male,disloyal Customer,24,Business travel,Eco,134,5,3,5,3,5,5,5,5,5,4,4,4,5,5,14,14,satisfied
366,AA,Female,Loyal Customer,35,Business travel,Business,164,5,5,5,5,2,4,5,5,5,5,5,5,5,5,33,29,satisfied
367,AS,Male,disloyal Customer,26,Business travel,Business,102,0,0,0,1,4,0,4,4,3,3,5,5,4,4,0,0,satisfied
378,B18,Male,disloyal Customer,41,Business travel,Business,309,5,1,1,4,5,5,5,5,5,3,5,4,4,5,0,0,satisfied
379,DL,Female,Loyal Customer,42,Business travel,Business,247,3,3,3,3,4,4,5,5,5,5,5,3,5,3,0,0,satisfied
381,EV,Female,Loyal Customer,56,Business travel,Business,102,5,4,5,5,3,4,4,4,4,4,4,4,4,4,34,31,satisfied
384,F21,Male,Loyal Customer,43,Business travel,Business,102,1,1,1,1,5,5,4,5,5,5,4,5,5,5,0,0,satisfied
385,HA,Female,Loyal Customer,45,Business travel,Business,229,0,0,0,4,4,4,4,2,2,2,2,3,2,3,0,0,satisfied
389,MQ,Female,disloyal Customer,27,Business travel,Business,102,2,2,2,3,1,2,1,1,5,4,5,3,5,1,0,0,neutral or dissatisfied
393,NK,Male,Loyal Customer,49,Business travel,Business,134,4,4,4,4,2,4,5,4,4,4,5,3,4,5,0,0,satisfied
394,OO,Female,Loyal Customer,35,Business travel,Business,140,1,1,1,1,2,4,4,3,3,4,4,4,3,5,3,5,satisfied
397,AA,Female,disloyal Customer,26,Business travel,Business,158,2,3,2,4,3,2,3,3,3,3,4,1,4,3,0,1,neutral or dissatisfied
398,AS,Male,Loyal Customer,52,Business travel,Business,134,4,4,4,4,2,4,5,4,4,4,4,4,4,4,0,0,satisfied
399,B19,Male,disloyal Customer,38,Business travel,Business,164,4,4,4,3,1,4,2,1,4,4,5,5,4,1,0,0,satisfied
400,DL,Male,disloyal Customer,23,Business travel,Eco,134,0,0,1,1,5,1,4,5,3,4,5,3,5,5,0,0,satisfied
405,EV,Male,Loyal Customer,59,Business travel,Business,309,3,2,2,2,3,2,2,3,3,3,3,2,3,4,48,55,neutral or dissatisfied
406,F22,Male,disloyal Customer,36,Business travel,Business,134,2,1,1,1,4,1,4,4,4,2,5,4,4,4,0,0,neutral or dissatisfied
407,HA,Female,Loyal Customer,32,Business travel,Business,164,2,4,4,4,1,1,2,1,1,1,4,4,4,1,0,0,neutral or dissatisfied
412,MQ,Male,Loyal Customer,58,Business travel,Business,158,2,2,2,2,2,4,4,1,1,1,2,3,1,2,0,0,neutral or dissatisfied
415,NK,Female,disloyal Customer,38,Business travel,Business,229,4,4,4,3,2,4,5,2,1,2,4,1,3,2,0,0,neutral or dissatisfied
418,OO,Female,Loyal Customer,48,Business travel,Business,270,5,5,5,5,4,5,5,5,5,5,5,5,5,4,0,5,satisfied
419,AA,Male,Loyal Customer,58,Business travel,Business,309,5,5,3,5,4,4,4,4,4,4,4,3,4,4,0,1,satisfied
420,AS,Male,Loyal Customer,36,Business travel,Business,140,3,2,2,2,2,3,4,1,1,1,3,1,1,2,88,85,neutral or dissatisfied
421,B20,Female,disloyal Customer,25,Business travel,Business,312,3,0,4,4,4,4,4,4,3,2,4,4,5,4,0,0,neutral or dissatisfied
427,DL,Female,disloyal Customer,35,Business travel,Business,113,1,1,1,4,3,1,3,3,2,4,4,1,3,3,0,0,neutral or dissatisfied
429,EV,Female,Loyal Customer,52,Personal Travel,Business,309,2,5,2,5,2,5,4,2,2,2,2,3,2,4,6,16,neutral or dissatisfied
430,F23,Female,Loyal Customer,24,Personal Travel,Business,140,3,5,3,3,2,3,2,2,1,1,1,1,4,2,74,76,neutral or dissatisfied
431,HA,Male,Loyal Customer,47,Personal Travel,Business,102,1,2,0,3,5,4,4,1,1,0,1,4,1,4,0,0,neutral or dissatisfied
432,MQ,Female,Loyal Customer,46,Personal Travel,Business,247,2,5,2,3,3,4,5,1,1,2,1,4,1,4,0,0,neutral or dissatisfied
434,NK,Female,Loyal Customer,27,Personal Travel,Business,158,3,5,3,5,3,3,3,3,3,3,5,4,5,3,24,23,neutral or dissatisfied
435,OO,Male,Loyal Customer,53,Personal Travel,Business,134,2,2,2,3,5,3,3,2,2,2,2,4,2,3,80,71,neutral or dissatisfied
439,AA,Female,Loyal Customer,57,Personal Travel,Business,134,4,3,4,2,3,3,5,2,2,4,4,4,2,4,6,7,neutral or dissatisfied
440,AS,Female,Loyal Customer,66,Personal Travel,Business,396,1,5,4,4,4,5,5,1,1,4,1,3,1,3,0,0,neutral or dissatisfied
441,B21,Male,Loyal Customer,31,Personal Travel,Business,229,5,5,5,4,5,5,5,5,3,2,4,4,5,5,0,0,satisfied
442,DL,Female,Loyal Customer,14,Personal Travel,Business,309,3,4,3,4,5,3,5,5,3,5,2,1,1,5,0,0,neutral or dissatisfied
443,EV,Male,Loyal Customer,35,Personal Travel,Business,247,1,4,0,2,4,4,4,3,3,0,3,5,3,5,0,0,neutral or dissatisfied
444,F24,Male,Loyal Customer,48,Personal Travel,Business,247,5,5,5,1,3,5,4,3,3,5,3,4,3,4,27,32,satisfied
449,HA,Male,disloyal Customer,42,Business travel,Business,282,4,4,4,3,3,4,3,3,5,3,5,5,4,3,0,0,neutral or dissatisfied
453,MQ,Male,Loyal Customer,55,Business travel,Business,134,4,4,4,4,2,4,4,4,4,4,4,3,4,4,0,0,satisfied
454,NK,Male,Loyal Customer,59,Business travel,Business,312,1,1,1,1,2,4,4,5,5,5,5,3,5,5,26,18,satisfied
458,OO,Male,Loyal Customer,43,Business travel,Business,113,5,5,5,5,5,4,4,5,5,5,4,4,5,4,0,0,satisfied
462,AA,Female,Loyal Customer,53,Business travel,Business,102,1,1,1,1,2,5,5,4,4,4,4,4,4,3,0,1,satisfied
465,AS,Female,Loyal Customer,30,Business travel,Business,396,1,1,1,1,5,4,5,5,4,3,4,4,5,5,0,0,satisfied
466,B22,Female,Loyal Customer,48,Business travel,Business,102,3,3,3,3,5,4,4,4,4,5,4,5,4,3,0,0,satisfied
471,DL,Female,Loyal Customer,56,Business travel,Business,89,1,1,1,1,4,5,5,4,4,4,4,4,4,4,0,0,satisfied
472,EV,Male,disloyal Customer,40,Business travel,Business,113,1,1,1,4,3,1,3,3,5,3,5,4,4,3,22,20,neutral or dissatisfied
479,F25,Male,disloyal Customer,28,Business travel,Business,309,4,4,4,1,1,4,1,1,5,3,4,3,5,1,0,11,neutral or dissatisfied
480,HA,Female,disloyal Customer,37,Business travel,Business,164,4,4,4,4,1,4,1,1,4,5,5,3,4,1,0,0,satisfied
481,MQ,Male,Loyal Customer,55,Business travel,Business,134,1,1,1,1,4,5,5,4,4,4,4,4,4,4,0,0,satisfied
486,NK,Male,Loyal Customer,48,Business travel,Business,354,1,1,1,1,3,4,5,4,4,4,4,3,4,5,15,23,satisfied
488,OO,Male,Loyal Customer,48,Business travel,Business,89,4,4,4,4,4,4,5,4,4,4,4,4,4,5,19,16,satisfied
489,AA,Male,disloyal Customer,20,Business travel,Eco,164,2,0,2,3,2,2,2,2,3,4,4,4,5,2,0,1,neutral or dissatisfied
491,AS,Female,Loyal Customer,57,Business travel,Business,229,3,3,3,3,2,4,5,5,5,5,5,4,5,3,0,0,satisfied
493,B23,Male,Loyal Customer,59,Business travel,Business,134,0,4,0,3,2,4,5,3,3,3,3,4,3,4,0,0,satisfied
494,DL,Female,disloyal Customer,32,Business travel,Business,309,3,3,3,1,4,3,4,4,5,5,5,5,4,4,0,0,neutral or dissatisfied
497,EV,Female,Loyal Customer,41,Business travel,Business,164,1,1,1,1,2,5,5,4,4,4,5,5,4,3,9,0,satisfied
501,F26,Female,Loyal Customer,38,Business travel,Business,354,1,1,1,1,2,5,4,4,4,4,4,4,4,4,16,3,satisfied
505,HA,Male,Loyal Customer,52,Business travel,Business,164,0,4,0,4,2,5,5,2,2,2,2,4,2,5,20,9,satisfied
510,MQ,Female,Loyal Customer,52,Business travel,Business,354,1,1,1,1,2,5,4,4,4,4,4,3,4,3,0,0,satisfied
511,NK,Female,Loyal Customer,40,Business travel,Business,134,3,3,3,3,3,5,4,5,5,5,4,3,5,3,0,0,satisfied
512,OO,Male,disloyal Customer,36,Business travel,Business,247,2,2,2,2,4,2,4,4,3,4,5,4,4,4,15,32,neutral or dissatisfied
513,AA,Male,Loyal Customer,56,Business travel,Business,140,3,3,3,3,4,5,5,4,4,4,4,3,4,3,0,0,satisfied
515,AS,Male,disloyal Customer,21,Business travel,Business,89,4,0,5,1,3,5,3,3,4,4,5,5,4,3,0,0,satisfied
518,B24,Female,disloyal Customer,15,Business travel,Eco,247,2,0,2,3,4,2,4,4,5,5,5,5,5,4,0,0,neutral or dissatisfied
519,DL,Female,Loyal Customer,34,Business travel,Business,396,2,2,2,2,5,5,4,5,5,5,5,3,5,4,0,0,satisfied
522,EV,Female,Loyal Customer,39,Business travel,Business,158,1,1,1,1,4,4,5,4,4,4,5,4,4,5,0,18,satisfied
525,F27,Female,Loyal Customer,30,Business travel,Business,134,2,2,2,2,4,4,5,4,5,4,5,5,4,4,61,58,satisfied
527,HA,Male,disloyal Customer,38,Business travel,Business,134,4,4,4,1,2,4,2,2,3,2,4,3,5,2,6,1,neutral or dissatisfied
528,MQ,Female,Loyal Customer,49,Business travel,Business,134,3,3,3,3,4,4,5,5,5,5,4,3,5,4,0,0,satisfied
533,NK,Female,disloyal Customer,38,Business travel,Business,309,3,3,3,4,5,3,1,5,3,5,4,5,4,5,0,0,neutral or dissatisfied
534,OO,Male,disloyal Customer,32,Business travel,Business,309,3,3,3,2,4,3,4,4,5,4,5,3,5,4,0,0,neutral or dissatisfied
536,AA,Female,Loyal Customer,51,Business travel,Business,134,5,5,5,5,4,4,5,5,5,5,4,5,5,3,0,0,satisfied
537,AS,Male,disloyal Customer,23,Business travel,Eco,134,4,4,4,4,4,4,4,4,5,3,4,5,4,4,0,0,satisfied
542,B25,Male,disloyal Customer,34,Business travel,Business,312,2,2,2,3,2,2,2,2,5,3,4,4,4,2,0,0,neutral or dissatisfied
549,DL,Male,Loyal Customer,32,Business travel,Business,113,4,4,4,4,4,4,5,4,5,3,5,4,4,4,0,0,satisfied
558,EV,Male,Loyal Customer,42,Business travel,Business,164,3,3,3,3,5,5,4,4,4,5,5,5,4,5,0,0,satisfied
561,F28,Male,disloyal Customer,23,Business travel,Business,247,4,5,4,5,5,4,5,5,4,2,4,3,4,5,80,76,satisfied
