YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,SCHEDULED_TIME,ELAPSED_TIME,DISTANCE
2016,3,2,1,OO,5237,N797SK,MKE,IAH,525,524,-1,176,179,984
2016,3,2,1,US,1909,N958UW,BOS,PHL,530,524,-6,89,119,280
2016,3,2,1,OO,5460,N584SW,RDD,SFO,530,524,-6,86,87,199
2016,3,3,2,AA,1433,N472AA,SAT,DFW,535,524,-11,66,69,247
2016,3,4,3,AA,328,N3KWAA,DEN,DFW,523,524,1,116,164,641
2016,3,4,3,B6,1434,N328JB,SJU,MCO,530,524,-6,190,176,1189
2016,3,4,3,UA,259,N459UA,AUS,IAH,530,524,-6,56,45,140
2016,3,4,3,MQ,3379,N836MQ,LEX,ORD,530,524,-6,98,77,323
2016,3,4,3,OO,5435,N693BR,PSC,SFO,530,524,-6,126,111,620
2016,3,5,4,OO,5366,N969SW,DVL,JMS,528,524,-4,38,50,83
2016,3,5,4,B6,1434,N238JB,SJU,MCO,530,524,-6,190,175,1189
2016,3,5,4,OO,6391,N937SW,EUG,DEN,530,524,-6,160,180,996
2016,3,7,6,DL,1091,N555NW,JAX,ATL,525,524,-1,69,60,270
2016,3,7,6,OO,5366,N962SW,DVL,JMS,528,524,-4,38,48,83
2016,3,7,6,B6,1554,N521JB,SJU,FLL,529,524,-5,170,159,1046
2016,3,7,6,EV,4568,N16999,LFT,IAH,530,524,-6,67,60,201
2016,3,7,6,OO,6391,N923SW,EUG,DEN,530,524,-6,160,168,996
2016,3,8,7,US,1982,N971UY,DFW,CLT,505,524,19,143,138,936
2016,3,8,7,US,476,N108UW,PHX,CLT,515,524,9,227,237,1773
2016,3,8,7,OO,5435,N970SW,PSC,SFO,530,524,-6,126,118,620
2016,3,9,1,WN,2433,N256WN,PVD,TPA,520,524,4,195,180,1136
2016,3,9,1,EV,4209,N14991,BTR,IAH,525,524,-1,72,76,253
2016,3,9,1,WN,3223,N359SW,MCI,LAS,525,524,-1,190,189,1139
2016,3,9,1,DL,2393,N921DL,BNA,ATL,530,524,-6,60,49,214
2016,3,9,1,OO,5456,N970SW,RDM,SFO,530,524,-6,98,93,462
2016,3,9,1,OO,4984,N783SK,AUS,IAH,530,524,-6,55,49,140
2016,3,9,1,OO,6391,N472CA,EUG,DEN,530,524,-6,160,157,996
2016,3,9,1,OO,4735,N613SK,GRB,ATL,535,524,-11,145,135,774
2016,3,10,2,EV,4209,N41104,BTR,IAH,525,524,-1,72,80,253
2016,3,10,2,UA,1614,N73291,SEA,DEN,525,524,-1,157,156,1024
2016,3,10,2,WN,3223,N709SW,MCI,LAS,525,524,-1,190,168,1139
2016,3,10,2,DL,1316,N922DX,BOI,MSP,530,524,-6,163,164,1142
2016,1,1,4,OO,5484,N824AS,BOI,SFO,520,525,5,112,110,522
2016,1,1,4,EV,5187,N720EV,BNA,ATL,525,525,0,65,70,214
2016,1,2,5,DL,1288,N344NW,MSO,MSP,525,525,0,165,158,1013
2016,1,2,5,US,1852,N626AW,RDU,CLT,530,525,-5,61,49,130
2016,1,3,6,US,2062,N536UW,MCO,CLT,520,525,5,94,96,468
2016,1,3,6,OO,4779,N445SW,DIK,MSP,525,525,0,111,95,481
2016,1,3,6,OO,5198,N728SK,SAT,IAH,530,525,-5,58,53,191
2016,1,3,6,OO,5460,N567SW,RDD,SFO,530,525,-5,90,110,199
2016,1,4,7,UA,586,N827UA,AUS,IAH,525,525,0,55,44,140
2016,1,4,7,DL,1288,N321US,MSO,MSP,525,525,0,165,166,1013
2016,1,4,7,US,1909,N947UW,BOS,PHL,530,525,-5,84,91,280
2016,1,4,7,EV,6030,N27152,SBN,ORD,530,525,-5,55,59,84
2016,1,4,7,OO,5460,N562SW,RDD,SFO,530,525,-5,90,74,199
2016,1,4,7,OO,6391,N707SK,EUG,DEN,530,525,-5,158,146,996
2016,1,5,1,UA,1012,N39475,EWR,IAH,510,525,15,240,224,1400
2016,1,5,1,US,1960,N127UW,MSP,CLT,510,525,15,157,137,930
2016,1,5,1,MQ,2859,N640MQ,SGF,DFW,525,525,0,95,111,364
2016,1,7,3,EV,4209,N14162,BTR,IAH,528,525,-3,72,63,253
2016,1,7,3,DL,2222,N968DL,TLH,ATL,530,525,-5,68,57,223
2016,1,7,3,DL,844,N916DE,SAV,ATL,530,525,-5,68,64,214
2016,1,7,3,OO,5435,N973SW,PSC,SFO,530,525,-5,126,124,620
2016,1,8,4,NK,103,N611NK,BOS,MYR,505,525,20,140,128,738
2016,1,8,4,EV,5007,N867AS,AGS,ATL,530,525,-5,57,42,143
2016,1,8,4,OO,7423,N416SW,BRD,MSP,530,525,-5,49,41,114
2016,1,9,5,MQ,3659,N611MQ,SGF,DFW,525,525,0,92,83,364
2016,1,9,5,EV,5007,N916EV,AGS,ATL,530,525,-5,57,45,143
2016,1,11,7,F9,1279,N923FR,PHL,MCO,530,525,-5,160,160,861
2016,1,12,1,UA,1487,N69810,PHL,IAH,519,525,6,234,234,1325
2016,1,12,1,UA,334,N410UA,SEA,DEN,530,525,-5,157,163,1024
2016,1,12,1,DL,1598,N907DE,JAX,ATL,530,525,-5,70,64,270
2016,1,12,1,OO,5467,N928SW,ONT,SFO,530,525,-5,88,90,363
2016,1,13,2,DL,2294,N959DL,GSO,ATL,525,525,0,82,66,306
2016,1,14,3,DL,2294,N973DL,GSO,ATL,525,525,0,82,99,306
2016,1,14,3,EV,4209,N12552,BTR,IAH,528,525,-3,72,65,253
2016,1,15,4,US,843,N724UW,RIC,CLT,525,525,0,77,83,257
2016,1,15,4,US,1909,N944UW,BOS,PHL,530,525,-5,89,90,280
2016,1,15,4,DL,1598,N949DN,JAX,ATL,530,525,-5,70,70,270
2016,1,15,4,DL,844,N955AT,SAV,ATL,530,525,-5,68,59,214
2016,1,15,4,DL,2222,N906DL,TLH,ATL,530,525,-5,68,68,223
2016,1,15,4,EV,5534,N232PQ,BTR,ATL,530,525,-5,86,76,448
2016,1,15,4,UA,1545,N33209,DFW,IAH,530,525,-5,68,65,224
2016,1,16,5,US,843,N702UW,RIC,CLT,525,525,0,77,67,257
2016,1,16,5,US,1909,N953UW,BOS,PHL,530,525,-5,89,79,280
2016,1,17,6,MQ,3379,N849MQ,LEX,ORD,530,525,-5,98,81,323
2016,1,18,7,NK,409,N629NK,ORD,FLL,530,525,-5,188,176,1182
2016,1,19,1,US,1909,N954UW,BOS,PHL,530,525,-5,89,87,280
2016,1,19,1,WN,141,N274WN,ALB,MDW,530,525,-5,160,132,717
2016,1,19,1,EV,4593,N12922,DSM,IAH,530,525,-5,167,153,802
2016,1,19,1,OO,5435,N927SW,PSC,SFO,530,525,-5,126,109,620
2016,1,19,1,UA,812,N438UA,SEA,DEN,530,525,-5,157,149,1024
2016,1,20,2,EV,5007,N873AS,AGS,ATL,530,525,-5,57,38,143
2016,1,20,2,F9,1279,N922FR,PHL,MCO,530,525,-5,160,152,861
2016,1,20,2,MQ,3379,N848MQ,LEX,ORD,530,525,-5,98,93,323
2016,1,20,2,UA,812,N465UA,SEA,DEN,530,525,-5,157,171,1024
2016,1,20,2,UA,1012,N77518,DFW,IAH,530,525,-5,68,66,224
2016,1,21,3,MQ,3659,N677MQ,SGF,DFW,525,525,0,92,97,364
2016,1,21,3,US,1969,N111US,RDU,CLT,530,525,-5,57,46,130
2016,1,21,3,AA,328,N3HNAA,DEN,DFW,530,525,-5,117,109,641
2016,1,21,3,DL,844,N938DL,SAV,ATL,530,525,-5,68,56,214
2016,1,21,3,DL,1598,N909DE,JAX,ATL,530,525,-5,70,66,270
2016,1,21,3,DL,1906,N901DE,HSV,ATL,530,525,-5,65,44,151
2016,1,21,3,OO,5435,N954SW,PSC,SFO,530,525,-5,126,98,620
2016,1,22,4,US,843,N708UW,RIC,CLT,525,525,0,77,120,257
2016,1,22,4,US,1901,N126UW,RDU,CLT,530,525,-5,57,56,130
2016,1,22,4,DL,1906,N922AT,HSV,ATL,530,525,-5,65,52,151
2016,1,22,4,DL,1991,N945DN,MSP,ATL,530,525,-5,160,136,907
2016,1,22,4,F9,1279,N933FR,PHL,MCO,530,525,-5,160,147,861
2016,1,22,4,OO,6391,N718SK,EUG,DEN,530,525,-5,156,160,996
2016,1,22,4,DL,1269,N968DL,ORF,ATL,535,525,-10,119,116,516
2016,1,23,5,DL,1906,N979AT,HSV,ATL,530,525,-5,65,51,151
2016,1,23,5,DL,2222,N918DE,TLH,ATL,530,525,-5,68,61,223
2016,1,23,5,MQ,3379,N814MQ,LEX,ORD,530,525,-5,98,69,323
2016,1,23,5,OO,7368,N915EV,ESC,DTW,534,525,-9,81,63,306
2016,1,24,6,UA,206,N815UA,EWR,IAH,503,525,22,242,274,1400
2016,1,24,6,WN,4096,N8656B,MHT,BWI,530,525,-5,120,94,377
2016,1,24,6,EV,4208,N11119,SHV,IAH,530,525,-5,60,53,192
2016,1,25,7,EV,5132,N135EV,MSN,DTW,530,525,-5,87,85,311
2016,1,25,7,NK,409,N615NK,ORD,FLL,530,525,-5,188,176,1182
2016,1,26,1,DL,1598,N969DL,JAX,ATL,530,525,-5,70,63,270
2016,1,26,1,EV,5007,N838AS,AGS,ATL,530,525,-5,57,62,143
2016,1,26,1,MQ,3379,N854MQ,LEX,ORD,530,525,-5,98,101,323
2016,1,26,1,UA,1545,N26208,DFW,IAH,530,525,-5,68,84,224
2016,1,26,1,EV,4557,N12957,CRP,IAH,536,525,-11,62,75,201
2016,1,27,2,EV,4287,N26141,IAD,IAH,527,525,-2,225,206,1190
2016,1,27,2,US,1969,N124US,RDU,CLT,530,525,-5,57,57,130
2016,1,27,2,DL,2222,N919DE,TLH,ATL,530,525,-5,68,71,223
2016,1,27,2,EV,4208,N15527,SHV,IAH,530,525,-5,60,57,192
2016,1,28,3,DL,2288,N304DQ,BHM,ATL,525,525,0,60,55,134
2016,1,28,3,DL,1269,N991DL,ORF,ATL,535,525,-10,119,87,516
2016,1,28,3,OO,5235,N746SK,SAT,IAH,535,525,-10,60,52,191
2016,1,28,3,EV,4557,N11194,CRP,IAH,536,525,-11,62,58,201
2016,1,29,4,EV,4671,N17196,HRL,IAH,521,525,4,72,82,295
2016,1,29,4,OO,4541,N675BR,LWS,SLC,525,525,0,93,81,461
2016,1,29,4,US,1909,N956UW,BOS,PHL,530,525,-5,89,72,280
2016,1,29,4,AA,328,N3KRAA,DEN,DFW,530,525,-5,117,109,641
2016,1,29,4,DL,1906,N961DL,HSV,ATL,530,525,-5,65,47,151
2016,1,29,4,OO,6391,N770SK,EUG,DEN,530,525,-5,156,139,996
2016,1,29,4,OO,5249,N746SK,DSM,IAH,530,525,-5,162,145,802
2016,1,30,5,OO,5393,N908SW,MKE,ORD,510,525,15,49,43,67
2016,1,30,5,OO,5484,N507CA,BOI,SFO,520,525,5,115,113,522
2016,1,30,5,OO,4541,N8884E,LWS,SLC,525,525,0,93,90,461
2016,1,30,5,EV,4209,N14188,BTR,IAH,528,525,-3,72,59,253
2016,1,30,5,US,1909,N947UW,BOS,PHL,530,525,-5,89,100,280
2016,1,30,5,AA,328,N3AFAA,DEN,DFW,530,525,-5,117,115,641
2016,1,30,5,EV,5007,N840AS,AGS,ATL,530,525,-5,57,58,143
2016,2,1,7,US,602,N155UW,ORD,PHX,500,525,25,231,,1440
2016,2,1,7,DL,1418,N542US,MCO,ATL,520,525,5,89,81,404
2016,2,1,7,DL,2511,N933AT,BNA,ATL,530,525,-5,72,52,214
2016,2,1,7,OO,5435,N938SW,PSC,SFO,530,525,-5,126,115,620
2016,2,2,1,MQ,3659,N626MQ,SGF,DFW,525,525,0,92,109,364
2016,2,3,2,DL,1598,N922DX,JAX,ATL,530,525,-5,70,64,270
2016,2,3,2,OO,7423,N438SW,BRD,MSP,530,525,-5,49,60,114
2016,2,3,2,UA,572,N823UA,AUS,IAH,535,525,-10,56,41,140
2016,2,3,2,OO,6381,N765SK,SAT,IAH,535,525,-10,60,56,191
2016,2,4,3,DL,2222,N988DL,TLH,ATL,530,525,-5,68,54,223
2016,2,4,3,DL,844,N963DL,SAV,ATL,530,525,-5,68,65,214
2016,2,4,3,UA,15,N12114,TPA,EWR,530,525,-5,145,149,997
2016,2,4,3,OO,5467,N959SW,ONT,SFO,530,525,-5,88,79,363
2016,2,5,4,DL,823,N925DL,CLT,ATL,525,525,0,77,60,226
2016,2,5,4,US,1901,N128UW,RDU,CLT,530,525,-5,57,54,130
2016,2,5,4,UA,572,N805UA,AUS,IAH,535,525,-10,56,60,140
2016,2,5,4,EV,4557,N11191,CRP,IAH,536,525,-11,62,63,201
2016,2,6,5,DL,823,N968DL,CLT,ATL,525,525,0,77,59,226
2016,2,6,5,WN,141,N946WN,ALB,MDW,530,525,-5,160,145,717
2016,2,7,6,US,560,N650AW,MSP,PHX,520,525,5,202,190,1276
2016,2,7,6,AA,1287,N3JNAA,MSP,MIA,530,525,-5,225,229,1501
2016,2,8,7,AA,1287,N3EJAA,MSP,MIA,530,525,-5,225,208,1501
2016,2,8,7,DL,2511,N899AT,BNA,ATL,530,525,-5,72,57,214
2016,2,9,1,DL,2511,N957DL,BNA,ATL,530,525,-5,72,58,214
2016,2,9,1,AA,1433,N541AA,SAT,DFW,534,525,-9,66,57,247
2016,2,9,1,EV,4557,N16147,CRP,IAH,536,525,-11,62,59,201
2016,2,10,2,AA,328,N3DVAA,DEN,DFW,530,525,-5,117,105,641
2016,2,10,2,MQ,3379,N824MQ,LEX,ORD,530,525,-5,98,106,323
2016,2,10,2,AA,1433,N575AA,SAT,DFW,534,525,-9,66,55,247
2016,2,10,2,EV,4557,N12163,CRP,IAH,536,525,-11,62,54,201
2016,2,11,3,EV,4287,N14179,IAD,IAH,527,525,-2,225,219,1190
2016,2,11,3,EV,4209,N11193,BTR,IAH,528,525,-3,72,65,253
2016,2,11,3,MQ,3379,N814MQ,LEX,ORD,530,525,-5,98,80,323
2016,2,12,4,EV,4209,N19554,BTR,IAH,525,525,0,72,66,253
2016,2,12,4,DL,1598,N904DL,JAX,ATL,530,525,-5,70,60,270
2016,2,12,4,OO,6459,N752SK,DAY,ORD,530,525,-5,80,93,240
2016,2,12,4,UA,1500,N54241,AUS,IAH,530,525,-5,57,68,140
2016,2,13,5,OO,5393,N925SW,MKE,ORD,500,525,25,49,54,67
2016,2,13,5,OO,5249,N752SK,DSM,IAH,525,525,0,160,152,802
2016,2,13,5,OO,6391,N964SW,EUG,DEN,530,525,-5,163,156,996
2016,2,13,5,OO,7423,N461SW,BRD,MSP,530,525,-5,49,64,114
2016,2,14,6,DL,1418,N813DN,MCO,ATL,520,525,5,86,79,404
2016,2,14,6,B6,2228,N283JB,MCO,EWR,530,525,-5,150,150,937
2016,2,14,6,MQ,3379,N833MQ,LEX,ORD,530,525,-5,98,79,323
2016,2,14,6,UA,1545,N78501,AUS,IAH,530,525,-5,57,41,140
2016,2,14,6,EV,4557,N11539,CRP,IAH,535,525,-10,62,52,201
2016,2,15,7,OO,5628,N765SK,RNO,SFO,530,525,-5,70,58,192
2016,2,16,1,DL,1221,N315US,MSO,MSP,530,525,-5,165,160,1013
2016,2,16,1,OO,6459,N719SK,DAY,ORD,530,525,-5,80,76,240
2016,2,16,1,EV,4557,N18101,CRP,IAH,535,525,-10,62,65,201
2016,2,16,1,UA,250,N492UA,SEA,DEN,537,525,-12,158,151,1024
2016,2,17,2,DL,1221,N322US,MSO,MSP,530,525,-5,165,151,1013
2016,2,17,2,EV,5362,N844AS,SHV,ATL,530,525,-5,98,89,551
2016,2,18,3,DL,2294,N903DE,GSO,ATL,525,525,0,80,88,306
2016,2,18,3,DL,2520,N658DL,JAX,ATL,530,525,-5,70,63,270
2016,2,18,3,UA,1012,N78509,DFW,IAH,530,525,-5,70,57,224
2016,2,18,3,OO,5509,N116SY,DFW,SFO,530,525,-5,249,241,1464
2016,2,18,3,OO,6459,N793SK,DAY,ORD,530,525,-5,80,89,240
2016,2,19,4,EV,4651,N14179,IAD,IAH,527,525,-2,225,198,1190
2016,2,19,4,DL,1814,N990DL,AGS,ATL,530,525,-5,60,47,143
2016,2,19,4,DL,667,N945DL,BHM,ATL,530,525,-5,58,53,134
2016,2,19,4,DL,2520,N6709,JAX,ATL,530,525,-5,70,64,270
2016,2,19,4,OO,7423,N448SW,BRD,MSP,530,525,-5,49,46,114
2016,2,19,4,UA,1012,N73251,DFW,IAH,530,525,-5,70,69,224
2016,2,19,4,OO,5467,N679SA,ONT,SFO,535,525,-10,88,82,363
2016,2,19,4,UA,259,N849UA,SAT,IAH,535,525,-10,59,54,191
2016,2,20,5,OO,5249,N753SK,DSM,IAH,525,525,0,160,128,802
2016,2,20,5,DL,667,N919DL,BHM,ATL,530,525,-5,58,47,134
2016,2,21,6,AA,1388,N3CXAA,DFW,MIA,515,525,10,159,148,1121
2016,2,21,6,DL,2428,N970DL,GSP,ATL,530,525,-5,60,50,153
2016,2,23,1,DL,1780,N990DL,BNA,ATL,525,525,0,70,63,214
2016,2,23,1,B6,2228,N309JB,MCO,EWR,530,525,-5,150,145,937
2016,2,23,1,US,1904,N713UW,DCA,CLT,535,525,-10,87,99,331
2016,2,24,2,US,843,N764US,RIC,CLT,525,525,0,77,81,257
2016,2,24,2,OO,5460,N291SW,RDD,SFO,530,525,-5,86,72,199
2016,2,24,2,OO,6459,N785SK,DAY,ORD,530,525,-5,80,91,240
2016,2,25,3,OO,4779,N659BR,DIK,MSP,515,525,10,113,120,481
2016,2,25,3,DL,2294,N920DE,GSO,ATL,525,525,0,80,81,306
2016,2,25,3,EV,4651,N14177,IAD,IAH,527,525,-2,225,253,1190
2016,2,25,3,UA,468,N435UA,AUS,IAH,530,525,-5,56,47,140
2016,2,26,4,DL,1780,N906DL,BNA,ATL,525,525,0,70,86,214
2016,2,26,4,US,1909,N944UW,BOS,PHL,530,525,-5,89,89,280
2016,2,26,4,OO,6459,N701SK,DAY,ORD,530,525,-5,80,78,240
2016,2,26,4,UA,231,N435UA,AUS,IAH,530,525,-5,56,42,140
2016,2,27,5,US,1909,N963UW,BOS,PHL,530,525,-5,89,86,280
2016,2,27,5,OO,5467,N874AS,ONT,SFO,535,525,-10,88,97,363
2016,2,27,5,UA,250,N460UA,SEA,DEN,537,525,-12,158,163,1024
2016,2,28,6,WN,4096,N8606C,MHT,BWI,530,525,-5,120,91,377
2016,3,1,7,UA,1114,N39297,LAS,IAH,530,525,-5,177,163,1222
2016,3,1,7,MQ,3379,N843MQ,LEX,ORD,530,525,-5,98,85,323
2016,3,2,1,B6,2276,N712JB,SJU,BDL,338,525,107,241,254,1666
2016,3,2,1,US,602,N565UW,ORD,PHX,500,525,25,231,239,1440
2016,3,2,1,OO,5484,N716SK,BOI,SFO,515,525,10,113,92,522
2016,3,2,1,EV,4685,N12175,BRO,IAH,520,525,5,76,72,308
2016,3,2,1,DL,1129,N945DL,HSV,ATL,530,525,-5,53,51,151
2016,3,2,1,DL,2007,N961AT,SAV,ATL,530,525,-5,67,68,214
2016,3,2,1,EV,4568,N12552,LFT,IAH,530,525,-5,67,66,201
2016,3,3,2,US,843,N806AW,RIC,CLT,525,525,0,77,57,257
2016,3,3,2,OO,4541,N447SW,LWS,SLC,525,525,0,88,86,461
2016,3,3,2,OO,7423,N430SW,BRD,MSP,528,525,-3,47,74,114
2016,3,3,2,DL,1231,N308DE,CHS,ATL,530,525,-5,73,72,259
2016,3,3,2,US,1909,N956UW,BOS,PHL,530,525,-5,89,79,280
2016,3,3,2,OO,5435,N928SW,PSC,SFO,530,525,-5,126,116,620
2016,3,3,2,EV,5160,N937EV,HSV,DTW,531,525,-6,119,118,554
2016,3,4,3,AA,1182,N3GWAA,MSP,MIA,522,525,3,223,233,1501
2016,3,5,4,EV,6157,N13133,CID,ORD,530,525,-5,78,81,196
2016,3,5,4,OO,5460,N567SW,RDD,SFO,530,525,-5,86,71,199
2016,3,5,4,OO,5435,N699BR,PSC,SFO,530,525,-5,126,122,620
2016,3,5,4,OO,6411,N959SW,MSN,ORD,535,525,-10,61,72,108
2016,3,6,5,EV,4671,N11526,HRL,IAH,521,525,4,74,63,295
2016,3,6,5,UA,1679,N76522,SEA,SFO,525,525,0,130,128,679
2016,3,6,5,MQ,3659,N691MQ,SGF,DFW,525,525,0,92,93,364
2016,3,6,5,OO,5366,N925SW,DVL,JMS,528,525,-3,38,47,83
2016,3,6,5,DL,1316,N912DN,BOI,MSP,530,525,-5,163,148,1142
2016,3,6,5,EV,4568,N11181,LFT,IAH,530,525,-5,67,66,201
2016,3,6,5,OO,5456,N984CA,RDM,SFO,530,525,-5,98,90,462
2016,3,6,5,OO,6391,N929SW,EUG,DEN,530,525,-5,160,157,996
2016,3,7,6,OO,5435,N918SW,PSC,SFO,530,525,-5,126,120,620
2016,3,7,6,OO,5467,N956SW,ONT,SFO,535,525,-10,88,78,363
2016,3,8,7,MQ,3659,N646MQ,SGF,DFW,525,525,0,92,86,364
2016,3,9,1,WN,534,N7712G,MDW,PHX,525,525,0,240,221,1444
2016,3,9,1,WN,181,N269WN,PIT,TPA,525,525,0,155,144,873
2016,3,9,1,OO,7423,N487CA,BRD,MSP,528,525,-3,47,51,114
2016,3,9,1,DL,1316,N914DN,BOI,MSP,530,525,-5,163,152,1142
2016,3,9,1,US,1909,N965UW,BOS,PHL,530,525,-5,89,81,280
2016,3,9,1,WN,4728,N282WN,DEN,PHX,530,525,-5,125,100,602
2016,3,9,1,WN,4378,N723SW,LAS,MDW,530,525,-5,205,193,1521
2016,3,9,1,NK,409,N533NK,ORD,FLL,530,525,-5,181,173,1182
2016,3,10,2,WN,819,N913WN,LAX,LAS,525,525,0,75,63,236
2016,3,10,2,WN,580,N425LV,PHX,STL,525,525,0,170,160,1262
2016,3,10,2,WN,266,N685SW,OAK,LAX,525,525,0,80,86,337
2016,3,10,2,UA,380,N462UA,SAT,IAH,530,525,-5,58,58,191
2016,3,10,2,US,1909,N957UW,BOS,PHL,530,525,-5,89,76,280
2016,3,10,2,WN,2969,N419WN,SAT,DEN,530,525,-5,145,118,794
2016,3,10,2,NK,409,N516NK,ORD,FLL,530,525,-5,181,213,1182
2016,1,1,4,F9,1279,N918FR,PHL,MCO,530,526,-4,160,146,861
2016,1,1,4,NK,409,N509NK,ORD,FLL,530,526,-4,188,167,1182
2016,1,1,4,OO,6391,N593ML,EUG,DEN,530,526,-4,163,180,996
2016,1,2,5,EV,4685,N13978,BRO,IAH,520,526,6,74,79,308
2016,1,3,6,DL,1418,N809DN,MCO,ATL,520,526,6,87,83,404
2016,1,3,6,UA,1489,N87507,ORD,DEN,530,526,-4,167,176,888
2016,1,3,6,DL,667,N935AT,BHM,ATL,530,526,-4,58,46,134
2016,1,5,1,US,1901,N712US,RIC,CLT,530,526,-4,75,71,257
2016,1,5,1,DL,2511,N904DL,BNA,ATL,530,526,-4,72,55,214
2016,1,5,1,DL,1991,N673DL,MSP,ATL,530,526,-4,158,135,907
2016,1,5,1,F9,1279,N947FR,PHL,MCO,530,526,-4,160,165,861
2016,1,6,2,EV,4208,N13538,SHV,IAH,530,526,-4,60,60,192
2016,1,6,2,EV,4388,N11140,MCI,EWR,534,526,-8,164,149,1092
2016,1,6,2,OO,7368,N454SW,ESC,DTW,534,526,-8,81,67,306
2016,1,7,3,AA,1287,N3JLAA,MSP,MIA,530,526,-4,225,221,1501
2016,1,7,3,DL,1598,N939DN,JAX,ATL,530,526,-4,70,63,270
2016,1,7,3,EV,5534,N607LR,BTR,ATL,530,526,-4,86,80,448
2016,1,7,3,MQ,3379,N855MQ,LEX,ORD,530,526,-4,98,95,323
2016,1,7,3,F9,1276,N923FR,MCO,PHL,2140,526,466,139,132,861
2016,1,8,4,US,1909,N947UW,BOS,PHL,530,526,-4,89,76,280
2016,1,8,4,OO,5435,N507CA,PSC,SFO,530,526,-4,126,112,620
2016,1,9,5,MQ,3379,N827MQ,LEX,ORD,530,526,-4,98,78,323
2016,1,9,5,NK,409,N527NK,ORD,FLL,530,526,-4,188,191,1182
2016,1,9,5,OO,7423,N452SW,BRD,MSP,530,526,-4,49,71,114
