Origin,Destination,Marketing_Airline,Operating_Airline,Flight_Duration,Distance
HKG,FRA,LH,LH,770,4957.0
FRA,HKG,LH,LH,690,4957.0
FRA,CCS,LH,LH,630,4381.0
SYD,PVG,MU,MU,595,4284.0
SYD,CMB,UL,UL,670,4756.0
FRA,BOG,LH,LH,695,4927.0
MIA,MAD,IB,IB,495,3842.0
SJU,MAD,IB,IB,465,3449.0
PVG,SYD,MU,MU,610,4284.0
BGI,LHR,BW,BW,490,3662.0
FRA,ORD,UA,UA,559,3774.0
LHR,JNB,SA,SA,650,4936.0
EBB,AUH,QU,QU,435,1962.0
LAX,PPT,TN,TN,515,3601.0
PPT,LAX,TN,TN,495,3601.0
AMS,MIA,MP,MP,620,4034.0
MIA,AMS,MP,MP,505,4034.0
AUH,EBB,QU,QU,435,1962.0
PER,JNB,QF,QF,630,4493.0
KUL,SYD,NG,NG,460,3579.0
MEL,KUL,NG,NG,465,3434.0
HKG,CNS,QF,QF,430,3023.0
ADL,SIN,QF,QF,420,2941.0
SIN,MEL,QF,QF,445,3282.0
SIN,ADL,QF,QF,405,2941.0
SIN,BNE,QF,QF,465,3332.0
PVG,SYD,QF,QF,635,4284.0
SYD,PVG,QF,QF,645,4284.0
PER,NRT,QF,QF,580,4336.0
NRT,PER,QF,QF,620,4336.0
DFW,GRU,AA,AA,628,4480.0
GRU,DFW,AA,AA,623,4480.0
GIG,MIA,AA,AA,511,3652.0
YKS,DME,E3,E3,430,2656.0
HKG,BAH,CX,CX,575,3450.0
KHV,DME,E3,E3,515,3337.0
CDG,DXB,AF,AF,405,2838.0
DXB,CDG,AF,AF,455,2838.0
LBV,CDG,AF,AF,420,2958.0
DXB,CDG,VN,VN,510,2838.0
DXB,CDG,VN,VN,510,2838.0
DXB,SGN,VN,VN,440,3042.0
DXB,HAN,VN,VN,405,2782.0
SGN,DXB,VN,VN,425,3042.0
SCL,MIA,LA,LA,510,3634.0
PKC,SVO,SU,SU,565,3653.0
SVO,PKC,SU,SU,510,3653.0
JED,LHR,SV,SV,405,2574.0
LHR,JFK,KU,KU,455,3002.0
SVO,BKK,SU,SU,570,3851.0
SNN,ATL,DL,DL,520,3342.0
ATL,DUB,DL,DL,460,3427.0
JFK,VCE,DL,DL,500,3614.0
DUB,JFK,DL,DL,455,2766.0
VCE,JFK,DL,DL,535,3614.0
RUN,TLS,IJ,IJ,660,4917.0
TLS,RUN,IJ,IJ,645,4917.0
JFK,ZRH,SR,SR,445,3422.0
ORD,VIE,OS,OS,565,4094.0
DXB,ZRH,SR,SR,410,2584.0
PEK,VIE,OS,OS,625,4030.0
VIE,ORD,OS,OS,634,4094.0
TLV,JNB,LY,LY,545,3544.0
VIE,PEK,OS,OS,565,4030.0
ZRH,JFK,SR,SR,535,3422.0
PEK,SVO,CA,CA,525,3137.0
SVO,PEK,CA,CA,455,3137.0
LGW,ALA,BA,BA,450,3049.0
EBB,LGW,BA,BA,510,3513.0
LGW,CCS,BA,BA,620,4055.0
LGW,NAS,BA,BA,600,3791.0
LGW,EBB,BA,BA,470,3513.0
CCS,LGW,BA,BA,545,4055.0
BKK,CAI,MS,MS,600,3940.0
CAI,BKK,MS,PR,495,3940.0
CAI,JFK,MS,MS,750,4885.0
CAI,JFK,MS,MS,750,4885.0
JFK,CAI,MS,MS,630,4885.0
JFK,CAI,MS,MS,630,4885.0
BKK,DXB,TG,TG,420,2655.0
ALA,AMS,KL,KL,460,2844.0
AMS,ALA,KL,KL,415,2844.0
SJU,FRA,AV,AV,540,3985.0
JFK,SVO,SU,SU,560,4054.0
KWI,AMS,KL,KL,425,2360.0
SVO,JFK,SU,SU,655,4054.0
MXP,PEK,AZ,RD,590,4374.0
PEK,MXP,AZ,RD,655,4374.0
RUH,CDG,AF,AF,410,2516.0
MIA,MUC,NG,L4,570,4355.0
FRA,SJU,AV,AV,610,3985.0
ATL,EZE,MJ,MJ,600,4401.0
EZE,ATL,MJ,MJ,600,4401.0
GIG,MAD,IB,IB,575,4431.0
MAD,GIG,IB,IB,625,4431.0
SEA,SVO,SU,SU,645,4532.0
SVO,SEA,SU,SU,675,4532.0
BOG,CDG,AV,AV,640,4692.0
CDG,BOG,AV,AV,690,4692.0
MXP,CCS,AZ,RD,650,4371.0
DMM,AMS,KL,KL,415,2550.0
YYZ,MAN,AC,AC,405,2983.0
GLA,YYZ,AC,AC,455,2864.0
MUC,MIA,NG,L4,650,4355.0
CNS,HKG,CX,CX,425,3023.0
HKG,CNS,CX,CX,430,3023.0
BNE,HKG,CX,CX,525,3776.0
HKG,BNE,CX,CX,525,3776.0
DXB,LHR,BI,BI,500,2984.0
AUH,LHR,BI,BI,500,2989.0
LHR,AUH,BI,BI,430,2989.0
LHR,DXB,BI,BI,430,2984.0
BWN,DXB,BI,BI,520,3639.0
DXB,BWN,BI,BI,480,3639.0
BWN,AUH,BI,BI,520,3674.0
TAS,LHR,HY,HY,455,2853.0
YUL,FRA,AC,AC,435,3175.0
YVR,SEL,AC,AC,710,4419.0
FRA,YUL,AC,AC,500,3175.0
HEL,NRT,AY,AY,575,4234.0
NRT,HEL,AY,AY,625,4234.0
BKK,HEL,AY,AY,670,4285.0
BKK,PER,TG,TG,405,2910.0
DEL,NRT,JL,JL,430,3200.0
HNL,NRT,JL,JL,530,3314.0
NRT,DEL,JL,JL,580,3200.0
AUH,TPE,CI,CI,505,3599.0
AUH,TPE,CI,CI,505,3599.0
AUH,FRA,CI,CI,420,2633.0
LAX,NGO,JL,JL,735,4906.0
TPE,AUH,CI,CI,585,3599.0
TPE,AUH,CI,CI,585,3599.0
ORD,VIE,OS,OS,565,4094.0
VIE,ORD,OS,OS,634,4094.0
NRT,VIE,OS,OS,765,4950.0
VIE,NRT,OS,OS,690,4950.0
SFO,SEL,KE,KE,775,4897.0
BNE,SEL,KE,KE,580,4209.0
HIJ,HNL,JO,JO,425,3686.0
HNL,HIJ,JO,JO,580,3686.0
ATH,YUL,OA,OA,585,4140.0
YUL,ATH,OA,OA,525,4140.0
AMS,JRO,KL,KL,510,3758.0
AMS,JRO,KL,KL,510,3758.0
DAR,AMS,KL,KL,565,3997.0
DAR,AMS,KL,KL,565,3997.0
BOM,SEL,KE,KE,430,3024.0
SEL,BOM,KE,KE,540,3024.0
SYD,MNL,QF,QF,450,3414.0
KUL,THR,IR,MH,525,3430.0
THR,KUL,IR,MH,465,3430.0
SIN,BNE,QF,QF,440,3332.0
HRE,LGW,UM,UM,630,4509.0
LGW,HRE,UM,UM,630,4509.0
KIX,PEN,MH,MH,420,2628.0
KUL,DXB,MH,MH,445,3004.0
DXB,KUL,MH,MH,430,3004.0
MIA,GIG,RG,RG,485,3652.0
BRU,MAA,SN,SN,590,4276.0
MAD,GIG,RG,RG,630,4431.0
MAA,BRU,SN,SN,650,4276.0
GIG,MIA,RG,RG,515,3652.0
GIG,MAD,RG,RG,591,4431.0
NGO,PEN,MH,MH,430,2704.0
PHL,LGW,US,US,430,3093.0
AMS,PEK,CZ,CZ,580,4230.0
PEK,AMS,CZ,CZ,635,4230.0
CPT,EZE,MH,MH,570,3724.0
EZE,CPT,MH,MH,450,3724.0
JNB,KUL,MH,MH,610,4607.0
JNB,KUL,MH,MH,610,4607.0
KUL,JNB,MH,MH,620,4607.0
KUL,JNB,MH,MH,620,4607.0
BNE,SIN,SQ,SQ,450,3332.0
PEK,CPH,CA,CA,595,3893.0
HKG,IST,CX,CX,740,4334.0
IST,HKG,CX,CX,590,4334.0
FRA,PVG,CA,CA,630,4795.0
FRA,PEK,CA,CA,550,4212.0
PVG,FRA,CA,CA,690,4795.0
HKG,AKL,CX,CX,660,4979.0
ARN,PEK,CA,CA,490,3618.0
ARN,DXB,UL,UL,415,2603.0
DXB,ARN,UL,UL,470,2603.0
ZRH,CMB,UL,UL,600,4341.0
CUN,GRU,RG,RG,495,3583.0
MIA,GIG,RG,RG,485,3652.0
GIG,LIS,RG,RG,570,4206.0
GIG,MIA,RG,RG,515,3652.0
GRU,CUN,RG,RG,495,3583.0
LIS,GIG,RG,RG,595,4206.0
ADL,KUL,MH,MH,435,3092.0
GRU,LIS,TP,TP,575,4318.0
GRU,LIS,TP,TP,575,4318.0
LIS,MPM,TP,TP,630,4569.0
LIS,GIG,TP,TP,585,4206.0
MPM,LIS,TP,TP,640,4569.0
NRT,PEN,MH,MH,455,2885.0
BKK,VIE,BR,BR,700,4577.0
JFK,BRU,BG,BG,420,3191.0
MAD,PUJ,UX,UX,540,3555.0
BRU,DEL,BG,BG,475,3465.0
BRU,JFK,BG,BG,465,3191.0
PUJ,MAD,UX,UX,470,3555.0
DEL,BRU,BG,BG,565,3465.0
SCL,MEX,AM,AM,510,3591.0
GRU,MEX,AM,AM,585,4033.0
MEX,GRU,AM,AM,570,4033.0
SEZ,CDG,HM,HM,625,4263.0
MEX,SCL,AM,AM,495,3591.0
BKK,IST,TK,TK,640,4067.0
IST,JNB,TK,TK,580,4082.0
JNB,IST,TK,TK,580,4082.0
IST,NRT,TK,TK,675,4855.0
IST,BKK,TK,TK,540,4067.0
NRT,IST,TK,TK,755,4855.0
JFK,MAD,IB,IB,430,3118.0
LAD,CDG,AF,AF,480,3551.0
CDG,LAD,AF,AF,480,3551.0
HNL,KIX,JL,JL,565,3570.0
JNB,MAD,IB,IB,600,4411.0
PUJ,ORY,IW,IW,495,3832.0
ORY,CMB,IW,IW,595,4599.0
ORY,SXM,IW,IW,515,3647.0
SYD,CMB,IW,IW,635,4756.0
DTW,AMS,KL,KL,445,3432.0
PVG,AMS,KL,KL,705,4820.0
HNL,NAN,FJ,FJ,405,2775.0
KIX,HNL,JL,JL,410,3570.0
AMS,PVG,KL,KL,625,4820.0
MAD,JNB,IB,IB,585,4411.0
AMS,DTW,KL,KL,515,3432.0
CMB,ORY,IW,IW,665,4599.0
CMB,SYD,IW,IW,610,4756.0
BRU,ABJ,SN,SN,415,2788.0
BRU,JFK,SN,SN,510,3191.0
JFK,BRU,SN,SN,435,3191.0
RUH,LHR,BA,BA,440,2678.0
LGW,ACC,BA,BA,405,2756.0
ABJ,LGW,BA,BA,415,2783.0
BGI,LGW,BA,BA,500,3664.0
LGW,BGI,BA,BA,530,3664.0
LAD,LGW,BA,BA,510,3706.0
IAH,LGW,BA,BA,525,4214.0
LHR,ISB,BA,BA,485,3293.0
LGW,IAH,BA,BA,620,4214.0
LGW,LAD,BA,BA,500,3706.0
GRU,JNB,SA,SA,500,4031.0
JNB,GRU,SA,SA,600,4031.0
NRT,YVR,AC,AC,520,4054.0
JNB,PER,SA,SA,550,4493.0
LHR,YOW,CP,CP,455,2895.0
BKK,BAH,GF,GF,455,2920.0
SIN,MEL,GF,GF,450,3282.0
SIN,AUH,GF,GF,455,3189.0
YUL,FCO,CP,CP,470,3572.0
FCO,YYZ,CP,CP,590,3840.0
FCO,YUL,CP,CP,550,3572.0
NAN,NRT,FJ,FJ,570,3874.0
NRT,NAN,FJ,FJ,525,3874.0
ORD,VIE,OS,OS,565,4094.0
VIE,ORD,OS,OS,634,4094.0
AUH,SIN,GF,GF,436,3189.0
MEL,SIN,GF,GF,475,3282.0
KIX,VIE,OS,OS,765,4875.0
DXB,ZRH,EK,EK,425,2584.0
SYD,SIN,MS,MS,500,3422.0
CAI,SIN,MS,MS,590,4471.0
SIN,CAI,MS,MS,675,4471.0
SIN,SYD,MS,MS,465,3422.0
SEL,SVO,KE,KE,575,3574.0
SVO,SEL,KE,KE,485,3574.0
JNB,CAI,MS,MS,475,3412.0
LHR,JFK,VS,VS,460,3002.0
JED,SIN,SQ,SQ,550,3983.0
SIN,JED,SQ,SQ,575,3983.0
MNL,HNL,PR,PR,590,4605.0
HNL,MNL,PR,PR,645,4605.0
CDG,DXB,AF,AF,405,2838.0
DXB,CDG,AF,AF,455,2838.0
LAX,PTY,CM,CM,450,2630.0
EZE,PTY,CM,CM,430,2918.0
AKL,RAR,NZ,NZ,1670,1633.0
PTY,EZE,CM,CM,415,2918.0
PPT,LAX,NZ,NZ,525,3601.0
HKG,SYD,AN,AN,540,4025.0
SYD,HKG,AN,AN,560,4025.0
KIX,AKL,NZ,NZ,650,4860.0
SVO,VVO,XF,XF,640,3469.0
VVO,SVO,XF,XF,655,3469.0
BKK,VIE,NG,NG,745,4577.0
AUH,CDG,GF,GF,465,2840.0
CDG,AUH,GF,GF,405,2840.0
AUH,KUL,GF,GF,430,3030.0
AUH,CMN,GF,GF,535,3276.0
JFK,WAW,LO,LO,520,3712.0
WAW,JFK,LO,LO,605,3712.0
LHR,AUH,GF,GF,420,2989.0
CMN,AUH,GF,GF,450,3276.0
KRK,ORD,LO,LO,650,4118.0
ORD,KRK,LO,LO,555,4118.0
CDG,EWR,CO,CO,520,3174.0
EWR,CDG,CO,CO,430,3174.0
EWR,LGW,CO,CO,410,3020.0
DLA,BRU,SN,SN,410,2842.0
EWR,BRU,SN,SN,450,3198.0
BRU,IAD,SN,SN,520,3385.0
BRU,EWR,SN,SN,500,3198.0
BRU,DLA,SN,SN,410,2842.0
IAD,BRU,SN,SN,455,3385.0
JFK,ZRH,SR,SR,445,3422.0
JFK,ZRH,SR,SR,445,3422.0
AMS,ORD,KU,KU,545,3582.0
SIN,KWI,KU,KU,500,3613.0
MUC,PEK,MU,MU,565,4177.0
PEK,MUC,MU,MU,685,4177.0
MIA,MAD,IB,IB,495,3842.0
CDG,PEK,MU,MU,635,4425.0
JFK,EZE,AR,AR,655,4652.0
KWI,AMS,KU,KU,415,2360.0
KWI,SIN,KU,KU,505,3613.0
CMB,LHR,UL,UL,735,4722.0
ORD,AMS,KU,KU,480,3582.0
LHR,CMB,UL,UL,665,4722.0
BOG,FRA,LH,LH,660,4927.0
EZE,JFK,AR,AR,650,4652.0
ANU,LHR,BW,BW,465,3554.0
UVF,LHR,BW,BW,490,3682.0
LHR,ANU,BW,BW,510,3554.0
DEL,SVO,SU,SU,435,2365.0
DEL,SVO,SU,SU,435,2365.0
EWR,LGW,CO,CO,410,3020.0
LGW,EWR,CO,CO,480,3020.0
HAN,SVO,SU,SU,625,3649.0
SEL,SVO,SU,SU,605,3574.0
SVO,HAN,SU,SU,570,3649.0
SVO,SEL,SU,SU,515,3574.0
CDG,SXM,AF,AF,525,3659.0
CDG,PTP,AF,AF,530,3679.0
PTP,CDG,AF,AF,475,3679.0
SDQ,CDG,AF,AF,510,3895.0
LHR,DOH,QR,QR,420,2843.0
BKK,DOH,QR,QR,440,2858.0
BOM,KIX,NH,NH,435,3430.0
KIX,BOM,NH,NH,585,3430.0
DOH,LHR,QR,QR,470,2843.0
KIX,DPS,NH,NH,435,2866.0
SIN,BNE,QF,QF,465,3332.0
HKG,BNE,QF,QF,520,3776.0
TPE,SYD,QF,QF,560,3971.0
HNL,SYD,QF,QF,645,4438.0
HNL,SYD,QF,QF,640,4438.0
SYD,HNL,QF,QF,2040,4438.0
BNE,HKG,QF,QF,525,3776.0
SYD,HNL,QF,QF,2040,4438.0
SYD,TPE,QF,QF,555,3971.0
JFK,TLV,LY,LY,610,4936.0
JFK,TLV,LY,LY,610,4936.0
JFK,TLV,LY,LY,610,4936.0
JFK,TLV,LY,LY,610,4936.0
JFK,TLV,LY,LY,620,4936.0
JFK,TLV,LY,LY,610,4936.0
TLV,EWR,LY,LY,720,4945.0
TLV,JFK,LY,LY,715,4936.0
TLV,JFK,LY,LY,705,4936.0
TLV,JFK,LY,LY,705,4936.0
LAX,NAN,FJ,FJ,645,4816.0
NAN,LAX,FJ,FJ,615,4816.0
CCS,SCL,LA,LA,415,2678.0
SCL,CCS,LA,LA,415,2678.0
SGN,SYD,VN,VN,510,3720.0
SYD,SGN,VN,VN,530,3720.0
EWR,MXP,AZ,RD,470,3483.0
GRU,LIS,TR,TR,578,4318.0
GIG,LIS,TR,TR,560,4206.0
LIS,GRU,TR,TR,599,4318.0
LIS,GRU,TR,TR,599,4318.0
MXP,EWR,AZ,RD,555,3483.0
ISB,CPH,PK,PK,425,2804.0
ISB,LHR,PK,PK,550,3293.0
ISB,CPH,PK,PK,425,2804.0
ISB,MAN,PK,PK,505,3337.0
ISB,LHR,PK,PK,550,3293.0
LHR,LHE,PK,PK,465,3422.0
LHR,LHE,PK,PK,465,3422.0
LHR,ISB,PK,PK,465,3293.0
LHR,ISB,PK,PK,465,3293.0
LHR,LHE,PK,PK,465,3422.0
LHE,MAN,PK,PK,525,3468.0
LHE,MAN,PK,PK,525,3468.0
LHE,LHR,PK,PK,520,3422.0
MAN,LHE,PK,PK,470,3468.0
MAN,LHE,PK,PK,470,3468.0
MAN,ISB,PK,PK,465,3337.0
KHI,MAN,PK,PK,540,3505.0
ISB,MAN,PK,PK,510,3337.0
ISB,MAN,PK,PK,510,3337.0
MAN,KHI,PK,PK,475,3505.0
MAN,JFK,PK,PK,450,2905.0
MAN,ISB,PK,PK,465,3337.0
MAN,LHE,PK,PK,470,3468.0
MAN,JFK,PK,PK,450,2905.0
PHX,OGG,TZ,TZ,402,2471.0
PHX,HNL,TZ,TZ,405,2534.0
DXB,ZRH,SR,SR,410,2584.0
YYC,HNL,2T,2T,410,2727.0
VIE,DEL,OS,OS,415,3002.0
JNB,TLV,LY,LY,545,3544.0
AKL,NRT,NZ,NZ,655,4812.0
VIE,DEL,OS,OS,420,3002.0
LAX,LHR,NZ,NZ,625,4742.0
LAX,NAN,NZ,NZ,660,4816.0
NRT,AKL,NZ,NZ,625,4812.0
AKL,NRT,NZ,NZ,655,4812.0
AKL,NRT,NZ,NZ,655,4812.0
NRT,AKL,NZ,NZ,625,4812.0
LAX,NAN,NZ,NZ,660,4816.0
LAX,LHR,NZ,NZ,625,4742.0
LAX,LHR,NZ,NZ,625,4742.0
LAX,NAN,NZ,NZ,660,4816.0
ALA,LGW,BA,BA,490,3049.0
NAS,MXP,AZ,RD,535,4211.0
MIA,FCO,AZ,RD,580,4511.0
BKK,MXP,AZ,RD,740,4915.0
FRA,ROB,8U,8U,435,2817.0
ROB,FRA,8U,8U,435,2817.0
SEL,DEL,OZ,OZ,510,2537.0
BOM,MXP,AZ,RD,580,3524.0
CCS,LIS,TP,TP,480,3527.0
SSA,LIS,TP,TP,470,3547.0
NBO,LHR,KQ,KQ,540,3722.0
LHR,MBJ,JM,H2,615,4093.0
GIG,MAD,PU,PU,605,4431.0
LHR,MBJ,JM,JM,615,4093.0
KIN,LHR,JM,H2,540,4078.0
MAD,GIG,PU,PU,640,4431.0
BKK,TLV,LY,LY,650,3762.0
BKK,TLV,LY,LY,665,3762.0
CNS,NGO,QF,QF,435,3176.0
AMS,ABJ,KL,KL,420,2878.0
JNB,MUC,4M,4M,600,4594.0
JNB,MUC,4M,4M,600,4594.0
BOG,LHR,AV,AV,615,4594.0
KIX,NOU,SB,SB,530,3858.0
MAN,YYZ,AC,AC,470,2983.0
MBJ,LHR,JM,H2,540,4093.0
LHR,BOG,AV,AV,680,4594.0
LHR,NBO,KQ,KQ,520,3722.0
CMN,JFK,AT,AT,455,3141.0
ABJ,AMS,KL,KL,430,2878.0
ORY,TNR,SS,SS,620,4756.0
BAH,AMS,KL,KL,425,2586.0
FRA,BKK,BA,QF,635,4873.0
JNB,LGW,4M,4M,660,4920.0
MUC,JNB,4M,4M,600,4594.0
MNL,SYD,QF,QF,455,3414.0
MUC,JNB,4M,4M,600,4594.0
JNB,LGW,4M,4M,660,4920.0
JNB,LGW,4M,4M,660,4920.0
MUC,JNB,4M,4M,600,4594.0
JNB,MUC,4M,4M,600,4594.0
JNB,MUC,4M,4M,600,4594.0
REC,LIS,TP,TP,435,3197.0
DEL,SVO,SU,SU,440,2365.0
MUC,JNB,4M,4M,600,4594.0
LGW,JNB,4M,4M,645,4920.0
CCS,FCO,AZ,RD,605,4519.0
CCS,MXP,AZ,RD,585,4371.0
LGW,JNB,4M,4M,645,4920.0
LGW,JNB,4M,4M,645,4920.0
DXB,MXP,AZ,RD,405,2554.0
JFK,TLV,LY,LY,610,4936.0
LIS,REC,TP,TP,445,3197.0
LIS,FOR,TP,TP,430,3061.0
SVO,JFK,SU,SU,655,4054.0
EWR,TLV,LY,LY,615,4945.0
TLV,JFK,LY,LY,705,4936.0
TLV,JFK,LY,LY,715,4936.0
EWR,TLV,LY,LY,640,4945.0
TLV,JFK,LY,LY,715,4936.0
TLV,EWR,LY,LY,720,4945.0
TLV,BKK,LY,LY,640,3762.0
TLV,EWR,LY,LY,720,4945.0
BOM,MXP,AZ,RD,580,3524.0
TLV,BKK,LY,LY,640,3762.0
TLV,JFK,LY,LY,715,4936.0
JFK,TLV,LY,LY,615,4936.0
JFK,SVO,SU,SU,565,4054.0
JFK,TLV,LY,LY,610,4936.0
JFK,TLV,LY,LY,610,4936.0
LIS,CCS,TP,TP,485,3527.0
JFK,SVO,SU,SU,560,4054.0
SVO,JFK,SU,SU,655,4054.0
BNE,MNL,QF,QF,415,3160.0
TLV,JFK,LY,LY,715,4936.0
EWR,TLV,LY,LY,615,4945.0
SYD,NGO,QF,QF,565,4251.0
LFW,AMS,KL,KL,410,2794.0
BOS,MXP,AZ,RD,445,3310.0
MXP,BOS,AZ,RD,520,3310.0
MXP,BOM,AZ,RD,490,3524.0
MXP,BOM,AZ,RD,490,3524.0
BKK,DXB,BI,BI,406,2655.0
DXB,FRA,BI,BI,455,2629.0
BNE,BWN,BI,BI,410,2959.0
AUH,BWN,BI,BI,480,3674.0
OTP,PEK,RO,RO,555,3818.0
PEK,OTP,RO,RO,615,3818.0
BWN,JED,BI,BI,655,4513.0
JED,BWN,BI,BI,595,4513.0
ORD,LHR,AI,AI,450,3434.0
ORD,LHR,AI,AI,450,3434.0
ORD,LHR,AI,AI,450,3434.0
DEL,CDG,AI,AI,565,3549.0
DEL,LHR,AI,AI,580,3645.0
BOM,LHR,AI,AI,590,3908.0
CDG,DEL,AI,AI,475,3549.0
BOM,LHR,AI,AI,590,3908.0
LHR,BOM,AI,AI,515,3908.0
LHR,ORD,AI,AI,510,3434.0
LHR,ORD,AI,AI,510,3434.0
LHR,DEL,AI,AI,495,3645.0
LHR,BOM,AI,AI,515,3908.0
LHR,ORD,AI,AI,510,3434.0
JFK,KBP,HY,HY,565,4083.0
KBP,JFK,HY,HY,650,4083.0
DXB,PRG,OK,OK,430,2421.0
UUS,VKO,HZ,HZ,625,3610.0
TLV,YUL,AC,AC,720,4768.0
VKO,UUS,HZ,HZ,510,3610.0
PRG,YUL,OK,OK,510,3365.0
YUL,TLV,AC,AC,620,4768.0
YUL,PRG,OK,OK,445,3365.0
LGW,PHL,US,US,510,3093.0
CNS,NGO,QF,QF,435,3176.0
CNS,NGO,QF,QF,435,3176.0
MNL,SYD,QF,QF,455,3414.0
SYD,MNL,QF,QF,450,3414.0
JFK,WAW,LO,LO,520,3712.0
WAW,JFK,LO,LO,590,3712.0
JFK,AMS,KL,KL,425,3173.0
PUJ,EZE,AR,AR,430,3286.0
ANU,LGW,VS,VS,480,3557.0
JFK,MAD,IB,IB,430,3118.0
LGW,MCO,VS,VS,565,3779.0
LGW,UVF,VS,VS,525,3684.0
LGW,BGI,VS,VS,525,3664.0
FDF,ORY,SS,SS,485,3717.0
LGW,ANU,VS,VS,520,3557.0
PEK,FRA,CA,CA,615,4212.0
BNE,SIN,BA,QF,445,3332.0
MIA,EZE,AR,AR,515,3885.0
JNB,ZRH,SA,SA,610,4584.0
CUR,AMS,KL,LM,540,4251.0
JNB,MAD,IB,IB,600,4411.0
PTP,ORY,SS,SS,480,3666.0
ZRH,JNB,SA,SA,610,4584.0
EZE,MIA,AR,AR,530,3885.0
EZE,PUJ,AR,AR,460,3286.0
ORY,PTP,SS,SS,500,3666.0
CDG,SXM,AF,AF,525,3659.0
CDG,SXM,AF,AF,525,3659.0
CDG,PTP,AF,AF,525,3679.0
GRU,MAD,AR,AR,576,4549.0
UVF,LGW,VS,VS,485,3684.0
MCO,LGW,VS,VS,470,3779.0
GRU,MAD,AR,AR,576,4549.0
MIA,MAD,IB,IB,495,3842.0
FRA,PEK,CA,CA,550,4212.0
AUA,AMS,KL,KL,540,4279.0
LAX,NRT,JL,JL,700,4728.0
MAD,MEX,IB,IB,680,4906.0
AMS,JFK,KL,KL,495,3173.0
AMS,YUL,KL,KL,460,2987.0
AMS,SXM,KL,KL,530,3764.0
MAD,GRU,AR,AR,615,4549.0
SDQ,CDG,AF,AF,510,3895.0
MAD,MIA,IB,IB,560,3842.0
MAD,JNB,IB,IB,585,4411.0
CUN,EZE,AR,AR,445,3753.0
LAX,NRT,JL,JL,700,4728.0
MAD,GRU,AR,AR,615,4549.0
AMS,DEL,KL,KL,475,3441.0
LAX,NGO,JL,JL,735,4906.0
SDQ,CDG,AF,AF,510,3895.0
AMS,SXM,KL,LM,530,3764.0
JNB,LHR,SA,SA,665,4936.0
PTP,CDG,AF,AF,485,3679.0
JNB,FRA,SA,SA,630,4728.0
HNL,NRT,NH,NH,535,3314.0
PVG,SYD,CA,CA,595,4284.0
DEL,AMS,KL,KL,525,3441.0
EZE,CUN,AR,AR,500,3753.0
NRT,LAX,JL,JL,570,4728.0
NRT,LAX,JL,JL,570,4728.0
ORY,FDF,SS,SS,510,3717.0
NRT,LAS,JL,JL,560,4781.0
KHI,MNL,PK,PK,440,3092.0
MNL,KHI,PK,PK,455,3092.0
DMM,CGK,GA,GA,510,3852.0
DMM,CGK,GA,GA,510,3852.0
CGK,RUH,GA,GA,540,3975.0
CGK,JED,GA,GA,585,4315.0
BKK,FRA,GA,GA,715,4873.0
SFO,LHR,BA,BA,615,4666.0
PEK,BUD,MA,MA,690,3968.0
