Origin,Origin Airport Name,Origin City Name,Origin Country Name,Origin Region Name,Destination,Destination Airport Name,Destination City Name,Destination Country Name,Destination Region Name,Marketing_Airline,Operating_Airline,Marketing Airline Name,Operating Airline Name,Code Share,Fleet,Manufacturer,Flight No,Effective Date,Discontinued Date,Departure Time,Arrival Time,Flight_Duration,Departure Terminal,Arrival Terminal,Restricted Code,Frequency,Schedule Type,DepCount,Operating Airline   Capacity,Operating Airline   ASM(Nautical)(Millions),Distance
MEL,MELBOURNE AIRPORT,MELBOURNE,AUSTRALIA,AUSTRALIA,HKG,HONG KONG INTERNATIONAL AIRPORT,HONG KONG,HONG KONG - CHINA,FAR EAST ASIA,AN,AN,"Advanced Air, LLC","Advanced Air, LLC",NO,763,BOEING,875,20001101,20001130,13:30,19:45,555,M,, , --3-56- ,AIR,3,744,3.0,4035.0
LIS,LISBOA AIRPORT,LISBON,PORTUGAL,WESTERN EUROPE,GRU,GUARULHOS INTERNATIONAL AIRPORT,SAO PAULO,BRAZIL,SOUTH AMERICA,RG,RG,Rotana Jet Aviation dba Rotana Jet,Rotana Jet Aviation dba Rotana Jet,NO,767,BOEING,707,20001101,20001130,11:05,19:23,618,,2, , 12-4-6- ,AIR,4,744,3.21,4318.0
SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,SOUTHEAST ASIA,AKL,AUCKLAND INTERNATIONAL AIRPORT,AUCKLAND,NEW ZEALAND,PACIFIC,NZ,NZ,Air New Zealand Limited,Air New Zealand Limited,NO,763,BOEING,24,20001101,20001130,20:25,11:30,605,2,I, , 1---56- ,AIR,3,744,3.39,4562.0
AKL,AUCKLAND INTERNATIONAL AIRPORT,AUCKLAND,NEW ZEALAND,PACIFIC,NGO,CHUBU CENTRAIR INTERNATIONAL AIRPORT,NAGOYA,JAPAN,FAR EAST ASIA,NZ,NZ,Air New Zealand Limited,Air New Zealand Limited,NO,763,BOEING,35,20001101,20001130,8:30,16:00,690,I,, , 1--4-6- ,AIR,3,744,3.61,4846.0
AKL,AUCKLAND INTERNATIONAL AIRPORT,AUCKLAND,NEW ZEALAND,PACIFIC,SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,SOUTHEAST ASIA,NZ,NZ,Air New Zealand Limited,Air New Zealand Limited,NO,763,BOEING,23,20001101,20001130,13:10,18:50,640,I,2, , -2---67 ,AIR,3,744,3.39,4562.0
AKL,AUCKLAND INTERNATIONAL AIRPORT,AUCKLAND,NEW ZEALAND,PACIFIC,PER,PERTH INTERNATIONAL AIRPORT,PERTH,AUSTRALIA,AUSTRALIA,NZ,NZ,Air New Zealand Limited,Air New Zealand Limited,NO,763,BOEING,113,20001101,20001130,13:50,16:15,445,I,I, , --3-5-7 ,AIR,3,744,2.15,2889.0
NGO,CHUBU CENTRAIR INTERNATIONAL AIRPORT,NAGOYA,JAPAN,FAR EAST ASIA,AKL,AUCKLAND INTERNATIONAL AIRPORT,AUCKLAND,NEW ZEALAND,PACIFIC,NZ,NZ,Air New Zealand Limited,Air New Zealand Limited,NO,763,BOEING,36,20001101,20001130,17:15,8:25,670,,I, , 1--4-6- ,AIR,3,744,3.61,4846.0
GRU,GUARULHOS INTERNATIONAL AIRPORT,SAO PAULO,BRAZIL,SOUTH AMERICA,LIS,LISBOA AIRPORT,LISBON,PORTUGAL,WESTERN EUROPE,RG,RG,Rotana Jet Aviation dba Rotana Jet,Rotana Jet Aviation dba Rotana Jet,NO,767,BOEING,706,20001101,20001130,21:46,9:25,579,2,, , 1-3-5-7 ,AIR,4,744,3.21,4318.0
SEL,METROPOLITAN AREA,SEOUL,SOUTH KOREA,FAR EAST ASIA,CGK,SOEKARNO-HATTA INTERNATIONAL AIRPORT,JAKARTA,INDONESIA,SOUTHEAST ASIA,KE,GA,Korean Air Lines Co. Ltd.,Garuda Indonesia,NO,D10,MCDONNELL-DOUGLAS,5627,20001101,20001130,9:50,14:50,420,2,2, , 1-3-5-- ,AIR,3,741,2.13,2879.0
BAH,BAHRAIN INTERNATIONAL AIRPORT,BAHRAIN,BAHRAIN,GULF,CDG,CHARLES DE GAULLE AIRPORT,PARIS,FRANCE,WESTERN EUROPE,GF,GF,Gulf Air B.S.C. (c),Gulf Air B.S.C. (c),NO,332,AIRBUS,19,20001101,20001130,2:50,7:55,425,,1, , --3-56- ,AIR,3,729,1.9,2609.0
ORD,O'HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,NORTH AMERICA,WAW,FREDERIC CHOPIN AIRPORT,WARSAW,POLAND,EASTERN EUROPE,LO,LO,LOT  Polish Airlines,LOT  Polish Airlines,NO,763,BOEING,4,20001101,20001130,22:05,14:00,535,5,1, , 1-3-5-- ,AIR,3,729,2.97,4071.0
ORD,O'HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,NORTH AMERICA,WAW,FREDERIC CHOPIN AIRPORT,WARSAW,POLAND,EASTERN EUROPE,LO,LO,LOT  Polish Airlines,LOT  Polish Airlines,NO,763,BOEING,2,20001101,20001130,18:00,9:55,535,5,1, , -2-4-6- ,AIR,3,729,2.97,4071.0
KUL,KUALA LUMPUR INTERNATIONAL AIRPORT,KUALA LUMPUR,MALAYSIA,SOUTHEAST ASIA,AUH,ABU DHABI INTERNATIONAL AIRPORT,ABU DHABI,UNITED ARAB EMIRATES,GULF,GF,GF,Gulf Air B.S.C. (c),Gulf Air B.S.C. (c),NO,332,AIRBUS,287,20001102,20001130,19:15,23:40,505,,, , 1--4-6- ,AIR,3,729,2.21,3030.0
WAW,FREDERIC CHOPIN AIRPORT,WARSAW,POLAND,EASTERN EUROPE,ORD,O'HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,NORTH AMERICA,LO,LO,LOT  Polish Airlines,LOT  Polish Airlines,NO,763,BOEING,3,20001101,20001130,16:15,19:45,630,1,5, , 1-3-5-- ,AIR,3,729,2.97,4071.0
WAW,FREDERIC CHOPIN AIRPORT,WARSAW,POLAND,EASTERN EUROPE,ORD,O'HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,NORTH AMERICA,LO,LO,LOT  Polish Airlines,LOT  Polish Airlines,NO,763,BOEING,1,20001101,20001130,12:40,16:10,630,1,5, , -2---67 ,AIR,3,729,2.97,4071.0
EWR,NEWARK LIBERTY INTERNATIONAL AIRPORT,NEW YORK,UNITED STATES,NORTH AMERICA,LGW,GATWICK AIRPORT,LONDON,UNITED KINGDOM,WESTERN EUROPE,CO,CO,Cobaltair Ltd,Cobaltair Ltd,NO,D1C,MCDONNELL-DOUGLAS,18,20001102,20001117,10:00,21:50,410,B,S, , -2-45-- ,AIR,3,726,2.19,3020.0
IAH,GEORGE BUSH INTERCONTINENTAL AIRPORT,HOUSTON,UNITED STATES,NORTH AMERICA,GRU,GUARULHOS INTERNATIONAL AIRPORT,SAO PAULO,BRAZIL,SOUTH AMERICA,CO,CO,Cobaltair Ltd,Cobaltair Ltd,NO,D1C,MCDONNELL-DOUGLAS,93,20001101,20001130,18:40,8:20,580,C,1, , -2-4--7 ,AIR,3,726,3.12,4294.0
CDG,CHARLES DE GAULLE AIRPORT,PARIS,FRANCE,WESTERN EUROPE,SEZ,SEYCHELLES INTERNATIONAL AIRPORT,MAHE ISLAND,SEYCHELLES ISLANDS,EAST AFRICA,HM,HM,Air Seychelles Limited,Air Seychelles Limited,NO,767,BOEING,7,20001101,20001130,19:30,8:05,575,2A,, , --345-7 ,AIR,4,724,3.09,4263.0
NBO,JOMO KENYATTA INTERNATIONAL AIRPORT,NAIROBI,KENYA,EAST AFRICA,ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,SR,SR,SundAir Gmbh,SundAir Gmbh,NO,M11,MCDONNELL-DOUGLAS,293,20001101,20001130,12:20,18:15,475,,A, , -2-4--7 ,AIR,3,723,2.39,3312.0
BKK,SUVARNABHUMI INTERNATIONAL,BANGKOK,THAILAND,SOUTHEAST ASIA,ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,SR,SR,SundAir Gmbh,SundAir Gmbh,NO,M11,MCDONNELL-DOUGLAS,167,20001101,20001130,23:55,6:05,730,2,A, , -2-4-6- ,AIR,3,723,3.54,4897.0
HKG,HONG KONG INTERNATIONAL AIRPORT,HONG KONG,HONG KONG - CHINA,FAR EAST ASIA,ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,SR,SR,SundAir Gmbh,SundAir Gmbh,NO,M11,MCDONNELL-DOUGLAS,173,20001101,20001130,23:35,5:35,780,,A, , ---4-67 ,AIR,3,723,3.63,5019.0
HKG,HONG KONG INTERNATIONAL AIRPORT,HONG KONG,HONG KONG - CHINA,FAR EAST ASIA,ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,SR,SR,SundAir Gmbh,SundAir Gmbh,NO,M11,MCDONNELL-DOUGLAS,179,20001101,20001130,23:35,5:35,780,,A, , 1-3-5-- ,AIR,3,723,3.63,5019.0
GRU,GUARULHOS INTERNATIONAL AIRPORT,SAO PAULO,BRAZIL,SOUTH AMERICA,ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,SR,SR,SundAir Gmbh,SundAir Gmbh,NO,M11,MCDONNELL-DOUGLAS,145,20001101,20001130,16:05,6:20,675,2,A, , 1-3-5-- ,AIR,3,723,3.78,5226.0
GRU,GUARULHOS INTERNATIONAL AIRPORT,SAO PAULO,BRAZIL,SOUTH AMERICA,ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,SR,SR,SundAir Gmbh,SundAir Gmbh,NO,M11,MCDONNELL-DOUGLAS,149,20001101,20001130,18:20,8:35,675,2,A, , ---4-67 ,AIR,3,723,3.78,5226.0
SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,SOUTHEAST ASIA,ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,SR,SR,SundAir Gmbh,SundAir Gmbh,NO,M11,MCDONNELL-DOUGLAS,187,20001101,20001130,23:45,6:05,800,1,A, , -2-4-6- ,AIR,3,723,4.03,5575.0
ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,SOUTHEAST ASIA,SR,SR,SundAir Gmbh,SundAir Gmbh,NO,M11,MCDONNELL-DOUGLAS,186,20001101,20001130,20:55,16:00,725,A,1, , 1-3-5-- ,AIR,3,723,4.03,5575.0
KIX,KANSAI INTERNATIONAL AIRPORT,OSAKA,JAPAN,FAR EAST ASIA,ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,SR,SR,SundAir Gmbh,SundAir Gmbh,NO,M11,MCDONNELL-DOUGLAS,163,20001101,20001130,13:35,18:15,760,,A, , 1--4-6- ,AIR,3,723,3.7,5124.0
ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,BKK,SUVARNABHUMI INTERNATIONAL,BANGKOK,THAILAND,SOUTHEAST ASIA,SR,SR,SundAir Gmbh,SundAir Gmbh,NO,M11,MCDONNELL-DOUGLAS,166,20001101,20001130,20:45,13:10,625,A,2, , 1-3-5-- ,AIR,3,723,3.54,4897.0
ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,HKG,HONG KONG INTERNATIONAL AIRPORT,HONG KONG,HONG KONG - CHINA,FAR EAST ASIA,SR,SR,SundAir Gmbh,SundAir Gmbh,NO,M11,MCDONNELL-DOUGLAS,178,20001101,20001130,20:40,15:20,700,A,, , -2-4--7 ,AIR,3,723,3.63,5019.0
ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,NBO,JOMO KENYATTA INTERNATIONAL AIRPORT,NAIROBI,KENYA,EAST AFRICA,SR,SR,SundAir Gmbh,SundAir Gmbh,NO,M11,MCDONNELL-DOUGLAS,292,20001101,20001130,20:40,6:05,445,A,, , 1-3--6- ,AIR,3,723,2.39,3312.0
ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,GRU,GUARULHOS INTERNATIONAL AIRPORT,SAO PAULO,BRAZIL,SOUTH AMERICA,SR,SR,SundAir Gmbh,SundAir Gmbh,NO,M11,MCDONNELL-DOUGLAS,144,20001101,20001130,22:45,7:30,705,A,2, , -2-4--7 ,AIR,3,723,3.78,5226.0
ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,HKG,HONG KONG INTERNATIONAL AIRPORT,HONG KONG,HONG KONG - CHINA,FAR EAST ASIA,SR,SR,SundAir Gmbh,SundAir Gmbh,NO,M11,MCDONNELL-DOUGLAS,172,20001101,20001130,20:40,15:20,700,A,, , --3-56- ,AIR,3,723,3.63,5019.0
ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,GRU,GUARULHOS INTERNATIONAL AIRPORT,SAO PAULO,BRAZIL,SOUTH AMERICA,SR,SR,SundAir Gmbh,SundAir Gmbh,NO,M11,MCDONNELL-DOUGLAS,148,20001101,20001129,22:45,7:30,705,A,2, , --3-56- ,AIR,3,723,3.78,5226.0
ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,KIX,KANSAI INTERNATIONAL AIRPORT,OSAKA,JAPAN,FAR EAST ASIA,SR,SR,SundAir Gmbh,SundAir Gmbh,NO,M11,MCDONNELL-DOUGLAS,162,20001101,20001130,14:20,9:50,690,A,, , --3-5-7 ,AIR,3,723,3.7,5124.0
SJU,LUIS MUNOZ MARIN INTERNATIONAL AIRPORT,SAN JUAN,PUERTO RICO,CARIBBEAN,MAD,ADOLFO SUAREZ-BARAJAS AIRPORT,MADRID,SPAIN,WESTERN EUROPE,IB,IB,Iberia Lineas Aereas de Espana Sociedad Anonima Operadora,Iberia Lineas Aereas de Espana Sociedad Anonima Operadora,NO,340,AIRBUS,6520,20001101,20001130,19:20,8:05,465,C,1, , 1-3-5-- ,AIR,3,720,2.48,3449.0
