FlightID,Date,Time,Marketing Airline,FlightNumber,Origin Airport,Destination Airport,Price
2103,2023-01-05,01:45:00,AA,590,ATL,JFK,376.24
2104,2023-01-05,02:00:00,AA,578,DFW,DEN,218.23
2105,2023-01-05,02:15:00,AA,791,LAX,LAX,110.67
2106,2023-01-05,02:30:00,AA,448,LAX,DFW,72.62
2107,2023-01-05,02:45:00,AA,269,JFK,LAX,338.16
2108,2023-01-05,03:00:00,BA,885,SFO,DFW,331.62
2109,2023-01-05,03:15:00,BA,927,LAX,LAX,383.79
2110,2023-01-05,03:30:00,BA,928,JFK,SFO,341.5
2111,2023-01-05,03:45:00,DL,113,JFK,ATL,252.3
2112,2023-01-05,04:00:00,SW,709,LAX,DFW,101.85
2113,2023-01-05,04:15:00,UA,890,SFO,LAX,217.03
2114,2023-01-05,04:30:00,BA,344,DFW,SFO,323.81
2115,2023-01-05,04:45:00,DL,444,SFO,DEN,286.27
2116,2023-01-05,05:00:00,DL,514,DFW,LAX,181.46
2117,2023-01-05,05:15:00,UA,743,ORD,SFO,156.09
2118,2023-01-05,05:30:00,AA,259,DEN,ATL,187.18
2119,2023-01-05,05:45:00,DL,132,LAX,DFW,79.5
2120,2023-01-06,06:00:00,SW,277,LAX,SFO,358.86
2121,2023-01-06,06:15:00,SW,651,JFK,SFO,208.34
2122,2023-01-06,06:30:00,SW,484,DFW,ATL,186.7
2123,2023-01-06,06:45:00,DL,850,SFO,LAX,291.61
2124,2023-01-06,07:00:00,DL,636,SFO,LAX,327.72
2125,2023-01-06,07:15:00,DL,440,LAX,ORD,54.45
2126,2023-01-06,07:30:00,DL,655,DFW,ATL,363.67
2127,2023-01-06,07:45:00,SW,461,SFO,DFW,362.78
2128,2023-01-06,08:00:00,UA,830,ORD,SFO,248.45
2129,2023-01-06,08:15:00,UA,319,SFO,LAX,311.35
2130,2023-01-06,08:30:00,DL,190,LAX,ATL,276.75
2131,2023-01-06,08:45:00,SW,557,JFK,DFW,56.69
2132,2023-01-06,09:00:00,UA,965,DFW,ORD,102.18
2133,2023-01-06,09:15:00,SW,446,ATL,DFW,325.42
2134,2023-01-06,09:30:00,DL,525,DEN,DFW,176.42
2135,2023-01-06,09:45:00,DL,259,DFW,ATL,60.07
2136,2023-01-06,10:00:00,BA,652,DFW,DFW,450.26
2137,2023-01-06,10:15:00,DL,323,SFO,JFK,462.19
2138,2023-01-06,10:30:00,SW,364,DEN,LAX,309.82
2139,2023-01-06,10:45:00,DL,533,DFW,ATL,257.83
2140,2023-01-06,11:00:00,AA,776,ORD,JFK,113.21
2141,2023-01-06,11:15:00,BA,437,SFO,LAX,468.7
2142,2023-01-06,11:30:00,DL,962,LAX,LAX,361.76
2143,2023-01-06,11:45:00,DL,485,LAX,ORD,220.2
2144,2023-01-07,12:00:00,BA,286,LAX,JFK,165.06
2145,2023-01-07,12:15:00,AA,385,ATL,ATL,218.7
2146,2023-01-07,12:30:00,BA,345,SFO,JFK,466.87
2147,2023-01-07,12:45:00,SW,308,DFW,DEN,147.44
2148,2023-01-07,13:00:00,SW,184,DEN,ORD,151.19
2149,2023-01-07,13:15:00,AA,748,DFW,SFO,238.44
2150,2023-01-07,13:30:00,DL,731,LAX,LAX,219.74
2151,2023-01-07,13:45:00,BA,392,DEN,LAX,249.71
2152,2023-01-07,14:00:00,UA,961,LAX,DEN,321.44
2153,2023-01-07,14:15:00,AA,799,LAX,LAX,452.12
2154,2023-01-07,14:30:00,BA,335,ORD,JFK,472.42
2155,2023-01-07,14:45:00,BA,208,ORD,SFO,473.22
2156,2023-01-07,15:00:00,AA,371,DFW,ATL,52.49
2157,2023-01-07,15:15:00,UA,113,ORD,ATL,435.35
2158,2023-01-07,15:30:00,SW,765,DEN,DEN,311.85
2159,2023-01-07,15:45:00,SW,866,JFK,DEN,230.54
2160,2023-01-07,16:00:00,DL,329,DEN,LAX,338.73
2161,2023-01-07,16:15:00,DL,820,LAX,LAX,306.25
2162,2023-01-07,16:30:00,SW,918,SFO,DEN,142.18
2163,2023-01-07,16:45:00,UA,402,LAX,SFO,88.12
2164,2023-01-07,17:00:00,AA,230,SFO,JFK,136.51
2165,2023-01-07,17:15:00,BA,261,ORD,LAX,152.36
2166,2023-01-07,17:30:00,DL,576,LAX,LAX,315.51
2167,2023-01-07,17:45:00,SW,702,JFK,DEN,177.18
2168,2023-01-08,18:00:00,BA,781,DFW,ATL,286.8
2169,2023-01-08,18:15:00,AA,357,DFW,ORD,253.14
2170,2023-01-08,18:30:00,AA,510,DEN,SFO,292.78
2171,2023-01-08,18:45:00,DL,556,SFO,JFK,133.7
2172,2023-01-08,19:00:00,DL,439,ATL,LAX,434.92
2173,2023-01-08,19:15:00,UA,511,DFW,SFO,381.14
2174,2023-01-08,19:30:00,AA,861,ORD,ATL,84.73
2175,2023-01-08,19:45:00,SW,711,ORD,ATL,450.68
2176,2023-01-08,20:00:00,AA,250,ATL,LAX,205.49
2177,2023-01-08,20:15:00,AA,829,LAX,ORD,486.6
2178,2023-01-08,20:30:00,UA,316,ORD,LAX,394.53
2179,2023-01-08,20:45:00,AA,464,ORD,DFW,296.35
2180,2023-01-08,21:00:00,SW,952,DFW,ATL,421.52
2181,2023-01-08,21:15:00,UA,345,SFO,SFO,455.15
2182,2023-01-08,21:30:00,AA,642,JFK,ATL,147.5
2183,2023-01-08,21:45:00,DL,752,LAX,DEN,283.85
2184,2023-01-08,22:00:00,BA,920,DEN,LAX,271.44
2185,2023-01-08,22:15:00,AA,347,DFW,SFO,408.56
2186,2023-01-08,22:30:00,SW,846,LAX,ATL,480.75
2187,2023-01-08,22:45:00,SW,668,ATL,DFW,276.07
2188,2023-01-08,23:00:00,DL,320,DFW,LAX,302.21
2189,2023-01-08,23:15:00,AA,854,ORD,DEN,240.45
2190,2023-01-08,23:30:00,AA,168,ATL,DFW,274.18
2191,2023-01-08,23:45:00,AA,169,DEN,DFW,290.05
2192,2023-01-09,00:00:00,SW,272,DEN,ATL,391.16
2193,2023-01-09,00:15:00,UA,441,SFO,DEN,492.96
2194,2023-01-09,00:30:00,UA,862,JFK,ATL,421.57
2195,2023-01-09,00:45:00,DL,725,LAX,ATL,478.02
2196,2023-01-09,01:00:00,SW,236,SFO,ORD,115.98
2197,2023-01-09,01:15:00,BA,860,DEN,ORD,124.97
2198,2023-01-09,01:30:00,DL,592,DFW,DEN,228.58
2199,2023-01-09,01:45:00,UA,222,LAX,LAX,240.6
2200,2023-01-09,02:00:00,BA,468,ORD,JFK,481.95
2201,2023-01-09,02:15:00,DL,478,JFK,LAX,393.66
2202,2023-01-09,02:30:00,DL,514,ORD,DFW,478.31
2203,2023-01-09,02:45:00,SW,388,SFO,JFK,204.09
2204,2023-01-09,03:00:00,AA,441,DEN,DFW,315.71
2205,2023-01-09,03:15:00,UA,285,ORD,DFW,447.21
2206,2023-01-09,03:30:00,UA,985,DFW,ATL,199.38
2207,2023-01-09,03:45:00,AA,952,DFW,ATL,128.12
2208,2023-01-09,04:00:00,BA,437,LAX,DEN,168.18
2209,2023-01-09,04:15:00,BA,226,JFK,SFO,169.36
2210,2023-01-09,04:30:00,BA,245,JFK,ORD,454.85
2211,2023-01-09,04:45:00,AA,431,DFW,ORD,401.81
2212,2023-01-09,05:00:00,SW,502,ORD,ORD,297.09
2213,2023-01-09,05:15:00,SW,989,ORD,ORD,295.89
2214,2023-01-09,05:30:00,DL,775,SFO,JFK,122.77
2215,2023-01-09,05:45:00,UA,926,LAX,ORD,198.99
2216,2023-01-10,06:00:00,AA,697,DEN,DEN,143.65
2217,2023-01-10,06:15:00,SW,593,DEN,LAX,237.95
2218,2023-01-10,06:30:00,UA,399,LAX,DFW,306.13
2219,2023-01-10,06:45:00,BA,547,ATL,LAX,125.61
2220,2023-01-10,07:00:00,AA,454,ATL,JFK,418.47
2221,2023-01-10,07:15:00,UA,471,DEN,DEN,263.9
2222,2023-01-10,07:30:00,SW,197,DFW,DFW,145.16
2223,2023-01-10,07:45:00,BA,255,JFK,JFK,330.27
2224,2023-01-10,08:00:00,DL,663,ATL,SFO,64.78
2225,2023-01-10,08:15:00,DL,671,SFO,DEN,255.9
2226,2023-01-10,08:30:00,DL,776,JFK,DFW,78.8
2227,2023-01-10,08:45:00,SW,788,DEN,ATL,365.97
2228,2023-01-10,09:00:00,AA,325,DEN,ORD,291.3
2229,2023-01-10,09:15:00,UA,495,DEN,ATL,326.54
2230,2023-01-10,09:30:00,SW,337,JFK,DFW,87.55
2231,2023-01-10,09:45:00,UA,684,DEN,JFK,151.61
2232,2023-01-10,10:00:00,SW,847,ORD,JFK,238.03
2233,2023-01-10,10:15:00,BA,594,ORD,SFO,425.52
2234,2023-01-10,10:30:00,SW,961,DFW,DFW,285.91
2235,2023-01-10,10:45:00,DL,517,LAX,DEN,241.89
2236,2023-01-10,11:00:00,AA,787,ATL,DEN,201.13
2237,2023-01-10,11:15:00,UA,242,ATL,ORD,154.23
2238,2023-01-10,11:30:00,BA,466,DFW,ATL,71.15
2239,2023-01-10,11:45:00,DL,771,SFO,JFK,157.49
2240,2023-01-11,12:00:00,BA,315,JFK,ORD,178.93
2241,2023-01-11,12:15:00,UA,931,ATL,ORD,404.57
2242,2023-01-11,12:30:00,SW,783,ORD,DEN,410.21
2243,2023-01-11,12:45:00,AA,633,LAX,SFO,219.62
2244,2023-01-11,13:00:00,DL,486,SFO,ORD,61.3
2245,2023-01-11,13:15:00,AA,766,ORD,LAX,262.01
2246,2023-01-11,13:30:00,UA,328,DEN,ORD,454.35
2247,2023-01-11,13:45:00,BA,594,JFK,ATL,378.3
2248,2023-01-11,14:00:00,AA,109,LAX,ATL,84.5
2249,2023-01-11,14:15:00,BA,485,DFW,ORD,355.55
2250,2023-01-11,14:30:00,AA,935,SFO,SFO,315.83
2251,2023-01-11,14:45:00,UA,949,JFK,JFK,432.33
2252,2023-01-11,15:00:00,BA,357,DFW,DFW,262.37
2253,2023-01-11,15:15:00,AA,212,ATL,ORD,159.68
2254,2023-01-11,15:30:00,AA,386,ATL,ORD,435.82
2255,2023-01-11,15:45:00,UA,646,SFO,ATL,394.23
2256,2023-01-11,16:00:00,BA,110,DFW,ATL,346.2
2257,2023-01-11,16:15:00,AA,349,DFW,DFW,62.51
2258,2023-01-11,16:30:00,DL,746,ATL,JFK,233.91
2259,2023-01-11,16:45:00,UA,617,DEN,SFO,112.69
2260,2023-01-11,17:00:00,AA,398,DFW,SFO,257.75
2261,2023-01-11,17:15:00,UA,298,ORD,SFO,456.49
2262,2023-01-11,17:30:00,SW,205,SFO,JFK,130.67
2263,2023-01-11,17:45:00,AA,778,LAX,SFO,235.89
2264,2023-01-12,18:00:00,DL,617,LAX,LAX,199.28
2265,2023-01-12,18:15:00,SW,416,ATL,DEN,63.85
2266,2023-01-12,18:30:00,UA,770,JFK,JFK,123.13
2267,2023-01-12,18:45:00,BA,671,ORD,JFK,247.02
2268,2023-01-12,19:00:00,BA,108,DFW,ATL,408.77
2269,2023-01-12,19:15:00,UA,291,ATL,LAX,165.71
2270,2023-01-12,19:30:00,BA,309,SFO,DFW,327.77
2271,2023-01-12,19:45:00,BA,475,ORD,SFO,227.44
2272,2023-01-12,20:00:00,DL,698,ATL,JFK,308.48
2273,2023-01-12,20:15:00,SW,231,DFW,ATL,250.36
2274,2023-01-12,20:30:00,AA,883,DFW,JFK,385.94
2275,2023-01-12,20:45:00,SW,714,LAX,ORD,209.76
2276,2023-01-12,21:00:00,UA,466,SFO,DEN,480.61
2277,2023-01-12,21:15:00,DL,600,DEN,DFW,278.18
2278,2023-01-12,21:30:00,UA,962,ATL,ORD,129.71
2279,2023-01-12,21:45:00,SW,106,JFK,DEN,349.28
2280,2023-01-12,22:00:00,DL,705,LAX,DFW,225.06
2281,2023-01-12,22:15:00,DL,122,ATL,SFO,73.41
2282,2023-01-12,22:30:00,SW,110,DFW,DEN,193.76
2283,2023-01-12,22:45:00,AA,768,JFK,ATL,431.76
2284,2023-01-12,23:00:00,SW,447,ATL,DFW,267.51
2285,2023-01-12,23:15:00,DL,596,DFW,ATL,233.02
2286,2023-01-12,23:30:00,DL,183,ATL,JFK,460.61
2287,2023-01-12,23:45:00,AA,614,LAX,DFW,332.78
2288,2023-01-13,00:00:00,AA,471,ATL,SFO,207.42
2289,2023-01-13,00:15:00,UA,427,DFW,LAX,299.66
2290,2023-01-13,00:30:00,UA,560,JFK,SFO,240.7
2291,2023-01-13,00:45:00,DL,279,DFW,SFO,194.86
2292,2023-01-13,01:00:00,UA,375,LAX,ATL,322.49
2293,2023-01-13,01:15:00,AA,343,DFW,ORD,491.21
2294,2023-01-13,01:30:00,UA,706,ATL,LAX,223.04
2295,2023-01-13,01:45:00,UA,898,JFK,SFO,73.24
2296,2023-01-13,02:00:00,DL,226,ORD,DEN,211.76
2297,2023-01-13,02:15:00,SW,383,ORD,SFO,150.34
2298,2023-01-13,02:30:00,SW,883,DEN,DEN,203.19
2299,2023-01-13,02:45:00,BA,147,DEN,LAX,278.31
2300,2023-01-13,03:00:00,BA,635,LAX,DFW,82.91
2301,2023-01-13,03:15:00,DL,962,SFO,ORD,91.33
2302,2023-01-13,03:30:00,DL,236,ATL,SFO,302.99
2303,2023-01-13,03:45:00,SW,753,DFW,JFK,441.07
2304,2023-01-13,04:00:00,DL,394,SFO,ORD,259.43
2305,2023-01-13,04:15:00,AA,778,DFW,ORD,133.65
2306,2023-01-13,04:30:00,DL,358,ATL,DFW,467.5
2307,2023-01-13,04:45:00,UA,910,DFW,SFO,340.3
2308,2023-01-13,05:00:00,DL,151,LAX,DEN,334.63
2309,2023-01-13,05:15:00,SW,168,ATL,DFW,408.82
2310,2023-01-13,05:30:00,AA,906,LAX,DFW,282.15
2311,2023-01-13,05:45:00,BA,809,SFO,JFK,453.9
2312,2023-01-14,06:00:00,AA,671,ATL,DEN,186.09
2313,2023-01-14,06:15:00,AA,537,DFW,ATL,471.25
2314,2023-01-14,06:30:00,UA,162,JFK,ATL,145.6
2315,2023-01-14,06:45:00,AA,466,LAX,SFO,122.41
2316,2023-01-14,07:00:00,DL,726,ATL,DEN,177.43
2317,2023-01-14,07:15:00,SW,517,ATL,JFK,181.05
2318,2023-01-14,07:30:00,AA,188,ATL,ORD,262.66
2319,2023-01-14,07:45:00,AA,720,DEN,ATL,99.68
2320,2023-01-14,08:00:00,DL,320,JFK,DEN,452.04
2321,2023-01-14,08:15:00,AA,825,SFO,LAX,480.81
2322,2023-01-14,08:30:00,BA,353,ORD,LAX,107.85
2323,2023-01-14,08:45:00,AA,272,DFW,LAX,336.45
2324,2023-01-14,09:00:00,AA,754,DEN,ORD,335.25
2325,2023-01-14,09:15:00,AA,342,DEN,LAX,180.01
2326,2023-01-14,09:30:00,BA,472,DEN,ATL,454.61
2327,2023-01-14,09:45:00,BA,808,DEN,JFK,344.63
2328,2023-01-14,10:00:00,BA,461,ATL,DEN,164.25
2329,2023-01-14,10:15:00,BA,181,SFO,JFK,316.26
2330,2023-01-14,10:30:00,AA,819,DFW,DEN,183.22
2331,2023-01-14,10:45:00,DL,765,DEN,ATL,121.06
2332,2023-01-14,11:00:00,SW,264,SFO,JFK,206.41
2333,2023-01-14,11:15:00,SW,496,DEN,JFK,292.2
2334,2023-01-14,11:30:00,AA,650,JFK,DFW,341.9
2335,2023-01-14,11:45:00,UA,287,SFO,SFO,425.33
2336,2023-01-15,12:00:00,SW,577,LAX,ORD,352.43
2337,2023-01-15,12:15:00,BA,642,ORD,JFK,184.51
2338,2023-01-15,12:30:00,UA,454,ATL,ORD,199.49
2339,2023-01-15,12:45:00,DL,567,DFW,ORD,299.91
2340,2023-01-15,13:00:00,UA,951,ORD,ATL,429.49
2341,2023-01-15,13:15:00,DL,643,ORD,ATL,285.43
2342,2023-01-15,13:30:00,UA,968,SFO,SFO,392.38
2343,2023-01-15,13:45:00,SW,333,LAX,DFW,306.69
2344,2023-01-15,14:00:00,BA,943,DFW,JFK,340.14
2345,2023-01-15,14:15:00,DL,107,JFK,JFK,435.36
2346,2023-01-15,14:30:00,DL,169,LAX,ATL,247.56
2347,2023-01-15,14:45:00,UA,433,DEN,SFO,363.89
2348,2023-01-15,15:00:00,BA,582,ATL,LAX,425.28
2349,2023-01-15,15:15:00,AA,530,DEN,SFO,341.82
2350,2023-01-15,15:30:00,DL,644,ORD,ORD,78.06
2351,2023-01-15,15:45:00,BA,132,JFK,DFW,268.68
2352,2023-01-15,16:00:00,AA,640,ORD,ORD,317.98
2353,2023-01-15,16:15:00,DL,112,SFO,JFK,180.33
2354,2023-01-15,16:30:00,BA,193,ATL,LAX,323.64
2355,2023-01-15,16:45:00,DL,174,ATL,JFK,456.8
2356,2023-01-15,17:00:00,SW,155,DEN,DEN,321.96
2357,2023-01-15,17:15:00,BA,941,DFW,LAX,58.52
2358,2023-01-15,17:30:00,UA,405,LAX,DFW,282.55
2359,2023-01-15,17:45:00,UA,607,JFK,DFW,178.89
2360,2023-01-16,18:00:00,AA,119,LAX,ORD,291.62
2361,2023-01-16,18:15:00,SW,314,LAX,ORD,377.26
2362,2023-01-16,18:30:00,AA,507,ORD,LAX,104.29
2363,2023-01-16,18:45:00,UA,642,ATL,JFK,65.54
2364,2023-01-16,19:00:00,BA,536,ATL,LAX,498.43
2365,2023-01-16,19:15:00,SW,881,DEN,DEN,129.11
2366,2023-01-16,19:30:00,DL,598,JFK,SFO,440.22
2367,2023-01-16,19:45:00,DL,899,LAX,LAX,172.24
2368,2023-01-16,20:00:00,BA,286,JFK,SFO,308.53
2369,2023-01-16,20:15:00,UA,352,ATL,LAX,202.38
2370,2023-01-16,20:30:00,AA,756,JFK,ATL,135.35
2371,2023-01-16,20:45:00,UA,886,DEN,SFO,261.31
2372,2023-01-16,21:00:00,BA,997,LAX,DEN,405.23
2373,2023-01-16,21:15:00,UA,115,ATL,JFK,396.63
2374,2023-01-16,21:30:00,AA,772,JFK,DEN,375.04
2375,2023-01-16,21:45:00,AA,178,JFK,LAX,449.29
2376,2023-01-16,22:00:00,SW,941,LAX,ORD,159.88
2377,2023-01-16,22:15:00,SW,874,LAX,DFW,222.08
2378,2023-01-16,22:30:00,SW,855,LAX,JFK,137.4
2379,2023-01-16,22:45:00,UA,979,ORD,ATL,196.55
2380,2023-01-16,23:00:00,DL,295,LAX,JFK,151.87
2381,2023-01-16,23:15:00,UA,170,DEN,ATL,67.84
2382,2023-01-16,23:30:00,AA,986,JFK,DEN,467.77
2383,2023-01-16,23:45:00,SW,307,ORD,ORD,398.19
2384,2023-01-17,00:00:00,BA,833,LAX,LAX,188.54
2385,2023-01-17,00:15:00,DL,953,ATL,ORD,340.9
2386,2023-01-17,00:30:00,UA,279,ATL,DEN,51.13
2387,2023-01-17,00:45:00,DL,942,DFW,JFK,393.12
2388,2023-01-17,01:00:00,BA,286,ORD,LAX,288.67
2389,2023-01-17,01:15:00,SW,959,ORD,DEN,108.17
2390,2023-01-17,01:30:00,SW,638,SFO,DFW,224.05
2391,2023-01-17,01:45:00,AA,845,ATL,DFW,98.98
2392,2023-01-17,02:00:00,UA,680,ORD,DFW,294.13
2393,2023-01-17,02:15:00,AA,927,ORD,ATL,176.52
2394,2023-01-17,02:30:00,DL,788,JFK,SFO,357.9
2395,2023-01-17,02:45:00,BA,448,SFO,JFK,467.29
2396,2023-01-17,03:00:00,BA,417,ATL,JFK,68.86
2397,2023-01-17,03:15:00,AA,800,JFK,ORD,200.25
2398,2023-01-17,03:30:00,AA,978,SFO,ATL,260.89
2399,2023-01-17,03:45:00,DL,605,ORD,ATL,376.11
2400,2023-01-17,04:00:00,SW,191,DFW,ORD,131.79
2401,2023-01-17,04:15:00,BA,524,LAX,DFW,144.68
2402,2023-01-17,04:30:00,AA,260,SFO,DEN,117.19
2403,2023-01-17,04:45:00,BA,785,SFO,DFW,134.63
2404,2023-01-17,05:00:00,SW,213,ORD,ATL,173.56
2405,2023-01-17,05:15:00,BA,498,ORD,LAX,496.76
2406,2023-01-17,05:30:00,SW,936,LAX,LAX,68.66
2407,2023-01-17,05:45:00,SW,445,JFK,DFW,170.61
2408,2023-01-18,06:00:00,UA,580,SFO,DEN,239.61
2409,2023-01-18,06:15:00,DL,368,ORD,ORD,470.37
2410,2023-01-18,06:30:00,BA,784,ORD,DFW,172.48
2411,2023-01-18,06:45:00,SW,973,ORD,DEN,206.3
2412,2023-01-18,07:00:00,BA,415,ORD,DEN,279.34
2413,2023-01-18,07:15:00,AA,526,LAX,LAX,79.98
2414,2023-01-18,07:30:00,DL,920,JFK,ORD,90.54
2415,2023-01-18,07:45:00,DL,497,DFW,DEN,133.59
2416,2023-01-18,08:00:00,AA,536,LAX,DFW,167.84
2417,2023-01-18,08:15:00,AA,278,DFW,SFO,283.37
2418,2023-01-18,08:30:00,BA,220,ATL,SFO,290.83
2419,2023-01-18,08:45:00,UA,981,DFW,DEN,393.36
2420,2023-01-18,09:00:00,BA,571,LAX,ATL,252.68
