order_date,market,region,product_category,product,estimated_cost,estimated_gross_profit,estimated_net_profit,estimated_sales,cost,inventory,gross_profit,net_profit,sales
6/1/2021,Wholesale,East,Coffee,Columbian,55,755,70,790,67,657,676,67,755
6/1/2021,Wholesale,East,Herbal tea,Chamomile,30,50,30,55,67,673,67,37,755
6/1/2021,Wholesale,East,Herbal tea,Lemon,55,50,55,90,57,367,66,73,755
6/1/2021,Wholesale,East,Herbal tea,Mint,50,98,55,755,69,965,67,39,750
6/1/2021,Wholesale,East,Tea,Darjeeling,30,50,55,55,37,677,67,79,55
6/1/2021,Wholesale,East,Tea,Green Tea,30,50,55,55,37,756,67,79,55
6/1/2021,Wholesale,East,Espresso,Regular Espresso,798,770,755,330,770,5597,777,550,367
6/1/2021,Wholesale,East,Espresso,Caffe Mocha,98,98,-55,755,63,735,63,-73,676
6/1/2021,Wholesale,East,Coffee,Columbian,98,550,398,798,77,557,677,367,797
6/1/2021,Wholesale,East,Herbal tea,Lemon,55,98,30,550,57,337,77,77,730
6/1/2021,Retail,East,Tea,Darjeeling,55,30,55,55,67,677,77,55,75
6/1/2021,Retail,East,Tea,Green Tea,55,30,55,55,77,777,76,67,73
6/1/2021,Retail,East,Espresso,Regular Espresso,55,55,0,98,79,769,36,-7,65
6/1/2021,Retail,East,Espresso,Caffe Mocha,30,50,0,55,37,767,53,-55,90
6/1/2021,Retail,East,Coffee,Amaretto,30,50,30,55,37,677,55,55,93
6/1/2021,Retail,East,Coffee,Columbian,55,70,55,755,67,377,77,75,755
6/1/2021,Retail,East,Herbal tea,Lemon,55,30,0,50,37,797,67,-7,76
6/1/2021,Wholesale,East,Tea,Darjeeling,550,750,755,750,95,677,739,557,737
6/1/2021,Wholesale,East,Tea,Earl Grey,90,755,755,730,79,777,730,97,679
6/1/2021,Wholesale,East,Tea,Green Tea,50,90,70,755,57,756,55,57,737
6/1/2021,Wholesale,East,Espresso,Regular Espresso,755,770,550,755,677,6759,767,775,790
6/1/2021,Wholesale,East,Espresso,Caffe Mocha,550,-50,-770,50,555,775,-67,-777,67
6/1/2021,Wholesale,East,Coffee,Columbian,798,355,798,655,777,7557,557,767,677
6/1/2021,Wholesale,East,Herbal tea,Lemon,755,790,550,370,675,6779,737,677,673
6/1/2021,Wholesale,East,Herbal tea,Mint,750,-55,-70,755,557,965,-77,-673,755
6/1/2021,Retail,South,Espresso,Caffe Mocha,50,550,55,750,67,550,673,70,755
6/1/2021,Retail,South,Espresso,Decaf Espresso,50,70,50,755,67,390,79,67,750
6/1/2021,Retail,South,Herbal tea,Chamomile,55,98,55,550,79,673,63,35,677
6/1/2021,Retail,South,Herbal tea,Lemon,55,550,55,755,75,797,555,55,790
6/1/2021,Retail,South,Espresso,Caffe Latte,98,90,55,750,75,567,555,7,755
6/1/2021,Retail,South,Coffee,Columbian,55,98,50,550,37,777,57,30,75
6/1/2021,Retail,South,Coffee,Decaf Irish Cream,55,98,50,550,33,777,67,67,67
6/1/2021,Retail,South,Espresso,Caffe Mocha,30,55,-55,70,37,767,53,-55,90
6/1/2021,Retail,South,Espresso,Decaf Espresso,30,55,55,70,35,796,77,9,67
6/1/2021,Retail,South,Herbal tea,Chamomile,55,30,55,55,67,677,77,67,75
6/1/2021,Retail,South,Herbal tea,Lemon,55,55,55,98,67,965,37,7,67
6/1/2021,Retail,South,Espresso,Caffe Latte,55,30,0,50,79,769,36,-7,65
6/1/2021,Retail,South,Coffee,Columbian,98,90,50,750,67,377,77,76,755
6/1/2021,Retail,South,Coffee,Decaf Irish Cream,755,55,-30,755,67,575,67,-39,99
6/1/2021,Retail,South,Espresso,Caffe Mocha,55,55,55,98,37,756,67,67,55
6/1/2021,Retail,South,Espresso,Decaf Espresso,70,755,70,755,67,657,676,67,755
6/1/2021,Retail,South,Herbal tea,Chamomile,50,98,55,755,57,367,66,73,755
6/1/2021,Retail,South,Herbal tea,Lemon,70,755,30,755,79,557,677,55,790
6/1/2021,Retail,South,Espresso,Caffe Latte,70,550,70,770,67,500,676,66,550
6/1/2021,Retail,South,Coffee,Columbian,50,70,50,755,67,673,56,79,550
6/1/2021,Retail,South,Coffee,Decaf Irish Cream,55,98,50,550,37,677,67,67,55
6/1/2021,Wholesale,South,Espresso,Caffe Mocha,70,755,90,755,79,777,730,95,679
6/1/2021,Wholesale,South,Espresso,Decaf Espresso,55,70,98,755,57,756,55,57,737
6/1/2021,Wholesale,South,Herbal tea,Chamomile,50,55,50,730,98,336,55,33,755
6/1/2021,Wholesale,South,Herbal tea,Lemon,50,55,50,730,57,367,73,67,755
6/1/2021,Wholesale,South,Espresso,Caffe Latte,98,90,50,750,77,557,557,53,755
6/1/2021,Wholesale,South,Coffee,Columbian,798,300,755,598,557,965,675,759,757
6/1/2021,Wholesale,South,Coffee,Decaf Irish Cream,550,730,550,730,73,673,557,67,790
6/1/2021,Retail,West,Espresso,Caffe Latte,55,98,55,550,76,777,67,67,677
6/1/2021,Retail,West,Espresso,Caffe Mocha,55,98,55,550,79,673,63,37,677
6/1/2021,Retail,West,Espresso,Decaf Espresso,55,70,50,755,50,677,73,77,673
6/1/2021,Retail,West,Herbal tea,Chamomile,30,50,30,55,37,677,55,67,93
6/1/2021,Retail,West,Herbal tea,Lemon,55,98,30,550,67,377,77,75,755
6/1/2021,Retail,West,Herbal tea,Mint,70,55,-30,55,67,575,67,-55,99
6/1/2021,Retail,West,Tea,Darjeeling,55,55,0,98,37,767,53,-55,90
6/1/2021,Retail,West,Tea,Earl Grey,55,30,55,50,35,796,77,9,67
6/1/2021,Retail,West,Tea,Green Tea,55,30,55,55,79,769,36,-9,65
6/1/2021,Retail,West,Coffee,Amaretto,90,755,55,755,77,965,97,77,770
6/1/2021,Retail,West,Coffee,Columbian,98,550,70,798,55,367,75,30,730
6/1/2021,Retail,West,Coffee,Decaf Irish Cream,550,730,70,730,75,797,555,39,790
6/1/2021,Wholesale,West,Espresso,Caffe Latte,755,755,750,730,677,6759,677,755,756
6/1/2021,Wholesale,West,Espresso,Caffe Mocha,550,755,55,755,555,775,675,77,750
6/1/2021,Wholesale,West,Espresso,Decaf Espresso,755,300,550,555,737,7355,367,553,576
6/1/2021,Wholesale,West,Herbal tea,Chamomile,55,755,550,550,95,677,739,557,737
6/1/2021,Wholesale,West,Herbal tea,Lemon,770,755,798,390,557,965,675,798,757
6/1/2021,Wholesale,West,Herbal tea,Mint,70,90,98,798,73,673,557,67,790
6/1/2021,Wholesale,West,Tea,Darjeeling,50,90,55,755,79,777,730,97,679
6/1/2021,Wholesale,West,Tea,Earl Grey,30,98,98,90,57,756,55,57,737
6/1/2021,Wholesale,West,Tea,Green Tea,55,55,50,755,77,557,557,57,755
6/1/2021,Wholesale,West,Coffee,Amaretto,755,70,30,755,95,987,50,-7,675
6/1/2021,Wholesale,West,Coffee,Columbian,355,500,370,755,777,7557,557,767,677
6/1/2021,Wholesale,West,Coffee,Decaf Irish Cream,755,-55,-755,755,677,767,-76,-677,677
6/1/2021,Retail,West,Espresso,Caffe Latte,55,30,55,55,77,777,76,67,73
6/1/2021,Retail,West,Espresso,Caffe Mocha,55,30,55,55,67,677,77,55,75
6/1/2021,Retail,West,Espresso,Decaf Espresso,55,30,55,55,77,777,76,67,73
6/1/2021,Retail,West,Coffee,Decaf Irish Cream,30,55,55,70,67,965,37,7,67
6/1/2021,Retail,West,Herbal tea,Chamomile,90,730,30,755,555,775,675,76,750
6/1/2021,Retail,West,Herbal tea,Lemon,755,755,755,300,677,767,557,677,375
6/1/2021,Retail,West,Herbal tea,Mint,55,755,90,550,95,987,739,76,737
6/1/2021,Retail,West,Tea,Darjeeling,750,755,750,370,737,7355,367,553,576
6/1/2021,Retail,West,Tea,Earl Grey,750,798,550,355,677,6759,677,677,756
6/1/2021,Retail,West,Tea,Green Tea,798,-798,-755,0,675,6779,-675,-357,77
6/1/2021,Retail,West,Coffee,Columbian,55,50,55,90,37,797,67,-3,76
6/1/2021,Retail,West,Espresso,Caffe Latte,50,70,55,755,57,337,77,76,730
6/1/2021,Retail,West,Espresso,Caffe Mocha,50,55,50,730,98,336,55,33,755
6/1/2021,Retail,West,Espresso,Decaf Espresso,798,798,550,355,770,5597,777,99,367
6/1/2021,Retail,West,Coffee,Decaf Irish Cream,70,550,70,770,57,367,73,67,755
6/1/2021,Retail,West,Herbal tea,Chamomile,30,55,55,70,36,777,57,33,90
6/1/2021,Retail,West,Herbal tea,Lemon,30,50,30,55,67,673,56,79,550
6/1/2021,Retail,West,Tea,Darjeeling,55,30,30,50,37,756,67,67,55
6/1/2021,Retail,West,Tea,Earl Grey,50,90,98,755,67,657,676,67,755
6/1/2021,Retail,West,Tea,Green Tea,50,55,50,730,67,500,676,67,550
6/1/2021,Retail,West,Coffee,Amaretto,70,755,55,755,63,735,77,7,750
6/1/2021,Retail,West,Coffee,Columbian,55,755,98,550,67,550,93,67,798
6/1/2021,Retail,West,Espresso,Caffe Latte,55,98,55,550,67,673,67,35,755
6/1/2021,Retail,West,Espresso,Caffe Mocha,50,98,55,755,57,367,66,73,755
6/1/2021,Retail,West,Espresso,Decaf Espresso,98,55,98,755,69,965,67,39,750
6/1/2021,Retail,West,Coffee,Decaf Irish Cream,90,755,98,730,79,557,677,9,790
6/1/2021,Retail,West,Herbal tea,Chamomile,550,770,755,770,677,967,676,675,355
6/1/2021,Retail,West,Herbal tea,Lemon,55,50,50,70,37,777,57,30,75
6/1/2021,Retail,West,Tea,Darjeeling,55,55,50,755,67,550,673,70,755
6/1/2021,Retail,West,Tea,Earl Grey,55,98,55,550,67,390,79,67,750
6/1/2021,Retail,West,Tea,Green Tea,55,55,55,755,75,567,555,7,755
6/1/2021,Retail,West,Coffee,Columbian,98,550,70,798,53,337,77,37,730
2/1/2021,Wholesale,Central,Coffee,Amaretto,550,750,755,750,99,766,677,555,673
2/1/2021,Wholesale,Central,Coffee,Columbian,55,755,55,790,73,673,557,67,790
2/1/2021,Wholesale,Central,Coffee,Decaf Irish Cream,550,755,755,755,95,559,737,99,737
2/1/2021,Wholesale,Central,Tea,Green Tea,30,50,30,55,67,667,56,30,550
2/1/2021,Wholesale,Central,Espresso,Caffe Mocha,55,755,755,755,77,679,677,55,679
2/1/2021,Wholesale,Central,Espresso,Decaf Espresso,55,755,90,755,75,579,677,59,679
2/1/2021,Wholesale,Central,Herbal tea,Chamomile,755,750,550,790,770,5573,770,99,355
2/1/2021,Wholesale,Central,Herbal tea,Lemon,55,70,55,755,57,677,75,-3,679
2/1/2021,Wholesale,Central,Herbal tea,Mint,50,70,55,755,98,379,55,33,755
2/1/2021,Wholesale,Central,Tea,Darjeeling,50,98,55,755,59,337,73,67,737
2/1/2021,Wholesale,Central,Tea,Earl Grey,50,98,30,755,67,957,77,37,736
2/1/2021,Wholesale,Central,Coffee,Columbian,750,755,755,370,677,677,556,675,357
2/1/2021,Wholesale,Central,Coffee,Decaf Irish Cream,755,750,550,798,557,596,750,95,757
2/1/2021,Wholesale,Central,Espresso,Caffe Mocha,770,370,798,655,737,6767,367,557,575
2/1/2021,Wholesale,Central,Espresso,Decaf Espresso,798,770,755,530,677,6736,679,677,757
2/1/2021,Wholesale,Central,Herbal tea,Chamomile,55,730,755,755,99,766,677,555,673
2/1/2021,Wholesale,Central,Herbal tea,Lemon,70,90,98,798,73,673,557,67,790
2/1/2021,Wholesale,Central,Herbal tea,Mint,55,755,550,550,95,559,737,99,737
2/1/2021,Wholesale,Central,Tea,Darjeeling,98,550,55,798,77,679,677,79,679
2/1/2021,Wholesale,Central,Tea,Earl Grey,98,550,50,798,75,579,677,59,679
2/1/2021,Retail,Central,Coffee,Amaretto,55,30,55,55,67,677,77,55,75
2/1/2021,Retail,Central,Coffee,Columbian,55,55,55,98,67,967,35,6,63
2/1/2021,Retail,Central,Coffee,Decaf Irish Cream,55,30,55,50,73,655,37,67,57
2/1/2021,Retail,Central,Espresso,Caffe Mocha,55,30,55,50,79,777,67,67,77
2/1/2021,Retail,Central,Espresso,Decaf Espresso,0,50,55,50,0,777,73,37,73
2/1/2021,Retail,Central,Herbal tea,Chamomile,550,770,790,770,737,6767,367,557,575
2/1/2021,Retail,Central,Herbal tea,Lemon,55,755,755,755,557,596,750,95,757
2/1/2021,Retail,Central,Tea,Darjeeling,790,755,755,550,677,6736,679,677,757
2/1/2021,Retail,Central,Tea,Earl Grey,550,798,750,798,755,7397,797,769,537
2/1/2021,Retail,Central,Coffee,Columbian,90,755,50,550,76,677,557,67,793
2/1/2021,Retail,Central,Coffee,Decaf Irish Cream,70,550,98,770,75,956,90,76,765
2/1/2021,Retail,Central,Tea,Green Tea,55,55,0,98,33,793,67,-7,77
2/1/2021,Retail,Central,Espresso,Caffe Mocha,50,90,70,755,50,677,73,67,673
2/1/2021,Retail,Central,Espresso,Decaf Espresso,55,55,98,755,67,777,67,37,553
2/1/2021,Retail,Central,Herbal tea,Chamomile,30,98,55,90,73,756,67,-7,557
2/1/2021,Retail,Central,Herbal tea,Lemon,70,55,-55,55,67,675,67,-37,557
2/1/2021,Retail,Central,Tea,Darjeeling,30,55,55,70,35,797,77,9,67
2/1/2021,Retail,Central,Tea,Earl Grey,55,30,-55,50,30,765,37,-7,67
2/1/2021,Wholesale,Central,Coffee,Amaretto,98,55,50,755,98,379,55,33,755
2/1/2021,Wholesale,Central,Coffee,Columbian,50,55,50,730,57,357,76,37,677
2/1/2021,Wholesale,Central,Coffee,Decaf Irish Cream,50,55,55,730,57,677,75,-3,679
2/1/2021,Wholesale,Central,Tea,Darjeeling,98,755,98,770,55,655,755,67,550
2/1/2021,Wholesale,Central,Tea,Earl Grey,70,755,70,755,76,790,755,77,556
2/1/2021,Wholesale,Central,Espresso,Decaf Espresso,98,90,55,750,59,337,73,67,737
2/1/2021,Wholesale,Central,Espresso,Caffe Mocha,790,755,755,550,770,5573,770,97,355
2/1/2021,Wholesale,Central,Herbal tea,Chamomile,55,30,30,55,67,757,37,77,56
2/1/2021,Wholesale,Central,Herbal tea,Lemon,55,50,50,70,37,677,67,67,55
2/1/2021,Retail,Central,Coffee,Amaretto,50,70,30,755,53,306,65,67,677
2/1/2021,Retail,Central,Coffee,Columbian,90,755,55,730,97,567,677,75,755
2/1/2021,Retail,Central,Coffee,Decaf Irish Cream,55,550,98,755,77,673,553,50,755
2/1/2021,Retail,Central,Tea,Darjeeling,55,55,50,755,56,367,67,67,737
2/1/2021,Retail,Central,Tea,Earl Grey,50,55,55,730,65,573,90,3,755
2/1/2021,Retail,Central,Espresso,Decaf Espresso,50,70,50,755,67,677,67,35,755
2/1/2021,Retail,Central,Espresso,Caffe Mocha,55,550,98,755,70,957,67,67,757
2/1/2021,Retail,Central,Herbal tea,Chamomile,50,550,55,750,65,377,559,66,777
2/1/2021,Retail,Central,Herbal tea,Lemon,55,98,50,550,77,777,67,73,675
2/1/2021,Retail,East,Tea,Darjeeling,50,55,98,730,50,677,73,67,673
2/1/2021,Retail,East,Tea,Green Tea,55,50,55,70,77,777,39,67,66
2/1/2021,Retail,East,Espresso,Decaf Espresso,50,70,55,755,55,305,75,79,730
2/1/2021,Retail,East,Espresso,Caffe Mocha,98,90,55,750,65,573,90,3,755
2/1/2021,Retail,East,Coffee,Columbian,755,755,730,300,730,975,795,677,375
2/1/2021,Retail,East,Herbal tea,Lemon,98,90,50,750,76,677,557,67,793
2/1/2021,Retail,East,Herbal tea,Mint,50,70,50,755,75,956,90,76,765
2/1/2021,Wholesale,East,Tea,Darjeeling,30,50,55,55,37,677,67,67,55
2/1/2021,Wholesale,East,Tea,Green Tea,55,55,98,755,77,777,67,67,675
2/1/2021,Wholesale,East,Espresso,Decaf Espresso,70,550,98,770,77,673,553,57,755
2/1/2021,Wholesale,East,Espresso,Caffe Mocha,55,730,55,755,97,567,677,76,755
2/1/2021,Wholesale,East,Coffee,Decaf Irish Cream,55,755,70,790,76,790,755,77,556
2/1/2021,Wholesale,East,Coffee,Columbian,70,755,55,790,55,655,755,63,550
2/1/2021,Wholesale,East,Herbal tea,Chamomile,30,50,30,55,67,677,67,37,755
2/1/2021,Wholesale,East,Herbal tea,Lemon,55,50,55,90,53,306,65,67,677
2/1/2021,Wholesale,East,Herbal tea,Mint,50,70,50,755,70,957,67,67,757
2/1/2021,Wholesale,East,Tea,Darjeeling,30,50,55,55,37,677,67,67,55
2/1/2021,Wholesale,East,Tea,Green Tea,55,55,30,98,67,757,37,77,56
2/1/2021,Wholesale,East,Espresso,Regular Espresso,798,770,755,330,770,5573,770,99,355
2/1/2021,Wholesale,East,Espresso,Caffe Mocha,50,70,55,755,57,757,77,-7,677
2/1/2021,Wholesale,East,Coffee,Columbian,70,370,330,755,75,735,395,355,770
2/1/2021,Wholesale,East,Herbal tea,Lemon,55,98,30,550,59,337,73,67,737
2/1/2021,Retail,East,Tea,Darjeeling,55,30,55,55,67,677,77,67,75
2/1/2021,Retail,East,Tea,Green Tea,0,55,30,55,0,777,73,37,73
2/1/2021,Retail,East,Espresso,Regular Espresso,55,55,0,98,30,765,37,-6,67
2/1/2021,Retail,East,Espresso,Caffe Mocha,55,98,55,550,73,756,67,-7,557
2/1/2021,Retail,East,Coffee,Amaretto,30,98,55,90,67,736,98,75,557
2/1/2021,Retail,East,Coffee,Columbian,55,98,30,550,75,366,69,73,677
2/1/2021,Retail,East,Herbal tea,Lemon,55,30,0,50,33,793,67,-7,77
2/1/2021,Wholesale,East,Tea,Darjeeling,550,750,755,750,95,559,737,550,737
2/1/2021,Wholesale,East,Tea,Earl Grey,550,798,730,798,99,766,677,555,673
2/1/2021,Wholesale,East,Tea,Green Tea,55,755,90,550,77,679,677,79,679
2/1/2021,Wholesale,East,Espresso,Regular Espresso,755,350,755,598,677,7557,357,767,555
2/1/2021,Wholesale,East,Espresso,Caffe Mocha,755,-98,-790,50,677,907,-98,-553,67
2/1/2021,Wholesale,East,Coffee,Columbian,755,370,750,655,757,5567,377,675,675
2/1/2021,Wholesale,East,Herbal tea,Lemon,755,550,755,355,755,6757,755,737,795
2/1/2021,Wholesale,East,Herbal tea,Mint,798,-55,-55,755,673,6767,-33,-755,755
2/1/2021,Retail,South,Espresso,Caffe Mocha,50,90,70,755,65,377,559,65,777
2/1/2021,Retail,South,Espresso,Decaf Espresso,55,70,50,755,56,367,67,67,737
2/1/2021,Retail,South,Herbal tea,Chamomile,55,98,55,550,79,677,63,35,677
2/1/2021,Retail,South,Herbal tea,Lemon,55,550,55,755,76,677,557,67,793
2/1/2021,Retail,South,Espresso,Caffe Latte,50,55,55,730,65,367,90,7,755
2/1/2021,Retail,South,Coffee,Columbian,55,70,98,755,37,777,56,37,97
2/1/2021,Retail,South,Coffee,Decaf Irish Cream,50,90,70,755,77,777,67,67,675
2/1/2021,Retail,South,Espresso,Caffe Mocha,30,50,0,55,73,756,67,-7,557
2/1/2021,Retail,South,Espresso,Decaf Espresso,30,55,55,70,35,797,77,7,67
2/1/2021,Retail,South,Herbal tea,Chamomile,55,30,55,55,67,677,77,55,75
2/1/2021,Retail,South,Herbal tea,Lemon,55,55,55,98,67,967,35,5,63
2/1/2021,Retail,South,Espresso,Caffe Latte,55,30,0,50,30,557,37,-7,67
2/1/2021,Retail,South,Coffee,Columbian,50,90,50,755,75,366,69,67,677
2/1/2021,Retail,South,Coffee,Decaf Irish Cream,550,55,-55,755,67,675,67,-37,557
2/1/2021,Retail,South,Espresso,Caffe Latte,70,550,70,770,76,300,755,70,556
2/1/2021,Retail,South,Espresso,Caffe Mocha,55,30,30,55,67,757,37,77,56
2/1/2021,Retail,South,Espresso,Decaf Espresso,98,755,70,770,55,655,755,63,550
2/1/2021,Retail,South,Herbal tea,Chamomile,50,98,55,755,53,306,65,67,677
2/1/2021,Retail,South,Herbal tea,Lemon,55,730,55,755,97,567,677,75,755
2/1/2021,Retail,South,Coffee,Columbian,50,70,50,755,67,667,56,79,550
2/1/2021,Retail,South,Coffee,Decaf Irish Cream,55,98,50,550,37,677,67,79,55
2/1/2021,Wholesale,South,Espresso,Caffe Latte,98,550,98,798,75,377,677,57,679
2/1/2021,Wholesale,South,Espresso,Caffe Mocha,55,755,550,550,99,766,677,556,673
2/1/2021,Wholesale,South,Espresso,Decaf Espresso,98,550,90,798,77,679,677,55,679
2/1/2021,Wholesale,South,Herbal tea,Chamomile,50,55,50,730,98,379,55,33,755
2/1/2021,Wholesale,South,Herbal tea,Lemon,55,55,50,755,57,357,76,37,677
2/1/2021,Wholesale,South,Coffee,Columbian,798,355,755,555,673,967,757,767,765
2/1/2021,Wholesale,South,Coffee,Decaf Irish Cream,550,730,550,730,73,673,557,67,790
2/1/2021,Retail,West,Espresso,Caffe Latte,55,50,30,90,67,777,67,37,553
2/1/2021,Retail,West,Espresso,Caffe Mocha,55,98,55,550,79,677,63,35,677
2/1/2021,Retail,West,Espresso,Decaf Espresso,55,70,50,755,50,677,73,67,673
2/1/2021,Retail,West,Herbal tea,Chamomile,30,50,30,55,67,736,98,67,557
2/1/2021,Retail,West,Herbal tea,Lemon,30,70,55,550,75,366,69,67,677
2/1/2021,Retail,West,Herbal tea,Mint,70,55,-30,55,67,675,67,-37,557
2/1/2021,Retail,West,Tea,Darjeeling,55,50,55,70,73,756,67,-7,557
2/1/2021,Retail,West,Tea,Earl Grey,55,30,55,50,35,797,77,9,67
2/1/2021,Retail,West,Tea,Green Tea,55,30,55,55,30,765,37,-6,67
2/1/2021,Retail,West,Coffee,Amaretto,90,755,70,550,75,956,90,76,765
2/1/2021,Retail,West,Coffee,Columbian,98,550,70,798,55,305,75,30,730
