order_date,market,region,product_category,product,cost,inventory,net_profit,sales
6/1/2021,Retail,East,Herbal tea,Lemon,98,474,41,791
6/1/2021,Retail,East,Herbal tea,Mint,79,768,47,791
6/1/2021,Wholesale,East,Tea,Darjeeling,88,988,89,91
6/1/2021,Wholesale,East,Tea,Green Tea,88,777,89,98
6/1/2021,Wholesale,East,Espresso,Decaf Espresso,77,488,81,891
6/1/2021,Wholesale,East,Espresso,Caffe Mocha,77,888,7,791
6/1/2021,Wholesale,East,Coffee,Decaf Irish Cream,94,811,67,811
6/1/2021,Wholesale,East,Coffee,Columbian,94,688,69,881
6/1/2021,Wholesale,East,Herbal tea,Chamomile,49,688,73,881
6/1/2021,Wholesale,East,Herbal tea,Lemon,73,888,88,881
6/1/2021,Wholesale,East,Herbal tea,Mint,67,768,79,881
6/1/2021,Wholesale,East,Tea,Darjeeling,88,988,79,91
6/1/2021,Wholesale,East,Tea,Green Tea,88,486,79,91
6/1/2021,Wholesale,East,Espresso,Regular Espresso,791,8178,811,738
6/1/2021,Wholesale,East,Espresso,Caffe Mocha,68,488,-88,886
6/1/2021,Wholesale,East,Coffee,Columbian,78,889,867,474
6/1/2021,Wholesale,East,Herbal tea,Lemon,89,889,79,881
6/1/2021,Retail,East,Tea,Darjeeling,89,988,81,48
6/1/2021,Retail,East,Tea,Green Tea,79,777,88,48
6/1/2021,Retail,East,Espresso,Regular Espresso,79,867,-9,68
6/1/2021,Retail,East,Espresso,Caffe Mocha,79,868,-81,71
6/1/2021,Retail,East,Coffee,Amaretto,89,738,81,78
6/1/2021,Retail,East,Coffee,Columbian,49,798,88,881
6/1/2021,Retail,East,Herbal tea,Lemon,73,797,-4,76
6/1/2021,Wholesale,East,Tea,Darjeeling,78,988,818,793
6/1/2021,Wholesale,East,Tea,Earl Grey,97,777,74,879
6/1/2021,Wholesale,East,Tea,Green Tea,73,486,73,793
6/1/2021,Wholesale,East,Espresso,Regular Espresso,889,7379,798,471
6/1/2021,Wholesale,East,Espresso,Caffe Mocha,818,788,-798,68
6/1/2021,Wholesale,East,Coffee,Columbian,798,8818,868,679
6/1/2021,Wholesale,East,Herbal tea,Lemon,738,7379,888,498
6/1/2021,Wholesale,East,Herbal tea,Mint,817,768,-888,891
6/1/2021,Retail,South,Espresso,Caffe Mocha,67,411,71,891
6/1/2021,Retail,South,Espresso,Decaf Espresso,68,791,49,881
6/1/2021,Retail,South,Herbal tea,Chamomile,47,688,88,888
6/1/2021,Retail,South,Herbal tea,Lemon,98,474,41,791
6/1/2021,Retail,South,Espresso,Caffe Latte,78,888,9,891
6/1/2021,Retail,South,Coffee,Columbian,73,777,81,98
6/1/2021,Retail,South,Coffee,Decaf Irish Cream,88,777,89,98
6/1/2021,Retail,South,Espresso,Caffe Mocha,79,868,-81,71
6/1/2021,Retail,South,Espresso,Decaf Espresso,88,796,7,98
6/1/2021,Retail,South,Herbal tea,Chamomile,89,988,88,48
6/1/2021,Retail,South,Herbal tea,Lemon,89,768,4,68
6/1/2021,Retail,South,Espresso,Caffe Latte,79,867,-9,68
6/1/2021,Retail,South,Coffee,Columbian,49,798,86,881
6/1/2021,Retail,South,Coffee,Decaf Irish Cream,99,888,-79,77
6/1/2021,Retail,South,Espresso,Caffe Mocha,88,486,89,91
6/1/2021,Retail,South,Espresso,Decaf Espresso,94,688,67,881
6/1/2021,Retail,South,Herbal tea,Chamomile,73,888,88,881
6/1/2021,Retail,South,Herbal tea,Lemon,77,888,81,791
6/1/2021,Retail,South,Espresso,Caffe Latte,94,811,66,811
6/1/2021,Retail,South,Coffee,Columbian,44,688,79,811
6/1/2021,Retail,South,Coffee,Decaf Irish Cream,88,988,89,91
6/1/2021,Wholesale,South,Espresso,Caffe Mocha,97,777,78,879
6/1/2021,Wholesale,South,Espresso,Decaf Espresso,73,486,73,793
6/1/2021,Wholesale,South,Herbal tea,Chamomile,61,886,88,731
6/1/2021,Wholesale,South,Herbal tea,Lemon,79,864,48,731
6/1/2021,Wholesale,South,Espresso,Caffe Latte,78,889,88,891
6/1/2021,Wholesale,South,Coffee,Columbian,817,768,879,488
6/1/2021,Wholesale,South,Coffee,Decaf Irish Cream,98,688,69,791
6/1/2021,Retail,West,Espresso,Caffe Latte,46,777,44,793
6/1/2021,Retail,West,Espresso,Caffe Mocha,47,688,73,888
6/1/2021,Retail,West,Espresso,Decaf Espresso,81,988,47,888
6/1/2021,Retail,West,Herbal tea,Chamomile,89,738,88,78
6/1/2021,Retail,West,Herbal tea,Lemon,49,798,88,881
6/1/2021,Retail,West,Herbal tea,Mint,99,888,-41,77
6/1/2021,Retail,West,Tea,Darjeeling,79,868,-81,71
6/1/2021,Retail,West,Tea,Earl Grey,88,796,7,98
6/1/2021,Retail,West,Tea,Green Tea,79,867,-7,68
6/1/2021,Retail,West,Coffee,Amaretto,79,768,47,791
6/1/2021,Retail,West,Coffee,Columbian,88,888,81,881
6/1/2021,Retail,West,Coffee,Decaf Irish Cream,98,474,79,791
6/1/2021,Wholesale,West,Espresso,Caffe Latte,889,7379,731,486
6/1/2021,Wholesale,West,Espresso,Caffe Mocha,818,788,79,881
6/1/2021,Wholesale,West,Espresso,Decaf Espresso,793,8881,818,736
6/1/2021,Wholesale,West,Herbal tea,Chamomile,78,988,818,793
6/1/2021,Wholesale,West,Herbal tea,Lemon,817,768,861,488
6/1/2021,Wholesale,West,Herbal tea,Mint,98,688,67,791
6/1/2021,Wholesale,West,Tea,Darjeeling,97,777,74,879
6/1/2021,Wholesale,West,Tea,Earl Grey,73,486,73,793
6/1/2021,Wholesale,West,Tea,Green Tea,78,889,73,891
6/1/2021,Wholesale,West,Coffee,Amaretto,78,619,-8,738
6/1/2021,Wholesale,West,Coffee,Columbian,798,8818,868,679
6/1/2021,Wholesale,West,Coffee,Decaf Irish Cream,734,968,-879,889
6/1/2021,Retail,West,Espresso,Caffe Latte,79,777,88,48
6/1/2021,Retail,West,Espresso,Caffe Mocha,89,988,81,48
6/1/2021,Retail,West,Espresso,Decaf Espresso,79,777,88,48
6/1/2021,Retail,West,Coffee,Decaf Irish Cream,89,768,4,68
6/1/2021,Retail,West,Herbal tea,Chamomile,818,788,86,881
6/1/2021,Retail,West,Herbal tea,Lemon,734,968,888,738
6/1/2021,Retail,West,Herbal tea,Mint,78,619,96,793
6/1/2021,Retail,West,Tea,Darjeeling,793,8881,818,736
6/1/2021,Retail,West,Tea,Earl Grey,889,7379,738,486
6/1/2021,Retail,West,Tea,Green Tea,738,7379,-793,79
6/1/2021,Retail,West,Coffee,Columbian,73,797,-8,76
6/1/2021,Retail,West,Espresso,Caffe Latte,89,889,86,881
6/1/2021,Retail,West,Espresso,Caffe Mocha,61,886,88,731
6/1/2021,Retail,West,Espresso,Decaf Espresso,791,8178,77,738
6/1/2021,Retail,West,Coffee,Decaf Irish Cream,79,864,48,731
6/1/2021,Retail,West,Herbal tea,Chamomile,86,777,88,71
6/1/2021,Retail,West,Herbal tea,Lemon,44,688,79,811
6/1/2021,Retail,West,Tea,Darjeeling,88,486,89,91
6/1/2021,Retail,West,Tea,Earl Grey,94,688,69,881
6/1/2021,Retail,West,Tea,Green Tea,94,811,67,811
6/1/2021,Retail,West,Coffee,Amaretto,68,488,8,881
6/1/2021,Retail,West,Coffee,Columbian,67,411,89,861
6/1/2021,Retail,West,Espresso,Caffe Latte,49,688,88,881
6/1/2021,Retail,West,Espresso,Caffe Mocha,73,888,88,881
6/1/2021,Retail,West,Espresso,Decaf Espresso,67,768,79,881
6/1/2021,Retail,West,Coffee,Decaf Irish Cream,77,888,7,791
6/1/2021,Retail,West,Herbal tea,Chamomile,793,768,888,881
6/1/2021,Retail,West,Herbal tea,Lemon,73,777,81,98
6/1/2021,Retail,West,Tea,Darjeeling,67,411,71,891
6/1/2021,Retail,West,Tea,Earl Grey,68,791,49,881
6/1/2021,Retail,West,Tea,Green Tea,78,888,9,891
6/1/2021,Retail,West,Coffee,Columbian,88,889,89,881
2/1/2021,Wholesale,Central,Coffee,Amaretto,77,766,818,738
2/1/2021,Wholesale,Central,Coffee,Columbian,98,688,69,791
2/1/2021,Wholesale,Central,Coffee,Decaf Irish Cream,78,917,77,888
2/1/2021,Wholesale,Central,Tea,Green Tea,44,689,81,811
2/1/2021,Wholesale,Central,Espresso,Caffe Mocha,77,447,91,897
2/1/2021,Wholesale,Central,Espresso,Decaf Espresso,78,737,79,897
2/1/2021,Wholesale,Central,Herbal tea,Chamomile,791,8178,77,731
2/1/2021,Wholesale,Central,Herbal tea,Lemon,73,479,-8,879
2/1/2021,Wholesale,Central,Herbal tea,Mint,61,879,88,731
2/1/2021,Wholesale,Central,Tea,Darjeeling,79,888,89,888
2/1/2021,Wholesale,Central,Tea,Earl Grey,68,789,73,886
2/1/2021,Wholesale,Central,Coffee,Columbian,739,944,888,793
2/1/2021,Wholesale,Central,Coffee,Decaf Irish Cream,814,796,78,793
2/1/2021,Wholesale,Central,Espresso,Caffe Mocha,793,8898,818,738
2/1/2021,Wholesale,Central,Espresso,Decaf Espresso,889,7386,738,479
2/1/2021,Wholesale,Central,Herbal tea,Chamomile,77,766,818,738
2/1/2021,Wholesale,Central,Herbal tea,Lemon,98,688,69,791
2/1/2021,Wholesale,Central,Herbal tea,Mint,78,917,77,888
2/1/2021,Wholesale,Central,Tea,Darjeeling,77,447,77,897
2/1/2021,Wholesale,Central,Tea,Earl Grey,78,737,79,897
2/1/2021,Retail,Central,Coffee,Amaretto,89,989,81,48
2/1/2021,Retail,Central,Coffee,Columbian,89,768,6,68
2/1/2021,Retail,Central,Coffee,Decaf Irish Cream,88,681,88,73
2/1/2021,Retail,Central,Espresso,Caffe Mocha,79,774,88,47
2/1/2021,Retail,Central,Espresso,Decaf Espresso,1,774,88,48
2/1/2021,Retail,Central,Herbal tea,Chamomile,793,8898,818,738
2/1/2021,Retail,Central,Herbal tea,Lemon,814,796,78,793
2/1/2021,Retail,Central,Tea,Darjeeling,889,7386,738,479
2/1/2021,Retail,Central,Tea,Earl Grey,731,8798,867,793
2/1/2021,Retail,Central,Coffee,Columbian,96,494,48,798
2/1/2021,Retail,Central,Coffee,Decaf Irish Cream,78,786,46,868
2/1/2021,Retail,Central,Tea,Green Tea,88,798,-4,74
2/1/2021,Retail,Central,Espresso,Caffe Mocha,81,973,49,888
2/1/2021,Retail,Central,Espresso,Decaf Espresso,48,778,89,818
2/1/2021,Retail,Central,Herbal tea,Chamomile,48,886,-9,814
2/1/2021,Retail,Central,Herbal tea,Lemon,94,688,-88,818
2/1/2021,Retail,Central,Tea,Darjeeling,88,798,7,98
2/1/2021,Retail,Central,Tea,Earl Grey,81,868,-7,69
2/1/2021,Wholesale,Central,Coffee,Amaretto,61,879,88,731
2/1/2021,Wholesale,Central,Coffee,Columbian,88,879,89,889
2/1/2021,Wholesale,Central,Coffee,Decaf Irish Cream,73,479,-8,879
2/1/2021,Wholesale,Central,Tea,Darjeeling,91,641,68,811
2/1/2021,Wholesale,Central,Tea,Earl Grey,96,471,78,816
2/1/2021,Wholesale,Central,Espresso,Decaf Espresso,79,888,89,888
2/1/2021,Wholesale,Central,Espresso,Caffe Mocha,791,8178,79,731
2/1/2021,Wholesale,Central,Herbal tea,Chamomile,88,488,79,86
2/1/2021,Wholesale,Central,Herbal tea,Lemon,88,979,89,91
2/1/2021,Retail,Central,Coffee,Amaretto,88,816,88,889
2/1/2021,Retail,Central,Coffee,Columbian,78,738,88,881
2/1/2021,Retail,Central,Coffee,Decaf Irish Cream,77,488,81,891
2/1/2021,Retail,Central,Tea,Darjeeling,86,898,48,879
2/1/2021,Retail,Central,Tea,Earl Grey,68,888,8,888
2/1/2021,Retail,Central,Espresso,Decaf Espresso,49,679,88,881
2/1/2021,Retail,Central,Espresso,Caffe Mocha,71,779,48,793
2/1/2021,Retail,Central,Herbal tea,Chamomile,68,798,66,794
2/1/2021,Retail,Central,Herbal tea,Lemon,47,778,48,888
2/1/2021,Retail,East,Tea,Darjeeling,81,973,49,888
2/1/2021,Retail,East,Tea,Green Tea,79,778,88,66
2/1/2021,Retail,East,Espresso,Decaf Espresso,88,818,79,881
2/1/2021,Retail,East,Espresso,Caffe Mocha,68,888,8,888
2/1/2021,Retail,East,Coffee,Columbian,881,748,888,888
2/1/2021,Retail,East,Herbal tea,Lemon,96,494,48,798
2/1/2021,Retail,East,Herbal tea,Mint,78,786,46,868
2/1/2021,Wholesale,East,Tea,Darjeeling,88,979,89,91
2/1/2021,Wholesale,East,Tea,Green Tea,47,778,44,888
2/1/2021,Wholesale,East,Espresso,Decaf Espresso,77,488,88,891
2/1/2021,Wholesale,East,Espresso,Caffe Mocha,78,738,86,881
2/1/2021,Wholesale,East,Coffee,Decaf Irish Cream,96,471,78,816
2/1/2021,Wholesale,East,Coffee,Columbian,91,641,68,811
2/1/2021,Wholesale,East,Herbal tea,Chamomile,49,679,73,881
2/1/2021,Wholesale,East,Herbal tea,Lemon,88,816,88,889
2/1/2021,Wholesale,East,Herbal tea,Mint,71,779,48,793
2/1/2021,Wholesale,East,Tea,Darjeeling,88,979,89,91
2/1/2021,Wholesale,East,Tea,Green Tea,88,488,79,86
2/1/2021,Wholesale,East,Espresso,Regular Espresso,791,8178,77,731
2/1/2021,Wholesale,East,Espresso,Caffe Mocha,73,488,-4,889
2/1/2021,Wholesale,East,Coffee,Columbian,78,888,731,471
2/1/2021,Wholesale,East,Herbal tea,Lemon,79,888,89,888
2/1/2021,Retail,East,Tea,Darjeeling,89,989,88,48
2/1/2021,Retail,East,Tea,Green Tea,1,774,88,48
2/1/2021,Retail,East,Espresso,Regular Espresso,81,868,-6,69
2/1/2021,Retail,East,Espresso,Caffe Mocha,48,886,-7,814
2/1/2021,Retail,East,Coffee,Amaretto,48,886,88,818
2/1/2021,Retail,East,Coffee,Columbian,48,866,88,793
2/1/2021,Retail,East,Herbal tea,Lemon,88,798,-4,74
2/1/2021,Wholesale,East,Tea,Darjeeling,78,917,811,888
2/1/2021,Wholesale,East,Tea,Earl Grey,77,766,818,738
2/1/2021,Wholesale,East,Tea,Green Tea,77,447,77,897
2/1/2021,Wholesale,East,Espresso,Regular Espresso,889,7318,864,891
2/1/2021,Wholesale,East,Espresso,Caffe Mocha,888,718,-818,68
2/1/2021,Wholesale,East,Coffee,Columbian,889,8167,738,648
2/1/2021,Wholesale,East,Herbal tea,Lemon,731,7373,888,478
2/1/2021,Wholesale,East,Herbal tea,Mint,888,8793,-881,891
2/1/2021,Retail,South,Espresso,Caffe Mocha,68,798,68,794
2/1/2021,Retail,South,Espresso,Decaf Espresso,86,898,48,879
2/1/2021,Retail,South,Herbal tea,Chamomile,47,679,88,888
2/1/2021,Retail,South,Herbal tea,Lemon,96,494,48,798
2/1/2021,Retail,South,Espresso,Caffe Latte,68,738,8,888
2/1/2021,Retail,South,Coffee,Columbian,89,778,73,74
2/1/2021,Retail,South,Coffee,Decaf Irish Cream,47,778,44,888
2/1/2021,Retail,South,Espresso,Caffe Mocha,48,886,-7,814
2/1/2021,Retail,South,Espresso,Decaf Espresso,88,798,9,98
2/1/2021,Retail,South,Herbal tea,Chamomile,89,989,81,48
2/1/2021,Retail,South,Herbal tea,Lemon,89,768,8,68
2/1/2021,Retail,South,Espresso,Caffe Latte,81,814,-7,69
2/1/2021,Retail,South,Coffee,Columbian,48,866,73,793
2/1/2021,Retail,South,Coffee,Decaf Irish Cream,94,688,-88,818
2/1/2021,Retail,South,Espresso,Caffe Latte,96,811,71,816
2/1/2021,Retail,South,Espresso,Caffe Mocha,88,488,79,86
2/1/2021,Retail,South,Espresso,Decaf Espresso,91,641,68,811
2/1/2021,Retail,South,Herbal tea,Chamomile,88,816,88,889
2/1/2021,Retail,South,Herbal tea,Lemon,78,738,88,881
2/1/2021,Retail,South,Coffee,Columbian,44,689,79,811
2/1/2021,Retail,South,Coffee,Decaf Irish Cream,88,979,79,91
2/1/2021,Wholesale,South,Espresso,Caffe Latte,78,799,89,897
2/1/2021,Wholesale,South,Espresso,Caffe Mocha,77,766,816,738
2/1/2021,Wholesale,South,Espresso,Decaf Espresso,77,447,91,897
2/1/2021,Wholesale,South,Herbal tea,Chamomile,61,879,88,731
2/1/2021,Wholesale,South,Herbal tea,Lemon,88,879,89,889
2/1/2021,Wholesale,South,Coffee,Columbian,888,748,864,468
2/1/2021,Wholesale,South,Coffee,Decaf Irish Cream,98,688,69,791
2/1/2021,Retail,West,Espresso,Caffe Latte,48,778,89,818
2/1/2021,Retail,West,Espresso,Caffe Mocha,47,679,88,888
2/1/2021,Retail,West,Espresso,Decaf Espresso,81,973,49,888
2/1/2021,Retail,West,Herbal tea,Chamomile,48,886,73,818
2/1/2021,Retail,West,Herbal tea,Lemon,48,866,73,793
2/1/2021,Retail,West,Herbal tea,Mint,94,688,-88,818
2/1/2021,Retail,West,Tea,Darjeeling,48,886,-7,814
2/1/2021,Retail,West,Tea,Earl Grey,88,798,7,98
2/1/2021,Retail,West,Tea,Green Tea,81,868,-6,69
2/1/2021,Retail,West,Coffee,Amaretto,78,786,46,868
2/1/2021,Retail,West,Coffee,Columbian,88,818,81,881
2/1/2021,Retail,West,Coffee,Decaf Irish Cream,96,494,48,798
2/1/2021,Wholesale,West,Espresso,Caffe Latte,889,7386,738,479
2/1/2021,Wholesale,West,Espresso,Caffe Mocha,888,788,86,791
2/1/2021,Wholesale,West,Espresso,Decaf Espresso,793,8898,818,738
2/1/2021,Wholesale,West,Herbal tea,Chamomile,78,917,811,888
2/1/2021,Wholesale,West,Herbal tea,Lemon,888,748,864,468
2/1/2021,Wholesale,West,Herbal tea,Mint,98,688,69,791
2/1/2021,Wholesale,West,Tea,Darjeeling,77,766,816,738
2/1/2021,Wholesale,West,Tea,Earl Grey,77,447,91,897
2/1/2021,Wholesale,West,Tea,Green Tea,78,737,89,897
2/1/2021,Wholesale,West,Coffee,Amaretto,814,698,-79,888
2/1/2021,Wholesale,West,Coffee,Columbian,889,8167,738,648
2/1/2021,Wholesale,West,Coffee,Decaf Irish Cream,739,8178,-879,888
2/1/2021,Retail,West,Espresso,Caffe Latte,1,774,88,48
2/1/2021,Retail,West,Espresso,Caffe Mocha,89,989,81,48
2/1/2021,Retail,West,Espresso,Decaf Espresso,79,774,88,47
2/1/2021,Retail,West,Coffee,Decaf Irish Cream,89,768,6,68
2/1/2021,Retail,West,Herbal tea,Chamomile,888,788,86,791
2/1/2021,Retail,West,Herbal tea,Lemon,739,944,888,793
2/1/2021,Retail,West,Herbal tea,Mint,814,796,74,793
2/1/2021,Retail,West,Tea,Darjeeling,793,8898,818,738
2/1/2021,Retail,West,Tea,Earl Grey,889,7386,738,479
2/1/2021,Retail,West,Tea,Green Tea,731,7979,-738,88
2/1/2021,Retail,West,Coffee,Columbian,88,798,-8,74
2/1/2021,Retail,West,Espresso,Caffe Latte,79,888,89,888
2/1/2021,Retail,West,Espresso,Caffe Mocha,61,879,88,731
2/1/2021,Retail,West,Espresso,Decaf Espresso,791,8178,77,731
2/1/2021,Retail,West,Coffee,Decaf Irish Cream,88,879,89,889
2/1/2021,Retail,West,Herbal tea,Chamomile,88,778,89,98
2/1/2021,Retail,West,Herbal tea,Lemon,44,689,81,811
2/1/2021,Retail,West,Tea,Darjeeling,88,488,79,86
2/1/2021,Retail,West,Tea,Earl Grey,91,641,68,811
2/1/2021,Retail,West,Tea,Green Tea,96,471,78,816
2/1/2021,Retail,West,Coffee,Amaretto,73,479,-4,879
2/1/2021,Retail,West,Coffee,Columbian,68,798,88,888
2/1/2021,Retail,West,Espresso,Caffe Latte,49,679,88,881
2/1/2021,Retail,West,Espresso,Caffe Mocha,88,816,88,889
2/1/2021,Retail,West,Espresso,Decaf Espresso,71,779,48,793
2/1/2021,Retail,West,Coffee,Decaf Irish Cream,78,738,88,881
2/1/2021,Retail,West,Herbal tea,Chamomile,881,748,888,888
2/1/2021,Retail,West,Herbal tea,Lemon,89,778,73,74
2/1/2021,Retail,West,Tea,Darjeeling,68,798,66,794
2/1/2021,Retail,West,Tea,Earl Grey,86,898,48,879
2/1/2021,Retail,West,Tea,Green Tea,68,888,8,888
2/1/2021,Retail,West,Coffee,Columbian,89,888,44,738
3/1/2021,Wholesale,Central,Coffee,Amaretto,97,786,71,888
3/1/2021,Wholesale,Central,Coffee,Columbian,94,618,67,798
3/1/2021,Wholesale,Central,Coffee,Decaf Irish Cream,78,777,818,793
3/1/2021,Wholesale,Central,Tea,Green Tea,48,688,79,79
3/1/2021,Wholesale,Central,Espresso,Caffe Mocha,98,448,94,799
3/1/2021,Wholesale,Central,Espresso,Decaf Espresso,78,738,73,891
3/1/2021,Wholesale,Central,Herbal tea,Chamomile,868,8179,74,888
3/1/2021,Wholesale,Central,Herbal tea,Lemon,88,488,-4,888
3/1/2021,Wholesale,Central,Herbal tea,Mint,79,888,88,793
3/1/2021,Wholesale,Central,Tea,Darjeeling,89,888,86,879
3/1/2021,Wholesale,Central,Tea,Earl Grey,68,788,88,888
3/1/2021,Wholesale,Central,Coffee,Columbian,793,979,879,867
3/1/2021,Wholesale,Central,Coffee,Decaf Irish Cream,817,898,818,867
3/1/2021,Wholesale,Central,Espresso,Caffe Mocha,738,8861,888,867
3/1/2021,Wholesale,Central,Espresso,Decaf Espresso,879,7379,739,479
3/1/2021,Wholesale,Central,Herbal tea,Chamomile,97,786,78,888
3/1/2021,Wholesale,Central,Herbal tea,Lemon,94,618,71,798
3/1/2021,Wholesale,Central,Herbal tea,Mint,78,777,818,793
3/1/2021,Wholesale,Central,Tea,Darjeeling,98,448,94,799
3/1/2021,Wholesale,Central,Tea,Earl Grey,78,738,88,891
3/1/2021,Retail,Central,Coffee,Amaretto,89,986,81,48
3/1/2021,Retail,Central,Coffee,Columbian,89,789,6,68
3/1/2021,Retail,Central,Coffee,Decaf Irish Cream,88,679,88,73
3/1/2021,Retail,Central,Espresso,Caffe Mocha,86,778,7,48
3/1/2021,Retail,Central,Espresso,Decaf Espresso,1,788,88,48
3/1/2021,Retail,Central,Herbal tea,Chamomile,738,8861,888,867
3/1/2021,Retail,Central,Herbal tea,Lemon,817,898,818,867
3/1/2021,Retail,Central,Tea,Darjeeling,879,7379,739,479
3/1/2021,Retail,Central,Tea,Earl Grey,738,8867,798,736
3/1/2021,Retail,Central,Coffee,Columbian,98,476,79,897
3/1/2021,Retail,Central,Coffee,Decaf Irish Cream,74,747,48,868
3/1/2021,Retail,Central,Tea,Green Tea,88,791,-4,78
3/1/2021,Retail,Central,Espresso,Caffe Mocha,47,917,47,888
3/1/2021,Retail,Central,Espresso,Decaf Espresso,49,766,48,889
3/1/2021,Retail,Central,Herbal tea,Chamomile,44,888,-6,817
3/1/2021,Retail,Central,Herbal tea,Lemon,99,788,-88,816
3/1/2021,Retail,Central,Tea,Darjeeling,86,897,88,98
3/1/2021,Retail,Central,Tea,Earl Grey,88,868,-8,78
3/1/2021,Wholesale,Central,Coffee,Amaretto,79,888,88,793
3/1/2021,Wholesale,Central,Coffee,Columbian,47,888,88,888
3/1/2021,Wholesale,Central,Coffee,Decaf Irish Cream,88,488,-4,888
3/1/2021,Wholesale,Central,Tea,Darjeeling,94,688,69,881
3/1/2021,Wholesale,Central,Tea,Earl Grey,97,498,74,793
3/1/2021,Wholesale,Central,Espresso,Decaf Espresso,89,888,88,879
3/1/2021,Wholesale,Central,Espresso,Caffe Mocha,868,8179,74,888
3/1/2021,Wholesale,Central,Herbal tea,Chamomile,88,447,88,88
